"%s %s cycle.",%s %s ciclu.
"Recurring profile start date has invalid format.",Data de începere profil recurent are formatul greșit.
"Reference ID is not set.",ID-ul referință nu e setat.
"Refund action is not available.",Acțiunea de rambursare nu e disponibilă.
"Repeats %s time(s).",Repetă de %s ori.
"Repeats until suspended or canceled.",Repetă până la suspendare sau anulare.
"Request Card Security Code",Cerere Cod Securitate Card
"Saved CC",CC Salvat
"Schedule Description",Descriere Program
"Schedule description must be not empty.",Descrierea programului nu poate fi goală.
"Selected payment type is not allowed for billing country.",Tipul de plată selectat nu e permis pentru țara de facturare.
"Send Check to",Trimitere cec către
"Send Check to:",Trimitere cec către:
"Severe 3D Secure Card Validation",Validare Severă Card 3D Secure
"Severe validation removes chargeback liability on merchant.",Validarea severă elimină răspunderea comerciantului pentru chargeback.
"Shipping Amount",Sumă Expediere
"Short description of the recurring payment. By default equals to the product name.",Descriere scurtă a plății recurente. Implicit e egală cu numele produsului.
"Sort Order",Ordine Sortare
"Start Date",Data de Pornire
"Start date has invalid format.",Data de pornire are formatul invalid.
"Start date is undefined.",Data de pornire e nedefinită.
"Subscriber Name",Nume Abonat
"Switch/Solo/Maestro Issue Number",Număr Emitere Switch/Solo/Maestro
"Switch/Solo/Maestro Only",Numai Switch/Solo/Maestro
"Switch/Solo/Maestro Start Date",Dată Pornire Switch/Solo/Maestro
"Tax Amount",Sumă Taxe
"Test Mode",Mod Test
"The date when billing for the profile begins.",Data când facturarea pentru profil începe.
"The number of billing cycles for payment period.",Numărul de cicluri de facturare pentru perioada de plată.
"The number of scheduled payments that can fail before the profile is automatically suspended.",Numărul de plăți programate care pot eșua înainte ca profilul să fie suspendat automat.
"The payment review action is unavailable.",Acțiunea de revizuire plată nu e disponibilă.
"The requested Payment Method is not available.",Metoda de Plată cerută nu e disponibilă.
"Title",Titlu
"Trial Billing Amount",Sumă Facturare Probă
"Trial Billing Frequency",Frecvență Facturare Probă
"Trial Billing Period Unit",Unitate Perioadă Facturare Probă
"Trial Period",Perioadă Probă
"Trial billing amount is wrong.",Sumă facturare probă greșită.
"Trial billing period unit is wrong.",Unitate perioadă facturare probă greșită.
"Trial period frequency is wrong.",Frecvență perioadă probă greșită.
"Trial period max cycles is wrong.",Maxim cicluri perioadă probă greșit.
"Two Weeks",Două Săptămâni
"Unable to save Billing Agreement:",Nu se poate salva Acordul de Facturare:
"Unit for billing during the subscription period.",Unitate de facturare pe parcursul perioadei de abonare.
"Unsupported currency code: %s.",Cod valută nesuportat: %s.
"Void action is not available.",Acțiunea de anulare nu e disponibilă.
"Week",Săptămână
"What is this?",Ce este asta?
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.",Dacă să se suspende profilul de plată în caz că taxa inițială eșuează sau să se adauge la balanța excedentă.
"Wrong %s specified.",%s specificat greșit.
"Wrong or empty billing amount specified.",Sumă facturare greșită sau goală specificată.
"Year",An
"Zero Subtotal Checkout",Finalizare Comandă Subtotal Zero
