" Select Shipping Method"," Selectare Metodă Expediere"
"Invalid request.",Cerere invalidă.
"Invoice was created with Checkout by Amazon.",Factura a fost creată cu Finalizare Comandă prin Amazon.
"Merchant ID",ID Comerciant
"Merchant Login",Logare Comerciant
"Merchant Name",Nume Comerciant
"Merchant Password",Parolă Comerciant
"Merchant Token",Token Comerciant
"Method Choice Checkout Message",Mesaj Finalizare Comandă Alegere Metodă
"New Order Notification received from Checkout by Amazon service.",Notificare Comandă Nouă primită de la serviciul Finalizare Comandă prin Amazon.
"New Order Status",Status Comandă Nouă
"Notification Error Transactional Email",E-mail Tranzacțional Eroare Notificare
"Order Ready To Ship Notification received form Checkout by Amazon service.",Notificare Comandă Pregătită de Expediere primită de la serviciul Finalizare Comandă prin Amazon.
"Order was canceled with Checkout by Amazon.",Comanda a fost anulată cu Finalizare Comandă prin Amazon.
"Payment Action",Acțiune de Plată
"Payment Description",Descriere Plată
"Payment Sandbox Service URI",URI Serviciu de Plată Sandbox
"Payment Service URI",URI Serviciu de Plată
"Payment authorization canceled with Amazon Simple Pay service.",Autorizare plată anulată prin serviciul Plată Simplă Amazon.
"Pending Amazon Simple Pay",În Așteptare Plată Simplă Amazon
"Redirect Message",Mesaj Redirecționare
"Refund Description",Descriere Rambursare
"Refund was created with Checkout by Amazon.",Rambursarea a fost creată cu Finalizare Comandă prin Amazon.
"Report Email",E-mail Raport
"Report Error to Email",Raportare Eroare în E-mail
"Response body is not a valid FPS response.",Corpul răspunsului nu e un răspuns FPS valid.
"SUCCESS",SUCCES
"Sandbox","Sandbox"
"Secret Key",Cheie Secretă
"Secret Key ID",ID Cheie Secretă
"Shipment was created with Checkout by Amazon.",Expedierea a fost creată cu Finalizare Comandă prin Amazon.
"Thank you for your purchase!",Vă mulțumim pentru achiziție!
"The customer has canceled payment and successfully returned from Amazon Simple Pay site",Clientul a anulat plata și s-a întors cu succes de la site-ul Plată Simplă Amazon
"The customer has successfully returned from Amazon Simple Pay site",Clientul s-a întors cu succes de la site-ul Plată Simplă Amazon
"The invoice was created (online capture). Waiting for capture confirmation from Amazon Simple Pay service.",Factura a fost creată (captură online). Se așteaptă confirmarea capturii de la serviciul Plată Simplă Amazon.
"The invoice was not refunded. Amazon Simple Pay service error: [%s] %s",Factura nu a fost rambursată. Eroare serviciu Plată Simplă Amazon: [%s] %s
"The item specified in callback request XML was not found in quote.",Articolul specificat în XML-ul cererii de întoarcere nu a fost găsit în estimare.
"The order was not canceled. Amazon Simple Pay service error: [%s] %s",Comanda nu a fost anulată. Eroare serviciu Plată Simplă Amazon: [%s] %s
"The order was not captured online. Authorization confirmation is required.",Comanda nu a fost capturată online. Confirmarea autorizării e obligatorie.
"The order was not captured. Amazon Simple Pay service error: [%s] %s",Comanda nu a fost capturată. Eroare serviciu Plată Simplă Amazon: [%s] %s
"The payment was captured online with Amazon Simple Pay service. The invoice was created. Waiting for capture confirmation from the payment service.",Plata a fost capturată online prin serviciul Plată Simplă Amazon. Factura a fost creată. Se așteaptă confirmarea capturii de la serviciul de plată.
"The payment was refunded online with Amazon Simple Pay service. The credit memo was created. Waiting for refund confirmation from Amazon Simple Pay service.",Plata a fost rambursată online prin serviciul Plată Simplă Amazon. Memo-ul de credit a fost creat. Se așteaptă confirmarea rambursării de la serviciul de plată.
"The payment was refunded online. Waiting for refund confirmation from Amazon Simple Pay service.",Plata a fost rambursată online. Se așteaptă confirmarea rambursării de la serviciul Plată Simplă Amazon.
"The request is not a valid IPN request.",Cererea nu este o cerere NPI validă.
"The request was signed incorrectly or the signature is missing.",Cererea a fost semnată incorect sau semnătura lipsește.
"Title",Titlu
"Use Callback API",Utilizare API Întoarcere
"You will be redirected to Checkout by Amazon in a few seconds.",Veți fi redirecționat către Finalizarea Comenzii prin Amazon în câteva secunde.
"You will receive an order confirmation email with details of your order and a link to track its progress.",Veți primi un e-mail de confirmare a comenzii cu detalii despre comanda dvs. și o legătură pentru a urmări progresul acesteia.
"You will receive an order confirmation email with details of your order and a link to track its progress.<br/>",Veți primi un e-mail de confirmare a comenzii cu detalii despre comanda dvs. și o legătură pentru a urmări progresul acesteia.<br/>
"Your billing address will be ignored and you will be redirected to Checkout by Amazon website.",Adresa dvs. de facturare va fi ignorată și veți fi redirecționat către site-ul Finalizare Comandă prin Amazon.
"Your order has been received.",Comanda dvs. a fost recepționată.
