"# of Use",# în Uz
"%1$s incl tax.",%1$s taxe incl.
"%s - %s","%s - %s"
"%s Item(s)",%s Articol(e)
"%s and above",%s și peste
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.",Aplicabil la produse și categorii de catalog numai. Orice conținut media va fi inserat în editor ca URL static. Nu se actualizează dacă se schimbă adresa de bază URL a configurației sistemului.
"Apply MAP (Default Value)",Aplicare PMP (Valoare Implicită)
"Apply To",Aplicare La
"Approved",Aprobat
"Are you sure you want to delete this category?",Sunteți sigur că vreți să ștergeți categoria?
"Are you sure you would like to remove all products from your comparison?",Sunteți sigur că vreți să eliminați toate produsele din comparația dvs.?
"Are you sure you would like to remove this item from the compare products?",Sunteți sigur că vreți să eliminați acest articol din lista de comparație?
"Are you sure?",Sunteți sigur?
"As low as:",Începând cu:
"Assign",Atribuire
"Assign product link",Atribuire legătură produs
"Assign product to category",Atribuire produs la categorie
"Assigned Products",Produse Atribuite
"Associated Products",Produse Asociate
"Attrib. Set Name",Nume Set Atribute
"Attribute ""%s"" is invalid.",Atributul "%s" e invalid.
"Attribute ""%s"" is required.",Atributul "%s" e necesar.
"Attribute Information",Informații Atribut
"Attribute Model",Model Atribut
"Attribute Name:",Nume Atribut:
"Attribute Set",Set Atribute
"Attribute Sets",Seturi Atribute
"Attribute add",Adăugare atribut
"Attribute code is invalid. Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Codul atributului e invalid. Folosiți numai litere (a-z), cifre (0-9) sau underscore (_) în acest câmp, iar primul caracter trebuie să fie literă."
"Attribute group with the \"/name/\" name already exists",Grupul de atribute cu numele \/name/\ există deja
"Attribute group with the \/name/\ name already exists",Grup atribute cu numele \/nume/\ există deja
"Attribute remove",Eliminare atribut
"Attribute with the same code already exists",Există deja un atribut cu acest cod
"Attributes",Atribute
"Attrribute names can be specified per store.",Numele atributelor pot fi specificate per magazin.
"Autogenerate",Auto-generare
"Availability:",Disponibilitate:
"Back",Înapoi
"Backend Model",Model Backend
"Backend Table",Tabel Backend
"Backend Table Title",Titlu Tabel Backend
"Backorders",Precomenzi
"Based On",Bazat pe
"Before Order Confirmation",Înainte de Confirmarea Comenzii
"Best Value",Cea mai bună Valoare
"Block after Info Column",Bloc după Coloana Info
"Bottom Block Options Wrapper",Wrapper Opțiuni Bloc Jos
"Bottom/Left",Stânga/Jos
"Bottom/Right",Dreapta/Jos
"Browse By",Caută După
"Bundle Items",Iteme tip Pachet
"Buy %1$s",Cumpărare %1$s
"Buy %1$s for",Cumpărare %1$s cu
"Buy %1$s for %2$s",Cumpărați %1$s cu %2$s
"Buy %1$s for %2$s (%3$s incl. tax) each",Cumpărați %1$s cu %2$s (%3$s incl. taxe) fiecare
"Buy %1$s for %2$s each",Cumpărați %1$s cu %2$s fiecare
"Cache Lifetime (Seconds)",Durată de viață Cache (secunde)
"Cache refresh needed.",Reîmprospătare cache necesară
"Can be Divided into Multiple Boxes for Shipping",Poate fi Împărțit în Cutii Multiple pentru Expediere
"Can be used only with catalog input type Dropdown",Poate fi folosit doar pentru intrare de catalog tip Dropdown
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Poate fi folosit doar pentru intrare de catalog tip Dropdown, Selectare Multiplă și Preț"
"Can\'t create image.",Nu se poate crea imaginea.
"Cancel",Anulare
"Cannot create image.",Nu se poate crea imaginea.
"Cannot create writeable directory '%s'.",Nu se poate crea directorul inscriptibil '%s'.
"Cart Item Attribute",Atribut Articol Coș
"Catalog","Catalog"
"Catalog Category (Anchor)",Categorie Catalog (Ancoră)
"Catalog Category (Non-Anchor)",Categorie Catalog (Non-Ancoră)
"Catalog Category (Without Subcategories)",Categorie Catalog (Fără Subcategorii)
"Catalog Category Link",Legătură Categorie Catalog
"Catalog New Products List",Listă Produse Noi Catalog
"Catalog Price Scope",Acoperire Preț Catalog
"Catalog Product Compare List",Listă Comparație Produs Catalog
"Catalog Product Email to a Friend",Trimitere E-mail Prieten Produs Catalog
"Catalog Product Image Gallery Popup",Popup Galerie Imagini Produs Catalog
"Catalog Product Link",Legătură Produs Catalog
"Catalog Product View (Any)",Vizualizare Produs Catalog (Oricare)
"Catalog Product View (Configurable)",Vizualizare Produs Catalog (Configurabil)
"Catalog Product View (Grouped)",Vizualizare Produs Catalog (Grupat)
"Catalog Product View (Simple)",Vizualizare Produs Catalog (Simplu)
"Catalog Product View (Virtual)",Vizualizare Produs Catalog (Virtual)
"Catalog Section",Secțiune Catalog
"Catalog Seo Sitemap (Category List)",Hartă Site Seo Catalog (Listă Categorii)
"Catalog Seo Sitemap (Category Tree)",Hartă Site Seo Catalog (Arbore Categorii)
"Catalog Seo Sitemap (Common)",Hartă Site Seo Catalog (Comun)
"Catalog Seo Sitemap (Product List)",Hartă Site Seo Catalog (Listă Produse)
"Catalog URL Rewrites",Rescrieri URL Catalog
"Catalog product custom option values API",API valori opțiune personalizată produs catalog
"Catalog product custom options API",API opțiuni personalizate produs catalog
"Catalog, Search","Catalog, Căutare"
"Categories",Categorii
"Categories Sitemap",Hartă Site Categorii
"Category",Categorie
"Category API",API Categorie
"Category Data",Date Categorie
"Category Flat Data",Date Liniare Categorie
"Category Link Block Template",Șablon Bloc Legătură Categorie
"Category Link Inline Template",Șablon Înlinie Legătură Categorie
"Category Products",Produse Categorie
"Category Top Navigation",Navigație Top Categorie
"Category URL Suffix",Sufix URL Categorie
"Category attributes API",API atribute categorie
"Category move error",Eroare la mutarea categoriei
"Category move error %s",Eroare mutare categorie %s
"Category move operation is not possible: parent category is equal to child category.",Operație mutare categorie nu e posibilă: categoria părinte este egală cu categoria copil.
"Category move operation is not possible: the current category was not found.",Operație mutare categorie nu e posibilă: categoria curentă nu a fost găsită.
"Category move operation is not possible: the new parent category was not found.",Operație mutare categorie nu e posibilă: categoria părinte nouă nu a fost găsită.
"Category must be an instance of Mage_Catalog_Model_Category.",Categoria trebuie să fie instanță de Mage_Catalog_Model_Category.
"Center",Centrat
"Change",Schimbare
"Change or Retrieve attribute store view",Schimbare sau Recuperare atribut vitrină
"Change status",Schimbare stare
"Check items to add to the cart or",Verifică articolele de adăugat în coș sau
"Choose an Option...",Alegeți o Opțiune...
"Clear All",Ștergere Tot
"Clear Price",Curățare Preț
"Click for price",Click pentru preț
"Close Window",Inchidere Fereastră
"Collapse All",Reducere Tot
"Comma-separated.",Separate de virgulă.
"Comparable",Comparabil
"Comparable on Front-end",Comparabil pe Front-End
"Comparable on the Frontend",Comparabil pe Interfața Utilizator
"Compare",Comparare
"Compare Products",Comparare Produse
"Conditions Combination",Combinație Condiții
"Configurable Product",Produs Configurabil
"Configurable Product Settings",Setări Produse Configurabile
"Configure Product",Configurare Produs
"Continue",Continuare
"Copy From Configurable",Copiere de la Configurabil
"Country/State",Țară/Județ
"Create",Creare
"Create (Upload)",Creare (Încărcare)
"Create Empty",Creare Gol
"Create Permanent Redirect for URLs if URL Key Changed",Creare Redirecționare Permanentă pentru URL-uri dacă Cheia URL s-a Schimbat
"Create Permanent Redirect for old URL",Creare Redirecționare Permanentă pentru URL vechi
"Create Product Settings",Setări Creare Produs
"Create Simple Associated Product",Creare Produs Asociat Simplu
"Create attribute set based on another set",Creare set atribute pe baza altui set
"Create new attribute",Creare Atribut Nou
"Create new category",Creare categorie nouă
"Create new product",Creare produs nou
"Cross-sells",Vânzări Încrucișate
"Currently Shopping by:",Momentan Cumpărați după:
"Custom Design",Aspect Personalizat
"Custom Options",Opțiuni Personalizate
"Custom options",Opțiuni Personalizate
"Customer Group",Grup Clienți
"Customers Reviews",Recenzii Clienți
"Customers Tagged Product",Produs Etichetat de Client
"Data Type for Saving in Database",Tip Date pentru Salvare în Baza de Date
"Date & Time Custom Options",Opțiuni Personalizate Dată & Timp
"Date Fields Order",Ordine Câmpuri Date
"Date Subscribed",Dată Înscriere
"Datetime",DatăTimp
"Decimal",Zecimal
"Declare attribute value saving scope",Declarare acoperire salvare valoare atribut
"Default ""What's This"" Text Message","Default ""What's This"" Text Message"
"Default Popup Text Message",Mesaj Text Popup Implicit
"Default Price",Preț implicit
"Default Price Navigation Step",Pas Navigație Preț Implicit
"Default Qty",Cant. Implicită
"Default Values",Valori Implicite
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").",Definește acoperirea valutei de bază ("Setare Valută" > "Opțiuni Valută" > "Valuta de Bază").
"Delete",Ștergere
"Delete Attribute",Ștergere Atribut
"Delete Attribute Set",Ștergere Set Atribute
"Delete Category",Ștergere Categorie
"Delete Group Price",Ștergere Preț Grup
"Delete Option",Ștergere Opțiune
"Delete Row",Ștergere Rând
"Delete Search",Ștergere Căutare
"Delete Selected Group",Ștergere Grup Selectat
"Delete Tier",Ștergere Nivel
"Delete attribute",Ștergere Atribut
"Delete category",Ștergere Categorie
"Delete product",Ștergere produs
"Depends on design theme",Depinde de tema aspectului
"Design",Aspect
"Details",Detalii
"Disabled",Dezactivat
"Disallowed file type.",Tip fișier nepermis.
"Display Actual Price",Afișare Preț Real
"Display Page Control",Afișare Control Pagină
"Display Price Interval as One Price",Afișare Interval Preț ca Un Preț
"Display Product Count",Număr Produse Afișate
"Display Type",Afișare Tip
"Display in Suggested Terms",Afișare în Termenii Sugerați
"Double click on a group to rename it",Dublu-click pe un grup pentru a-l redenumi
"Double click on above image to view full picture",Dublu-click pe imaginea de mai sus pentru a o vizualiza în întregime
"Downloadable Information",Informație Descărcabilă
"Duplicate",Duplicat
"Duplicate amount found.",Sumă duplicat găsită.
"Duplicate website group price customer group.",Grup clienți preț grup site duplicat.
"Duplicate website tier price customer group and quantity.","Duplicat site, nivel preț, grup clienți și cantitate."
"Duplicate website, country and state tax found.","Duplicat site, țară și taxă găsite."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.",Ex. {{cale media="cale/către/imagine.jpg"}} {{cale temă="cale/către/pictură.gif"}}. Directivele de parcurgere dinamică afectează performanța catalogului.
"Edit",Modificare
"Edit Attribute Set '%s'",Modificare Set Atribute '%s'
"Edit Product Attribute",Modificare Atribut Produs
"Edit Product Attribute ""%s""",Modificare Atribut Produs "%s"
"Edit Search",Modificare Căutare
"Edit Search '%s'",Modificare Căutare '%s'
"Edit Set Name",Modificare Nume Set
"Email",E-mail
"Email to a Friend",Trimitere E-mail Prieten
"Empty",Gol
"Enable MAP",Activare PMP
"Enable Qty Increments",Activare Incrementare Cant.
"Enable WYSIWYG",Activare WYSIWYG
"Enable for reindexing a big number of SKUs.",Activare pentru reindexarea unui număr mare de coduri produs.
"Enabled",Activat
"Error during retrieval of option value: %s",Eroare la recuperarea valorii opțiunii: %s
"Exclude",Excludere
"Expand All",Extindere Tot
"Failed",Eșuat
"Failed to copy file %s. Please, delete media with non-existing images and try again.",Eșec la copierea fișierului %s. Ștergeți media cu imagini non-existente și încercați din nou.
"Failed to move file: %s",Mutare fișier eșuată: %s
"Feature Products",Recomandare Produse
"Field is not complete",Câmpul nu e complet
"File options format is not valid.",Formatul opțiunilor de fișier nu e valid.
"File upload failed",Încărcare fișier eșuată
"Filter model name must be declared.",Numele modelului de filtru trebuie declarat.
"Filter must be an object. Please set correct filter.",Filtrul trebuie să fie obiect. Setați filtrul corect.
"Filterable (no results)",Filtrabil (fără rezultate)
"Filterable (with results)",Filtrabil (cu rezultate)
"First Name",Prenume
"Fixed",Fix
"For internal use.",Pentru uz intern.
"For the last time placed.",Pentru ultima plasare.
"Frontend",Interfață Utilizator
"Frontend Model",Model Interfață Utilizator
"Frontend Properties",Proprietăți Interfață Utilizator
"Gallery",Galerie
"General Information",Informații Generale
"Get full information about attribute with list of options",Obținere informații complete despre atribut împreună cu lista de opțiuni
"Get full information about custom option in product",Obținere informații complete despre opțiunea personalizată în produs
"Get list of available custom option types",Obținere listă de tipuri disponibile de opțiuni personalizate
"Get list of non-default attributes by product type and attributes set",Obținere listă de atribute non-implicite după tipul produsului și setul de atribute
"Get list of possible attribute types",Obținere listă de tipuri posibile de atribut
"Get special price",Obținere preț special
"Global","Global"
"Globally Editable",Editabil Global
"Go to Home Page",Mergeți la Pagina Principală
"Grid",Grilă
"Group add",Adăugare grup
"Group remove",Eliminare grup
"Grouped Product",Produs Grupat
"Groups",Grupuri
"Home",Pagina Principală
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Dacă e gol, Numele de Categorie va fi utilizat"
"If empty, the Product Name will be used","Dacă e gol, Numele de Produs va fi utilizat"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.",Dacă nu specificați o valoare opțiune pentru o vitrină specifică atunci valoarea (Admin) implicită va fi folosită
"Image",Imagine
"Image content is not valid base64 data.",Conținutul imaginii nu reprezintă date valide baza64.
"Image does not exist.",Imaginea nu există.
"Image file was not found.",Fișierul imagine nu a fost găsit.
"Image type and information need to be specified for each store view.",Tipul imaginii și informațiile trebuie specificate pentru fiecare vitrină în parte.
"In Cart",În Coș
"In Stock",În Stoc
"In stock",În Stoc
"Incl. Tax",Cu Taxe
"Index product and categories URL rewrites",Indexare rescrieri URL pentru produse și categorii
"Index product attributes for layered navigation building",Indexare atribute produse pentru construirea navigației stratificate
"Index product prices",Indexare prețuri produse
"Indexed category/products association",Indexare asociere categorie/produse
"Info",Informații
"Info Column Options Wrapper",Wrapper Opțiuni Coloană Info
"Input Type",Tip Input
"Integer",Întreg
"Interval Division Limit",Limită Împărțire Interval
"Invalid Tier Prices",Prețuri Nivele Invalide
"Invalid attribute %s",Atribut invalid %s
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opțiune atribut specificată pentru atributul %s (%s) invalidă, sărire peste înregistrare."
"Invalid attribute set specified, skipping the record.","Set atribute specificat invalid, sărire peste înregistrare."
"Invalid block: %s.",Bloc invalid: %s.
"Invalid category IDs.",ID-uri categorie invalide.
"Invalid category.",Categorie invalidă.
"Invalid image file type.",Tip fișier imagine invalid.
"Invalid image type.",Tip imagine invalid.
"Invalid option ID specified for %s (%s), skipping the record.","ID opțiune specificat pentru %s (%s) invalid, sărire peste înregistrare."
"Invalid product type specified, skipping the record.","Tip produs specificat invalid, sărire peste înregistrare."
"Invalid store specified",Magazin specificat invalid
"Invalid store specified, skipping the record.","Magazin specificat invalid, sărire peste înregistrare."
"Invalid tier prices. The product is not associated to the requested website.",Prețuri pe nivele invalide. Produsul nu e asociat cu website-ul solicitat.
"Inventory",Inventar
"Is Default",Este Implicit
"Is Required",Este Necesar
"Items %s to %s of %s total",Articolele de la %s până la %s din %s în total
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.",Articolele care nu vreți să apară în catalog sau în rezultatele căutărilor trebuie sa aibă starea 'Dezactivat' în magazinul dorit.
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.",Articolele care nu vreți să apară în catalog sau în rezultatele căutărilor trebuie sa aibă starea 'Dezactivat' în magazinul dorit.
"Keep your eyes open for our special Back to School items and save A LOT!",Fiți pe fază după articolele speciale Înapoi la Școală și economisiți ENORM!
"Label",Etichetă
"Last Name",Nume
"Last Notification",Ultima Notificare
"Layered Navigation",Navigație Stratificată
"Learn More",Aflați Mai Multe
"Line %d, Email: %s","Linie %d, E-mail: %s"
"Line %d, SKU: %s","Linie %d, COD: %s"
"Link (Related, Up sell, Cross sell)","Legătură(Asociat, Vânzare Imbunătățită, Vânzare Încrucișată)"
"Link product does not exist.",Produs legătură inexistent.
"Link to a Specified Category",Legătură către Categorie Specifică
"Link to a Specified Product",Legătură către Produs Specific
"List",Listă
"List Mode",Mod Listă
"List of Products that are set as New",Listă Produse setate ca Noi
"List of types",Listă tipuri
"Manage Attribute Sets",Gestionare Seturi Atribute
"Manage Attributes",Gestionare Atribute
"Manage Catalog Categories",Gestionare Categorii Catalog
"Manage Categories",Gestionare Categorii
"Manage Label / Options",Gestionare Etichete / Opțiuni
"Manage Options (values of your attribute)",Gestionare Opțiuni (valori ale atributelor)
"Manage Product Attributes",Gestionare Atribute Produs
"Manage Product Sets",Gestionare Seturi Produs
"Manage Products",Gestionare Produse
"Manage Stock",Gestionare Stoc
"Manage Titles (Size, Color, etc.)","Gestionare Titluri (Mărime, Culoare, etc.)"
"Max Characters",Max Caractere
"Maximal Depth",Adâncime Maximă
"Maximum Image Size",Dimensiune Maximă Imagine
"Maximum Number of Price Intervals",Număr Maxim de Intervale Preț
"Maximum Qty Allowed in Shopping Cart",Cant. Maximă Permisă în Coș Cumpărături
"Maximum allowed image size for '%s' is %sx%s px.",Dimensiunea imagine maximă permisă pentru '%s' este %sx%s px.
"Maximum image height",Înălțime Maximă Imagine
"Maximum image width",Lățime Maximă Imagine
"Maximum number of characters:",Număr maxim de caractere:
"Maximum number of price intervals is 100",Numărul maxim de intervale de preț e 100
"Media Image",Imagine Media
"Minimum Advertised Price",Preț Minim Promovat
"Minimum Lines per Page",Nr. Minim Linii pe Pagină
"Minimum Qty Allowed in Shopping Cart",Cant Minimă Permisă în Coș Cumpărături
"Minimum Qty for Item\'s Status to be Out of Stock",Cant Minimă pentru ca Produsul să fie Stoc Epuizat
"Missing SKU, skipping the record.","COD Lipsă, sărire peste înregistrare."
"More Views",Mai Multe Vizualizări
"Move",Mutare
"Move category in tree",Mutare categorie în arbore
"Multi update product",Actualizare multiplă produs
"Must be in the allowed values list.",Trebuie să fie în lista valorilor permise.
"N/A",Indisponibil
"Name",Nume
"Name in %s",Nume În %s
"New Product",Produs Nou
"New Product Attribute",Atribut Produs Nou
"New Products",Produse Noi
"New Products Grid Template",Șablon Grilă Produse Noi
"New Products List Template",Șablon Listă Produse Noi
"New Root Category",Categorie Rădăcină Nouă
"New Search",Căutare Nouă
"New Set Name",Nume Set Nou
"New Subcategory",Subcategorie Nouă
"New products",Produse Noi
"Next",Următorul
"No",Nu
"No image",Fără imagine
"No layout updates",Nicio actualizare de schemă
"No options of this product are available.",Nicio opţiune a acestui produs nu este disponibilă.
"No product collections found.",Nicio colecție de produse găsită.
"None",Nimic
"Not Visible Individually",Ne-vizibil Individual
"Notify Low Stock RSS",Notificare RSS Stoc Limitat
"Notify for Quantity Below",Notificare Cantitate Subcategorie
"Number of Products per Page",Număr de Produse per Pagină
"Number of Products to Display",Număr de Produse de Afișat
"Number of Uses",Număr de Utilizări
"Number of results",Număr de rezultate
"Number of results (For the last time placed)",Număr de rezultate (Pentru ultima plasare)
"OK","OK"
"OR",sau
"Old Price:",Preț Vechi:
"On Gesture",La Gest
"Option validation failed to add product to cart.",Validare opțiune eșuată pentru adăugarea produsul în coș.
"Option values",Valori Opțiune
"Option:",Opțiune:
"Options",Opțiuni
"Options Control",Control Opțiuni
"Options is required",Opțiunile sunt obligatorii
"Our customer service is available 24/7. Call us at (555) 555-0123.",Serviciul clienți este disponibil 24/7. Sunați-ne la (555) 555-0123.
"Out of Stock",Stoc Epuizat
"Out of stock",Stoc epuizat
"PM","PM"
"Page Title Separator",Separator Titlu Pagină
"Parent Category",Categorie Părinte
"Pending",În așteptare
"Pending Reviews RSS",RSS Recenzii în așteptare
"Percentage",Procentaj
"Please add rows to option.",Adăugați rânduri la opțiune.
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.",Aveți grijă deoarece atunci când faceți click pe rând se vor încărca datele pachetului din fișierul selectat și toate datele nesalvate din formular vor fi pierdute.
"Please click on the Close Window button if it is not closed automatically.",Faceți click pe butonul Închidere Fereastră dacă nu se închide automat.
"Please enter a new group name",Introduceți un nou nume de grup
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>",Reîmprospătați "Rescrieri URL Catalog" și "Atribute Produs" în Sistem -&gt; <a href="%s">Gestionare Indecși</a>
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>",Reîmprospătați "Rescrieri URL Catalog" și "Atribute Produs" în Sistem -> <a href="%s">Gestionare Indecși</a>
"Please refresh ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>",Reîmprospătați "Atribute Produs" în Sistem -&gt; <a href="%s">Gestionare Indecși</a>
"Please select a static block ...",Selectați un bloc static ...
"Please select items.",Selectați articole.
"Please select one or more attributes.",Selectați unul sau mai multe atribute.
"Please select product(s).",Selectați produs(e)
"Please select products for attributes update",Selectați produse pentru actualizare atribute
"Please set up merge date/time",Setați îmbinarea dată/timp
"Please set up merge date/time later then present date",Setați îmbinarea dată/timp mai târziu decât data curentă
"Please specify date required option(s).",Specificați opțiunile obligatorii pentru dată.
"Please specify the number of products, that will not be divided into subintervals.","Specificați numărul de produse, care va fi divizat în subintervale."
"Please specify the product required option(s)",Specificați opțiunea(ile) necesare pentru produs
"Please specify the product required option(s).",Specificați opțiunea(ile) necesare pentru produs.
"Please specify the product\'s option(s).",Specificați opțiunea(ile) produsului.
"Please specify the product\'s required option(s).",Specificați opțiunea(ile) obligatorii ale produsului.
"Please specify the quantity of product(s).",Specificați cantitatea produsului(elor).
"Please specify time required option(s).",Specificați opțiunea(ile) obligatorii de timp.
"Please wait...",Asteptați...
"Position",Poziție
"Position in Layered Navigation",Poziție în Navigație Stratificată
"Position of attribute in layered navigation block",Poziția atributului în blocul de navigație stratificată
"Prev",Prec
"Previous",Precedent
"Price",Preț
"Price Navigation Step Calculation",Calculare Pas Navigație Preț
"Price Type",Tip Preţ
"Price is not available",Preț indisponibil
"Price values for options should be specified in system base currency.",Valorile prețului trebuie specificate în valuta de bază a sistemului.
"Price:",Preț:
"Price: %s",Preț: %s
"Print This Page",Listare Pagină Curentă
"Product",Produs
"Product API",API Produs
"Product Alerts",Alerte Produs
"Product Attribute",Atribut Produs
"Product Attributes",Atribute Produs
"Product Categories",Categorii Produs
"Product Description",Informații Produs
"Product Extra Info",Informații Extra Produs
"Product Flat Data",Date Simple Produs
"Product ID",ID Produs
"Product Image Placeholders",Înlocuitor Imagine Produs
"Product Image Watermarks",Watermark Imagine Produs
"Product Images",Imagini Produs
"Product Images API",API Imagini Produs
"Product In Websites",Produs În Site-uri
"Product Info Column",Coloană Info Produs
"Product Information",Informații Produs
"Product Link Block Template",Șablon Bloc Legătură Produs
"Product Link Inline Template",Șablon Înlinie Legătură Produs
"Product Listing Sort by",Listare Produse Sortată după
"Product Name",Nume Produs
"Product Prices",Prețuri Produse
"Product Reviews",Recenzii Produs
"Product Tags",Etichete Produs
"Product Tier Price API",API Nivel Preț Produs
"Product Type",Tip Produs
"Product URL Suffix",Sufix URL Produs
"Product View Extra Hint",Sugestie Suplimentară Vizualizare Produs
"Product attribute sets API",API Set Atribute Produs
"Product attributes API",API atribute produs
"Product collection expected.",Colecție produs așteptată.
"Product is not loaded",Produsul nu e încărcat
"Product links API (related, cross sells, up sells)","API legături produs (asociat, vânzări încrucișate, vânzări îmbunătățite)"
"Product types API",API tipuri produs
"Product with this combination of attributes already associated to configurable.",Un produs cu această combinație de atribute este deja asociat ca și configurabil.
"Products",Produse
"Products Comparison List",Listă Comparație Produse
"Products Information",Informații Produse
"Products Reviews",Recenzii Produse
"Products Sitemap",Harta site Produse
"Products only",Doar produse
"Products per Page on Grid Allowed Values",Produse pe Pagină la Valorile Permise Grilă
"Products per Page on Grid Default Value",Produse pe Pagină la Valoarea Implicită Grilă
"Products per Page on List Allowed Values",Produse pe Pagină la Valorile Permise Listă
"Products per Page on List Default Value",Produse pe Pagină la Valoarea Implicită Listă
"Properties",Proprietăți
"Qty",Cant.
"Qty Increments",Pas Incrementare Cant.
