" Copy"," Copie"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Ne pare rău, însă administratorul a blocat abonarea pentru vizitatori. Vă rugăm <a href=""%s"">să vă înregistrați</a>."
"Start","Start"
"Status",Stare
"Store",Magazin
"Store View",Vitrină
"Subject",Subiect
"Submit",Trimitere
"Subscribe",Abonați-vă
"Subscribed",Abonat
"Subscriber",Abonat
"Subscribers",Abonați
"Subscribers From",Abonați De La
"Subscription Options",Opțiuni Abonament
"Success Email Sender",Expeditor E-mail Succes
"Success Email Template",Șablon E-mail Succes
"Template Content",Conținut Șablon
"Template Information",Informații Șablon
"Template Name",Nume Șablon
"Template Styles",Stiluri Șablon
"Template Subject",Subiect Șablon
"Template Type",Tip Șablon
"Thank you for your subscription.",Vă mulțumim pentru abonare.
"The subscription has been removed.",Abonarea a fost eliminată.
"The subscription has been saved.",Abonarea a fost salvată.
"There was a problem with the subscription.",A existat o problemă cu abonarea.
"There was a problem with the subscription: %s",Există o problemă cu abonarea: %s
"There was a problem with the un-subscription.",Există o problemă cu dezabonarea.
"This email address is already assigned to another user.",Această adresă de e-mail este deja atribuită unui alt utilizator.
"Type",Tip
"Unconfirmed",Neconfirmat
"Unsubscribe",Dezabonare
"Unsubscribe Selected",Dezabonare Selectați
"Unsubscribed",Dezabonat
"Unsubscription Email Sender",Expeditor E-mail Dezabonare
"Unsubscription Email Template",Șablon E-mail Dezabonare
"View Newsletter",Vizualizare Buletin
"Website",Site
"You have been unsubscribed.",Ați fost dezabonat.
"Your subscription has been confirmed.",Abonarea dvs. a fost confirmată.
