" or ",sau
"An error occurred while deleting the address.",Eroare apărută la ștergerea adresei.
"An error occurred while retrieving the option value: %s.",Eroare apărută la recuperarea valorii opțiunii: %s.
"An error occurred while saving the collection, aborting. Error: %s","Eroare apărută la salvarea colecției, renunțare. Eroare: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","ID opțiune invalid specificat pentru %s (%s), trecere peste înregistrare."
"Approved",Aprobat
"Are you sure that you want to remove this item?",Sunteți sigur că vreți să ștergeți acest articol?
"Are you sure you want to cancel adding of this address?",Sunteți sigur că vreți să anulați adăugarea acestei adrese?
"Are you sure you want to delete this address?",Sunteți sigur că vreți să ștergeți această adresă?
"Are you sure?",Sunteți sigur?
"Array of Entity collections is expected.",Matrice de colecții Entitate așteptată.
"Assign a Customer Group",Atribuire la Grup Clienți
"Average Sale",Medie Vânzări
"Back",Înapoi
"Back - link to the previously viewed page",Înapoi - legătură spre pagina vizualizată anterior
"Back to Login",Înapoi la Logare
"Bad request.",Cerere greșită.
"Based on the VAT ID, the customer would belong to the Customer Group %s.","Pe baza ID-ului TVA, clientul ar aparține Grupului de Clienți %s."
"Bill to Name",Facturare pe Numele
"Bought From",Cumpărat De La
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont în cadrul magazinului, veți putea parcurge mai rapid procesul de finalizare a comenzilor, veți avea posibilitatea de a stoca mai multe adrese de expediere, de a vedea și urmări comenzile și multe altele."
"CSV","CSV"
"Cancel",Anulare
"Cannot save a new password.",Nu se poate salva o parolă nouă.
"Cannot save address.",Nu se poate salva adresa.
"Cannot save the customer.",Nu se poate salva clientul.
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.",Nu se pot partaja conturile clientului global deoarece unele conturi client cu aceleași adrese e-mail există pe site-uri multiple și nu pot fi îmbinate.
"Change Account Password",Schimbare Parolă Cont
"Change Billing Address",Schimbare Adresă Facturare
"Change Password",Schimbare Parolă
"Change Shipping Address",Schimbare Adresă Expediere
"City",Oraș
"Company",Firma
"Config",Configurație
"Configure","Configure"
"Confirm New Password",Confirmare Parolă Nouă
"Confirm Password",Confirmare Parolă
"Confirmation Link Email",E-mail Legătură Confirmare
"Confirmed",Confirmat
"Contact Information",Informații Contact
"Continue Shopping",Continuare Cumpărături
"Country",Țara
"Create",Creare
"Create New Account Options",Opțiuni Creare Cont Nou
"Create New Customer Account",Creare Cont Client Nou
"Create Order",Creare Comandă
"Create an Account",Creare Cont
"Create customer",Creare client
"Create customer address",Creare adresă client
"Current Password",Parolă Actuală
"Customer",Client
"Customer API",API Client
"Customer Account Edit Form",Formular Editare Cont Client
"Customer Account Login Form",Formular Logare Cont Client
"Customer Account Logout Success",Succes Delogare Cont Client
"Customer Account Registration Form",Formular Înregistrare Cont Client
"Customer Addresses",Adrese Client
"Customer Configuration",Configurație Client
"Customer Forgot Password Form","Customer Forgot Password Form"
"Customer Group",Grup Clienți
"Customer Groups",Grupuri Clienți
"Customer Information",Informații Client
"Customer Login",Autentificare Client
"Customer My Account (All Pages)",Client Contul Meu (Toate Paginile)
"Customer My Account Address Book",Client Contul Meu Agendă
"Customer My Account Address Edit Form",Client Contul Meu Formular Editare Adresă
"Customer My Account Dashboard",Client Contul Meu Pagina Principală
"Customer Since",Client Din
"Customer View",Vizualizare Client
"Customer collection expected.",Colecție clienți așteptată.
"Customer email is required",E-mail-ul clientului e necesar
"Customer website ID must be specified when using the website scope",ID website client trebuie specificat la utilizarea acoperirii website
"Customer will stay on the current page if ""No"" is selected.",Clientul va rămâne pe pagina curentă dacă "Nu" e selectat.
"Customers",Clienți
"Customers Only",Doar Clienții
"Customers Section",Secțiune Clienți
"DD","DD"
"Date",Data
"Date Added",Adăugat la Data
"Date of Birth",Data Nașterii
"Day",Ziua
"Days in Wishlist",Zile în Lista de Dorințe
"Default Addresses",Adrese Implicite
"Default Billing Address",Adresă Facturare Implicită
"Default Email Domain",Domeniu E-mail Implicit
"Default Group",Grup Implicit
"Default Shipping Address",Adresă Expediere Implicită
"Default Value for Disable Automatic Group Changes Based on VAT ID",Valoare Implicită pentru Dezactivarea Schimbărilor Automate de Grup pe Baza ID-ului TVA
"Default Welcome Email",E-mail Bun Venit Implicit
"Delete",Ștergere
"Delete Address",Ștergere Adresă
"Delete Customer",Ștergere Client
"Delete Customer Group",Ștergere Grup Clienți
"Delete customer",Ștergere client
"Delete customer address",Ștergere adresă client
"Deleted Stores",Ștergere Magazine
"Details",Detalii
"Disabled",Dezactivat
"Edit",Modificare
"Edit Account Info",Modificare Info Cont
"Edit Account Information",Modificare Informații Cont
"Edit Address",Modificare Adresă
"Edit Address Entry",Modificare Intrare Adresă
"Edit Customer Group ""%s""",Modificare Grup Clienți %s
"Edit Customer Groups",Modificare Grupuri Clienți
"Edit Customer's Address",Modificare Adresă Client
"Edit Group",Modificare Grup
"Edit Newsletters",Modificare Buletine
"Email",E-mail
"Email Address",Adresa E-mail
"Email Sender",Expeditor E-mail
"Email:","Email:"
"Enable Automatic Assignment to Customer Group",Activare Atribuire Automată la Grupuri Clienți
"Entity collection is expected.",Colecție entități așteptată.
"Excel XML",XML Excel
"Failed to confirm customer account.",Eșec confirmare cont client.
"Fax","Fax"
"First Name",Prenume
"Forgot Email Template",Șablon E-mail Uitare
"Forgot Password",Parola Uitată
"Forgot Your Password",Ați uitat parola
"Forgot Your Password?",Ați uitat parola?
"Forgot and Remind Email Sender",Expeditor E-mail Uitat și Reamintit
"Form Fields Before",Câmpuri Formular Înainte
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.",De la Panoul de Control al Contului Meu puteți vedea un instantaneu al activității dvs. recente și puteți actualiza informațiile contului. Alegeți o legătură de mai jos pentru a vizualiza sau edita informațiile.
"Gender",Sexul
"Gender is required.",Sexul e câmp obligatoriu.
"General Subscription",Abonare Generală
"Generate Human-Friendly Customer ID",Generare ID Client Human-Friendly
"Global","Global"
"Group",Grup
"Group Information",Informații Grup
"Group Name",Nume Grup
"Group for Invalid VAT ID",Grup pentru ID TVA Invalid
"Group for Valid VAT ID - Domestic",Grup pentru ID TVA Valid - Intern
"Group for Valid VAT ID - Intra-Union",Grup pentru ID TVA Valid - Intra-Uniune
"Guest",Vizitator
"HTML","HTML"
"Hello, %s!","Bună, %s!"
"ID","ID"
"IP Address",Adresa IP
"If you believe this is an error, please contact us at %s","Dacă sunteți de părere că asta e o eroare, contactați-ne la %s"
"If you have an account with us, please log in.","Dacă sunteți deja înregistrat, vă rugăm să vă autentificați."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opțiune atribut specificată invalidă pentru atributul %s (%s), sărire peste înregistrare."
"Invalid attribute set specified, skipping the record.","Set atribute specificat invalid, sărire peste înregistrare."
"Invalid billing address for (%s)",Adresă facturare invalidă pentru (%s)
"Invalid current password",Parolă actuală invalidă
"Invalid customer data",Date client invalide
"Invalid email address ""%s"".",Adresă e-mail invalidă "%s".
"Invalid email address.",Adresă e-mail invalidă.
"Invalid login or password.",Logare sau parolă invalidă.
"Invalid password reset token.",Token resetare parolă invalid.
"Invalid shipping address for (%s)",Adresă expediere invalidă pentru (%s)
"Invalid store specified, skipping the record.","Magazin specificat invalid, sărire peste înregistrare."
"Invalid website, skipping the record, line: %s","Website invalid, sărire peste înregistrare, linia: %s"
"Last Activity",Ultima Activitate
"Last Date Subscribed",Ultima Dată Abonare
"Last Date Unsubscribed",Ultima Dată Dezabonare
"Last Name",Nume
"Last URL",Ultimul URL
"Leave empty for default (15 minutes).",Lăsați liber pentru implicit (15 minute).
"Leave empty for default (2). Valid range: 1-4",Lăsați liber pentru implicit (2). Interval valid: 1-4
"Lifetime Sales",Vânzări Totale
"Log In",Logare
"Log Out",Delogare
"Login",Logare
"Login Information",Informații Logare
"Login Options",Opțiuni Logare
"Login and password are required.",Logarea și parola sunt obligatorii.
"Login or Create an Account",Logare sau Creare Cont
"MM","MM"
"Manage Addresses",Gestionare Adrese
"Manage Customers",Gestionare Clienți
"Maximum length must be less then %s symbols",Lungimea maximă trebuie să fie mai puțin de %s simboluri
"Missing email, skipping the record, line: %s","E-mail lipsă, sărire peste înregistrare, linia: %s"
"Missing email, skipping the record.","E-mail lipsă, sărire peste înregistrare."
"Missing first name, skipping the record, line: %s","Prenume lipsă, sărire peste înregistrare, linia: %s"
"Missing firstname, skipping the record.","Prenume lipsă, sărire peste înregistrare."
"Missing last name, skipping the record, line: %s","Nume lipsă, sărire peste înregistrare, linia: %s"
"Missing lastname, skipping the record.","Nume lipsă, sărire peste înregistrare."
"Missing website, skipping the record, line: %s","Website lipsă, sărire peste înregistrare, linia: %s"
"Month",Luna
"My Account",Contul Meu
"My Account Wrapper",Wrapper Contul Meu
"My Dashboard",Panoul Meu de Control
"My Orders",Comenzile Mele
"Name",Nume
"Name and Address Options",Opțiuni Nume și Adresă
"Never",Niciodată
"New Address",Adresă Nouă
"New Address Entry",Intrare Adresă Nouă
"New Customer",Client Nou
"New Customer Address",Adresă Client Nouă
"New Customer Group",Grup Clienți Nou
"New Customer Groups",Grupuri Clienți Noi
"New Customers",Client Nou
"New Group",Grup Nou
"New Password",Parolă Nouă
"New account",Cont nou
"New account confirmation key",Cheie confirmare cont nouă
"New account confirmed",Cont nou confirmat
"New password field cannot be empty.",Câmpul parolă nouă nu poate fi gol.
"Newsletter",Buletin
"Newsletter Finish",Final Buletin
"Newsletter Information",Informații Buletin
"Newsletter Received",Buletin Primit
"Newsletter Start",Început Buletin
"Newsletter Subscription",Abonamente Buletin
"Newsletters",Buletine
"No Items Found",Niciun Articol Găsit
"No Newsletter Found",Niciun Buletin Găsit
"No customer collections found",Nicio colecție client găsită
"No item specified.",Niciun articol specificat.
"Not Sent",Netrimis
"Not confirmed, can login","Neconfirmat, logare permisă"
"Not confirmed, cannot login","Neconfirmat, logare nepermisă"
"Number of Lines in a Street Address ","Număr de Linii într-o Adresă Stradală "
"Offline",Off-line
"Online",On-line
"Online Customers",Clienți On-line
"Online Customers Options",Opțiuni Clienți On-line
"Online Minutes Interval",Interval Minute On-line
"Order #",Comanda #
"Order Total",Total Comandă
"Orders",Comenzi
"PDF","PDF"
"Password",Parola
"Password Management",Gestionare Parole
"Password Options",Opțiuni Parole
"Password forgotten",Parolă uitată
"Password:","Password:"
"Paused",În pauză
"Pending",În așteptare
"Per Website",Pe Website
"Personal Information",Informații Personale
"Please enter a number 1 or greater in this field.",Introduceți un număr mai mare sau egal cu 1 în acest câmp.
"Please enter a valid date between %s and %s at %s.",Introduceți o dată validă între %s și %s la %s.
"Please enter a valid date equal to or greater than %s at %s.",Introduceți o dată validă mai mare sau egală cu %s la %s.
"Please enter a valid date less than or equal to %s at %s.",Introduceți o dată validă mai mică sau egală cu %s la %s.
"Please enter the city.",Introduceți orașul.
"Please enter the country.",Introduceți țara.
"Please enter the first name.",Introduceți prenumele.
"Please enter the last name.",Introduceți numele.
"Please enter the state/province.",Introduceți județul.
"Please enter the street.",Introduceți strada.
"Please enter the telephone number.",Introduceți numărul de telefon.
"Please enter the zip/postal code.",Introduceți codul postal.
"Please enter your email address below. You will receive a link to reset your password.",Introduceți-vă adresa de e-mail mai jos. Veți primi o legătură de resetare a parolei.
"Please enter your email below and we\'ll send you confirmation link for it.",Introduceți-vă adresa de e-mail mai jos și vă vom trimite legătura de confirmare pentru ea.
"Please enter your email.",Introduceți adresa dvs. de e-mail.
"Please make sure your passwords match.",Asigurați-vă că parolele dvs. se potrivesc.
"Please select a website which contains store view",Selectați un website care conține vitrină
"Please select region, state or province",Selectați județul
"Please, check your email for confirmation key.","Vă rugăm, verificați-vă e-mail-ul pentru cheie de confirmare."
"Prefix Dropdown Options",Opțiuni Dropdown Prefix
"Price",Preț
"Product",Produs
"Product ID",ID Produs
"Product Name",Nume Produs
"Product Reviews",Recenzii Produs
"Product Tags",Etichete Produs
"Purchase On",Achiziție La
"Purchased On",Achiziționat La
"Qty",Cant.
"Recent Orders",Comenzi Recente
"Records for %s store found.",Înregistrări găsite pentru magazinul %s.
"Recovery Link Expiration Period (days)",Perioadă Expirare Legătură Recuperare (zile)
"Redirect Customer to Account Dashboard after Logging in",Redirecționare Client spre Pagina Principală Cont după Logare
"Refunded",Rambursat
"Registered Customers",Clienți Înregistrați
"Remind Email Template",Șablon E-mail Amintire
"Remind Password",Amintire Parolă
"Remove",Ștergere
"Require Emails Confirmation",Cerere Confirmare E-mail-uri
"Reset a Password",Resetarea unei Parole
"Retrieve address data",Recuperare date adresă
"Retrieve address info",Recuperare info adresă
"Retrieve customer addresses",Recuperare adrese client
"Retrieve customer data",Recuperare date client
"Retrieve customer groups",Recuperare grupuri clienți
"Retrieve customer info",Recuperare informații client
"Retrieve customers",Recuperare clienți
"Retrieve your confirmation link here",Recuperați-vă legătura de confirmare aici
"Retrieve your password here",Aflați-vă parola aici
"SKU",Cod produs
"Sales Statistics",Statistici Vânzări
"Save",Salvare
"Save Address",Salvare Adresă
"Save Customer",Salvare Client
"Save Customer Group",Salvare Grup Clienți
"Save Password",Salvare Parolă
"Save and Continue Edit",Salvare și Continuare Editare
"Saved %d record(s)",%d înregistrări salvate
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.",Valori separate prin punct și virgulă (;).<br/>Puneți punct și virgulă la început pentru o primă opțiune goală.<br/>Lăsați liber pentru câmp de text deschis.
"Send Auto-Generated Password",Trimitere Parolă Generată Automat
"Send From",Trimitere De La
"Send Welcome Email",Trimitere E-mail Bun Venit
"Send Welcome Email after Confirmation",Trimitere E-mail de Bun Venit după Confirmare
"Send confirmation link",Trimitere legătură confirmare
"Sending",Se trimite
"Sent",Trimis
"Session Start Time",Timp Începere Sesiune
"Set as Default Billing Address",Setare ca Adresă de Facturare Implicită
"Set as Default Shipping Address",Setare ca Adresă de Expediere Implicită
"Share Customer Accounts",Partajare Conturi Clienți
"Shipped to First Name",Expediat la Prenume
"Shipped to Last Name",Expediat la Nume
"Shipped to Name",Expediat la Numele
"Shopping Cart",Coș Cumpărături
"Shopping Cart - %d item(s)",Coș Cumpărături - %d articol(e)
"Shopping Cart of %1$s - %2$d item(s)",Coș Cumpărături pentru %1$s - %2$d articol(e)
"Show Date of Birth",Afișare Dată Naștere
"Show Gender",Afișare Sex
"Show Middle Name (initial)",Afișare Al 2-lea Prenume (inițiala)
"Show Prefix",Afișare Prefix
"Show Suffix",Afișare Sufix
"Show Tax/VAT Number",Afișare Număr Taxă/TVA
"Show VAT Number on Frontend",Afișare Număr TVA pe Interfața Utilizator
"Sign Up for Newsletter",Abonare Buletin
"Skipping import row, required field ""%s"" is not defined.","Skipping import row, required field ""%s"" is not defined."
"Skipping import row, website ""%s"" field does not exist.","Skipping import row, website ""%s"" field does not exist."
"State/Province",Județ
"Status",Stare
"Store",Magazin
"Store View",Vitrină
"Street Address",Adresă Stradală
"Street Address %s","Street Address %s"
"Subject",Subiect
"Submit",Trimitere
"Subscribe to Newsletter","Subscribe to Newsletter"
"Subscribed to Newsletter?",Abonat la Buletin?
"Suffix Dropdown Options","Suffix Dropdown Options"
"Tag Name",Nume Etichetă
"Tax Calculation Based On","Tax Calculation Based On"
"Tax Class",Clasă Taxare
"Tax/VAT number",Număr Taxă/TVA
"Telephone",Telefon
"Text","Text"
"Text One Line",Text O Linie
"Thank you for registering with %s.",Vă mulțumim pentru înregistrarea pe %s.
"The Date of Birth is required.",Data Nașterii e obligatorie.
"The TAX/VAT number is required.",Numărul Taxă/TVA e obligatoriu.
"The VAT ID entered (%s) is not a valid VAT ID.",ID-ul TVA introdus (%s) nu e un ID TVA valid.
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.",ID-ul TVA introdus (%s) nu e un ID TVA valid. Clientul ar aparține Grupului de Clienți %s.
"The VAT ID is valid. The current Customer Group will be used.",ID-ul TVA e valid. Grupul Clienți curent va fi utilizat.
"The account information has been saved.",Informațiile despre cont au fost salvate.
"The address does not belong to this customer.",Adresa nu aparține acestui client.
"The address has been deleted.",Adresa a fost ștearsă.
"The address has been saved.",Adresa a fost salvată.
"The customer ID and email did not match, skipping the record, line: %s","ID-ul client și email-ul nu s-au potrivit, sărire peste înregistrare, linia: %s"
"The customer does not have default billing address.",Clientul nu are adresă implicită de facturare.
"The customer email (%s) already exists, skipping the record, line: %s","E-mail-ul client (%s) există deja, sărire peste înregistrare, linia: %s"
"The customer group has been deleted.",Grupul de clienți a fost șters.
"The customer group has been saved.",Grupul de clienți a fost salvat.
"The customer is currently assigned to Customer Group %s.",Clientul e momentan atribuit Grupului de Clienți %s.
"The first name cannot be empty.",Prenumele nu poate fi gol.
"The group ""%s"" cannot be deleted",Grupul "%s" nu poate fi șters
"The last name cannot be empty.",Numele nu poate fi gol.
"The minimum password length is %s",Lungimea minimă a parolei este %s
"The password cannot be empty.",Parola nu poate fi goală.
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.",Parola trebuie să aibă minim 6 caractere. Spațiile vor fi ignorate.
"The suffix that goes after name (Jr., Sr., etc.)","Sufixul care vine după nume (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Titlul care vine înaintea numelui (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment",Lista de dorințe a clientului este goală momentan
"There are no items in customer\'s shopping cart at the moment",Momentan nu există articole în coșul de cumpărături al clientului
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Există deja un cont cu această adresă de e-mail. Dacă sunteți sigur că este adresa dvs., <a href=""%s"">click aici</a> pentru a vă primi parola și a vă accesa contul."
"There was an error validating the VAT ID.",A existat o eroare la validarea ID-ului TVA.
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.",A existat o eroare la validarea ID-ului TVA. Clientul ar aparține la Grupul de Clienți %s.
"This account is not confirmed.",Acest cont nu este confirmat.
"This customer email already exists",Acest e-mail client există deja
"This customer has no saved addresses.",Clientul nu are adrese salvate.
"This email does not require confirmation.",Acest e-mail nu necesită confirmare.
"This email will be sent instead of default welcome email, after account confirmation.","Acest e-mail va fi trimis în loc de e-mailul implicit de bun venit, după confirmarea contului."
"This is My Default %s Address",Aceasta este Adresa Mea Implicită %s
"To Cart",Spre Coș
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Pentru a afișa numărul TVA pe interfața utilizator, setați opțiunea Afișare Număr TVA pe Interfața Utilizator pe Da."
"Total","Total"
"Type",Tip
"Unable to save the customer.",Nu se poate salva clientul.
"Unknown",Necunoscut
"Unsubscribe from Newsletter",Dezabonare de la Buletin
"Update",Actualizare
"Update customer address data",Actualizare date adresă client
"Update customer data",Actualizare date client
"Use as My Default %s Address",Utilizare ca Adresa Mea Implicită de %s
"Use as My Default Billing Address",Utilizare ca Adresa Mea Implicită de Facturare
"Use as My Default Shipping Address",Utilizare ca Adresa Mea Implicită de Expediere
"Use as my default billing address",Utilizare ca adresa mea implicită de facturare
"Use as my default shipping address",Utilizare ca adresa mea implicită de expediere
"VAT Number",Număr TVA
"VAT Request Date",Dată Solicitare TVA
"VAT Request Identifier",Identificator Solicitare TVA
"Validate VAT Number",Validare Număr TVA
"Validate on Each Transaction",Validare pe Fiecare Tranzacție
"Validation Error Group",Grup Erori Validare
"View",Vizualizare
"View Order",Vizualizare Comandă
"Visitor",Vizitator
"Visitors Only",Doar Vizitatori
"Website",Site
"Welcome Email",E-mail Bun Venit
"Wishlist",Listă Dorințe
"Wishlist - %d item(s)",Listă Dorințe - %d articol(e)
"Would you like to change the Customer Group for this order?",Ați dori să schimbați Grupul de Clienți pentru această comandă?
"Wrong confirmation key.",Cheie confirmare greșită.
"Wrong customer account specified.",Cont client specificat greșit.
"Wrong email.",E-mail greșit.
"Wrong transactional account email type",Tip e-mail cont tranzacțional greșit
"YYYY",AAAA
"Year",An
"You are currently not subscribed to any newsletter.",Nu sunteți abonat momentan la niciun buletin.
"You are currently not subscribed to our newsletter.",Nu sunteți abonat momentan la buletinul nostru.
"You are currently subscribed to 'General Subscription'.",Sunteți abonat momentan la Buletinul General.
"You are currently subscribed to our newsletter.",Sunteți abonat momentan la buletinul nostru.
"You are now logged out",Acum sunteți delogat
"You have logged out and will be redirected to our homepage in 5 seconds.",V-ați delogat și veți fi redirecționat către pagina principală în 5 secunde.
"You have no additional address entries in your address book.",Nu aveți alte adrese salvate în agendă.
"You have no additional entries in your address book.",Nu aveți alte înregistrări in agendă.
"You have no default billing address in your address book.",Nu aveți o adresă de facturare implicită în agendă.
"You have no default entries in your address book.",Nu aveți nicio înregistrare implicită în agendă.
"You have no default shipping address in your address book.",Nu aveți o adresă de expediere implicită în agendă.
"You have not set a default billing address.",Nu ați setat o adresă de facturare implicită.
"You have not set a default shipping address.",Nu ați setat o adresă de expediere implicită.
"You have placed no orders yet.",Încă nu ați făcut nicio comandă.
"You have placed no products yet.",Încă nu ați adăugat niciun produs.
"You will be charged tax.",Vi se va percepe taxă.
"You will not be charged tax.",Nu vi se va percepe taxă.
"Your Tax ID cannot be validated.",ID-ul dvs. de Taxare nu poate fi validat.
"Your VAT ID was successfully validated.",ID-ul dvs. TVA a fost validat cu succes.
"Your account balance is: %s",Totalul contului dvs. este: %s
"ZIP",Cod Poștal
"ZIP/Post Code",Cod Poștal
"Zip/Postal Code",Cod Poștal
"n/a",indisponibil
"or",sau
"register",înregistrare
