"* Required Fields","* Champs requis"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Mot de passe actuel"
"Customer","Client"
"Customer Addresses","Adresses client"
"Customer Api","Customer Api"
"Customer Configuration","Configuration client"
"Customer Group","Groupe de clients"
"Customer Group was successfully deleted","Groupe de client supprimé avec succès"
"Customer Group was successfully saved","Le groupe de client a été sauvegardé avec succès"
"Customer Groups","Groupes clients"
"Customer Information","Informations client"
"Customer Login","Identifiant client"
"Customer Since","Client depuis le"
"Customer View","Vue client"
"Customer collection expected","Collection de clients attendue"
"Customer doesn't have primary billing address","Le client n'a pas d'adresse de facturation principale"
"Customer email already exists","Le courriel du client existe déjà"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Clients"
"Customers Only","Clients seulement"
"Customers Section","Customers Section"
"DD","DD"
"Date","Date"
"Date Added","Date d'ajout"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Jours dans la liste-cadeaux"
"Default Addresses","Adresses par défaut"
"Default Billing Address","Adresse de facturation par défaut"
"Default Email Domain","Domaine de courriel par défaut"
"Default Group","Groupe par défaut"
"Default Shipping Address","Adresse de livraison par défaut"
"Default Welcome Email","Default Welcome Email"
"Delete","Supprimer"
"Delete Address","Effacer l'adresse"
"Delete Customer","Supprimer le client"
"Delete Customer Group","Supprimer le groupe de clients"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Magasins effacés"
"Details","Détails"
"Disabled","Désactivé"
"Edit","Éditer"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Modifier les informations du compte"
"Edit Address","Modifier l'adresse"
"Edit Address Entry","Modifier la saisie d'adresse"
"Edit Customer Group ""%s""","Éditer le groupe clients ""%s"""
"Edit Customer Groups","Éditer les groupes de client"
"Edit Customer's Address","Éditer l'adresse du client"
"Edit Group","Modifier le groupe"
"Edit Newsletter Subscription","Modifier l'abonnement à l'infolettre"
"Edit Newsletters","Éditer les infolettres"
"Edit Personal Information","Modifier les informations personnelles"
"Email","Courriel"
"Email Address","Adresse courriel"
"Email Sender","Expéditeur du courriel"
"Entity collection is expected","Une collection d'entités est attendue"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option: %s"
"Ext. Price","Supplément"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Fax"
"First Name","Prénom"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Expéditeur du courriel d'oubli"
"Forgot Email Template","Gabarit du courriel d'oubli"
"Forgot Your Password?","Mot de passe oublié ?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Dans votre tableau de bord 'Mon compte', vous pouvez avoir un aperçu de votre activité récente et mettre à jour vos informations de comptes. Sélectionnez un lien ci-dessous pour voir ou modifier les informations."
"General Subscription","Souscription générale"
"Global","Global"
"Go to Address Book","Aller au carnet d'adresses"
"Grand Total","Total"
"Grand Total: %s","Montant global: <strong>%s</strong>"
"Group","Groupe"
"Group ""%s"" can not be deleted","Le groupe ""%s"" ne peut pas être effacé"
"Group Information","Informations du groupe"
"Group Name","Nom de groupe"
"Guest","Invité"
"HTML","HTML"
"Hello, %s!","Bonjour, %s !"
"ID","ID"
"IP Address","Adresse IP"
"If you have an account with us, please log in.","Si vous avez un compte, veuillez vous identifier."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Option spécifiée non valide pour l'attribut %s (%s), enregistrement ignoré"
"Invalid attribute set specified, skipping the record","Jeu d'attributs spécifié non valide, enregistrement ignoré"
"Invalid current password","Mot de passe actuel non valide"
"Invalid customer data","Données client non valides"
"Invalid email address","Adresse courriel non valide"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Identifiant d'option spécifié non valide pour %s (%s), enregistrement ignoré"
"Invalid store specified, skipping the record","Magasin spécifié non valide, enregistrement ignoré"
"Items Order","Ordre des articles"
"Last 5 Orders","5 dernières commandes"
"Last Activity","Dernière activité"
"Last Name","Nom de famille"
"Last Url","Dernière url"
"Last Viewed Items","Derniers articles vus"
"Last date subscribed","Dernière date d'abonnement"
"Last date unsubscribed","Dernière date de désinscription"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Ventes depuis le début"
"Log In","Connexion"
"Log Out","Déconnexion"
"Log in or Create an Account","Log in or Create an Account"
"Login","Se connecter"
"Login Information","Informations de connexion"
"Login and password are required","Identifiant et mot de passe requis"
"Login or Create an Account","Identifiez-vous ou créez un compte"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Gérer les adresses"
"Manage Customers","Gérer les clients"
"Missing email, skipping the record","courriel manquant, enregistrement ignoré"
"Missing firstname, skipping the record","Prénom manquant, enregistrement ignoré"
"Missing lastname, skipping the record","Nom de famille manquant, enregistrement ignoré"
"Month","Month"
"My Account","Mon compte"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Mon tableau de bord"
"My Orders","Mes commandes"
"My Reviews","Mes commentaires"
"My Tags","Mes libellés"
"My Wishlist","Ma Liste-cadeaux"
"Name","Nom"
"Name and Address Options","Name and Address Options"
"Never","Jamais"
"New Address","Nouvelle adresse"
"New Address Entry","Saisie d'une nouvelle adresse"
"New Customer","Nouveau client"
"New Customer Address","Nouvelle adresse client"
"New Customer Group","Nouveau groupe de clients"
"New Customer Groups","Nouveau groupe de clients"
"New Customers","Nouveaux clients"
"New Group","Nouveau groupe"
"New Password","Nouveau mot de passe"
"New account","Nouveau compte"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Infolettre"
"Newsletter Finish","Fin de l'infolettre"
"Newsletter Information","Information infolettre"
"Newsletter Received","Infolettre reçue"
"Newsletter Start","Début de l'infolettre"
"Newsletter Subscription","Abonnement à l'infolettre"
"Newsletters","Infolettres"
"No Items Found","Aucun article trouvé"
"No Newsletter Found","Pas d'infolettre"
"No item specified.","No item specified."
"No product collections found","Aucune collection de produits trouvée"
"Not Sent","Pas envoyé"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Déconnecté"
"Online","En ligne"
"Online Customers","Clients en ligne"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","N° de commande"
"Order #%s (%s)","Commande n°%s (%s)"
"Order List...","Liste de commandes..."
"Order Total","Total commande"
"Orders","Commandes"
"PDF","PDF"
"Password","Mot de passe"
"Password Management","Gestion du mot de passe"
"Password Options","Options de mot de passe"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Le mot de passe doit comporter au moins 6 caractères. Les espaces en début et fin seront ignorés."
"Paused","Arrêté"
"Payment Method","Mode de paiement"
"Pending","En attente"
"Per Website","Par site web"
"Personal Information","Informations personnelles"
"Please enter your email below and we'll send you a new password.","Veuillez entrez votre courriel ci-dessous et vous recevrez un nouveau mot de passe."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Veuillez saisir votre courriel."
"Please make sure your passwords match.","Veuillez vérifier que vos mots de passe concordent."
"Please select","Veuillez sélectionner"
"Please select region, state or province","Veuillez sélectionner une province ou un état"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Prix"
"Primary Billing Address","Adresse de facturation principale"
"Primary Shipping Address","Adresse de livraison principale"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection, opération annulée. Erreur: %s"
"Product","Produit"
"Product ID","ID produit"
"Product Name","Nom produit"
"Product Reviews","Commentaires de produits"
"Product Tags","Libellés de produits"
"Product name","Nom produit"
"Purchase On","Commande passée le"
"Purchased at","Acheté le"
"Qty","Qté"
"Recent Orders","Dernières commandes"
"Records for ""","Enregistrements pour """
"Refunded","Remboursé"
"Registered Customers","Clients enregistrés"
"Remove","Retirer"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Récupérez votre mot de passe ici"
"SKU","SKU"
"Sales Statistics","Statistiques de vente"
"Save","Sauvegarder"
"Save Address","Sauvegarder l'adresse"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Sauvegarder le client"
"Save Customer Group","Sauvegarder le groupe clients"
"Save Password","Sauvegarder le mot de passe"
"Saved ","Sauvegardé"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Envoyer un mot de passe généré automatiquement"
"Send confirmation link","Send confirmation link"
"Send welcome email","Envoyer un courriel de bienvenue"
"Sending","Envoi en cours"
"Sent","Envoyé"
"Session Start Time","Début de session"
"Set as Default Billing Address","Définir comme adresse de facturation par défaut"
"Set as Default Shipping Address","Définir comme adresse de livraison par défaut"
"Share Customer Accounts","Partager les comptes client"
"Ship to First name","Prénom (Livr.)"
"Ship to Last name","Nom de famille (Livr.)"
"Shipped to First Name","Prénom (Livr.)"
"Shipped to Last Name","Nom de famille (Livr.)"
"Shipped to Name","Nom (Livr.)"
"Shipping Information","Informations de livraison"
"Shipping Method","Mode de livraison"
"Shopping Cart","Panier"
"Shopping Cart - %d item(s)","Panier - %d article(s)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Abonnez-vous à l'infolettre"
"Sign up for our newsletter","Abonnez-vous à l'infolettre"
"Skip import row, required field ""%s"" not defined","Ligne ignorée, le champ requis ""%s"" n'est pas défini"
"Skip import row, website ""%s"" field not exists","Ligne ignorée, le champ du site web ""%s"" n'existe pas"
"State/Province","État/Province"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Street Address","Rue"
"Street Address ","Street Address "
"Subject","Sujet"
"Submit","Valider"
"Subscribe","Inscrivez-vous"
"Subscribe to newsletter","S'abonner à l'infolettre"
"Subscribed to Newsletter?","Abonné à l'infolettre ?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Nom du libellé"
"Tax Class","Classe de taxe"
"Tax class","Classe de taxe"
"Tax/VAT number","Tax/VAT number"
"Telephone","Téléphone"
"Text","Texte"
"Text One Line","Texte sur une ligne"
"Thank you for registering with %s","Merci de votre inscription sur %s"
"The address does not belong to this customer","L'adresse n'appartient pas à ce client"
"The address was successfully deleted","L'adresse a été effacée"
"The address was successfully saved","L'adresse a été sauvegardée"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Il n'y a aucun article dans la liste-cadeaux du client"
"There are no items in customer's shopping cart at the moment","Il n'y a aucun article dans le panier du client"
"There was an error while deleting the address","La suppression de l'adresse a échoué"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Le client n'a pas d'adresse sauvegardée"
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Cette adresse courriel n'a pas été trouvée dans nos enregistrements"
"This is My Primary %s Address","Ceci est mon adresse principale de <strong>%s</strong>"
"To Cart","Vers le panier"
"Total","Total"
"Type","Type"
"Unknown","Inconnu"
"Unsubscribe from newsletter","Se désabonner de l'infolettre"
"Update","Mettre à jour"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Utiliser comme adresse <strong>%s</strong> principale"
"Use as my default billing address","Utiliser comme adresse de facturation par défaut"
"Use as my default shipping address","Utiliser comme adresse de <strong>livraison</strong> par défaut"
"User description","Description utilisateur"
"View","Voir"
"View Order","Voir la commande"
"View Order List","Consulter la liste des commandes"
"Visible In","Visible dans"
"Visitor","Visiteur"
"Visitors Only","Visiteurs seulement"
"Website","Site web"
"Welcome Email","Welcome Email"
"Wishlist","Liste-cadeaux"
"Wishlist - %d item(s)","Liste-cadeaux - %d article(s)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Identifiant de région erroné pour le pays sélectionné"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","Vous n'êtes abonné à aucune infolettre."
"You are currently not subscribed to our newsletter","Vous n'êtes pas encore abonné(e) à notre infolettre"
"You are currently subscribed to 'General Subscription'.","Vous êtes abonné à 'Abonnement général'"
"You are currently subscribed to our newsletter","Vous êtes actuellement abonné(e) à notre infolettre"
"You are currently subscribed to our newsletter.","Vous êtes abonné(e) à notre infolettre"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Vous vous êtes déconnecté(e) avec succès et vous allez être redirigé(e) vers notre page d'accueil dans 5 secondes."
"You have no additional address entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses."
"You have no additional entries in your address book.","Vous n'avez pas d'entrées supplémentaires dans votre carnet d'adresses"
"You have no default billing address in your address book.","Vous n'avez pas d'adresse de facturation par défaut dans votre carnet d'adresses."
"You have no default shipping address in your address book.","Vous n'avez pas d'adresse de livraison par défaut dans votre carnet d'adresses."
"You have no primary entries in your address book.","Vous n'avez pas d'entrée principale dans votre carnet d'adresse"
"You have not set a primary billing address.","Vous n'avez pas spécifié d'adresse de facturation principale"
"You have not set a primary shipping address.","Vous n'avez pas spécifié d'adresse de livraison principale"
"You have placed no orders yet.","Vous n'avez pas encore passé de commande."
"You have placed no products yet.","Vous n'avez pas encore choisi de produit."
"You're now Logged Out","Vous êtes maintenant déconnecté."
"Your account balance is: %s","Le solde de votre compte est de: <strong>%s</strong>"
"ZIP","Code postal"
"ZIP/Post Code","Code postal"
"ZIP/Postal Code","Code postal"
"Zip/Postal Code","Code postal"
"n/a","n/d"
"or","ou"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
