"# of Use","Nb d'utilisations"
"Filter must be as object. Set correct filter please","Le filtre doit être un objet. Veuillez utiliser un filtre correct"
"Filterable (no results)","Filtrable (pas de résultats)"
"Filterable (with results)","Filtrable (avec résultats)"
"Filters must be as array","Les filtres doivent être des tableaux"
"First Name","Prénom"
"Fixed","Fixé"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Usage interne. Doit être unique et sans espace"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Partie publique"
"Frontend Model","Modèle de la partie publique"
"Frontend Properties","Propriétés de la partie publique"
"Gallery","Galerie"
"General Information","Informations générales"
"Get special price","Get special price"
"Global","Global"
"Globally Editable","Éditable globalement"
"Go to Home Page","Allez à la page d'accueil"
"Grid","Grille"
"Grouped Product","Produit groupé"
"Groups","Groupes"
"Home","Accueil"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Image"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Fichier image introuvable"
"Image not exists","L'image n'existe pas"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Le type et les information d'image doivent être spécifié pour chaque vue magasin."
"In Stock","En stock"
"In stock","En stock"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","Validation requise"
"Integer","Entier"
"Integer Number","Nombre entier"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Option spécifiée non valide pour l'attribut %s (%s), enregistrement ignoré"
"Invalid attribute set specified, skipping the record","Jeu d'attributs spécifié non valide, enregistrement ignoré"
"Invalid block: %s","Bloc non valide: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Identifiants de catégorie non valides"
"Invalid image file type","Type de fichier image non valide"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Identifiant d'option spécifié non valide pour %s (%s), enregistrement ignoré"
"Invalid product type specified, skipping the record","Type de produit spécifié non valide, enregistrement ignoré"
"Invalid store specified","Magasin spécifié non valide"
"Invalid store specified, skipping the record","Magasin spécifié non valide, enregistrement ignoré"
"Inventory","Inventaire"
"Is Default","Valeur par défaut"
"Is Required","Is Required"
"Items %s to %s of %s total","Total des articles de <strong>%s</strong> à <strong>%s</strong> sur <strong>%s</strong>"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Les articles que vous ne voulez pas afficher dans le catalogue ou dans les résultats de recherche doivent avoir le statut 'Désactivé' dans le magasin souhaité."
"Label","Libellé"
"Last Name","Nom de famille"
"Last Notification","Dernière notification"
"Learn More","En savoir plus"
"Length of text is too long","Length of text is too long"
"Letters","Lettres"
"Letters(a-zA-Z) or Numbers(0-9)","Lettres (a-zA-Z) or chiffres (0-9)"
"Line %d, Email: %s","Ligne %d, Courriel : %s"
"Line %d, SKU: %s","Ligne %d, SKU : %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","Liste"
"List Mode","Mode liste"
"Manage Attribute Sets","Gérer les groupes d'attributs"
"Manage Attributes","Gérer les attributs"
"Manage Catalog Categories","Gérer les catégories du catalogue"
"Manage Categories","Gérer les catégories"
"Manage Label / Options","Gérer les labels/les options"
"Manage Options (values of your attribute)","Gérer les options (valeurs de vos attributs)"
"Manage Product Attributes","Gérer les attributs produit"
"Manage Product Sets","Gérer les groupes d'attributs"
"Manage Products","Gérer les produits"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Gérer les titres (Taille, couleur, etc.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Qté maximum autorisée dans le panier"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Image"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Qté minimum autorisée dans le panier"
"Minimum Qty for Item's Status to be Out of Stock","Qté min pour qu'un article soit considéré en rupture de stock"
"Missing SKU, skipping the record","SKU manquant, enregistrement ignoré"
"More Views","Plus de vues"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Sélection multiple"
"Name","Nom"
"Name In %s","Nom en %s"
"Name<br/>(For internal use)","Nom (usage interne)"
"New Category","Nouvelle catégorie"
"New Product","Nouveau produit"
"New Product Attribute","Nouvel attribut produit"
"New Products","Nouveaux produits"
"New Search","Nouvelle recherche"
"New Set Name","Nouveau nom de groupe"
"Next","Suivant"
"No","Non"
"No image","Pas d'image"
"No layout updates","Pas de modification de mise en page"
"No options of this product are available.","Aucune option n'est disponible pour ce produit."
"No product collections found","Aucune collection de produits trouvée"
"None","Aucun"
"Not shared with other products","Non partagé avec les autres produits"
"Notify Low Stock RSS","Flux RSS de notification de stock"
"Notify for Quantity Below","Notifier quand la quantité passe en dessous de"
"Nowhere","Nulle part"
"Number of Uses","Nombre d'utilisations"
"Number of results<br/>(For last time placed)","Nombre de résultats<br/>(Depuis la dernière fois)"
"OR","OU"
"Old Price:","Ancien prix:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Option :"
"Options Control","Contrôle des options"
"Options is required","Options est requis"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Épuisé"
"Out of stock","Épuisé"
"Out of stock.","Épuisé"
"PM","PM"
"Page Title Separator","Séparateur de titre de page"
"Page:","Page :"
"Parent Category","Catégorie parente"
"Pending","En attente"
"Pending Reviews RSS","Flux RSS de commentaires en attente"
"Percentage","Pourcentage"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Veuillez cliquer sur Fermer la fenêtre si elle ne se ferme pas automatiquement"
"Please enter a new group name","Veuillez entrer un nouveau nom de groupe"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Veuillez sélectionner un ou plusieurs attributs"
"Please select product(s)","Veuillez sélectionner le(s) produit(s)"
"Please select products for attributes update","Veuillez sélectionner les produits pour la mise à jour des attributs"
"Please select static block ...","Veuillez sélectionner un bloc statique ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Position"
"Position In Layered Navigation","Position dans la navigation par filtres"
"Position of attribute in layered navigation block","Position de l'attribut dans le bloc de navigation par filtres"
"Prev","Précédent"
"Previous","Précédent"
"Price","Prix"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Les valeurs de prix pour les options doivent être spécifié dans la devise de base."
"Price:","Prix:"
"Print This Page","Imprimer cette page"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection, opération annulée. Erreur: %s"
"Product","Product"
"Product %s successfully added to compare list","Le produit %s a été ajouté à la liste de comparaison"
"Product %s successfully removed from compare list","Le produit %s a été supprimé de la liste de comparaison"
"Product API","Product API"
"Product Alerts","Alertes sur les produits"
"Product Attribute","Attribut du produit"
"Product Attributes","Attributs du produit"
"Product Categories","Catégories du produit"
"Product Description","Description du produit"
"Product Image Placeholders","Emplacement de l'image du produit"
"Product Image Watermarks","Filigrane de l'image du produit"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Produit dans les sites web"
"Product Info Column","Product Info Column"
"Product Information","Informations produit"
"Product Name","Nom du produit"
"Product Reviews","Commentaires du produit"
"Product Tags","Libellés du produit"
"Product Tier Price API","Product Tier Price API"
"Product Type","Type du produit"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Attribut de produit supprimé avec succès"
"Product attribute was successfully saved","Attribut de produit sauvegardé avec succès"
"Product attributes API","Product attributes API"
"Product collection expected","Collection de produits attendue"
"Product deleted","Produit supprimé"
"Product duplicated","Produit dupliqué"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Erreur lors de la sauvegarde du produit."
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","Le produit a été créé."
"Product was successfully saved.","Le produit a été sauvegardé."
"Product with this combination of attributes already associated to configurable.","Un produit avec cette combinaison d'attributs est déjà associé à ce produit configurable."
"Products","Produits"
"Products Information","Informations produits"
"Products Reviews","Produits commentés"
"Products Sitemap","Plan de site des produits"
"Products only","Produits seulement"
"Products per Page on Grid default value","Valeur par défaut de Produits par page - Grille"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Valeur par défaut de Produits par page - Liste"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Propriétés"
"Qty","Qté"
"Qty Uses Decimals","La quantité utilise des décimales"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Création rapide"
"Quick Overview","Aperçu rapide"
"Quick simple product creation","Création rapide de produit simple"
"Records for ""","Enregistrements pour """
"Redirect","Rediriger"
"Redirect URL","URL de redirection"
"Regular Price:","Prix normal:"
"Related Products","Produits apparentés"
"Remove","Supprimer"
"Remove Product","Retirer le produit"
"Remove Product From Websites","Supprimer produits des sites web"
"Remove This Item","Supprimer cet article"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Requis"
"Reset","Réinitialiser"
"Results","Résultats"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Commentaire supprimé avec succès"
"Review was saved successfully","Commentaire sauvegardé avec succès"
"Review was successfully saved","Commentaire sauvegardé avec succès"
"Reviews","Commentaires"
"Roll Over for preview","Survoler pour avoir un aperçu"
"Root","Racine"
"SKU","SKU"
"Save","Sauvegarder"
"Save And Continue Edit","Sauvegarder et continuer à éditer"
"Save Attribute","Sauvegarder l'attribut"
"Save Attribute Set","Sauvegarder le groupe d'attributs"
"Save Category","Sauvegarder la catégorie"
"Save Search","Sauvegarder la recherche"
"Saved ","Sauvegardé"
"Scope","Portée"
"Search","Recherche"
"Search Engine Optimizations","Optimisations pour les moteurs de recherche"
"Search Information","Informations de recherche"
"Search Query","Termes de recherche"
"Search Term was successfully saved","Le terme de recherche a été sauvegardé"
"Search Term with such search query already exist.","Un terme de recherche existe déjà avec cette requête"
"Search was successfully deleted","Recherche supprimée avec succès"
"Searchable","Utilisable dans la recherche"
"Select Configurable Attributes ","Sélectionner les attributs configurables"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Types de produit sélectionnés"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Envoyer le total"
"Set Ascending Direction","Par ordre croissant"
"Set Descending Direction","Par ordre décroissant"
"Set Name","Nom du groupe"
"Set Root Category For Store","Définir la catégorie racine pour le magasin"
"Set root category for this store in the <a href=""%s"">configuration</a>","Choisir la catégorie racine pour ce magasin dans la <a href=""%s"">configuration</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Paramètres"
"Shop by","Acheté par"
"Shopping Options","Options d'achat"
"Show","Afficher"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Produit simple"
"Site Map","Plan du site"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Ligne ignorée, la valeur ""%s"" n'est pas valide pour le champ ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Ligne ignorée, le champ requis ""%s"" pour un nouveau client n'est pas défini"
"Skip import row, required field ""%s"" for new products not defined","Ligne ignorée, le champ requis ""%s"" pour un nouveau produit n'est pas défini"
"Skip import row, required field ""%s"" not defined","Ligne ignorée, le champ requis ""%s"" n'est pas défini"
"Skip import row, store ""%s"" field not exists","Ligne ignorée, le champ ""%s"" du magasin n'existe pas"
"Sort Order","Ordre de tri"
"Sort by","Trier par"
"Source Model","Modèle source"
"Special Price:","Prix promotionnel:"
"Starting at:","Débute le :"
"Static","Statique"
"Static block and products","Bloc statique et produits"
"Static block only","Bloc statique uniquement"
"Status","Statut"
"Stock Availability","Disponibilité en stock"
"Store","Magasin"
"Store View","Vue magasin"
"Stretch","Étirer"
"Subscribe to Feed","S'abonner au flux"
"Subscribe to RSS Feed","S'abonner au flux RSS"
"Super product attributes configuration","Configuration des attributs du super produit"
"Synonym For","Synonyme de"
"Synonym for","Synonyme de"
"System","Système"
"System Properties","Propriétés système"
"Tag Name","Nom du libellé"
"Tax","Tax"
"Text","Texte"
"Text Area","Zone de texte"
"Text Field","Champ texte"
"There are no %s available.","Aucun(e) %s disponible"
"There are no customers for this alert","Il n'y a aucun client pour cette alerte"
"There are no products matching the selection.","Aucun produit ne correspond à la sélection"
"There was an error while adding products to websites","Il y a eu une erreur lors de l'ajout des produits aux sites web"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Il y a eu une erreur lors de la suppression des produits aux sites web"
"There was an error while updating product(s) attributes","Erreur lors de la mise à jour des attributs de produits"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Cette attribut n'existe plus"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Ce groupe contient des attributs système. Veuillez déplacer les attributs système vers un autre groupe et réessayer."
"This is a required option","This is a required option"
"This search no longer exists","Cette recherche n'existe plus"
"Tier Pricing","Tarification par palier"
"Tile","Mosaïque"
"Time format","Time format"
"Title","Title"
"Top/Left","En haut à gauche"
"Top/Right","En haut à droite"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","%d enregistrement(s) ont été effacés"
"Total of %d record(s) were successfully updated","%d enregistrement(s) ont été mis à jour"
"Type","Type"
"Unable to complete request. Please try again later.","Impossible de terminer la requête. Veuillez réessayer ultérieurement"
"Unable to find a search term to delete","Impossible de trouver un terme de recherche à effacer"
"Unable to find an attribute to delete","Impossible de trouver un attribut à supprimer"
"Unable to get product id.","Impossible d'obtenir l'id produit"
"Unassigned Attributes","Attributs non assignés"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Unknown attribute: %s","Attribut inconnu: %s"
"Up-sells","Ventes incitatives"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Modifier les attributs"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","URL"
"Url Rewrite Management","Gestion de la réécriture d'URL"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Utiliser les paramètres de la configuration"
"Use Default Value","Utiliser la valeur par défaut"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Utiliser dans la navigation par filtres"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Utiliser dans la navigation par filtres<br/>(Utilisable uniquement avec le type de saisie 'Liste déroulante')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Utiliser pour créer un produit configurable"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Utiliser le chemin de catégorie dans les URLs produit"
"Use in advanced search","Utiliser dans la recherche avancée"
"Use in quick search","Utiliser dans la recherche rapide"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Valeurs requises"
"Varchar","Varchar"
"View as","Afficher en"
"Virtual Product","Virtual Product"
"Visibility","Visibilité"
"Visible","Visible"
"Visible on Catalog Pages on Front-end","Visible sur les pages du magasin"
"Visible on Product View Page on Front-end","Visible on Product View Page on Front-end"
"Watermark","Filigrane"
"Watermark Default Size","Taille par défaut du filigrane"
"Watermark Position","Positionnement du filigrane"
"We Also Recommend","We Also Recommend"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","Site web"
"Websites","Sites web"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance."
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Year Range"
"Yes","Oui"
"Yes/No","Oui/Non"
"You cannot delete this attribute","Vous ne pouvez pas supprimer cet attribut"
"You cannot edit this attribute","Vous ne pouvez pas éditer cet attribut"
"You cannot remove system attribute from this set.","Vous ne pouvez pas retirer cet attribut système de ce groupe"
"You cannot update this attribute","Vous ne pouvez pas mettre à jour cet attribut"
"You have no items to compare.","Vous n'avez pas d'articles à comparer."
