" Copy"," Copier"
"No Templates Found","Aucun gabarit trouvé"
"No problems found","Aucun problème trouvé"
"No subscribers selected","Aucun abonné sélectionné"
"Not Sent","Pas envoyé"
"Not activated","Désactivé"
"Pause","Pause"
"Paused","Arrêté"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Veuillez saisir un nouveau nom de gabarit"
"Please select subscriber(s)","Veuillez sélectionner des abonnés"
"Preview","Prévisualiser"
"Preview Template","Prévisualiser le gabarit"
"Processed","Terminé"
"Queue Date Start","Date de démarrage de la file"
"Queue Finish","Fin de la file"
"Queue Information","Informations de file"
"Queue Newsletter","Mettre l'infolettre dans la file d'attente"
"Queue Start","Début de la file"
"Queue Subject","Sujet de la file"
"Recipients","Destinataires"
"Reset","Réinitialiser"
"Resume","Reprendre"
"Return Html Version","Revenir à la version HTML"
"Save And Resume","Sauvegarder et reprendre"
"Save As","Sauvegarder sous"
"Save Newsletter","Sauvegarder l'infolettre"
"Save Template","Sauvegarder le gabarit"
"Selected problem subscribers successfully unsubscribed","Les abonnés problématiques sélectionnés ont été désabonnés avec succès"
"Selected problems successfully deleted","Les problèmes sélectionnés ont été supprimés avec succès"
"Sender","Expéditeur"
"Sender Email","Expéditeur du courriel"
"Sender Name","Nom de l'expéditeur"
"Sending","Envoi en cours"
"Sending Options","Sending Options"
"Sent","Envoyé"
"Set Return-Path","Set Return-Path"
"Sign me up","Je m'abonne"
"Sign up for our newsletter:","Votre courriel pour vous abonner à notre infolettre :"
"Start","Commencer"
"Status","Statut"
"Store","Magasin"
"Store View","Vue magasin"
"Subject","Sujet"
"Subscribe","Inscription"
"Subscribed","Subscribed"
"Subscriber","Abonné"
"Subscribers","Abonnés"
"Subscribers From","Abonnés de"
"Subscription Options","Options d'inscription"
"Success Email Sender","Expéditeur du courriel de succès"
"Success Email Template","Gabarit du courriel de succès"
"Template Content","Contenu du gabarit"
"Template Information","Informations gabarit"
"Template Name","Nom du gabarit"
"Template Subject","Sujet du gabarit"
"Template Type","Type de gabarit"
"Thank you for your subscription","Merci pour votre inscription"
"The subscription was successfully saved","L'inscription a été enregistrée"
"There was a problem with the subscription","Un problème est survenu lors de l'inscription"
"There was a problem with the subscription: %s","Il y a eu un problème lors de l'inscription: %s"
"There was a problem with the un-subscription.","Un problème est survenu lors de la désinscription"
"There was an error while saving your subscription","Erreur lors de la sauvegarde de l'inscription"
"Toggle Editor","Changer d'éditeur"
"Type","Type"
"Unsubscribe","Désabonner"
"Unsubscribe Selected","Désinscription sélectionnée"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Expéditeur du courriel de désinscription"
"Unsubscription Email Template","Gabarit du courriel de désinscription"
"View Newsletter","Voir l'infolettre"
"Website","Site web"
"You have been successfully unsubscribed.","Votre désincription a été prise en compte.."
"Your subscription was successfully confirmed","Votre inscription a été prise en compte"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
