"%s already exist","%s existent déjà"
"%s already exists","%s existe déjà"
"-- Please Select --","-- Votre choix --"
"Error while saving. Please try again later.","Erreur lors de la sauvegarde. Veuillez réessayer plus tard."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","Expéditeur du courriel d'oubli de mot de passe"
"Forgot Password Email Template","Gabarit du courriel d'oubli de mot de passe"
"General","Général"
"General Settings","Paramètres généraux"
"General contact","Contact général"
"Global","Global"
"HTML Head","HTML Head"
"Header","Header"
"Host","Serveur hôte"
"Id path for specified store","Chemin identifiant pour le magasin spécifié"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Type d'URL de base invalide"
"Invalid block name to set child %s: %s","Nom de bloc non valide pour rattacher l'enfant %s: %s"
"Invalid block type: %s","Type de bloc non valide: %s"
"Invalid block: %s","Bloc non valide: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argument non valide pour la mise à jour de mise en page, Mage_Core_Model_Layout_Element attendu"
"Invalid layout update handle","Manipulation de mise à jour de gabarit non valide"
"Invalid messages storage ""%s"" for layout messages initialization","Stockage des messages ""%s"" invalide pour l'initialisation des messages de gabarit"
"Invalid transactional email code: ","Code de courriel transactionnel invalide :"
"Invalid websites configuration path: %s","Chemin de configuration des sites web non valide: %s"
"Layout","Mise en page"
"Layouts","Layouts"
"Leave empty for access from any location","Laisser vide pour accéder depuis n'importe quelle IP"
"Locale","Paramètres régionaux"
"Locale options","Options régionales"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Gérer les magasins"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","La classe modèle n'existe pas: %s"
"Model collection resource name is not defined","Le nom de ressource de modèle collection n'est pas défini"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Nom (usage interne)"
"New Design Change","Nouveau changement de design"
"New Store","Nouveau magasin"
"New Store View","Nouvelle vue magasin"
"New Website","Nouveau site web"
"No","No"
"Package","Paquet"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Veuillez saisir 6 caractères ou plus"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Veuillez saisir 6 caractères ou plus. Les espaces en début ou fin de chaîne seront ignorés."
"Please enter a number greater than 0 in this field.","Veuillez saisir un nombre supérieur à 0"
"Please enter a valid $ amount. For example $100.00.","Veuillez saisir un montant valide. Par ex. 100.00$"
"Please enter a valid URL. For example http://www.example.com or www.example.com","Veuillez saisir une URL valide. Par exemple http://www.exemple.com or www.exemple.com"
"Please enter a valid URL. http:// is required","Veuillez saisir une URL valide. Elle doit commencer par http://"
"Please enter a valid credit card number.","Veuillez saisir un numéro de carte de crédit valide."
"Please enter a valid date.","Veuillez saisir une date valide."
"Please enter a valid email address. For example johndoe@domain.com.","Veuillez saisir une adresse courriel valide. Par ex. jeandupond@domaine.com"
"Please enter a valid number in this field.","Veuillez saisir un nombre valide"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Veuillez saisir un numéro de téléphone valide. Par ex. (123) 456-7890 or 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","Veuillez saisir un numéro de sécurité sociale valide. Par exemple 123-456-789."
"Please enter a valid zip code.","Veuillez saisir un code postal valide."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Veuillez saisir un code postal valide. Par exemple H1H 1H1 ou 12345."
"Please enter valid password.","Veuillez saisir un mot de passe valide."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Veuillez vérifier que vos mots de passe concordent."
"Please select State/Province.","Veuillez sélectionner un état/province"
"Please select an option.","Veuillez sélectionner une option."
"Please select one of the above options.","Veuillez sélectionner une des options ci-dessus."
"Please select one of the options.","Veuillez sélectionner une des options."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Veuillez ne saisir que des lettres (a-z) dans ce champ."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Veuillez ne saisir que des nombres dans ce champ. Merci d'éviter les espaces ou autres caractères tels que points ou virgules."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) dans ce champ. Les espaces et autres caractères ne sont pas autorisés."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Veuillez ne saisir que des lettres (a-z) ou des chiffres (0-9) ou des espaces ou des dièses (#) dans ce champ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Veuillez ne saisir que des lettres (a-z), des chiffres (0-9) ou tirets bas (_) dans ce champ. Le premier caractère doit être une lettre."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Veuillez utiliser le format de date suivant: jj/mm/aaaa. Par exemple, 17/03/2008 pour le 17 mars 2008."
"Please wait, loading...","Veuillez patienter, chargement en cours..."
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profileur"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Chemin de requête pour le magasin spécifié"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","La ressource n'est pas configurée"
"Root Category","Catégorie racine"
"SMTP settings (Windows server only)","Paramètres SMTP (serveur Windows seulement)"
"Sales representative","Représentant des ventes"
"Save","Sauvegarder"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Save Website","Sauvegarder le site web"
"Search Engines Optimization","Optimisation pour les moteurs de recherche"
"Secure","Sécurisé"
"Security","Security"
"Select Date","Select Date"
"Sender email","Courriel de l'expéditeur"
"Sender name","Nom de l'expéditeur"
"Services","Services"
"Session Cookie management","Gestion des cookies de session"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Définir par défaut"
"Skin (Images / CSS)","Habillage (Images / CSS)"
"Sort order","Ordre de tri"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Date de début ne peut être après la date de fin"
"Startup page","Startup page"
"Status","Statut"
"Store","Magasin"
"Store Email Addresses","Adresses courriel du magasin"
"Store Information","Informations magasin"
"Store Name","Nom magasin"
"Store View","Store View"
"Store View Information","Information de vue magasin"
"Store View Name","Nom de vue magasin"
"Store View was successfully saved","La vue magasin a été sauvegardée"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le code de magasin ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des tirets bas (_), et le premier caractère doit être une lettre"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Le magasin a été supprimé"
"Store was successfully saved","Le magasin a été sauvegardé"
"Store with the same code","Magasin avec le même code"
"System","Système"
"System Log File Name","System Log File Name"
"Template Path Hints","Astuce chemin des gabarits"
"Templates","Gabarits"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Thèmes"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Cette catégorie seulement"
"This is a required field.","Ce champ est requis."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Fuseau horaire"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Traductions"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Impossible de continuer. Veuillez réessayer ultérieurement."
"Unknown scope ""%s""","Portée ""%s"" inconnue"
"Unsecure","Sécurisé"
"Url Options","Options URL"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Utiliser des URLs sécurisées dans l'administration"
"Use Secure URLs in Frontend","Utiliser des URLs sécurisées sur la partie publique"
"Use Web Server Rewrites","Utiliser les réécriture du serveur web"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","Site web"
"Website Information","Informations site web"
"Website Name","Nom du site web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Le site web ne doit contenir que des lettres (a-z), des chiffres (0-9) ou des tirets bas (_), et le premier caractère doit être une lettre"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Le site web a été supprimé"
"Website was successfully saved","Le site web a été sauvegardé"
"Website with the same code","Site web avec le même code"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Nombre d'arguments erroné pour %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Votre session a expiré, vous allez maintenant être reconnecté."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
