" and "," 和 "
"Export","导出"
"Export Filters","导出过滤器"
"Export to:","导出为："
"Export:","导出："
"Extension","插件"
"Extensions","插件"
"FTP Host[:Port]","FTP 主机[:端口]"
"Field Mapping","文件映射（Mapping）"
"File Information","文件信息"
"File name:","文件名："
"Final Price","最终价格"
"Finished items creation.","Finished items creation."
"First Name:","名字："
"For latest version visit: %s","最新版本，请访问： %s"
"From","从"
"General Settings","通用设置"
"Get help for this page","查看本页面的帮助"
"Global Record Search","全站记录搜寻"
"Go Today","今天"
"Google Base Items","Google Base商品"
"Group:","分组："
"Help Us Keep Magento Healthy - Report All Bugs","协助我们完善Magento – 报告所有错误"
"Ignore","忽略"
"Images","图片"
"Import","导入"
"Import Service","导入服务"
"In Database:","在数据库："
"In File:","在文件里："
"Inactive","禁用"
"Incl. Tax","含税"
"Include","包括"
"Installed As","安装为"
"Interactive","交互式"
"Interface Locale: %s","地化界面：%s"
"Invalid webservice adapter specified","指定的网络服务适配器不正确"
"Invalid webservice handler specified","指定的网络服务处理器不正确"
"Invoice History","发票历史"
"Invoice Totals","总发票"
"Issue Number","创建号"
"Issuer: %s","创建人: %s"
"Items to merge","Items to merge"
"Last 5 Orders","最新的5个订单"
"Last 5 Search Terms","最新的5个搜索关键词"
"Last Logged In (%s):","最新的登录（%s）:"
"Last Logged In:","最新的登录："
"Last Name:","姓氏："
"Latest Message:","最新信息："
"Leave empty to use tax identifier","留空，使用税率标识符"
"Level","水平"
"License:","许可："
"Loading...","加载中..."
"Local Server","本地服务器"
"Local/Remote Server","本地/远程服务器"
"Log Out","退出"
"Logged in as %s","登录为%s"
"MS Excel XML","微软 Excel XML"
"Magento Core Api","Magento核心Api"
"Magento Core Api Section","Magento核心Api单元"
"Magento Logo","Magento 标志"
"Magento ver. %s","Magento版本： %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; 是 Irubin Consulting Inc. DBA Varien 的注册商标。<br/>版权所有 &copy; %s Irubin Consulting Inc."
"Maintainers","维护人员"
"Manage Stores","商店管理"
"Mapping Configuration","Mapping Configuration"
"Max","最大"
"Merge Now","Merge Now"
"Min","最小"
"Module version conflict!","Module version conflict!"
"N/A","无"
"Name","名字"
"Name on Card","信用卡上的名字"
"Name on the Card: %s","信用卡上的名字：%s"
"Name:","名字："
"Next month (hold for menu)","下个月（点击鼠标直到菜单出现）"
"Next page","下一页"
"Next year (hold for menu)","明年（点击鼠标直到菜单出现）"
"No","否"
"No Data Found","找不到数据"
"No search keywords.","没搜索词汇"
"Note:","注意："
"Notes:","备注："
"Number of records:","记录次数"
"Old rate:","旧价："
"Only mapped fields","仅限映射栏（mapped fields）"
"Order Totals","总订单"
"Order confirmation email not sent","没有发送订单确认邮件"
"Order confirmation email sent","订单确认邮件已发送"
"Original Magento attribute names in first row:","Magento原有属性名为第一栏"
"Package","包"
"Package Information","安装包信息"
"Packages","包"
"Page","页"
"Passive mode","被动模式"
"Password","密码"
"Path","路径"
"Path:","路径："
"PayPal Email","PayPal 电子邮件"
"Personal Information","个人信息"
"Phone:","电话："
"Please confirm site switching. All data that hasn't been saved will be lost.","请确认网站却换。未储存的数据将不被保留。"
"Please enter 6 or more characters.","请输入6或更长字母。"
"Please enter a number greater than 0 in this field.","请输入大于0的值。"
"Please enter a valid $ amount. For example $100.00.","请输入有效的$金额。例如：$100.00。"
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入有效的URL。例如：http://www.example.com 或 www.example.com"
"Please enter a valid URL. http:// is required","请输入有效的URL。http://为必填项。"
"Please enter a valid credit card number.","请输入有效的信用卡号码。"
"Please enter a valid date.","请输入有效的日期。"
"Please enter a valid email address. For example johndoe@domain.com.","请输入有效的电邮，例如johndoe@domain.com."
"Please enter a valid number in this field.","请输入有效的号码。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入有效的电话号码，例如（123）456-7890 或 123-456-7890。"
"Please enter a valid social security number. For example 123-45-6789.","请输入有效的设安卡号，例如123-45-6789。"
"Please enter a valid value from list","请从列表里输入有效值。"
"Please enter a valid value, ex: 10,20,30","请输入有效值，例如：10,20,30"
"Please enter a valid zip code.","请输入有效的邮编。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入有效的邮编，例如 90602 或 90602-1234。"
"Please enter valid password.","请输入有效的密码。"
"Please make sure that your changes were saved before running the profile.","演示此信息前请确认您的更新已储存。"
"Please make sure your passwords match.","请确定您的密码匹配。"
"Please select State/Province.","请选择省份"
"Please select an option.","请选择一个选项。"
"Please select one of the above options.","请选择以上的一个选项。"
"Please select one of the options.","请选择其中一个选项。"
"Please use in this field only ""a-z,0-9,_"".","请仅使用字符（a-z）和数字（0-9）。"
"Please use letters only (a-z) in this field.","请仅使用字符（a-z）。"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","该栏目只能输入数字，不能输入空格或点、逗号等字符。"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","请仅使用字符（a-z）或数字（0-9）。空格和字母不允许。"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","请仅使用字符（a-z）或数字（0-9）或空格和 #。"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","请使用此日期格式： dd/mm/yyyy. 例如17/03/2006 为三月十七日二00六。"
"Please wait, loading...","请等待，加载中..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","上个月（点击鼠标直到菜单出现）"
"Prev. year (hold for menu)","前年（点击鼠标直到菜单出现）"
"Previous page","前页"
"Price","价格"
"Price:","价格："
"Primary Billing Address","首选账单地址"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","商品"
"Products","商品"
"Profile Information","配置文件信息"
"Provided Files","提供的文件"
"Qty","件数"
"Read details","读取详情"
"Recommended","推荐"
"Remote FTP","远程FTP"
"Remote URL:","远程网址："
"Remove","删除"
"Resource Access","资源访问"
"Resources","资源"
"Role","角色"
"Role Users","职责角色用户"
"Roles","职责角色"
"Roles Resources","职责角色职务"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Schedule Merge"
"Select All","全选"
"Select Date","选择时间"
"Select Range","选择范围"
"Select Visible","选择显示"
"Select date","选择时间"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","货单注解"
"Shipment History","货单历史"
"Shipping Address","配送地址"
"Shipping address selection is not applicable","配送地址选项不成立。"
"Shipping method selection is not applicable","配送方法选项不成立。"
"Show Report for","显示报告"
"Show by","显示"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","这订单里的一些商品有不同的发票和货单类型。您只可以在建立发票后才能创建货单。"
"Sort Order","排序"
"Spreadsheet Name:","表单（Spreadsheet）名："
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","开始日期"
"State/Province:","省份："
"Status","状态"
"Status:","状态："
"Stock Quantity:","库存量"
"Store:","商店"
"Store: ","Store: "
"Subpackage","分包"
"Subpackages","分包"
"Summary:","摘要"
"Switch/Solo Only","仅限Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo 卡号：%s"
"Switch/Solo card start Date: %s/%s","Switch/Solo 卡开始日期：%s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","仅限 Switch/Solo/Maestro(英国国内)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(英国国内) 卡号：%s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(英国国内) 开始日期：%s/%s"
"The information in this tab has been changed.","此标签（tab）的信息已更新。"
"This is a required field.","此为必选项。"
"This tab contains invalid data. Please solve the problem before saving.","此标签（tab）含有无效属性。请把该问题解决了才储存。"
"Thumbnail","缩略图"
"Time selection:","时间选项"
"Time:","时间："
"To","给"
"Top 5 Search Terms","5个最高搜索关键词"
"Total %d records found","共找到%d个记录"
"Track order","跟踪订单"
"Track this shipment","追踪此货物"
"Type","类型"
"Type:","类型："
"Unable to login.","无法登录。"
"Unselect All","关闭所有显示"
"Unselect Visible","关闭显示"
"Upgrade All Available Packages","升级所有可用的安装包"
"Upload Local File","上传本地文件"
"Upload local file:","上传本地文件："
"Use Default Value","使用默认值"
"User","用户"
"User Name","用户名"
"User Roles","用户职责"
"User name","用户名"
"Users","用户"
"Value Delimiter:","值定义符:"
"Version:","版本"
"View","查看"
"View Statistics for","查看统计"
"Visibility:","显示于"
"Warning! Empty value can cause problems with CSV format.","警告！空值可能引起 CSV 格式问题。"
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","网站服务"
"Web Services Configuration","网络服务配置"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","这是什么？"
"Yes","是"
"You have","您有"
"Your Account has been deactivated.","您的帐户已被禁用。"
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","您的服务器上 PHP 设置单次文件上传不能超过 %s，如果您想要上传更大的文件，请修改 php.ini 中 post_max_size （目前设置：%s）以及 upload_max_filesize （目前设置：%s）"
"Zip/Postal Code:","邮编"
"critical","关键"
"images/logo.gif","件商品已选择"
"items selected","已选商品"
"major","主要"
"md5sum","次要"
"minor","次要"
"notice","公告"
"of %s pages","第%s页"
"or","or"
"per page","页"
"to","给"
