"%s was successfully added to your shopping cart.","成功将%s加入购物车。"
"Display Cart Summary","显示购物车摘要"
"Display Shopping Cart Sidebar","显示购物车 Sidebar"
"Display item quantities","显示商品数量"
"Display number of items in cart","显示购物车的商品数量"
"Easy access to your order history and status","简易查询您的订单历史和帐号资料"
"Edit","修改"
"Edit Address","修改地址"
"Edit Billing Address","修改账单地址"
"Edit Items","修改商品"
"Edit Shipping Address","修改配送地址"
"Edit Terms and Conditions","修改条款"
"Edit Your Cart","修改购物车"
"Email Address","电邮"
"Enable Terms and�Conditions","启用购买条款"
"Enabled","已启用"
"Enter a New Address","输入新地址"
"Enter your coupon code if you have one.","若您有优惠券号，请输入。"
"Enter your destination to get a shipping estimate.","输入目的地估计运费。"
"Error while deleting this condition. Please try again later.","删除该条款有误，请稍后重试。"
"Error while saving this condition. Please try again later.","保存条款有误，请稍后重置。"
"Estimate Shipping and Tax","运费及税估价"
"Excl. Tax","不含税"
"Fast and easy check out","快速方便结帐"
"Fax","传真号"
"Forgot an Item?","忘记商品了？"
"Forgot your password?","忘记密码？"
"Get a Quote","询价"
"Grand Total:","总计："
"Grouped product image","组合商品的图片"
"HTML","HTML"
"ID","ID"
"Incl. Tax","含税"
"Invalid data","数据不正确"
"Invalid email address ""%s""","邮件地址不正确 ""%s"""
"Invalid shipping method.","配送方式不正确。"
"Items","商品"
"Load customer quote error","加载客户询价错误"
"Loading next step...","加载下一步..."
"Login","登录"
"Manage Checkout Terms and Conditions","管理结算条款"
"Maximum display Recently added item(s)","最近增加商品最大显示数"
"Maximum qty allowed for Shipping to multiple addresses is %s","多个地址配送允许的最高产品数量为%s"
"Move to Wishlist","移到收藏"
"My Account","我的帐户"
"My Cart","购物车"
"My Cart (%s item)","购物车 (%s商品)"
"My Cart (%s items)","购物车 (%s商品)"
"My Cart Link","购物车连接"
"New Address","新地址"
"New Condition","新条款"
"Order #","订单号 #"
"Order Review","查看订单"
"Order Success","订单成功"
"Other items in your order","您订购的其他商品"
"Password","密码"
"Payment Failed Email Reciever","支付失败邮件收件人"
"Payment Failed Email Sender","支付失败邮件发件人"
"Payment Failed Emails","支付失败邮件"
"Payment Failed Template","支付失败模版"
"Payment Information","支付信息"
"Payment Method","支付方式"
"Payment method is not defined","支付方式尚未定义"
"Place Order","下订单"
"Please <a href=""%s"">continue shopping</a>.","请 <a href=""%s"">继续购物</a>。"
"Please agree to all Terms and Conditions before placing the order.","在下订单之前请选择同意所有购买条款。"
"Please agree to all Terms and Conditions before placing the orders.","在下订单前请选择同意所有购买条款。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确的邮编，例如 90602 或 90602-1234"
"Please log in below:","请输入登录信息："
"Please select region, state or province","请选择省份或地区"
"Please select shipping address for applicable items","请选择匹配的商品配送地址"
"Please select shipping methods for all addresses","请选择所有地址的配送方式"
"Price","价格"
"Proceed to Checkout","结算"
"Product","商品"
"Product Name","商品名称"
"Product does not exist","商品不存在"
"Qty","件数"
"Quote Lifetime (days)","报价时间 (日)"
"Recently added item(s)","新近添加的物品"
"Register","注册帐号"
"Register and save time!","注册帐号，省时方便！"
"Register to Create an Account","注册帐户"
"Register with us for future convenience:","注册帐号让您将来购物更便利："
"Remove","删除"
"Remove Item","物品删除"
"Remove Product","删除商品"
"Remove item","删除记录"
"Review Order","查看订单"
"Review Order - %s","查看订单 - %s"
"Sales","销售"
"Save Condition","储存条款"
"Save in address book","储存到地址簿里"
"Select Address","选择地址"
"Select Addresses","选择地址"
"Select Shipping Method","选择配送方式"
"Select State/Province...","选择省份..."
"Select a billing address from your address book or enter a new address.","从您的地址簿中选择账单地址，或者输入新的地址。"
"Select a shipping address from your address book or enter a new address.","从您的地址簿中选择送货地址，或者输入新的地址。"
"Send Payment Failed Email Copy Method","支付失败邮件副本发送方式"
"Send Payment Failed Email Copy To","发送支付失败邮件副本到"
"Send to","收货人"
"Ship to Multiple Addresses","多地址发货"
"Ship to different address","发货到不同地址"
"Ship to this address","发货到此地址"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shipping Methods","配送方式"
"Shipping method has not been selected yet","尚未选择配送方式"
"Shipping selection is not applicable","配送选择不可用"
"Shipping to","发货地址"
"Shopping Cart","购物车"
"Shopping Cart Sidebar","购物车Sidebar"
"Shopping Cart is Empty","购物车空"
"Show Content as","内容显示格式"
"Some of the products you requested are not available in the desired quantity","您订购的某些商品数量不足"
"Some of the products you requested are unavailable","您订购的某些商品没有存货"
"Sorry, Onepage Checkout is disabled.","对不起，单页结帐已禁用。"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","对不起，未启用访客结帐功能。请重试或者联系店主。"
"Sorry, no quotes are available for this order at this time.","对不起，目前没有该订单的报价。"
"State/Province","省份"
"Status","状态"
"Store View","商店视图"
"Street Address","街道地址"
"Street Address ","街道地址 "
"Submitting order information...","提交订单信息..."
"Subtotal","小计"
"Telephone","电话"
"Terms and Conditions","条款"
"Terms and Conditions Information","条款信息"
"Terms and conditions","条款"
"Text","纯文本"
"Thank you for your purchase!","感谢您的惠顾！"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","您的购物车中有<a href=""%s""><strong>%s件商品</strong></a>。"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","购物车中有<a href=""%s""><strong>1件商品</strong></a>。"
"There is already a customer registered using this email address","已有客户注册了这个邮件地址"
"There was an error processing your order. Please contact us or try again later.","处理订单出错，请联系我们或稍后再试。"
"This condition no longer exists","此条款不存在"
"Total","总额"
"Total for this address","此地址之总计"
"Unit Price","单价"
"Update Qty &amp; Addresses","更新件数和地址"
"Update Shopping Cart","更新购物车"
"Update Total","更新总额"
"Use Billing Address","使用账单地址"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我们正处理您的订单，您很快会收到含有订单详细内容的邮件。订单发货后，您会收到另一封含有查询订单状态链接的邮件。"
"You have no items in your shopping cart.","您的购物车内没有商品。"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您将收到订单详情和追踪进度连接的确认邮件。"
"Your Checkout Progress","您的结帐进度"
"Your order # is: %s","您的订单是：%s"
"Your order # is: <a href=""%s"">%s</a>","您的订单号码是: <a href=""%s"">%s</a>"
"Your order has been received","您的订单已收到"
"Your order number is ","您的订单号码是 "
"Zip/Postal Code","邮编"
"osCommerce Orders","osCommerce 订单"
"separate by "",""","多个记录以半角逗号 "","" 分割"
"My Cart","我的购物车"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
