"# of Use","# 使用"
"%1$s incl tax.","%1$s 含税."
"%s - %s","%s - %s"
"%s Item(s)","%s件"
"(Copy data from: %s)","(所拷贝数据: %s)"
"Clear All Items","清楚所有商品"
"Close Window","关闭窗口"
"Collapse All","全部折叠"
"Comparable","可比较"
"Comparable on Front-end","可比较于前台"
"Compare Items","比较商品"
"Compare Products","比较商品"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","比较商品 - %d件商品"
"Compare Products List","比较商品列表"
"Compare list successfully cleared","成功删除比较列表"
"Conditions Combination","结合条件"
"Configurable Product","可设置商品"
"Configurable Product Settings","可设置商品的设置"
"Continue","继续"
"Copy From Configurable","拷贝于可设置商品"
"Country/State","国家/省份"
"Create","创建"
"Create (Upload)","创建（上载）"
"Create Empty","创建空档"
"Create Product Settings","创建商品设置"
"Create Simple Associated Product","创建简单相关商品"
"Create new category","创建新目录分类"
"Create new product","创建新商品"
"Cross-sells","交叉销售"
"Currently Shopping by","当前购物人"
"Custom Design","可定制设计"
"Custom Options","可定制选项"
"Customer Group","顾客分组"
"Customers Reviews","顾客评论"
"Customers Tagged Product","顾客设定标签的商品"
"Customers for alert %s was successfuly added to queue","成功添加提醒%s的客户到队列"
"Data Type for Saving in Database","保存在数据库的日期类型"
"Date","日期"
"Date & Time Custom Options","可定制的日期时间选项"
"Date Subscribed","数据订阅"
"Date fields order","Date fields order"
"Datetime","时间"
"Decimal","十进制"
"Decimal Number","小数"
"Declare attribute value saving scope","定义属性值保存范围"
"Default Qty","默认件数"
"Default Values","默认值"
"Default price","缺省价格"
"Default value","缺省值"
"Delete","删除"
"Delete Attribute","删除属性"
"Delete Attribute Set","删除属性组"
"Delete Category","删除目录分类"
"Delete Option","删除选项"
"Delete Row","删除行"
"Delete Search","删除搜寻"
"Delete Selected Group","删除搜寻组"
"Delete category","删除目录分类"
"Delete product","删除商品"
"Depends on design theme","以设计模版为准"
"Design","设计"
"Disabled","禁用"
"Display in Suggested Terms","显示建议过的关键字"
"Double click on a group to rename it","双点击以更换名字"
"Double click on above image to view full picture","双点击上面的图片以观全图"
"Dropdown","下拉菜单"
"Duplicate","复制"
"Duplicate website tier price customer group and quantity.","复制网站分层价格顾客组和数量。"
"Duplicate website, country and state tax found.","复制网站之国家和省份的税信息不存在。"
"Edit","修改"
"Edit Attribute Set '%s'","编辑属性组 '%s'"
"Edit Product Attribute","编辑商品属性"
"Edit Product Attribute ""%s""","编辑 ""%s""商品属性"
"Edit Search","编辑搜寻"
"Edit Search '%s'","编辑搜寻 '%s'"
"Email","电邮"
"Email to a Friend","分享"
"Empty","空档"
"Enabled","启用"
"Error during retrieval of option value: %s","读取选项参数时出现错误: %s"
"Error while adding customers for %s alert. Message: %s","添加%s提醒的客户时出错。信息：%s"
"Error while saving this group. Group with the same name already exists.","保存该组时出错，同名组已存在。"
"Error while saving this group. Please try again later.","保存该组时出错，请稍后再试。"
"Exclude","不包括"
"Expand All","全部展开"
"Failed","失败"
"Failed to move file: %s"," %s文件移动失败"
"Feature Products","主力(（推荐）商品"
"File options format is not valid","File options format is not valid"
"File upload failed","文件上传失败"
"Filter model name must be declared","请定义条件的型号名称"
"Filter must be as object. Set correct filter please","条件必须为对象，请修改条件"
"Filterable (no results)","可过滤 （不含结果）"
"Filterable (with results)","可过滤 （含结果）"
"Filters must be as array","条件必须为数组"
"First Name","名字"
"Fixed","固定的"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","内部使用，必须唯一且不含空格"
"For reindex enabled product(s) you need specify store or product","您需要为支持索引商品指定 store 或 product 对象参数"
"Frontend","前提"
"Frontend Model","前台型号"
"Frontend Properties","前台属性"
"Gallery","图片库"
"General Information","基本信息"
"Get special price","获取特价信息"
"Global","全站"
"Globally Editable","适于全站编辑"
"Go to Home Page","返回首页"
"Grid","格"
"Grouped Product","组合商品"
"Groups","组"
"Home","首页"
"ID","编号"
"ID: %s","编号: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","如一商店不指定一个选项，那么默认的（管理）值将被使用。"
"Image","图片"
"Image content is not valid base64 data.","图片内容非正确的base64数据。"
"Image file not found","图片文件没找到"
"Image not exists","图片不存在"
"Image not specified.","未指定图片。"
"Image type and information need to be specified for each store view.","每个商店的图片格式和信息需要确认。"
"In Stock","有库存"
"In stock","有库存"
"In stock.","有库存。"
"Incl. Tax","含税"
"Input Type","输入类型"
"Input Validation for Store Owner","输入格式"
"Integer","整数"
"Integer Number","整数"
"Invalid Tier Prices","I错误的分级价格"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","属性%s (%s)的属性选项不正确，忽略该记录"
"Invalid attribute set specified, skipping the record","属性组合不正确，忽略该记录"
"Invalid block: %s","方框不正确：%s"
"Invalid category","错误的分类"
"Invalid category IDs","分类编号不正确"
"Invalid image file type","图片文件类型不正确"
"Invalid image type.","错误的图片类型"
"Invalid option id specified for %s (%s), skipping the record","%s (%s)的选项编号不正确，忽略该记录"
"Invalid product type specified, skipping the record","商品类型不正确，忽略该记录"
"Invalid store specified","错误的指定商店"
"Invalid store specified, skipping the record","商店不正确，忽略该记录"
"Inventory","库存"
"Is Default","为默认"
"Is Required","必填项"
"Items %s to %s of %s total","商品%s到%s，共%s件"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","不要显示在目录或搜索结果中的商品， 相应商店中的状态要设置为'禁用'。"
"Label","标签"
"Last Name","姓"
"Last Notification","最新提醒"
"Learn More","了解更多"
"Length of text is too long","文本过长"
"Letters","字母"
"Letters(a-zA-Z) or Numbers(0-9)","字母(a-zA-Z)或数字(0-9)"
"Line %d, Email: %s","行%d，电子邮件：%s"
"Line %d, SKU: %s","行%d，SKU: %s"
"Link (Related, Up sell, Cross sell)","连接（关联，推荐销售，交叉销售）"
"Link product not exists.","连接产品不存在。"
"List","列表"
"List Mode","列表式"
"Manage Attribute Sets","属性分组管理"
"Manage Attributes","属性管理"
"Manage Catalog Categories","目录分类管理"
"Manage Categories","目录分类管理"
"Manage Label / Options","标签 /选项管理"
"Manage Options (values of your attribute)","选项管理 (属性值)"
"Manage Product Attributes","商品属性管理"
"Manage Product Sets","商品分组管理"
"Manage Products","商品管理"
"Manage Stock","管理库存"
"Manage Titles (Size, Color, etc.)","管理标题 (大小、颜色等。)"
"Max Characters","最大字符数目"
"Maximal Depth","最大层数"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","购物车中允许的最多商品数量"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","最大字符数目"
"Media Image","媒体图片"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","购物车中必须的最少商品数量"
"Minimum Qty for Item's Status to be Out of Stock","商品缺货状态的最低数量"
"Missing SKU, skipping the record","缺少 SKU，忽略该记录"
"More Views","更多"
"Move","移动"
"Move category in tree","移目录分类至树状式分类"
"Multiple Select","多选"
"Name","名称"
"Name In %s","%s中名称"
"Name<br/>(For internal use)","名称<br/>(内部使用)"
"New Category","新分类"
"New Product","新商品"
"New Product Attribute","新商品属性"
"New Products","新商品"
"New Search","新搜寻"
"New Set Name","新组名字"
"Next","下一步"
"No","不要"
"No image","无图片"
"No layout updates","无页面更新"
"No options of this product are available.","此商品之选项不存在。"
"No product collections found","没有找到商品组合"
"None","无"
"Not shared with other products","没有与其它商品共享"
"Notify Low Stock RSS","RSS低库存提醒"
"Notify for Quantity Below","提醒数量低于"
"Nowhere","不可见"
"Number of Uses","使用次数"
"Number of results<br/>(For last time placed)","结果数量<br/>(最后一次)"
"OR","或"
"Old Price:","旧价格:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","选项:"
"Options Control","选项控制"
"Options is required","必填选项"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","无库存"
"Out of stock","无库存"
"Out of stock.","缺货。"
"PM","PM"
"Page Title Separator","页面标题分界线"
"Page:","页："
"Parent Category","主（Parent）目录分类"
"Pending","待审"
"Pending Reviews RSS","待审评论的RSS"
"Percentage","百分比"
"Please add rows to option.","请添加行选项。"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","请注意，当您点击所选择的文件栏段（row）后，该文件包的数据将被加载，所有未储存的数据将不被保留。"
"Please click on Close Window button if it won't be closed automatically","如果窗口没有自动关闭，点关闭按钮"
"Please enter a new group name","请输入新的分组名称"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","请通过 系统-> <a href=""%s"">缓存管理</a> 刷新""目录重写""和""分层导航索引"""
"Please select  items","请选择商品"
"Please select one or more attributes.","请选择一个或更多属性。"
"Please select product(s)","请选择商品"
"Please select products for attributes update","请选择商品以更新属性。"
"Please select static block ...","请选择固定方框 ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","请指定产品选项"
"Please specify the product required option(s)","请指定商品的必选项。"
"Please specify the product(s) quantity","请指定产品数量"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","位置"
"Position In Layered Navigation","层导航中位置"
"Position of attribute in layered navigation block","于layered navigation区块内的属性位置"
"Prev","前页"
"Previous","前页"
"Price","价格"
"Price Type","价格类型"
"Price values for options should be specified in system base currency.","价格选项值必须指定在系统的基准货币里。"
"Price:","价格:"
"Print This Page","打印此页"
"Problem saving the collection, aborting. Error: %s","保存组合时出错，退出。错误：%s"
"Product","商品"
"Product %s successfully added to compare list","成功增加商品%s到比较列表"
"Product %s successfully removed from compare list","成功从比较列表中删除商品%s"
"Product API","商品API"
"Product Alerts","商品提示"
"Product Attribute","商品属性"
"Product Attributes","商品属性"
"Product Categories","商品目录"
"Product Description","商品说明"
"Product Image Placeholders","商品图像方框"
"Product Image Watermarks","商品水印图片"
"Product Images","商品图片"
"Product Images API","商品图片API"
"Product In Websites","商品于网站中"
"Product Info Column","商品信息栏"
"Product Information","商品信息"
"Product Name","商品名"
"Product Reviews","商品评论"
"Product Tags","商品标签"
"Product Tier Price API","商品分级价格API"
"Product Type","商品类型"
"Product URL Suffix","商品URL后缀"
"Product attribute sets API","商品属性组API"
"Product attribute was successfully deleted","成功删除商品属性"
"Product attribute was successfully saved","成功保存商品属性"
"Product attributes API","商品属性API"
"Product collection expected","需要商品组合"
"Product deleted","商品已删除"
"Product duplicated","商品重复"
"Product has required options","商品包含必选项"
"Product links API (related, cross sells, up sells)","商品连接 API （相关商品，交叉销售，推荐销售）"""
"Product listing sort by","Product listing sort by"
"Product saving error.","保存商品出错。"
"Product saving error. ","商品保存有误。 "
"Product types API","商品类型API"
"Product was successfully created.","成功创建商品。"
"Product was successfully saved.","成功保存商品"
"Product with this combination of attributes already associated to configurable.","此组合之属性商品已经绑定到可设置里"
"Products","商品"
"Products Information","商品信息"
"Products Reviews","商品评论"
"Products Sitemap","商品检索"
"Products only","仅限于商品"
"Products per Page on Grid default value","每页多栏商品数量的缺省值"
"Products per Page on List allowed values","单栏列表模式下每页商品显示数允许值"
"Products per Page on List default value","每页列表商品数量的缺省值"
"Products per page on Grid allowed values","多栏模式下每页商品显示数量允许值"
"Properties","属性"
"Qty","件数"
"Qty Uses Decimals","使用十进制于件数中"
"Qty for Item's Status to become Out of Stock","商品件数状态置为无库存"
"Quick Create","快速创建"
"Quick Overview","快速查看"
"Quick simple product creation","简单商品快速创建"
"Records for ""","记录于"""
"Redirect","重定向"
"Redirect URL","重定向URL"
"Regular Price:","原价:"
"Related Products","相关商品"
"Remove","删除"
"Remove Product","删除商品"
"Remove Product From Websites","于网站中删除商品"
"Remove This Item","删除此商品"
"Remove product assignment","删除商品派任"
"Remove product image","删除商品图片"
"Remove product link","删除商品链接"
"Required","必填"
"Reset","重置"
"Results","结果"
"Retrieve attribute data","读取属性数据"
"Retrieve attribute list","读取属性列表"
"Retrieve attribute options","读取属性选项
Retrieve categories tree"""
"Retrieve categories tree","获取分类树"
"Retrieve category attributes","读取目录属性"
"Retrieve category data","读取目录数据"
"Retrieve hierarchical tree","读取分级(目录)树"
"Retrieve linked products","读取已连接商品"
"Retrieve list of assigned products","读取已指派之商品列表"
"Retrieve one level of categories by website/store view/parent category","由网站/商店/主目录里读取（其中）一级目录分类"
"Retrieve product","读取商品"
"Retrieve product attribute sets","读取商品属性组"
"Retrieve product image","读取商品图片"
"Retrieve product image list","读取商品图片列表"
"Retrieve product image types","读取商品图片类型"
"Retrieve product link type attributes","读取商品连接类型属性"
"Retrieve product link types","读取商品连接类型"
"Retrieve product tier prices","读取商品分级价格"
"Retrieve product types","读取商品连类型"
"Retrieve products data","读取商品数据"
"Retrieve products list by filters","过滤式读取商品列表"
"Review successfully deleted","成功删除评论"
"Review was saved successfully","成功保存评论"
"Review was successfully saved","成功保存评论"
"Reviews","评论"
"Roll Over for preview","（鼠标）滑过预览"
"Root","根（最高级目录）"
"SKU","SKU"
"Save","储存"
"Save And Continue Edit","保存并继续修改"
"Save Attribute","储存属性"
"Save Attribute Set","储存属性组"
"Save Category","储存目录"
"Save Search","储存搜寻"
"Saved ","保存 "
"Scope","范围"
"Search","搜寻"
"Search Engine Optimizations","搜寻器优化"
"Search Information","搜寻信息"
"Search Query","搜寻要求"
"Search Term was successfully saved","成功保存搜索关键词"
"Search Term with such search query already exist.","搜索关键词已存在。"
"Search was successfully deleted","成功删除搜索"
"Searchable","可搜寻"
"Select Configurable Attributes ","选择可设置属性"
"Select type of option","选择选项类型"
"Select type options required values rows.","选择类型选项需指定选项值数组"
"Selected Product Types","选择商品类型"
"Selected configuration is not available.","所选的设置无效。"
"Send Count","发送计算"
"Set Ascending Direction","设为升序"
"Set Descending Direction","设为降序"
"Set Name","设置名称"
"Set Root Category For Store","给商店设置根分类"
"Set root category for this store in the <a href=""%s"">configuration</a>","于<a href=""%s"">设置</a>里设最高级目录于此商店"
"Set special price","设特价"
"Set/Get current store view","设或读取现有商店"
"Settings","设置"
"Shop by","购物"
"Shopping Options","分类选项"
"Show","显示"
"Show Details","显示详情"
"Show Tags","显示标签"
"Simple Product","单一商品"
"Site Map","网站地图"
"Sitemap","网站地图"
"Skip import row, is not valid value ""%s"" for field ""%s""","忽略导入行，不是正确的 ""%s"" 在栏目 ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","忽略导入行，新客户的必填栏目""%s""未定义"
"Skip import row, required field ""%s"" for new products not defined","忽略导入行，新商品的必填栏目""%s""未定义"
"Skip import row, required field ""%s"" not defined","忽略导入行，必填栏目""%s""未定义"
"Skip import row, store ""%s"" field not exists","忽略导入行，商店""%s""栏目不存在"
"Sort Order","排序"
"Sort by","排序"
"Source Model","源型号"
"Special Price:","特价:"
"Starting at:","起价:"
"Static","静态"""
"Static block and products","固定方框/区块和商品"
"Static block only","仅用于固定方框/区块"
"Status","状态"
"Stock Availability","库存情况"
"Store","商店"
"Store View","商店界面"
"Stretch","伸展"
"Subscribe to Feed","订阅Feed"
"Subscribe to RSS Feed","订阅RSS Feed"
"Super product attributes configuration","高级商品属性设置"
"Synonym For","同义"
"Synonym for","同义"
"System","系统"
"System Properties","系统属性"
"Tag Name","标签名称"
"Tax","税"
"Text","文本"
"Text Area","文字区域"
"Text Field","文字栏目"
"There are no %s available.","没有%s。"
"There are no customers for this alert","这提示里没有顾客档案。"
"There are no products matching the selection.","此选择里没有可匹配的商品"
"There was an error while adding products to websites","增加商品到网站时出错"
"There was an error while cleared compare list","清空比较列表出错"
"There was an error while removing products from websites","从网站删除商品时出错"
"There was an error while updating product(s) attributes","更新商品属性时出错"
"There was an error while updating product(s) status","更新商品状态出错"
"This attribute no longer exists","此属性组经已不存在。"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","此组别有用于可设置商品之属性。请移这些属性到另一组别里，然后再试。"
"This group contains system attributes. Please move system attributes to another group and try again.","该属性组包含系统属性。请将系统属性移到另外一个组后再试。"
"This is a required option","必填项"
"This search no longer exists","该搜索已不存在"
"Tier Pricing","分级价格"
"Tile","排列"
"Time format","Time format"
"Title","标题"
"Top/Left","上/左"
"Top/Right","上/右"
"Total Qty Base Items","基本商品总件数"
"Total incl. Tax: %1$s","总计含税: %1$s"
"Total of %d record(s) were successfully deleted","成功删除%d个记录"
"Total of %d record(s) were successfully updated","成功更新%d个记录"
"Type","类型"
"Unable to complete request. Please try again later.","无法完成请求，请稍后再试。"
"Unable to find a search term to delete","没有找到要删除的搜索关键词"
"Unable to find an attribute to delete","没有找到要删除的属性"
"Unable to get product id.","无法取得商品编号。"
"Unassigned Attributes","尚未指定的属性"
"Unique Value","唯一值"
"Unique Value (not shared with other products)","唯一值 (没有与其它商品共享)"
"Unknown attribute: %s","未知属性：%s"
"Up-sells","推荐销售"
"Update","更新"
"Update Attributes","更新属性"
"Update Tier Price","更新分层价格"
"Update assigned product","更新被指定的商品"
"Update attributes","更新属性"
"Update category","更新目录"
"Update product","更新商品"
"Update product image","更新商品图片"
"Update product link","更新商品连接"
"Update product tier prices","更新商品分层价格"
"Upload new product image ","上传商品图片 "
"Url","网址"
"Url Rewrite Management","Url Rewrite管理"
"Url rewrie save problem.","网址重写保存问题。"
"Use Config Settings","使用可设置设定"
"Use Default Value","使用默认值"
"Use Flat Catalog Category","使用单层（Flat）目录分类"
"Use Flat Catalog Product","使用单层（Flat） 商品目录"
"Use In Layered Navigation","使用于Layered Navigation"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","用于分级导航<br/>(仅用于目录输入类型'下拉菜单')"
"Use In Search Results Layered Navigation","使用搜寻结果于Layered Navigation"
"Use JavaScript Calendar","使用JavaScript月历"
"Use To Create Configurable Product","使用于创建可设置商品"
"Use Tree Like Category Sitemap","使用树状目录检索"
"Use categories path for product URLs","商品网址使用分类路径"
"Use in advanced search","用于高级搜索"
"Use in quick search","用于快速搜索"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","必填项"
"Varchar","变量"
"View as","查看"
"Virtual Product","虚拟商品"
"Visibility","可显示"
"Visible","可显示"
"Visible on Catalog Pages on Front-end","显示于前台目录页"
"Visible on Product View Page on Front-end","显示于前台商品页"
"Watermark","水印"
"Watermark Default Size","水印默认尺寸"
"Watermark Position","水印位置"
"We Also Recommend","我们推荐的商品"
"Web Site Item Must be checked","Web Site Item Must be checked"
"Web Site Store Must be checked","Web Site Store Must be checked"
"Website","网站"
"Websites","网站"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","选项分组里错误读取分组实例。"
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","年限"
"Yes","是"
"Yes/No","是/否"
"You cannot delete this attribute","无法删除该属性"
"You cannot edit this attribute","无法修改该属性"
"You cannot remove system attribute from this set.","不能从改组合中删除系统属性。"
"You cannot update this attribute","无法更新该属性"
"You have no items to compare.","您没有可比较的商品。."
"You may also be interested in the following product(s)","您可能对这些商品感兴趣"
"Zoom In","放大"
"Zoom Out","缩小"
"[GLOBAL]","[全站]"
"and","和"
"and above","及以上"
"cache refresh needed","需要刷新缓存"
"categories","目录分类"
"comma separated","以半角逗号分隔"
"each","一个"
"ex. http://domain.com","例如 http://domain.com"
"leave blank if its not an image","若非图片，留空白"
"must be in the allowed values list","必须从允许取值列表中选择"
"per page","件"
"products","商品"
"px.","px."
"save","储存"
"select all","全选"
"unselect all","去除全选"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","件数："
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","网站地图"
"Go to Home Page","返回首页"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
