"# of Use","# จำนวนที่ใช้"
"Delete Selected Group","ลบกลุ่มที่เลือก"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","ดีไซน์"
"Disabled","ปิดการใช้งาน"
"Display in Suggested Terms","แสดงในคำที่แนะนำ"
"Double click on a group to rename it","ดับเบิ้ลคลิ๊กที่กลุ่มเพื่อทำการแก้ไขชื่อ"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","ดรอปดาวน์"
"Duplicate","ทำสำเนา"
"Duplicate website tier price customer group and quantity.","จำลองเว็บไซต์ระดับราคาของกลุ่มลูกค้าและปริมาณ"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","แก้ไข"
"Edit Attribute Set '%s'","แก้ไขชุดคุณลักษณะ '%s'"
"Edit Product Attribute","แก้ไขคุณลักษณะสินค้า"
"Edit Product Attribute ""%s""","แก้ไขคุณลักษณะสินค้า ""%s"""
"Edit Search","แก้ไขการค้นหา"
"Edit Search '%s'","แก้ไขการค้นหา '%s'"
"Email","อีเมลล์"
"Email to a Friend","ส่งอีเมล์ไปยังเพื่อน"
"Empty","ว่างเปล่า"
"Enabled","เปิดการใช้งาน"
"Error during retrieval of option value: %s","พบข้อผิดพลาดขณะดึงค่าตัวเลือก: %s"
"Error while adding customers for %s alert. Message: %s","พบข้อผิดพลาดขณะเพิ่มลูกค้าในการแจ้งเตือน %sข้อความ: %s"
"Error while saving this group. Group with the same name already exists.","พบข้อผิดพลาดขณะทำการบันทึกกลุ่มนี้ มีกลุ่มที่มีชื่อเดียวกันอยู่แล้ว"
"Error while saving this group. Please try again later.","พบข้อผิดพลาดขณะบันทึกกลุ่มนี้ กรุณาลองใหม่อีกครั้ง"
"Exclude","เอาออก"
"Expand All","Expand All"
"Failed","ล้มเหลว"
"Failed to move file: %s","การย้ายไฟล์ล้มเหลว: %s"
"Feature Products","ลักษณะสินค้า"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","ต้องประกาศชื่อโมเดลตัวกรอง"
"Filter must be as object. Set correct filter please","ตัวกรองจะต้องเป็น Object กรุณาตั้งตัวกรองที่ถูกต้อง"
"Filterable (no results)","ใช้ตัวกรองได้ (ไม่ใช้ผลลัพธ์)"
"Filterable (with results)","สามารถใช้ตัวกรองได้ (พร้อมผลลัพธ์)"
"Filters must be as array","ตัวกรองต้องเป็นแบบ Array"
"First Name","ชื่อ"
"Fixed","คงที่"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","สำหรับใช้ภายใน ต้องไม่ซ้ำและไม่มีเว้นวรรค"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","ส่วนหน้าเว็บ"
"Frontend Model","แบบส่วนหน้า"
"Frontend Properties","คุณสมบัติ ส่วนหน้า "
"Gallery","แกลเลอรี่"
"General Information","ข้อมูลทั่วไป"
"Get special price","Get special price"
"Global","โดยรวม"
"Globally Editable","สามารถแก้ไขได้โดยทั่วไป"
"Go to Home Page","ไปยังหน้าหลัก"
"Grid","แนวตั้ง"
"Grouped Product","สินค้าที่จัดเป็นกลุ่ม"
"Groups","กลุ่ม"
"Home","หน้าหลัก"
"ID","รหัส"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","รูปภาพ"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","ไม่พบไฟล์รูปภาพ"
"Image not exists","ไม่มีภาพ"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","ต้องมีการระบุประเภทรูปภาพและข้อมูลสำหรับมุมมองแต่ละร้าน"
"In Stock","ในคลังสินค้า"
"In stock","ในคลังสินค้า"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","การตรวจสอบความถูกต้องของข้อมูลที่นำเข้าสำหรับเจ้าของร้าน"
"Integer","จำนวนเต็ม"
"Integer Number","เลขจำนวนเต็ม"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","การระบุคุณลักษณะตัวเลือกสำหรับคุณลักษณะ %s (%s) ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid attribute set specified, skipping the record","การระบุชุดคุณลักษณะไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid block: %s","Block ไม่ถูกต้อง: %s"
"Invalid category","Invalid category"
"Invalid category IDs","รหัสประเภทไม่ถูุกต้อง"
"Invalid image file type","ประเภทไฟล์ภาพไม่ถูกต้อง"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","การระบรหัสตัวเลือกสำหรับ %s (%s) ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid product type specified, skipping the record","ประเภทสินค้าที่ระบุไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid store specified","กำหนดร้านค้าไม่ถุกต้อง"
"Invalid store specified, skipping the record","การระบุร้านไม่ถูกต้อง กำลังข้ามรายการ"
"Inventory","สินค้าที่มีอยู่ร้าน"
"Is Default","เป็นค่าเริ่มต้น"
"Is Required","Is Required"
"Items %s to %s of %s total","รายการที่ %s ถึง %s จากทั้งหมด %s "
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store."," ในความต้องการของร้านค้า รายการทีคุณไม่ต้องการให้แสดงในรายการสินค้า หรือ จากการค้นหาควรจะให้มีสถานะ'ปิดใช้งาน'"
"Label","ป้าย"
"Last Name","นามสกุล"
"Last Notification","การแจ้งเตือนครั้งสุดท้าย"
"Learn More","ดูรายละเอียดเพิ่มเติม"
"Length of text is too long","Length of text is too long"
"Letters","ตัวอักษร"
"Letters(a-zA-Z) or Numbers(0-9)","ตัวอักษร(a-zA-Z) หรือตัวเลข(0-9)"
"Line %d, Email: %s","Line %d, Email: %s"
"Line %d, SKU: %s","Line %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","รายการ"
"List Mode","โหมดรายการ"
"Manage Attribute Sets","จัดการชุดคุณลักษณะ"
"Manage Attributes","จัดการคุณลักษณะ"
"Manage Catalog Categories","จัดการประเภทของแค็ตตาล็อค"
"Manage Categories","จัดการประเภท"
"Manage Label / Options","จัดการป้าย / ตัวเลือก"
"Manage Options (values of your attribute)","จัดการตัวเลือก(ค่าของคุณลักษณะของคุณ)"
"Manage Product Attributes","จัดการคุณลักษณะสินค้า"
"Manage Product Sets","จัดการชุดสินค้า"
"Manage Products","จัดการสินค้า"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","จัดการหัวข้อ(ขนาด,สี,ฯลฯ)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","จำนวนมากที่สุดที่อนุมัติในรถเข็น"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","ภาพ Media"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","จำนวนที่น้อยที่สุดที่อนุมัติในรถเข็น"
"Minimum Qty for Item's Status to be Out of Stock","จำนวนที่น้อยที่สุดสำหรับรายการที่จะออกจากคลังสินค้า"
"Missing SKU, skipping the record","รายการสินค้าในร้านหายไป, กำลังข้ามรายการ"
"More Views","มุมมองเพิ่มเติม"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","เลือกหลายตัวเลือก"
"Name","ชื่อ"
"Name In %s","ชื่อใน %s"
"Name<br/>(For internal use)","ชื่อ<br/>(สำหรับใช้ภายใน)"
"New Category","ประเภทใหม่่"
"New Product","สินค้าใหม่"
"New Product Attribute","คุณลักษณะใหม่ของสินค้า"
"New Products","สินค้าใหม่"
"New Search","การค้นหาใหม่"
"New Set Name","ชื่อชุดใหม่"
"Next","ถัดไป"
"No","ไม่ใช่"
"No image","ไม่มีรูปภาพ"
"No layout updates","ไม่มีการอัพเดท เลย์เอาท์"
"No options of this product are available.","ไม่มีตัวเลือกสำหรับสินค้านี้"
"No product collections found","ไม่พบคอลเลคชั่นสินค้า"
"None","ไม่มี"
"Not shared with other products","ไม่ใช้ร่วมกับสินค้าอื่น"
"Notify Low Stock RSS","แจ้งเตือนเมื่อสินค้าในสต๊อกเหลือน้อย RSS"
"Notify for Quantity Below","แจ้งเตือนสำหรับปริมาณที่ลดลง"
"Nowhere","ไม่ปรากฏที่ไหน"
"Number of Uses","จำนวนที่ใช้"
"Number of results<br/>(For last time placed)","จำนวนผลลัพธ์<br/>(จากที่ได้ดำเนินการครั้งหลังสุด)"
"OR","หรือ"
"Old Price:","ราคาเก่า:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","ตัวเลือก:"
"Options Control","ควบคุมตัวเลือก"
"Options is required","ต้องการตัวเลือก"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","สินค้าหมดคลังสินค้า"
"Out of stock","สินค้าหมดคลังสินค้า"
"Out of stock.","สินค้าหมดคลังสินค้า."
"PM","PM"
"Page Title Separator","ตัวแยกหัวข้อหน้าหน้า"
"Page:","หน้า:"
"Parent Category","ประเภทหลัก"
"Pending","รอตรวจสอบ"
"Pending Reviews RSS","บทวิจารณ์ RSS กำลังรอการตรวจสอบ"
"Percentage","เปอร์เซ็นต์"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","กรุณาคลิกปุ่มปิดหน้าต่าง ถ้ามันไม่ปิดโดยอัตโนมัติ"
"Please enter a new group name","กรุณาใส่ชื่อกลุ่มใหม่"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","กรุณาเลือกคุณลักษณะหนึ่งอย่างหรือมากกว่า"
"Please select product(s)","กรุณาเลือกสินค้า"
"Please select products for attributes update","กรุณาเลือกสินค้าที่จะอัพเดทคุณลักษณะ"
"Please select static block ...","กรุณาเลือก static block ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","ตำแหน่ง"
"Position In Layered Navigation","ตำแหน่งในระดับ Navigation"
"Position of attribute in layered navigation block","ตำแหน่งของคุณลักษณะ layered navigation ถูกบล็อค"
"Prev","ก่อนหน้า"
"Previous","ก่อนหน้านี้"
"Price","ราคา"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","ค่าราคาสำหรับข้อกำหนดจะเจาะจงอยู่ในพื้นฐานระบบสกุลเงิน"
"Price:","ราคา:"
"Print This Page","พิมพ์หน้านี้"
"Problem saving the collection, aborting. Error: %s","พบปัญหาในการบันทึกข้อมูลกำลังยกเลิกการบันทึก ข้อผิดพลาด: %s"
"Product","Product"
"Product %s successfully added to compare list","เพิ่มสินค้า %s ลงในรายการเปรียบเทียบแล้ว"
"Product %s successfully removed from compare list","ย้ายผลิตภัฑณ์จากรายการเปรียบเทียบสำเร็จ"
"Product API","Product API"
"Product Alerts","แจ้งเตือนสินค้า"
"Product Attribute","คุณลักษณะสินค้า"
"Product Attributes","คุณลักษณะสินค้า"
"Product Categories","ประเภทสินค้า"
"Product Description","รายละเอียดสินค้า"
"Product Image Placeholders","รูปภาพสินค้า Placeholders"
"Product Image Watermarks","ภาพลายน้ำ้สินค้า"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","สินค้าในเว็บไซต์"
"Product Info Column","Product Info Column"
"Product Information","ข้อมูลสินค้า"
"Product Name","ชื่อสินค้า"
"Product Reviews","บทวิจารณ์สินค้า"
"Product Tags","Tags สินค้า"
"Product Tier Price API","Product Tier Price API"
"Product Type","ประเภทสินค้า"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","ลบคุณลักษณะสินค้าแล้ว"
"Product attribute was successfully saved","บันทึกคุณลักษณะสินค้าแล้ว"
"Product attributes API","Product attributes API"
"Product collection expected","ระบบต้องการข้อมูลคอลเลคชั่นสินค้า"
"Product deleted","ลบสินค้าแล้ว"
"Product duplicated","สินค้าซ้ำกัน"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","ข้อผิดพลาดในการบันทึกสินค้า"
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","สร้างสินค้าสำเร็จ"
"Product was successfully saved.","บันทึกสินค้าแล้ว"
"Product with this combination of attributes already associated to configurable.","ผลิตภัณฑ์รวมเข้าด้วยกันกับคุณลักษณะเรียบร้อยแล้วที่สัมพันธ์ถึงการแก้ไข"
"Products","สินค้า"
"Products Information","ข้อมูลสินค้า"
"Products Reviews","บทวิจารณ์สินค้า"
"Products Sitemap","แผนผังสินค้า"
"Products only","เฉพาะสินค้า"
"Products per Page on Grid default value","สินค้าต่อหน้าบนค่าเริ่มต้นแบบ Grid "
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","สินค้าต่อหน้าบนค่าเริ่มต้นแบบ List"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","คุณสมบัติ"
"Qty","จำนวน"
"Qty Uses Decimals","จำนวนทศนิยมที่ใช้"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","สร้างแบบเร็ว"
"Quick Overview","รายละเอียด"
"Quick simple product creation","สร้างตัวอย่างสินค้าแบบเร็ว"
"Records for ""","บันทึกสำหรับ """
"Redirect","Redirect"
"Redirect URL","Redirect URL"
"Regular Price:","ราคาปกติ:"
"Related Products","สินค้าที่เกี่ยวข้อง"
"Remove","ลบออก"
"Remove Product","ลบสินค้าออก"
"Remove Product From Websites","ลบสินค้าออกจากเว็บไซต์"
"Remove This Item","ลบรายการสินค้านี้ออก"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","จำเป็น"
"Reset","รีเซ็ต"
"Results","ผลลัพธ์"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","ลบบทวิจารณ์แล้ว"
"Review was saved successfully","บันทึกบทวิจารณ์แล้ว"
"Review was successfully saved","บันทึกบทวิจารณ์แล้ว"
"Reviews","บทวิจารณ์"
"Roll Over for preview","Roll Over สำหรับการแสดงตัวอย่าง"
"Root","Root"
"SKU","SKU"
"Save","บันทึก"
"Save And Continue Edit","บันทึกและแก้ไขต่อ"
"Save Attribute","บันทึกคุณลักษณะ"
"Save Attribute Set","บันทึกชุดคุณลักษณะ"
"Save Category","บันทึกประเภทสินค้า"
"Save Search","บันทึกการค้นหา"
"Saved ","บันทึกแล้ว"
"Scope","ขอบเขต"
"Search","ค้นหา"
"Search Engine Optimizations","การปรับแต่งเครื่องมือในการค้นหา"
"Search Information","ข้อมูลการค้นหา"
"Search Query","ค้นหา Query"
"Search Term was successfully saved","บันทึกคำค้นหาแล้ว"
"Search Term with such search query already exist.","มีคำค้นหาที่เกี่ยวกับคำคันหาเช่นนี้แล้ว"
"Search was successfully deleted","ลบการค้นหาแล้ว"
"Searchable","สามารถค้นหาได้"
"Select Configurable Attributes ","เลือกคุณลักษณะที่ปรับแต่งได้ "
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","เลือกประเภทสินค้า"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","นับการส่ง"
"Set Ascending Direction","ตั้งค่าเป็นเรียงจากน้อยไปมาก"
"Set Descending Direction","ตั้งค่าตามลำดับมากไปน้อย"
"Set Name","ชื่อชุดสินค้า"
"Set Root Category For Store","ตั้งค่า Root Category สำหรับร้านค้า"
"Set root category for this store in the <a href=""%s"">configuration</a>","ตั้งค้า root category สำหรับร้านค้านี้ใน<a href=""%s"">การตั้งค่า</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","ตั้งค่า"
"Shop by","ซื้อโดย"
"Shopping Options","ตัวเลือกการซื้อ"
"Show","แสดง"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","ตัวอย่างสินค้า"
"Site Map","แผนผังเว็บไซต์"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","ข้ามการนำเข้าแถว,ค่าไม่ถูกต้อง ""%s"" สำหรับฟิลด์ ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","ข้ามการนำเข้าแถว, ต้องการฟิดล์""%s"" สำหรับลูกค้าใหม่ที่ไม่ได้กำหนด"
"Skip import row, required field ""%s"" for new products not defined","ข้ามการนำเข้าแถว, ต้องการฟิดล์ ""%s"" สำหรับสินค้าใหม่ที่ไม่ได้กำหนด"
"Skip import row, required field ""%s"" not defined","ข้ามการนำเข้าแถว, ต้องการฟิดล์ ""%s"" ไม่ได้กำหนด"
"Skip import row, store ""%s"" field not exists","ข้ามการนำเข้าแถว ""%s""ไม่มีฟิลด์อยู่"
"Sort Order","เรียงออเดอร์"
"Sort by","เรียงตาม"
"Source Model","แหล่งข้อมูลโมเดล"
