" Copy"," Αντιγραφή"
"There was an error while saving your subscription","Υπήρξε ένα σφάλμα κατά τη διάρκεια της αποθήκευσης της συνδρομής σας"
"Toggle Editor","Εναλλαγή Editor"
"Type","Τύπος"
"Unsubscribe","Ακύρωση Συνδρομής"
"Unsubscribe Selected","Επιλέχθηκε η Ακύρωση Συνδρομής"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Αποστολέας Email ακύρωσης συνδρομής"
"Unsubscription Email Template","Πρότυπο(Template) Email ακύρωσης συνδρομής"
"View Newsletter","Εμφάνιση Δελτίου Νέων"
"Website","Ιστότοπος"
"You have been successfully unsubscribed.","Ακυρώσατε επιτυχώς τη συνδρομή σας."
"Your subscription was successfully confirmed","Η συνδρομή σας επιβεβαιώθηκε επιτυχώς"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
