"* Required Fields","* Υποχρεωτικά Πεδία"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Δημιουργώντας ένα λογαριασμό στο κατάστημά μας, θα έχετε τη δυνατότητα να κινηθείτε γρηγορότερα κατά τη διαδικασία πληρωμής, να εισάγετε πολλαπλές διευθύνσεις αποστολής, να βλέπετε και να παρακολουθείτε τις παραγγελίες σας και πολλά άλλα."
"CSV","CSV"
"Can't save address","Δεν είναι εφικτή η αποθήκευση της διεύθυνσης"
"Can't save customer","Δεν είναι εφικτή η αποθήκευση του πελάτη"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Ακύρωση"
"Change Account Password","Αλλαγή Κωδικού Λογαριασμού"
"Change Billing Address","Αλλαγή Διεύθυνσης Χρέωσης"
"Change Password","Αλλαγή Κωδικού"
"Change Shipping Address","Αλλαγή Διεύθυνσης Αποστολής"
"City","Πόλη"
"Company","Εταιρία"
"Config","Διαμόρφωση"
"Confirm New Password","Επιβεβαίωση Νέου Κωδικού"
"Confirm Password","Επιβεβαίωση Κωδικού"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Στοιχεία Επικοινωνίας"
"Continue Shopping","Συνεχίστε τις Αγορές σας"
"Country","Χώρα"
"Create","Create"
"Create New Account Options","Επιλογές Δημιουργίας Νέου Λογαριασμού"
"Create New Customer Account","Δημιουργία Λογαριασμού Νέου Πελάτη"
"Create Order","Δημιουργία Παραγγελίας"
"Create an Account","Δημιουργία ενός Λογαριασμού"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","Τρέχων Κωδικός"
"Customer","Πελάτης"
"Customer Addresses","Διευθύνσεις Πελάτη"
"Customer Api","Customer Api"
"Customer Configuration","Διαμόρφωση Πελάτη"
"Customer Group","Ομάδα Πελατών"
"Customer Group was successfully deleted","Η Ομάδα Πελατών διαγράφηκε επιτυχώς"
"Customer Group was successfully saved","Η Ομάδα Πελατών αποθηκεύτηκε επιτυχώς"
"Customer Groups","Ομάδες Πελατών"
"Customer Information","Πληροφορίες Πελάτη"
"Customer Login","Σύνδεση Πελάτη"
"Customer Since","Πελάτης Από"
"Customer View","Προβολή Πελάτη"
"Customer collection expected","Αναμένεται συλλογή Πελατών"
"Customer doesn't have primary billing address","Ο Πελάτης δεν έχει κύρια διεύθυνση χρέωσης"
"Customer email already exists","Το email Πελάτη υπάρχει ήδη"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Πελάτες"
"Customers Only","Πελάτες Μόνο"
"Customers Section","Customers Section"
"DD","DD"
"Date","Ημ/νία"
"Date Added","Ημ/νία που Προστέθηκε"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","Ημέρες στα Επιθυμητά"
"Default Addresses","Προκαθορισμένες Διευθύνσεις"
"Default Billing Address","Προκαθορισμένη Διεύθυνση Χρέωσης"
"Default Email Domain","Προκαθορισμένος Τομέας Email"
"Default Group","Προκαθορισμένη Ομάδα"
"Default Shipping Address","Προκαθορισμένη Διεύθυνση Αποστολής"
"Default Welcome Email","Default Welcome Email"
"Delete","Διαγραφή"
"Delete Address","Διαγραφή Διεύθυνσης"
"Delete Customer","Διαγραφή Πελάτη"
"Delete Customer Group","Διαγραφή Ομάδας Πελατών"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","Διαγραφή Καταστημάτων"
"Details","Λεπτομέρειες"
"Disabled","Απενεργοποιημένο"
"Edit","Επεξεργασία"
"Edit Account Info","Edit Account Info"
"Edit Account Information","Επεξεργασία Πληροφοριών Λογαριασμού"
"Edit Address","Επεξεργασία Διεύθυνσης"
"Edit Address Entry","Επεξεργασία Στοιχείου Διεύθυνσης"
"Edit Customer Group ""%s""","Επεξεργασία Ομάδας Πελατών ""%s"""
"Edit Customer Groups","Επεξεργασία Ομάδων Πελατών"
"Edit Customer's Address","Επεξεργασία Διεύθυνσης Πελάτη"
"Edit Group","Επεξεργασία Ομάδας"
"Edit Newsletter Subscription","Επεξεργασία Συνδρομών Δελτίων Νέων"
"Edit Newsletters","Επεξεργασία Δελτίων Νέων"
"Edit Personal Information","Επεξεργασία Προσωπικών Πληροφοριών"
"Email","Email"
"Email Address","Διεύθυνση Email"
"Email Sender","Αποστολέας Email"
"Entity collection is expected","Αναμένεται συλλογή οντοτήτων"
"Error during retrieval of option value: %s","Σφάλμα κατά την ανάκτηση της τιμής επιλογής: %s"
"Ext. Price","Ext. Price"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Φαξ"
"First Name","Όνομα"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Forgot Email Sender"
"Forgot Email Template","Forgot Email Template"
"Forgot Your Password?","Ξεχάσατε Τον Κωδικό Σας;"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Από το Πίνακα Ελέγχου του Λογαριασμού σας έχετε τη δυνατότητα να δείτε ένα στιγμιότυπο των πρόσφατων ενεργειών στο λογαριασμό σας και να ενημερώσετε τις πληροφορίες του λογαριασμού σας. Επιλέξτε ένα σύνδεσμο παρακάτω για να δείτε ή να επεξεργαστείτε πληροφορίες"
"General Subscription","Γενική Συνδρομή"
"Global","Καθολικό"
"Go to Address Book","Πήγαινε στο Βιβλίο Διευθύνσεων"
"Grand Total","Τελικό Σύνολο"
"Grand Total: %s","Τελικό Σύνολο: %s"
"Group","Ομάδα"
"Group ""%s"" can not be deleted","Η Ομάδα ""%s"" δε μπορεί να διαγραφεί"
"Group Information","Πληροφορίες Ομάδας"
"Group Name","Όνομα Ομάδας"
"Guest","Επισκέπτης"
"HTML","HTML"
"Hello, %s!","Καλώς ήρθες, %s!"
"ID","ID"
"IP Address","Διεύθυνση IP"
"If you have an account with us, please log in.","Αν έχετε ανοίξει λογαριασμό μαζί μας, παρακαλούμε συνδεθείτε."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ορίστηκε άκυρη επιλογή χαρακτηριστικού για το χαρακτηριστικό %s (%s), προσπέραση εγγραφής"
"Invalid attribute set specified, skipping the record","Ορίστηκε άκυρο σύνολο χαρακτηριστικών, προσπέραση εγγραφής"
"Invalid current password","Ο ισχύων κωδικός είναι άκυρος"
"Invalid customer data","Άκυρα δεδομένα πελάτη"
"Invalid email address","Άκυρη διεύθυνση email"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Ορίστηκε άκυρο id επιλογής για %s (%s), προσπέραση εγγραφής"
"Invalid store specified, skipping the record","Ορίστηκε άκυρο κατάστημα, προσπέραση εγγραφής"
"Items Order","Παραγγελία Ειδών"
"Last 5 Orders","Τελευταίες 5 Παραγγελίες"
"Last Activity","Τελευταία Ενέργεια"
"Last Name","Επίθετο"
"Last Url","Τελευταίο Url"
"Last Viewed Items","Τελευταία Είδη που προβλήθηκαν"
"Last date subscribed","Τελευταία ημερομηνία που έγινε συνδρομή"
"Last date unsubscribed","Τελευταία ημερομηνία που ακυρώθηκε συνδρομή"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Πωλήσεις από αρχή λειτουργίας"
"Log In","Σύνδεση"
"Log Out","Αποσύνδεση"
"Log in or Create an Account","Log in or Create an Account"
"Login","Σύνδεση"
"Login Information","Πληροφορίες Σύνδεσης"
"Login and password are required","Το Όνομα χρήστη και ο κωδικός είναι απαραίτητα"
"Login or Create an Account","Συνδεθείτε ή Δημιουργείστε ένα Λογαριασμό"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Διαχείριση Διευθύνσεων"
"Manage Customers","Διαχείριση Πελατών"
"Missing email, skipping the record","Δεν υπάρχει email, προσπέραση εγγραφής"
"Missing firstname, skipping the record","Δεν υπάρχει όνομα, προσπέραση εγγραφής"
"Missing lastname, skipping the record","Δεν υπάρχει επίθετο, προσπέραση εγγραφής"
"Month","Month"
"My Account","Ο Λογαριασμος μου"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Ο Πίνακας Ελέγχου μου"
"My Orders","Οι Παραγγελίες μου"
"My Reviews","Οι Αξιολογήσεις μου"
"My Tags","Οι Ετικέτες μου"
"My Wishlist","Τα Επιθυμητά μου"
"Name","Όνομα"
"Name and Address Options","Name and Address Options"
"Never","Ποτέ"
"New Address","Νέα Διεύθυνση"
"New Address Entry","Εισαγωγή Νέας Διεύθυνσης"
"New Customer","Νέος Πελάτης"
"New Customer Address","Νέα Διεύθυνση Πελάτη"
"New Customer Group","Νέα Ομάδα Πελάτη"
"New Customer Groups","Νέες Ομάδες Πελάτη"
"New Customers","Νεοι Πελατες"
"New Group","Νέα Ομάδα"
"New Password","Νέος Κωδικός"
"New account","Νέος λογαριασμός"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Δελτίο Νέων"
"Newsletter Finish","Λήξη Δελτίου Νέων"
"Newsletter Information","Πληροφορίες Δελτίου Νέων"
"Newsletter Received","Παραλαβή Δελτίου Νέων"
"Newsletter Start","Έναρξη Δελτίου Νέων"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","Δελτία Νέων"
"No Items Found","Δε Βρέθηκαν Είδη"
"No Newsletter Found","Δε Βρέθηκε Δελτίο Νέων"
"No item specified.","No item specified."
"No product collections found","Δε βρέθηκαν συλλογές προϊόντων"
"Not Sent","Δεν Απεστάλη"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Μη Συνδεδεμένος"
"Online","Συνδεδεμένος"
"Online Customers","Συνδεδεμένοι Πελάτες"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Παραγγελία #"
"Order #%s (%s)","Παραγγελία #%s (%s)"
"Order List...","Λίστα Παραγγελιών..."
"Order Total","Σύνολο Παραγγελίας"
"Orders","Παραγγελίες"
"PDF","PDF"
"Password","Κωδικός"
"Password Management","Διαχείριση Κωδικών"
"Password Options","Επιλογές Κωδικών"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Ο Κωδικός πρέπει να αποτελείται από τουλάχιστον 6 χαρακτήρες. Τα κενά μπροστά ή πίσω από το κωδικό θα αγνοούνται."
"Paused","Σε Παύση"
"Payment Method","Μέθοδος Πληρωμής"
"Pending","Εκκρεμεί"
"Per Website","Ανα Ιστότοπο"
"Personal Information","Προσωπικές Πληροφορίες"
"Please enter your email below and we'll send you a new password.","Παρακαλούμε εισάγετε το email σας παρακάτω και θα σας στείλουμε ένα νέο κωδικό."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Παρακαλούμε εισάγετε το email σας."
"Please make sure your passwords match.","Παρακαλούμε βεβαιωθείτε πως οι κωδικοί που εισάγατε ταιριάζουν."
"Please select","Παρακαλούμε επιλέξτε"
"Please select region, state or province","Παρακαλούμε επιλέξτε νομό, δήμο ή δημοτικό διαμέρισμα"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Τιμή"
"Primary Billing Address","Κυρια Διευθυνση Χρεωσης"
"Primary Shipping Address","Κυρια Διευθυνση Αποστολης"
"Problem saving the collection, aborting. Error: %s","Υπήρξε πρόβλημα κατα την αποθήκευση της συλλογής, γίνεται ματαίωση. Σφάλμα: %s"
"Product","Προϊόν"
"Product ID","ID Προϊόντος"
"Product Name","Όνομα Προϊοντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product Tags","Ετικέτες Προϊόντος"
"Product name","Όνομα προϊόντος"
"Purchase On","Αγορά Στο"
"Purchased at","Αγοράστηκε την"
"Qty","Ποσ."
"Recent Orders","Πρόσφατες Παραγγελίες"
"Records for ""","Εγγραφές για """
"Refunded","Επιστροφή χρημάτων"
"Registered Customers","Εγγεγραμμενοι Πελατες"
"Remove","Αφαίρεση"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Ανακτήστε το κωδικό σας εδώ"
"SKU","SKU"
"Sales Statistics","Στατιστικά Πωλήσεων"
"Save","Αποθήκευση"
"Save Address","Αποθήκευση Διεύθυνσης"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Αποθήκευση Πελάτη"
"Save Customer Group","Αποθήκευση Ομάδας Πελάτη"
"Save Password","Αποθήκευση Κωδικού"
"Saved ","Αποθηκεύτηκε "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Αποστολή αυτόματα δημιουργημένου κωδικού"
"Send confirmation link","Send confirmation link"
"Send welcome email","Αποστολή email καλωσορίσματος"
"Sending","Αποστέλλεται"
"Sent","Αποστολή"
"Session Start Time","Χρόνος Έναρξης Συνεδρίας"
"Set as Default Billing Address","Ορισμός ως Προεπιλεγμένη Διεύθυνση Χρέωσης"
"Set as Default Shipping Address","Ορισμός ως Προεπιλεγμένη Διεύθυνση Αποστολής"
"Share Customer Accounts","Διαμοιρασμός Λογαριασμών Πελατών"
"Ship to First name","Αποστολή στο Όνομα"
"Ship to Last name","Αποστολή στο Επίθετο"
"Shipped to First Name","Απεστάλη στο Όνομα"
"Shipped to Last Name","Απεστάλη στο Επίθετο"
"Shipped to Name","Απεστάλη στο Όνομα"
"Shipping Information","Πληροφορίες Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shopping Cart","Καλάθι Αγορών"
"Shopping Cart - %d item(s)","Καλάθι Αγορών - %d είδος(η)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Εγγραφτείτε στο Δελτίο Νέων"
"Sign up for our newsletter","Εγγραφτείτε στο Δελτίο Νέων μας"
"Skip import row, required field ""%s"" not defined","Προσπέραση γραμμής εισαγωγής, το απαιτούμενο πεδίο ""%s"" δεν έχει όριστεί"
"Skip import row, website ""%s"" field not exists","Προσπέραση γραμμής εισαγωγής, το πεδίο του ιστότοπου ""%s"" δεν υπάρχει"
"State/Province","Νομός/Δήμος"
"Status","Κατάσταση"
"Store","Κατάστημα"
"Store View","Όψη Καταστήματος"
"Street Address","Οδός"
"Street Address ","Street Address "
"Subject","Θέμα"
"Submit","Υποβολή"
"Subscribe","Συνδρομή"
"Subscribe to newsletter","Συνδρομή στο δελτίο νέων"
"Subscribed to Newsletter?","Συνδρομή στο Δελτίο Νέων;"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Όνομα Ετικέτας"
"Tax Class","Φορολογική Κλάση"
"Tax class","Φορολογική κλάση"
"Tax/VAT number","Tax/VAT number"
"Telephone","Τηλέφωνο"
"Text","Κείμενο"
"Text One Line","Κείμενο Μία Γραμμή"
"Thank you for registering with %s","Ευχαριστούμε που κάνατε εγγραφή στο %s"
"The address does not belong to this customer","Η διεύθυνση δεν ανήκει σε αυτόν το πελάτη"
"The address was successfully deleted","Η διεύθυνση διαγράφηκε επιτυχώς"
"The address was successfully saved","Η διεύθυνση αποθηκεύτηκε επιτυχώς"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Αυτή τη στιγμή δεν υπάρχει κανένα είδος στη λίστα επιθυμητών του πελάτη"
"There are no items in customer's shopping cart at the moment","Αυτή τη στιγμή δεν υπάρχει κανένα είδος στο καλάθι αγορών του πελάτη"
"There was an error while deleting the address","Υπήρξε ένα σφάλμα κατα τη διαγραφή της διεύθυνσης"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Ο πελάτης δεν έχει αποθηκεύσει καμία διεύθυνση."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Αυτή η διεύθυνση email δε βρέθηκε στις εγγραφές μας"
"This is My Primary %s Address","Αυτή είναι η Κύρια Διεύθυνση %s"
"To Cart","Στο Καλάθι"
"Total","Σύνολο"
"Type","Τύπος"
"Unknown","Άγνωστο"
"Unsubscribe from newsletter","Ακύρωση συνδρομή από το δελτίο νέων"
"Update","Ανανέωση"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Χρήση ως Κύρια Διεύθυνση %s"
"Use as my default billing address","Χρήση ως προεπιλεγμένη διεύθυνση χρέωσης"
"Use as my default shipping address","Χρήση ως προεπιλεγμένη διεύθυνση αποστολής"
"User description","Περιγραφή χρήστη"
"View","Προβολή"
"View Order","Σειρά Εμφάνισης"
"View Order List","Προβολή Λίστας Παραγγελιών"
"Visible In","Ορατό Στο"
"Visitor","Επισκέπτης"
"Visitors Only","Επισκέπτες Μόνο"
"Website","Ιστότοπος"
"Welcome Email","Welcome Email"
"Wishlist","Επιθυμητά"
"Wishlist - %d item(s)","Επιθυμητά - %d είδος(η)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Εσφαλμένο id περιοχής για την επιλεγμένη χώρα"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","Αυτή τη στιγμή δεν είστε συνδρομητής σε κανένα δελτίο νέων."
"You are currently not subscribed to our newsletter","Αυτή τη στιγμή δεν είστε συνδρομητής στο δελτίο νέων μας"
"You are currently subscribed to 'General Subscription'.","Αυτή τη στιγμή έχετε συνδρομή στις 'Γενικές Συνδρομές'."
"You are currently subscribed to our newsletter","Αυτή τη στιγμή είστε συνδρομητής στο δελτίο νέων μας"
"You are currently subscribed to our newsletter.","Αυτή τη στιγμή είστε συνδρομητής στο δελτίο νέων μας."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Αποσυνδεθήκατε επιτυχώς και θα προωθηθείτε στην αρχική μας σελίδα σε 5 δευτερόλεπτα."
"You have no additional address entries in your address book.","Δεν έχετε άλλες διευθύνσεις στο βιβλίο διευθύνσεων σας."
"You have no additional entries in your address book.","Δεν έχετε άλλες εγγραφές στο βιβλίο διευθύνσεων σας."
"You have no default billing address in your address book.","Δεν έχετε μια προεπιλεγμένη διεύθυνση χρέωσης στο βιβλίο διευθύνσεων σας."
"You have no default shipping address in your address book.","Δεν έχετε μια προεπιλεγμένη διεύθυνση αποστολής στο βιβλίο διευθύνσεων σας."
"You have no primary entries in your address book.","Δεν έχετε κύριες εγγραφές στο βιβλίο διευθύνσεων σας."
"You have not set a primary billing address.","Δεν έχετε ορίσει μια κύρια διεύθυνση χρέωσης."
"You have not set a primary shipping address.","Δεν έχετε ορίσει μια κύρια διεύθυνση αποστολής."
"You have placed no orders yet.","Δεν έχετε κάνει καμιά παραγγελία ακόμα."
"You have placed no products yet.","Δεν έχετε παραγγείλει κανένα προϊόν ακόμα."
"You're now Logged Out","Έχετε αποσυνδεθεί"
"Your account balance is: %s","Το οφειλόμενο υπόλοιπο σας είναι: %s"
"ZIP","ZIP"
"ZIP/Post Code","Ταχυδρομικός Κώδικας"
"ZIP/Postal Code","Ταχυδρομικός Κώδικας"
"Zip/Postal Code","Ταχυδρομικός Κώδικας"
"n/a","δ/δ"
"or","ή"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
