"Abandoned carts","Εγκαταλελλειμένα καλάθια"
"Number of New Accounts","Αριθμός Νέων Λογαριασμών"
"Number of Orders","Αριθμός Παραγγελιών"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Αριθμός Αξιολογήσεων"
"Number of Total Tags","Αριθμός Συνολικών Ετικετών"
"Number of Unique Tags","Αριθμός Μοναδικών Ετικετών"
"Number of Views","Αριθμός Εμφανίσεων"
"Number of items bought from a wishlist: %s","Αριθμός προϊόντων αγορασμένα από τα επιθυμητά: %s"
"Number of times deleted","Αριθμός φορών που διαγράφηκε"
"Number of times wishlists have been shared (emailed): %s","Αριθμός φορών που διαμοιράστηκαν λίστες επιθυμητών (emailed): %s"
"Number of wishlist conversions: %s","Αριθμός μετατροπων λίστας ειθυμητών: %s"
"Number of wishlist referrals: %s","Αριθμός παραπομπών λίστας επιθυμητών: %s"
"Number of wishlists: %s","Αριθμός λίστα επιθυμητών: %s"
"Offline Refunded","Offline Επιστροφές χρημάτων"
"Online Refunded","Online Επιστροφές χρημάτων"
"Orders","Παραγγελίες"
"Out of stock","Εκτός αποθέματος"
"Poducts Report","Αναφορά Προϊόντων"
"Popular Tags","Δημοφιλείς Ετικέτες"
"Popularity","Δημοτικότητα"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product Sku","Sku Προϊόντος"
"Product Tags","Ετικέτες Προϊόντος"
"Products","Προϊόντα"
"Products Report","Αναφορά Προϊόντων"
"Products Reviews","Αξιολογήσεις Προϊόντων"
"Products Sold","Products Sold"
"Products Tags","Ετικέτες Προϊόντων"
"Products in carts","Προϊόντα στα Καλάθια"
"Purchases","Purchases"
"Quantity Ordered","Ποσότητα Παραγγελθέντων"
"Quantity of Items","Ποσότητα Προϊόντων"
"Rate","Rate"
"Recently Compared Products","Πρόσφατες Συγκρίσεις Προϊόντων"
"Recently Viewed Products","Πρόσφατες Εμφανίσεις Προϊόντων"
"Recently Viewed/Compared Products","Πρόσφατες Εμφανίσεις/Συγκρίσεις Προϊόντων"
"Refunded","Επιστροφές Χρημάτων"
"Reports","Αναφορές"
"Results","Αποτελέσματα"
"Revenue","Εισόδημα"
"Review","Αξιολόγηση"
"Reviews","Αξιολογήσεις"
"Reviews for %s","Αξιολογήσεις για %s"
"Sales","Πωλήσεις"
"Sales Report","Αναφορά Πωλήσεων"
"Search Terms","Όροι Αναζήτησης"
"Shipping","Αποστολές"
"Shopping Cart","Καλάθι"
"Show for Current","Εμφάνιση για το Τρέχων"
"Stock Qty","Ποσ. Αποθέματος"
"Submitted In","Υποβλήθηκε Στο"
"Submitted On","Υποβλήθηκε Την"
"Subtotal","Μερικό Σύνολο"
"Tag","Ετικέτα"
"Tag ""%s"" details","Λεπτομέρειες ετικέτας ""%s"""
"Tag Detail","Λεπτομέρειες Ετικέτας"
"Tag Name","Όνομα Ετικέτας"
"Tag use","Χρήση Ετικέτας"
"Tags submited by %s","Ετικέτες που υποβλήθηκαν από %s"
"Tags submitted to %s","Ετικέτες που υποβλήθηκαν στο %s"
"Tax","Φόρος"
"Tax Amount","Ποσό Φόρου"
"Title","τίτλος"
"Total","Σύνολο"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Σύνολο Επιστροφής Χρημάτων"
"Total Shipping","Σύνολο Αποστολών"
"Total Tags","Σύνολο Ετικετών"
"Total invoiced","Σύνολο τιμολογήσεων"
"Total refunded","Σύνολο επιστροφής χρημάτων"
"Updated at","Ενημερώθηκε στις"
"Visible In","Ορατό σε"
"Wishlist Report","Αναφορά λίστα Επιθυμητων"
"Wishlist vs. Regular Order","Επιθυμητά έναντι Κανονικών Παραγγελιών"
"Wishlists","Λίστες Επιθυμητών"
"Year","Έτος"
"Your Recently Compared","Οι Πρόσφατες Συγκρίσεις σας"
"Your Recently Viewed","Οι Πρόσφατες Εμφανίσεις σας"
