"# of Use","# χρήσης"
"Default price","Προκαθορισμένη Τιμή"
"Default value","Προκαθορισμένη τιμή"
"Delete","Διαγραφή"
"Delete Attribute","Διαγραφή Χαρακτηριστικού"
"Delete Attribute Set","Διαγραφή Συνόλου Χαρακτηριστικών"
"Delete Category","Διαγραφή Κατηγορίας"
"Delete Option","Διαγραφή Επιλογής"
"Delete Row","Delete Row"
"Delete Search","Διαγραφή Αναζήτησης"
"Delete Selected Group","Διαγραφή Επιλεγμένης Ομάδας"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","Design"
"Disabled","Απενεργοποιημένο"
"Display in Suggested Terms","Εμφάνιση με τους Προτεινόμενους Όρους"
"Double click on a group to rename it","Κάντε διπλό κλικ σε μια ομάδα για να τη μετονομάσετε"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","Dropdown"
"Duplicate","Αντιγραφή"
"Duplicate website tier price customer group and quantity.","Αντιγραφή ιστότοπου, τιμής πολλαπλών τεμαχίων, τιμής, πελάτη, ομάδας και ποσότητας."
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","Επεξεργασία"
"Edit Attribute Set '%s'","Επεξεργασία Συνόλου Χαρακτηριστικών '%s'"
"Edit Product Attribute","Επεξεργασία Χαρακτηριστικού Προϊόντος"
"Edit Product Attribute ""%s""","Επεξεργασία Χαρακτηριστικού Προϊόντος ""%s"""
"Edit Search","Επεξεργασία Αναζήτησης"
"Edit Search '%s'","Επεξεργασία Αναζήτησης '%s'"
"Email","Email"
"Email to a Friend","Αποστολή σε έναν Φίλο"
"Empty","Κενό"
"Enabled","Ενεργοποιημένο"
"Error during retrieval of option value: %s","Σφάλμα κατά την ανάκτηση της τιμής επιλογής: %s"
"Error while adding customers for %s alert. Message: %s","Σφάλμα κατά την πρόσθεση πελατών για %s ειδοποίηση. Μήνυμα: %s"
"Error while saving this group. Group with the same name already exists.","Σφάλμα κατά την αποθήκευση αυτής της ομάδας. Υπάρχει ήδη ομάδα με το ίδιο όνομα."
"Error while saving this group. Please try again later.","Σφάλμα κατά την αποθήκευση αυτής της ομάδας. Παρακαλούμε προσπαθήστε αργότερα."
"Exclude","Εξαίρεση"
"Expand All","Expand All"
"Failed","Απέτυχε"
"Failed to move file: %s","Αποτυχία μετακίνησης αρχείου: %s"
"Feature Products","Προϊόντα υπό Παρουσίαση"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Το όνομα μοντέλου φίλτρου πρέπει να έχει δηλωθεί"
"Filter must be as object. Set correct filter please","Το φίλτρο πρέπει να είναι ως αντικείμενο. Παρακαλούμε δώστε το σωστό φίλτρο"
"Filterable (no results)","Φιλτραρισμένο (χωρίς αποτελέσματα)"
"Filterable (with results)","Φιλτραρισμένο (με αποτελέσματα)"
"Filters must be as array","Τα φίλτρα πρέπει να είναι ως πίνακας"
"First Name","Όνομα"
"Fixed","Σταθερό"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Για εσωτερική χρήση. Πρέπει να είναι μοναδικό χωρίς κενά"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Frontend"
"Frontend Model","Μοντέλο Frontend"
"Frontend Properties","Ιδιότητες Frontend"
"Gallery","Gallery"
"General Information","Γενικές Πληροφορίες"
"Get special price","Get special price"
"Global","Καθολικό"
"Globally Editable","Καθολικά Επεξεργάσιμο"
"Go to Home Page","Πήγαινε στην Αρχική Σελίδα"
"Grid","Πλέγμα"
"Grouped Product","Ομαδοποιημένο Προϊόν"
"Groups","Ομάδες"
"Home","Αρχική"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Εικόνα"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Η εικόνα δεν βρέθηκε"
"Image not exists","Η εικόνα δεν υπάρχει"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Ο τύπος και οι πληροφορίες εικόνας πρέπει να προσδιοριστούν για κάθε όψη καταστήματος."
"In Stock","Αμεσα Διαθέσιμο"
"In stock","Αμεσα διαθέσιμο"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","Επικύρωση εισαχθέντων δεδομένων για τον ιδιοκτήτη καταστημάτων"
"Integer","Ακέραιος"
"Integer Number","Ακέραιος Αριθμός"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Προσδιορίστηκε άκυρη παράμετρος χαρακτηριστικού για το χαρακτηριστικό %s (%s), προσπέραση εγγραφής"
"Invalid attribute set specified, skipping the record","Προσδιορίστηκε άκυρο σύνολο χαρακτηριστικών, προσπέραση εγγραφής"
"Invalid block: %s","Άκυρο τμήμα: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Άκυρη Κατηγορία IDs"
"Invalid image file type","Άκυρος τύπος αρχείου εικόνας"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Προσδιορίστηκε άκυρη επιλογή id για %s (%s), προσπέραση εγγραφής"
"Invalid product type specified, skipping the record","Προσδιορίστηκε άκυρος τύπος προϊόντος, προσπέραση εγγραφής"
"Invalid store specified","Προσδιορίστηκε άκυρο κατάστημα"
"Invalid store specified, skipping the record","Προσδιορίστηκε άκυρο κατάστημα, προσπέραση εγγραφής"
"Inventory","Αποθήκη"
"Is Default","Είναι Προκαθορισμένο"
"Is Required","Is Required"
"Items %s to %s of %s total","Είδη %s εώς %s από %s στο σύνολο"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Αντικείμενα τα οποία δεν επιθυμείτε να εμφανίζονται στον κατάλογο ή στα αποτελέσματα αναζήτησης πρέπει να έχουν ως κατάσταση 'Απενεργοποιημένο' στο ζητούμενο κατάστημα."
"Label","Ετικέτα"
"Last Name","Επίθετο"
"Last Notification","Τελευταία Ειδοποίηση"
"Learn More","Μάθετε περισσότερα"
"Length of text is too long","Length of text is too long"
"Letters","Γράμματα"
"Letters(a-zA-Z) or Numbers(0-9)","Γράμματα(αA-αΩaA-zZ) ή Αριθμοί(0-9)"
"Line %d, Email: %s","Γραμμή %d, Email: %s"
"Line %d, SKU: %s","Γραμμή %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","Λίστα"
"List Mode","σε Λίστα"
"Manage Attribute Sets","Διαχείριση Συνόλου Χαρακτηριστικών"
"Manage Attributes","Διαχείριση Χαρακτηριστικών"
"Manage Catalog Categories","Διαχείριση Κατηγοριών Καταλόγου"
"Manage Categories","Διαχείριση Κατηγοριών"
"Manage Label / Options","Διαχείριση Ετικετών / Επιλογών"
"Manage Options (values of your attribute)","Διαχείριση Επιλογών (τιμές των χαρακτηριστικών σας)"
"Manage Product Attributes","Διαχείριση Χαρακτηριστικών Προϊόντων"
"Manage Product Sets","Διαχείριση Συνόλων Προϊόντων"
"Manage Products","Διαχείριση Προϊόντων"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Διαχείριση Τίτλων (Μέγεθος, Χρώμα, κλπ.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Μέγιστη Ποσ. που Επιτρέπεται στο Καλάθι Αγορών"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Εικόνα Μέσων"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Ελάχιστη Ποσ. που Επιτρέπεται στο Καλάθι Αγορών"
"Minimum Qty for Item's Status to be Out of Stock","Ελάχιστη Ποσ. ώστε η κατάσταση προϊόντος να είναι 'Εκτός Αποθέματος'"
"Missing SKU, skipping the record","Ελλειπής SKU, προσπέραση εγγραφής"
"More Views","Περισσοτερες Οψεις"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Επιλογή Πολλαπλών"
"Name","Όνομα"
"Name In %s","Όνομα Σε %s"
"Name<br/>(For internal use)","Όνομα<br/>(Για εσωτερική χρήση)"
"New Category","Νέα Κατηγορία"
"New Product","Νέο Προϊόν"
"New Product Attribute","Νέο Χαρακτηριστικό Προϊόντος"
"New Products","Νέα Προϊόντα"
"New Search","Νέα Αναζήτηση"
"New Set Name","Νέο Όνομα Συνόλου"
"Next","Επόμενο"
"No","Όχι"
"No image","Καμία Εικόνα"
"No layout updates","Καμία ενημέρωση διάταξης"
"No options of this product are available.","Καμία από τις επιλογές αυτού του προϊόντος δεν είναι διαθέσιμη."
"No product collections found","Δεν βρέθηκαν συλλογές προϊόντων"
"None","Κανένα"
"Not shared with other products","Δεν μοιράζεται με άλλα προϊόντα"
"Notify Low Stock RSS","RSS Ειδοποίησης Χαμηλού Αποθέματος"
"Notify for Quantity Below","Ειδοποίηση όταν η ποσότητα πέσει κάτω από"
"Nowhere","Πουθενά"
"Number of Uses","Αριθμός χρήσεων"
"Number of results<br/>(For last time placed)","Αριθμός αποτελεσμάτων<br/>(Για την τελευταία φορά)"
"OR","Ή"
"Old Price:","Παλαιά τιμή:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Επιλογή:"
"Options Control","Έλεγχος Επιλογών"
"Options is required","Οι Επιλογές Απαιτούνται"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Εκτός Αποθέματος"
"Out of stock","Εκτός αποθέματος"
"Out of stock.","Εκτός αποθέματος."
"PM","PM"
"Page Title Separator","Διαχωριστικό Τίτλου Σελίδας"
"Page:","Σελίδα:"
"Parent Category","Κατηγορία Γονέας"
"Pending","Εκκρεμεί"
"Pending Reviews RSS","RSS Αξιολογήσεων που Εκκρεμούν"
"Percentage","Ποσοστό"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Παρακαλούμε πατήστε στο Κλείσιμο Παραθύρου εάν δεν κλείσει αυτόματα"
"Please enter a new group name","Παρακαλούμε εισάγετε ένα νέο όνομα ομάδας"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Παρακαλούμε επιλέξτε ένα ή περισσότερα χαρακτηριστικά."
"Please select product(s)","Παρακαλούμε επιλέξτε προϊόν(τα)"
"Please select products for attributes update","Παρακαλούμε επιλέξτε προϊόντα για ενημέρωση χαρακτηριστικών"
"Please select static block ...","Παρακαλούμε επιλέξτε στατικό τμήμα ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Θέση"
"Position In Layered Navigation","Θέση στην πλοήγηση με Layers"
"Position of attribute in layered navigation block","Θέση χαρακτηριστικού στο τμήμα πλοήγησης με Layers"
"Prev","Προηγ"
"Previous","Προηγούμενο"
"Price","Τιμή"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Οι τιμές των αξιών στις επιλογές θα πρέπει να καθορίζονται στο βασικό νόμισμα του συστήματος."
"Price:","Τιμή:"
"Print This Page","Εκτύπωση Αυτής της Σελίδας"
"Problem saving the collection, aborting. Error: %s","Πρόβλημα αποθήκευσης της συλλογής, εγκατάληψη. Σφάλμα: %s"
"Product","Product"
"Product %s successfully added to compare list","Το Προϊόν %s προστέθηκε επιτυχώς στη λίστα σύγκρισης"
"Product %s successfully removed from compare list","Το Προϊόν %s αφαιρέθηκε επιτυχώς από τη λίστα σύγκρισης"
"Product API","Product API"
"Product Alerts","Ειδοποιήσεις για Προϊόντα"
"Product Attribute","Χαρακτηριστικό Προίόντος"
"Product Attributes","Χαρακτηριστικά Προϊόντος"
"Product Categories","Κατηγορίες Προϊόντος"
"Product Description","Περιγραφή Προϊόντος"
"Product Image Placeholders","Θέση Εικόνας Προϊόντος"
"Product Image Watermarks","Θέση Εικόνας Υδατογραφήματος"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Προϊόν σε Ιστότοπους"
"Product Info Column","Product Info Column"
"Product Information","Πληροφορίες Προϊόντος"
"Product Name","Όνομα Προϊόντος"
"Product Reviews","Αξιολογήσεις για το Προϊόν"
"Product Tags","Ετικέτες Προϊόντος"
"Product Tier Price API","Product Tier Price API"
"Product Type","Τύπος Προϊόντος"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Το χαρακτηριστικό προϊόντος διαγράφηκε επιτυχώς"
"Product attribute was successfully saved","Το χαρακτηριστικό προϊόντος αποθηκεύτηκε επιτυχώς"
"Product attributes API","Product attributes API"
"Product collection expected","Αναμένεται συλλογή προϊόντων"
"Product deleted","Το Προϊόν διαγράφηκε"
"Product duplicated","Το Προϊόν αντιγράφηκε"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Σφάλμα αποθήκευσης προϊόντος."
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","Το Προϊόν δημιουργήθηκε επιτυχώς."
"Product was successfully saved.","Το Προϊόν αποθηκεύτηκε επιτυχώς."
"Product with this combination of attributes already associated to configurable.","Προϊόν με αυτόν το συνδυασμό χαρακτηριστικών, είναι ήδη συνδεμένα σε ένα διαμορφώσιμο."
"Products","Προϊόντα"
"Products Information","Πληροφορίες Προϊόντων"
"Products Reviews","Αξιολογήσεις για Προϊόντα"
"Products Sitemap","Χάρτης ιστοχώρου Προϊόντων"
"Products only","Μόνο Προϊόντα"
"Products per Page on Grid default value","Προϊόντα ανά Σελίδα στο Πλέγμα(προκαθορισμένη τιμή)"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Προϊόντα ανά Σελίδα στη Λίστα(προκαθορισμένη τιμή)"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Ιδιότητες"
"Qty","Ποσ."
"Qty Uses Decimals","Στη Ποσ. χρησιμοποιούνται δεκαδικά"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Γρήγορη Δημιουργία"
"Quick Overview","Γρήγορη Επισκόπηση"
"Quick simple product creation","Γρήγορη δημιουργία απλού προϊόντος"
"Records for ""","Εγγραφές για """
"Redirect","Ανακατεύθυνση"
"Redirect URL","URL Ανακατεύθυνσης"
"Regular Price:","Κανονική Τιμή:"
"Related Products","Σχετικα Προϊοντα"
"Remove","Αφαίρεση"
"Remove Product","Αφαίρεση Προϊόντος"
"Remove Product From Websites","Αφαίρεση Προϊόντος από Ιστότοπους"
"Remove This Item","Αφαίρεση Αυτού του Είδους"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Απαιτούμενο"
"Reset","Reset"
"Results","Αποτελέσματα"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Η Αξιολόγηση διαγράφηκε επιτυχώς"
"Review was saved successfully","Η Αξιολόγηση αποθηκεύτηκε επιτυχώς"
"Review was successfully saved","Η Αξιολόγηση αποθηκεύτηκε επιτυχώς"
"Reviews","Αξιολογήσεις"
"Roll Over for preview","Βάλτε το κέρσορα από πάνω για προεπισκόπηση"
"Root","Root"
"SKU","SKU"
"Save","Αποθήκευση"
"Save And Continue Edit","Αποθήκευση και Συνέχεια Επεξεργασίας"
"Save Attribute","Αποθήκευση Χαρακτηριστικού"
"Save Attribute Set","Αποθήκευση Συνόλου Χαρακτηριστικών"
"Save Category","Αποθήκευση Κατηγορίας"
"Save Search","Αποθήκευση Αναζήτησης"
"Saved ","Αποθηκευμένο "
"Scope","Εμβέλεια"
"Search","Αναζήτηση"
"Search Engine Optimizations","Βελτιστοποιήσεις Μηχανών Αναζήτησης(SEO)"
"Search Information","Πληροφορίες Αναζήτησης"
"Search Query","Ερώτημα Αναζήτησης"
"Search Term was successfully saved","Ο Όρος Αναζήτησης αποθηκεύτηκε επιτυχώς"
"Search Term with such search query already exist.","Υπάρχει ήδη Όρος Αναζήτησης με τέτοιο ερώτημα αναζήτησης."
"Search was successfully deleted","Η Αναζήτηση διαγράφηκε επιτυχώς"
"Searchable","Αναζητήσιμα"
"Select Configurable Attributes ","Επιλογή Διαμορφώσιμων Χαρακτηριστικών "
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Επιλεγμένοι Τύποι Προϊόντων"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Αποστολή Αρίθμησης"
"Set Ascending Direction","Αύξουσα Ταξινόμηση"
"Set Descending Direction","Φθίνουσα Ταξινόμηση"
"Set Name","Όνομα Συνόλου"
"Set Root Category For Store","Καθορίστε Κατηγορίας Βάσης για το Κατάστημα"
"Set root category for this store in the <a href=""%s"">configuration</a>","Καθορίστε κατηγορίας βάσης για αυτό το κατάστημα στη <a href=""%s"">διαμόρφωση</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
