"%s already exist","Το %s υπάρχει ήδη"
"%s already exists","Το %s υπάρχει ήδη"
"-- Please Select --","-- Παρακαλούμε Επιλέξτε --"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","Design"
"Design Change","Αλλαγή στο Design"
"Developer","Προγραμματιστής"
"Developer Client Restrictions","Περιορισμοί Πελάτη Προγραμματιστή"
"Disable email communications","Απενεργοποίηση επικοινωνίας με email"
"Disable modules output","Απενεργοποίηση εξόδου αρθρωμάτων"
"Duplicate Of Template Code","Αντίγραφο Κώδικα Προτύπου(Template)"
"Edit Design Change","Επεξεργασία Αλλαγής στο Design"
"Edit Store","Επεξεργασία Καταστήματος"
"Edit Store View","Επεξεργασία Όψης Καταστήματος"
"Edit Website","Επεξεργασία Ιστότοπου"
"Empty identifier field name","Κενό όνομα αναγνωριστικού πεδίου"
"Empty main table name","Κενό όνομα κύριου πίνακα"
"Enabled","Ενεργοποιημένο"
"Enabled for Admin","Ενεργοποιημένο για Διαχειρ."
"Enabled for Frontend","Ενεργοποιημένο για το Frontend"
"Error in file: ""%s"" - %s","Σφάλμα στο αρχείο: ""%s"" - %s"
"Error while saving. Please try again later.","Σφάλμα κατα την αποθήκευση. Παρακαλούμε προσπαθήστε ξανά αργότερα."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","Αποστολέας Email για Χαμένο Κωδικό"
"Forgot Password Email Template","Πρότυπο Email για Χαμένο Κωδικό"
"General","Γενικά"
"General Settings","Γενικές Ρυθμίσεις"
"General contact","Γενικοί επαφές"
"Global","Καθολικό"
"HTML Head","HTML Head"
"Header","Header"
"Host","Host"
"Id path for specified store","Μονοπάτι Id για το καθορισμένο κατάστημα"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Άκυρος τύπος βασικού url"
"Invalid block name to set child %s: %s","Άκυρο όνομα τμήματος για ανάθεση παιδιού %s: %s"
"Invalid block type: %s","Άκυρος τύπος τμήματος: %s"
"Invalid block: %s","Άκυρο τμήμα: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Άκυρο όρισμα ανανέωσης διάταξης, αναμένεται Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Άκυρη λαβή ανανέωσης διάταξης"
"Invalid messages storage ""%s"" for layout messages initialization","Άκυρη αποθήκη μηνυμάτων ""%s"" για αρχικοποίηση μηνυμάτων διάταξης"
"Invalid transactional email code: ","Άκυρος κωδικός συναλλακτικού email: "
"Invalid websites configuration path: %s","Άκυρο μονοπάτι διαμόρφωσης ιστότοπων: %s"
"Layout","Διάταξη"
"Layouts","Layouts"
"Leave empty for access from any location","Αφήστε κενό για πρόσβαση από κάθε τοποθεσία"
"Locale","Τοποθεσία"
"Locale options","Επιλογές Τοποθεσίας"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Διαχείριση Καταστημάτων"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Δεν υπάρχει η κλάση Μοντέλου: %s"
"Model collection resource name is not defined","Το όνομα του πόρου της συλλογής μοντέλου δεν έχει οριστεί"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Όνομα"
"New Design Change","Νέα Αλλαγή Design"
"New Store","Νέο Κατάστημα"
"New Store View","Νέα Όψη Καταστήματος"
"New Website","Νέος Ιστότοπος"
"No","No"
"Package","Πακέτο"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Παρακαλούμε εισάγετε τουλάχιστον 6 χαρακτήρες."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Παρακαλούμε εισάγετε τουλάχιστον 6 χαρακτήρες. Τα κενά πριν ή μετά θα αγνοηθούν."
"Please enter a number greater than 0 in this field.","Παρακαλούμε εισάγετε ένα νούμερο μεγαλύτερο του 0 στο πεδίο αυτό."
"Please enter a valid $ amount. For example $100.00.","Παρακαλούμε εισάγετε ένα έγκυρο ποσό $. Για παράδειγμα $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Παρακαλούμε εισάγετε ένα έγκυρο URL. Για παράδειγμα http://www.example.com ή www.example.com"
"Please enter a valid URL. http:// is required","Παρακαλούμε εισάγετε ένα έγκυρο URL. Το http:// είναι απαραίτητο"
"Please enter a valid credit card number.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό πιστωτικής κάρτας."
"Please enter a valid date.","Παρακαλούμε εισάγετε μια έγκυρη ημερομηνία."
"Please enter a valid email address. For example johndoe@domain.com.","Παρακαλούμε εισάγετε μια έγκυρη διεύθυνση email. Για παράδειγμα johndoe@domain.com."
"Please enter a valid number in this field.","Παρακαλούμε εισάγετε ένα έγκυρο αριθμό στο πεδίο αυτό."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό τηλεφώνου. Για παράδειγμα (123) 456-7890 or 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Παρακαλούμε εισάγετε έναν έγκυρο αριθμό κοινωνικής ασφάλισης. Για παράδειγμα 123-45-6789."
"Please enter a valid zip code.","Παρακαλούμε εισάγετε έναν έγκυρο Ταχυδρομικό κωδικό."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Παρακαλούμε εισάγετε έναν έγκυρο Ταχυδρομικό κωδικό. Για παράδειγμα 90602 or 90602-1234."
"Please enter valid password.","Παρακαλούμε εισάγετε ένα έγκυρο κωδικό."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Παρακαλούμε βεβαιωθείτε πως οι κωδικοί σας ταιριάζουν."
"Please select State/Province.","Παρακαλούμε επιλέξτε Νομό/Δήμο."
"Please select an option.","Παρακαλούμε κάντε μια επιλογή."
"Please select one of the above options.","Παρακαλούμε επιλέξτε μια από τις παραπάνω επιλογές."
"Please select one of the options.","Παρακαλούμε επιλέξτε μία από τις επιλογές."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aα-zω) στο πεδίο αυτό."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Παρακαλούμε χρησιμοποιήστε μόνο αριθμούς στο πεδίο αυτό. παρακαλούμε αποφύγετε τα κενά ή άλλους χαρακτήρες όπως τελείες ή κόμματα."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aα-zω) ή νούμερα (0-9) μόνο στο πεδίο αυτό. Τα κενά ή άλλοι χαρακτήρες δεν επιτρέπονται."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aα-zω) ή νούμερα (0-9) ή κενά και # μόνο στο πεδίο αυτό."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Παρακαλούμε χρησιμοποιήστε μόνο γράμματα (aα-zω), νούμερα (0-9) ή τη κάτω παύλα (_) στο πεδίο αυτό, ο πρώτος χαρακτήρας πρέπει να είναι γράμμα."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Παρακαλούμε χρησιμοποιήστε αυτή τη μορφή ημερομηνίας: ηη/μμ/χχχχ. Για παράδειγμα 17/03/2006 για τη 17η Μαρτίου, 2006."
"Please wait, loading...","Παρακαλούμε περιμένετε, φορτώνει..."
"Polls","Polls"
"Port (25)","Θύρα (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Αίτηση διαδρομής για το καθορισμένο κατάστημα"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Ο πόρος δεν έχει οριστεί"
"Root Category","Βασική Κατηγορία"
"SMTP settings (Windows server only)","Ρυθμίσεις SMTP (Για εξυπηρέτη Windows μόνο)"
"Sales representative","Αντιπρόσωπος Πωλήσεων"
"Save","Αποθήκευση"
"Save Store","Αποθήκευση Καταστήματος"
"Save Store View","Αποθήκευση Όψης Καταστήματος"
"Save Website","Αποθήκευση Ιστότοπου"
"Search Engines Optimization","Βελτιστοποίηση Μηχανών Αναζήτησης"
"Secure","Ασφαλής"
"Security","Security"
"Select Date","Select Date"
"Sender email","Email Αποστολέα"
"Sender name","Όνομα Αποστολέα"
"Services","Υπηρεσίες"
"Session Cookie management","Διαχείριση του Session Cookie"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Ορισμός ως προκαθορισμένο"
"Skin (Images / CSS)","Skin (Εικόνες / CSS)"
"Sort order","Κανόνας Ταξινόμησης"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Η ημ/νία έναρξης δε μπορεί να είναι μεγαλύτερη από την ημ/νία λήξης"
"Startup page","Startup page"
"Status","Κατάσταση"
"Store","Κατάστημα"
"Store Email Addresses","Διευθύνσεις Email Καταστήματος"
"Store Information","Πληροφορίες Καταστήματος"
"Store Name","Όνομα Καταστήματος"
"Store View","Store View"
"Store View Information","Πληροφορίες Όψης Καταστήματος"
"Store View Name","Όνομα Όψης Καταστήματος"
"Store View was successfully saved","Η Όψη του Καταστήματος αποθηκεύτηκε επιτυχώς"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Ο κωδικός καταστήματος πρέπει να περιέχει μόνο γράμματα(aα-zω), αριθμούς (0-9) ή κάτω παύλα(_), ο πρώτος χαρακτήρας πρέπει να είναι γράμμα"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Το Κατάστημα διαγράφηκε επιτυχώς."
"Store was successfully saved","Το Κατάστημα αποθηκεύτηκε επιτυχώς"
"Store with the same code","Κατάστημα με τον ίδιο κωδικό"
"System","Σύστημα"
"System Log File Name","System Log File Name"
"Template Path Hints","Υπονοιες Διαδρομής Προτύπου(Template)"
"Templates","Πρότυπα(Templates)"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Θέματα"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Αυτή τη κατηγορία μόνο"
"This is a required field.","Αυτό το πεδίο είναι υποχρεωτικό."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Ζώνη Ώρας"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Μεταφράσεις"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Υπήρξε αδυναμία να προχωρήσουμε. Παρακαλούμε, προσπαθήστε ξανά."
"Unknown scope ""%s""","Άγνωστη εμβέλεια ""%s"""
"Unsecure","Επισφαλές"
"Url Options","Επιλογές Url"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Χρήση Ασφαλών URLs στη Διαχειρ."
"Use Secure URLs in Frontend","Χρήση Ασφαλών URLs στο Frontend"
"Use Web Server Rewrites","Χρήση Web Server Rewrites"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","Ιστότοπος"
"Website Information","Πληροφορίες Ιστότοπου"
"Website Name","Όνομα Ιστότοπου"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Ο κωδικός του Ιστότοπου πρέπει να περιέχει μόνο γράμματα (aα-zω), αριθμούς (0-9) ή κάτω παύλα(_), ο πρώτος χαρακτήρας πρέπει να είναι γράμμα"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Ο Ιστότοπος διαγράφηκε επιτυχώς."
"Website was successfully saved","Ο Ιστότοπος αποθηκεύτηκε επιτυχώς"
"Website with the same code","Ιστότοπος με τον ίδιο κωδικό"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Εσφαλμένος αριθμός ορισμάτων για %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Το session σας έχει εκπνεύσει, θα επανασυνδεθείτε τώρα."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
