"%s already exist","%s ya existe"
"%s already exists","%s ya existe"
"-- Please Select --","-- Por favor seleccione --"
"Enabled for Frontend","Habilitado para el frontend"
"Error in file: ""%s"" - %s","Error en el archivo: ""%s"" - %s"
"Error while saving. Please try again later.","Error al guardar. Por favor, intente más tarde."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","Remitente de correo de contraseña olvidada"
"Forgot Password Email Template","Plantilla de correo de contraseña olvidada"
"General","General"
"General Settings","Configuraciones generales"
"General contact","Contacto general"
"Global","Global"
"HTML Head","HTML Head"
"Header","Header"
"Host","Host"
"Id path for specified store","ID de ruta para la tienda especificada"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","El tipo de URL base es inválido"
"Invalid block name to set child %s: %s","El nombre de bloque para configurar child es inválido %s: %s"
"Invalid block type: %s","El tipo de bloque es inválido: %s"
"Invalid block: %s","Bloque inválido: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","El argumento para actualizar el layout es inválido. Se esperaba Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Actualización de layout inválida"
"Invalid messages storage ""%s"" for layout messages initialization","El almacenamiento de mensajes es inválido ""%s"" para iniciación de mensajes de layout"
"Invalid transactional email code: ","El código de correo electrónico transaccional es inválido:"
"Invalid websites configuration path: %s","La configuración de la ruta del sitio web es inválida: %s"
"Layout","Diseño"
"Layouts","Layouts"
"Leave empty for access from any location","Dejar en blanco para acceder desde cualquier lugar"
"Locale","Local"
"Locale options","Opciones locales"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Gestionar tiendas"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Clase de modelo no existe: %s"
"Model collection resource name is not defined","El nombre del recurso de la colección de modelo no está definido"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Nombre"
"New Design Change","Nuevo cambio de diseño"
"New Store","Nueva tienda"
"New Store View","Nueva vista de tienda"
"New Website","Nuevo sitio web"
"No","No"
"Package","Paquete"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Por favor, escriba 6 o más caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Por favor, escriba 6 o más caracteres. Los espacios al principio y al final serán ignorados."
"Please enter a number greater than 0 in this field.","Por favor, escriba un número mayor que 0 en este campo."
"Please enter a valid $ amount. For example $100.00.","Por favor, escriba un importe válido."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Por favor, escriba una URL válida. Por ejemplo http://www.ejemplo.com o www.ejemplo.com"
"Please enter a valid URL. http:// is required","Por favor, escriba una ULR válida. http:// es obligatorio"
"Please enter a valid credit card number.","Por favor, escriba un número de tarjeta de crédito válido."
"Please enter a valid date.","Por favor, escriba una fecha válida."
"Please enter a valid email address. For example johndoe@domain.com.","Por favor, escriba una dirección de correo válida. Por ejemplo perez@dominio.com"
"Please enter a valid number in this field.","Por favor, escriba un número válido en este campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Por favor, escriba un n&uacute;mero de tel&eacute;fono v&aacute;lido."
"Please enter a valid social security number. For example 123-45-6789.","Por favor, escriba un número válido de seguridad social."
"Please enter a valid zip code.","Por favor, escriba un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor, escriba un código postal válido."
"Please enter valid password.","Por favor, escriba una contraseña válida."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Asegúrese de que sus contraseñas coinciden."
"Please select State/Province.","Por favor, seleccione Estado/Provincia"
"Please select an option.","Por favor, seleccione una opción."
"Please select one of the above options.","Por favor, seleccione una de las opciones arriba."
"Please select one of the options.","Por favor, seleccione una de las opciones."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Por favor, use s&oacute;lo letras (a-z) en este campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Por favor, use sólo números en este campo. Evite espacios u otros caracteres como puntos y comas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Por favor, use s&oacute;lo letras (a-z) o n&uacute;meros (0-9) en este campo. No se permiten espacios ni otros caracteres."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Por favor, use s&oacute;lo letras (a-z) o n&uacute;meros (0-9) o espacios y # en este campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Por favor, use s&oacute;lo letras (a-z), n&uacute;meros (0-9) o guiones bajos(_) en este campo. El primer car&aacute;cter debe ser una letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Por favor, use este formato de fecha: dd/mm/aaaa. Por ejemplo, 17/03/2006 para 17 de marzo de 2006."
"Please wait, loading...","Por favor, espere. Cargando..."
"Polls","Polls"
"Port (25)","Puerto (25)"
"Profiler","Perfilador"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Solicitud de ruta para la tienda especificada"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","El recurso no está configurado"
"Root Category","Categoría raíz"
"SMTP settings (Windows server only)","Configuraciones de SMTP (s&oacute;lo para servidor Windows)"
"Sales representative","Representante de ventas"
"Save","Guardar"
"Save Store","Guardar la tienda"
"Save Store View","Guardar la vista de la tienda"
"Save Website","Guardar el sitio web"
"Search Engines Optimization","Optimización para motores de búsqueda"
"Secure","Seguro"
"Security","Security"
"Select Date","Select Date"
"Sender email","Remitente del correo electrónico"
"Sender name","Nombre del remitente"
"Services","Servicios"
"Session Cookie management","Gestión de las sesiones de cookie"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Marcar como por defecto"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Sort order","Orden de clasificación"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","La fecha inicial no puede ser más grande que la fecha final"
"Startup page","Startup page"
"Status","Estado"
"Store","Tienda"
"Store Email Addresses","Direcciones de correo electrónico de la tienda"
"Store Information","Información de la tienda"
"Store Name","Nombre de la tienda"
"Store View","Store View"
"Store View Information","Información de la vista de tienda"
"Store View Name","Nombre de la vista de tienda"
"Store View was successfully saved","La vista de tienda fue guardada con éxito."
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","El c&oacute;digo de la tienda debe contener s&oacute;lo letras (a-z), n&uacute;meros (0-9) o guiones bajos(_), el primer car&aacute;cter debe ser una letra."
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","La tienda fue borrada con éxito."
"Store was successfully saved","La tienda fue guardada con éxito."
"Store with the same code","Ya existe una tienda con el mismo código"
"System","Sistema"
"System Log File Name","System Log File Name"
"Template Path Hints","Ayuda de rutas de la plantilla"
"Templates","Plantillas"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Temas"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Esta categoría solamente"
"This is a required field.","Campo requerido."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Zona horaria"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Traducciones"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Imposible proceder. Por favor, intente más tarde."
"Unknown scope ""%s""","Alcance desconocido ""%s"""
"Unsecure","Inseguro"
"Url Options","Opciones URL"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Usar URLs seguras en la Administración"
"Use Secure URLs in Frontend","Usar URLs seguras en el Frontend"
"Use Web Server Rewrites","Usar reescrituras del servidor web"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","Sitio web"
"Website Information","Información del sitio web"
"Website Name","Nombre del sitio web"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","El c&oacute;digo del sitio web debe contener s&oacute;lo letras (a-z), n&uacute;meros (0-9) o guiones bajos(_), el primer car&aacute;cter debe ser una letra"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","El sitio web fue borrado con éxito."
"Website was successfully saved","El sitio web fue guardado con éxito."
"Website with the same code","Ya existe un sitio web con el mismo código"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Número de argumentos erróneo para %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Su sesión ha expirado. Tendrá que ingresar nuevamente."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
