"-- Please Select --","-- Por favor seleccione --"
"Add New Class","Agregar una nueva clase"
"Tax rate was successfully imported","La tasa de impuesto fue importada con éxito"
"Tax rate was successfully saved","La tasa de impuesto fue grabada con éxito"
"Tax rates at the same priority are added, others are compounded.","Tax rates at the same priority are added, others are compounded."
"Tax rule was successfully deleted","La regla de impuesto fue borrada con éxito"
"Tax rule was successfully saved","La regla de impuesto fue grabada con éxito"
"This class no longer exists","Esta clase ya no existe"
"This rule no longer exists","Esta regla ya no existe"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","No puede borrar esta clase de impuesto, ya que se utiliza para %d grupos de clientes."
"You cannot delete this tax class as it is used for %d products.","No puede borrar esta clase de impuesto, ya que se utiliza para %d productos."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","No puede borrar esta clase de impuesto ya que se utiliza en las reglas de impuestos. Primero debe borrar las reglas en que se utiliza."
"Zip/Post Code","Código postal"
