"* Required Fields","* Campos requeridos"
"Log In","Iniciar sesión"
"Log Out","Cerrar sesión"
"Log in or Create an Account","Log in or Create an Account"
"Login","Iniciar sesión"
"Login Information","Información de Inicio de sesión"
"Login and password are required","Se requieren la identificación y la contraseña"
"Login or Create an Account","Inicie sesión o cree una cuenta"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Gestionar direcciones"
"Manage Customers","Gestionar clientes"
"Missing email, skipping the record","Correo electrónico perdido, se omite el registro"
"Missing firstname, skipping the record","Nombre perdido, se omite el registro"
"Missing lastname, skipping the record","Apellido perdido, se omite el registro"
"Month","Month"
"My Account","Mi cuenta"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Mi panel de control"
"My Orders","Mis Pedidos"
"My Reviews","Mis opiniones"
"My Tags","Mis etiquetas"
"My Wishlist","Mis artículos de interé;s"
"Name","Nombre"
"Name and Address Options","Name and Address Options"
"Never","Nunca"
"New Address","Nueva Dirección"
"New Address Entry","Nueva entrada de dirección"
"New Customer","Nuevo cliente"
"New Customer Address","Nueva dirección del cliente"
"New Customer Group","Nuevo grupo de clientes"
"New Customer Groups","Nuevos grupos de clientes"
"New Customers","Nuevos clientes"
"New Group","Nuevo grupo"
"New Password","Nueva Contraseña"
"New account","Nueva cuenta"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Boletín de noticias"
"Newsletter Finish","Final del boletín de noticias"
"Newsletter Information","Información del boletín de noticias"
"Newsletter Received","Boletín de noticias recibido"
"Newsletter Start","Inicio del boletín de noticias"
"Newsletter Subscription","Subscripción al boletín de noticias"
"Newsletters","Boletines de noticias"
"No Items Found","No se encontraron artículos"
"No Newsletter Found","No se encontraron boletines de noticias"
"No item specified.","No item specified."
"No product collections found","No se encontraron colecciones de productos"
"Not Sent","No se envió"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Desconectado"
"Online","Conectado"
"Online Customers","Clientes Conectados"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Pedido #"
"Order #%s (%s)","Pedido #%s (%s)"
"Order List...","Lista de Pedidos..."
"Order Total","Total del Pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password","Contraseña"
"Password Management","Gestión de la contraseña"
"Password Options","Opciones de la contraseña"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener 6 caracteres como mínimo. Los espacios en blanco serán ignorados."
"Paused","Detenido"
"Payment Method","Método de pago"
"Pending","Pendiente"
"Per Website","Por sitio web"
"Personal Information","Información personal"
"Please enter your email below and we'll send you a new password.","Introduzca su correo electrónico a continuación y le enviaremos una nueva contraseña."
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","Por favor, ingrese su dirección de correo electrónico."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coinciden."
"Please select","Por favor seleccione"
"Please select region, state or province","Por favor, seleccione una región, estado o provincia"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Precio"
"Primary Billing Address","Dirección de facturación principal"
"Primary Shipping Address","Dirección de envío principal"
"Problem saving the collection, aborting. Error: %s","Hubo un problema al guardar la colección. Cancelando. Error: %s"
"Product","Producto"
"Product ID","ID de producto"
"Product Name","Nombre del producto"
"Product Reviews","Comentarios del producto"
"Product Tags","Etiquetas del producto"
"Product name","Nombre del producto"
"Purchase On","Comprado en "
"Purchased at","Comprado el"
"Qty","Cant."
"Recent Orders","Pedidos recientes"
"Records for ""","Registros para """
"Refunded","Devuelto"
"Registered Customers","Clientes Registrados"
"Remove","Quitar"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","Recupere su contraseña aquí"
"SKU","Código"
"Sales Statistics","Estadísticas de venta"
"Save","Guardar"
"Save Address","Guardar dirección"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Guardar cliente"
"Save Customer Group","Guardar grupo de cliente"
"Save Password","Guardar contraseña"
"Saved ","Guardado"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Enviar contraseña autogenerada"
"Send confirmation link","Send confirmation link"
"Send welcome email","Enviar correo electrónico de bienvenida"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Hora de inicio de la sesión"
"Set as Default Billing Address","Configurar como dirección de facturación por defecto"
"Set as Default Shipping Address","Configurar como dirección de envío por defecto"
"Share Customer Accounts","Compartir las cuentas de clientes"
"Ship to First name","Enviar a nombre"
"Ship to Last name","Enviar a apellido"
"Shipped to First Name","Envidado a nombre"
"Shipped to Last Name","Enviado a apellido"
"Shipped to Name","Enviado a nombre de"
"Shipping Information","Información del envío"
"Shipping Method","Método de envío"
"Shopping Cart","Carrito de compras"
"Shopping Cart - %d item(s)","Carrito de Compras - %d item(s)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Apuntarse al boletín de noticias"
"Sign up for our newsletter","Apuntarse a nuestro boletín de noticias"
"Skip import row, required field ""%s"" not defined","Omitir la fila de importación. El campo requerido ""%s"" no está definido."
"Skip import row, website ""%s"" field not exists","Omitir la fila de importación. El campo del sitio web ""%s"" no existe."
"State/Province","Estado / Provincia"
"Status","Estado"
"Store","Tienda"
"Store View","Vista de tienda"
"Street Address","Calle"
"Street Address ","Street Address "
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Suscribirse"
"Subscribe to newsletter","Suscribirse al boletín de noticias"
"Subscribed to Newsletter?","Suscribirse al Boletín?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Nombre de la etiqueta"
"Tax Class","Clase de Impuesto"
"Tax class","Clase de Impuesto"
"Tax/VAT number","Tax/VAT number"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto de una línea"
"Thank you for registering with %s","Gracias por registrarse con %s"
"The address does not belong to this customer","La dirección no pertenece a este cliente"
"The address was successfully deleted","La dirección fue borrada con éxito"
"The address was successfully saved","La dirección fue guardada con éxito"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Por el momento no hay artículos en la lista de artículos de interés del cliente"
"There are no items in customer's shopping cart at the moment","No hay artículos en el carrito de la compra del cliente en este momento"
"There was an error while deleting the address","Se produjo un error al borrar la dirección"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Este cliente no guardó sus direcciones"
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Esta dirección de correo electrónico no fue encontrada en los registros"
"This is My Primary %s Address","Esta es mi principal %s dirección"
"To Cart","Al carrito"
"Total","Total"
"Type","Tipo"
"Unknown","Desconocido"
"Unsubscribe from newsletter","Cancelar la suscripción al Boletín de noticias"
"Update","Actualizar"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Usar como mi principal %s dirección"
"Use as my default billing address","Usar como mi dirección de facturación por defecto"
"Use as my default shipping address","Usar como mi dirección de envíos por defecto"
"User description","Descripción del usuario"
"View","Ver"
"View Order","Ver Pedido"
"View Order List","Ver lista de Pedidos"
"Visible In","Visible en"
"Visitor","Visitante"
"Visitors Only","Sólo visitantes"
"Website","Sitio web"
"Welcome Email","Welcome Email"
"Wishlist","Lista de artículos de interés"
"Wishlist - %d item(s)","Lista de Deseos - %d item(s)"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","ID de región incorrecto para el país seleccionado"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","Actualmente no está subscrito a ningún boletín  de noticias."
"You are currently not subscribed to our newsletter","Actualmente no está subscrito a nuestro boletín  de noticias."
"You are currently subscribed to 'General Subscription'.","Actualmente está subscrito a la 'Suscripción General'."
"You are currently subscribed to our newsletter","Actualmente está subscrito a nuestro boletín de noticias"
"You are currently subscribed to our newsletter.","Actualmente está subscrito a nuestro boletín de noticias"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Ha salido con éxito del sistema y será redirigido a nuestra página de inicio en 5 segundos."
"You have no additional address entries in your address book.","No tiene direcciones adicionales en su libreta de direcciones."
"You have no additional entries in your address book.","No tiene entradas adicionales en su libreta de direcciones."
"You have no default billing address in your address book.","No tiene una dirección de facturación por defecto en su libreta de direcciones."
"You have no default shipping address in your address book.","No tiene una dirección de envío por defecto en su libreta de direcciones."
"You have no primary entries in your address book.","No tiene entradas principales en su libreta de direcciones."
"You have not set a primary billing address.","No ha indicado una dirección de facturación principal."
"You have not set a primary shipping address.","No ha indicado una dirección de envío principal."
"You have placed no orders yet.","Aún no ha realizado ningún pedido."
"You have placed no products yet.","Aún no ha colocado ningún producto."
"You're now Logged Out","Ha cerrado su sesión correctamente"
"Your account balance is: %s","El balance de su cuenta es: %s"
"ZIP","Código postal"
"ZIP/Post Code","Código postal"
"ZIP/Postal Code","Código postal"
"Zip/Postal Code","Código postal"
"n/a","n/d"
"or","o"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
