"%s was successfully added to your shopping cart.","%s is  toegevoegd aan uw winkelwagen."
"Manage Checkout Terms and Conditions","Beheer Algemene Voorwaarden"
"Maximum display Recently added item(s)","Maar &eacute;&eacute;n keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximale aantal voor verzenden naar verschillende adressen is %s"
"Move to Wishlist","Verplaats naar verlanglijst"
"My Account","Mijn account"
"My Cart","My Cart"
"My Cart (%s item)","Mijn winkelwagen (%s artikel)"
"My Cart (%s items)","Mijn winkelwagen (%s artikelen)"
"My Cart Link","Link naar mijn winkelwagen"
"New Address","Nieuw adres"
"New Condition","Nieuwe voorwaarde"
"Order #","Bestelnummer"
"Order Review","Controleer uw bestelling"
"Order Success","Bestelling succes"
"Other items in your order","Andere artikelen van uw bestelling"
"Password","Wachtwoord"
"Payment Failed Email Reciever","Ontvanger E-mail over mislukte betaling"
"Payment Failed Email Sender","Afzender E-mail over mislukte betaling"
"Payment Failed Emails","E-mails over mislukte betaling"
"Payment Failed Template","Template mislukte betaling"
"Payment Information","Betalingsgegevens"
"Payment Method","Betaalwijze"
"Payment method is not defined","Betaalwijze is niet gedefinieerd"
"Place Order","Plaats bestelling"
"Please <a href=""%s"">continue shopping</a>.","Ga gerust <a href=""%s""> door met winkelen</a>."
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please agree to all Terms and Conditions before placing the orders.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please log in below:","U kunt hieronder inloggen met uw e-mail adres en wachtwoord."
"Please select region, state or province","Selecteer een gebied, staat of provincie a.u.b."
"Please select shipping address for applicable items","Selecteer een afleveradres voor de betreffende artikelen a.u.b."
"Please select shipping methods for all addresses","Selecteer verzendwijzen voor alle adressen a.u.b."
"Price","Prijs"
"Proceed to Checkout","Ga door naar afrekenen"
"Product","Product"
"Product Name","Productnaam"
"Product does not exist","Product bestaat niet"
"Qty","Aantal"
"Quote Lifetime (days)","Geldigheid offerte (dagen)"
"Recently added item(s)","Recent toegevoegd"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Register and save time!","Voordelen van een account"
"Register to Create an Account","Registreer om een account aan te maken"
"Register with us for future convenience:","Bewaar uw gegevens. Dat werkt sneller en makkelijker."
"Remove","Verwijderen"
"Remove Item","Artikel verwijderen"
"Remove Product","Verwijder product"
"Remove item","Artikel verwijderen"
"Review Order","Bestelling bekijken"
"Review Order - %s","Bestelling  %s bekijken"
"Sales","Verkopen"
"Save Condition","Voorwaarde opslaan"
"Save in address book","Opslaan in adresboek"
"Select Address","Adres selecteren"
"Select Addresses","Adres selecteren"
"Select Shipping Method","Verzendwijze selecteren"
"Select State/Province...","Provincie selecteren"
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Select a shipping address from your address book or enter a new address.","Selecteer een afleveradres uit uw adresboek of voer een nieuw adres in."
"Send Payment Failed Email Copy Method","CC-methode van E-mail over mislukte betaling"
"Send Payment Failed Email Copy To","Van een E-mail over mislukte betaling een CC sturen aan"
"Send to","Verzend naar"
"Ship to Multiple Addresses","Naar verschillende adressen verzenden"
"Ship to different address","Naar ander adres verzenden"
"Ship to this address","Naar dit adres verzenden"
"Shipping Address","Afleveradres"
"Shipping Information","Verzendgegevens"
"Shipping Method","Verzendwijze"
"Shipping Methods","Verzendwijzen"
"Shipping method has not been selected yet","Verzendwijze is nog niet geselecteerd"
"Shipping selection is not applicable","Verzend-selectie is niet van toepassing"
"Shipping to","Verzenden naar"
"Shopping Cart","Winkelwagen"
"Shopping Cart Sidebar","Zijbalk winkelwagen"
"Shopping Cart is Empty","Uw winkelwagen is leeg"
"Show Content as","Inhoud tonen als"
"Some of the products you requested are not available in the desired quantity","Sommige producten die u hebt gekozen, zijn niet voorradig  in deze aantallen"
"Some of the products you requested are unavailable","Sommige producten die u hebt gekozen, zijn niet voorradig"
"Sorry, Onepage Checkout is disabled.","Sorry, afrekenen op &eacute;&eacute;n is uitgeschakeld."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, u kunt niet afrekenen zonder een account aan te maken. Neemt u gerust contact met ons op."
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"State/Province","Provincie"
"Status","Status"
"Store View","Winkelzicht"
"Street Address","Adres 2"
"Street Address ","Street Address "
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Subtotal","Subtotaal"
"Telephone","Telefoon"
"Terms and Conditions","Algemene Voorwaarden"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Terms and conditions","Algemene Voorwaarden"
"Text","Tekst"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Er zijn <a href=""%s""><strong>%s artikelen</strong></a> in uw winkelwagen."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Er is <a href=""%s""><strong>1 artikel</strong></a> in uw winkelwagen."
"There is already a customer registered using this email address","Er is al een klant geregistreerd met dit e-mailadres"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij de verwerking van uw bestelling. Neem contact met ons op of probeer het later nog eens"
"This condition no longer exists","Deze voorwaarde bestaat niet meer"
"Total","Totaal"
"Total for this address","Totaal voor dit adres"
"Unit Price","Prijs per stuk"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Update Shopping Cart","Winkelwagen bijwerken"
"Update Total","Totaal bijwerken"
"Use Billing Address","Factuuradres gebruiken"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We zijn bezig met het verwerken van uw bestelling. U ontvangt binnenkort een e-mail  met de details van uw bestelling. Wanneer de bestelling verzonden is, ontvangt u nog een e-mail met een link om het pakket te volgen."
"You have no items in your shopping cart.","U hebt niets in uw winkelwagen."
"You will receive an order confirmation email with details of your order and a link to track its progress.","U ontvangt een e-mail ter bevestiging van uw bestelling met de details van uw bestelling en een link om de voortgang te kunnen volgen."
"Your Checkout Progress","Voortgang  bestelling"
"Your order # is: %s","Uw bestelnummer is: %s"
"Your order # is: <a href=""%s"">%s</a>","Uw bestelnummer is: <a href=""%s"">%s</a>"
"Your order has been received","Uw bestelling is ontvangen"
"Your order number is ","Your order number is "
"Zip/Postal Code","Postcode"
"osCommerce Orders","osCommerce orders"
"separate by "",""","scheiden met &quot;,&quot;"
"My Cart","Mijn winkelwagen"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
