"* Required Fields","* Verplichte velden"
"Invalid option id specified for %s (%s), skipping the record","Ongeldig optie-ID opgegeven voor %s (%s), record wordt overgeslagen"
"Invalid store specified, skipping the record","Ongeldige winkel opgegeven, record wordt overgeslagen"
"Items Order","Artikelen in bestelling"
"Last 5 Orders","Laatste 5 bestellingen"
"Last Activity","Laatste activiteit"
"Last Name","Achternaam"
"Last Url","Laatste URL"
"Last Viewed Items","Laatst bekeken artikel"
"Last date subscribed","Laatste datum geabonneerd"
"Last date unsubscribed","Laatste datum uitgeschreven"
"Last name can't be empty","Achternaam moet ingevuld zijn"
"Leave empty for default (15 minutes).","Laat leeg voor standaard (15 minuten)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Verkooptotaal vanaf eerste bestelling"
"Log In","Inloggen"
"Log Out","Log uit"
"Log in or Create an Account","Log in of maak een account aan"
"Login","Inloggen"
"Login Information","Login-gegevens"
"Login and password are required","Login en wachtwoord zijn verplicht"
"Login or Create an Account","Inloggen of een account aanmaken"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Beheer adressen"
"Manage Customers","Beheer klanten"
"Missing email, skipping the record","E-mail ontbreekt, record wordt overgeslagen"
"Missing firstname, skipping the record","Voornaam ontbreekt, record wordt overgeslagen"
"Missing lastname, skipping the record","Achternaam ontbreekt, record wordt overgeslagen"
"Month","Maand"
"My Account","Mijn account"
"My Account Dashboard","Mijn account-dashboard"
"My Dashboard","Mijn dashboard"
"My Orders","Mijn orders"
"My Reviews","Mijn reviews"
"My Tags","Mijn tags"
"My Wishlist","Mijn verlanglijst"
"Name","Naam"
"Name and Address Options","Naam- en adres-opties"
"Never","Nooit"
"New Address","Nieuw adres"
"New Address Entry","Nieuw adres toevoegen"
"New Customer","Nieuwe klant"
"New Customer Address","Nieuw klantadres"
"New Customer Group","Nieuwe klantengroep"
"New Customer Groups","Nieuwe klantengroepen"
"New Customers","Nieuwe klanten"
"New Group","Nieuwe groep"
"New Password","Nieuw wachtwoord"
"New account","Nieuw account"
"New account confirmation key","Bevestigingscode nieuw account"
"New account confirmed","Nieuw account bevestigd"
"New password","Nieuw wachtwoord"
"Newsletter","Nieuwsbrief"
"Newsletter Finish","Nieuwsbrief afsluiten"
"Newsletter Information","Nieuwsbriefgegevens"
"Newsletter Received","Nieuwsbrief ontvangen"
"Newsletter Start","Nieuwsbrief starten"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Newsletters","Nieuwsbrieven"
"No Items Found","Geen artikelen gevonden"
"No Newsletter Found","Geen nieuwsbrief gevonden"
"No item specified.","Geen artikel gespecificeerd."
"No product collections found","Geen productverzamelingen gevonden"
"Not Sent","Niet verzonden"
"Not confirmed, can login","Niet bevestigd, kan inloggen"
"Not confirmed, cannot login","Niet bevestigd, kan niet inloggen"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Offline"
"Online","Online"
"Online Customers","Online-klanten"
"Online Customers Options","Online-klanten Opties"
"Online Minutes Interval","Online-minuteninterval"
"Order #","Bestelnummer"
"Order #%s (%s)","Bestelling #%s (%s)"
"Order List...","Bestellijst..."
"Order Total","Odertotaal"
"Orders","Bestellingen"
"PDF","PDF"
"Password","Wachtwoord"
"Password Management","Beheer wachtwoorden"
"Password Options","Wachtwoord-opties"
"Password can't be empty","Wachtwoord mag niet leeg zijn."
"Password fields can't be empty.","Wachtwoordvelden mogen niet leeg zijn."
"Password forgotten","Wachtwoord vergeten"
"Password minimal length must be more %s","Minimale wachtwoordlengte moet meer zijn dan %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Wachtwoord moet uit tenminste zes tekens bestaan. Spaties voor- of achteraan zullen genegeerd worden ."
"Paused","Gepauzeerd"
"Payment Method","Betaalwijze"
"Pending","Wachtende"
"Per Website","Per website"
"Personal Information","Persoonlijke gegevens"
"Please enter your email below and we'll send you a new password.","Vul hieronder uw emailadres in en we sturen u een nieuw wachtwoord."
"Please enter your email below and we'll send you confirmation link for it.","Vul alstublieft hieronder uw email adres in en we sturen u een bevestiging-link."
"Please enter your email.","Vul uw e-mail adres in a.u.b."
"Please make sure your passwords match.","Zorg er voor dat de wachtwoorden overeenkomen"
"Please select","Selecteer a.u.b."
"Please select region, state or province","Selecteer een gebied, staat of provincie a.u.b."
"Please, check your e-mail for confirmation key.","Check uw email voor de bevestiging-code.a.u.b."
"Prefix","Titel"
"Prefix dropdown options","Dropdown-opties voorvoegsel"
"Price","Prijs"
"Primary Billing Address","Primair factuuradres"
"Primary Shipping Address","Primair afleveradres"
"Problem saving the collection, aborting. Error: %s","Probleem bij opslaan van verzameling. Magento sluit af. Fout: %s"
"Product","Product"
"Product ID","Product-ID"
"Product Name","Productnaam"
"Product Reviews","Product-reviews"
"Product Tags","Eigen tags"
"Product name","Productnaam"
"Purchase On","Aankoop op"
"Purchased at","Gekocht bij"
"Qty","Aantal"
"Recent Orders","Recente orders"
"Records for ""","Records voor """
"Refunded","Terugbetaald"
"Registered Customers","Geregistreerde klanten"
"Remove","Verwijderen"
"Require Emails Confirmation","E-mailbevestiging verplichten"
"Retrieve address data","Adresgegevens ophalen"
"Retrieve address info","Adresgegevens ophalen"
"Retrieve customer addresses","Klantadressen ophalen"
"Retrieve customer data","Klantgegevens ophalen"
"Retrieve customer's groups","Groepen van klant ophalen"
"Retrieve customers","Klanten ophalen"
"Retrieve customers info","Klantgegevens ophalen"
"Retrieve your confirmation link here","Haal hier uw bevestigingslink op"
"Retrieve your password here","Vraag uw wachtwoord hier op"
"SKU","Artikelnummer"
"Sales Statistics","Verkoopstatistiek"
"Save","Opslaan"
"Save Address","Adres opslaan"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Klant opslaan"
"Save Customer Group","Klantengroep opslaan"
"Save Password","Wachtwoord opslaan"
"Saved ","Saved "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Waarden scheiden met puntkomma (;) <br/>Zet een puntkomma aan het begin voor een lege eerste optie.<br/> Niets invullen voor een leeg tekstveld."
"Send Welcome Email after Confirmation","Welkomstbericht mailen na bevestiging"
"Send auto-generated password","Automatisch gegenereerd wachtwoord versturen"
"Send confirmation link","Bevestingingslink versturen"
"Send welcome email","Welkomstbericht mailen"
"Sending","Bezig met verzenden"
"Sent","Verzonden"
"Session Start Time","Aanvangstijd sessie"
"Set as Default Billing Address","Als standaard-factuuradres instellen"
"Set as Default Shipping Address","Als standaard-afleveradres instellen"
"Share Customer Accounts","Klant-accounts delen"
"Ship to First name","Verzend op voornaam"
"Ship to Last name","Verzend naar achternaam"
"Shipped to First Name","Verzonden aan voornaam"
"Shipped to Last Name","Verzonden aan achternaam"
"Shipped to Name","Verzonden aan naam"
"Shipping Information","Verzendgegevens"
"Shipping Method","Verzendwijze"
"Shopping Cart","Winkelwagen"
"Shopping Cart - %d item(s)","Winkelwagen - %d artikel(en)"
"Show Tax/VAT number","BTW-nummer tonen"
"Show date of birth","Geboortedatum tonen"
"Show middle name (initial)","Midden-initiaal tonen"
"Show prefix","Voorvoegsel tonen"
"Show suffix","Achtervoegsel tonen"
"Sign Up for Newsletter","Abonneer u op onze nieuwsbrief"
"Sign up for our newsletter","Abonneer op onze nieuwsbrief"
"Skip import row, required field ""%s"" not defined","Sla importeren van rij over, benodigd veld “%s” niet opgegeven"
"Skip import row, website ""%s"" field not exists","Sla importeer-rij over, website ""%s"" veld bestaat niet"
"State/Province","Provincie"
"Status","Status"
"Store","Winkel"
"Store View","Winkelzicht"
"Street Address","Adres 2"
"Street Address ","Street Address "
"Subject","Onderwerp"
"Submit","Verstuur"
"Subscribe","Inschrijven"
"Subscribe to newsletter","Abonneer op nieuwsbrief"
"Subscribed to Newsletter?","Geabonneerd op nieuwsbrief?"
"Suffix","Achtervoegsel"
"Suffix dropdown options","Dropdown-opties achtervoegsel"
"TAX/VAT number is required.","BTW-nummer is verplicht"
"Tag Name","Tag-naam"
"Tax Class","BTW-tariefgroep"
"Tax class","BTW-groep"
"Tax/VAT number","BTW-nummer"
"Telephone","Telefoon"
"Text","Tekst"
"Text One Line","Tekst @eacute;@eacute;n regel"
"Thank you for registering with %s","Bedankt voor het openen van een account bij %s"
"The address does not belong to this customer","Dit adres is niet van deze klant"
"The address was successfully deleted","Het adres is verwijderd"
"The address was successfully saved","Het adres is opgeslagen"
"The suffix that goes after name (Jr., Sr., etc.)","De afkorting die achter de naam staat (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","De aanhef die voor de naam staat (heer, mevrouw, etc.)"
"There are no items in customer's wishlist at the moment","Er staan momenteel geen artikelen op de verlanglijst van de klant"
"There are no items in customer's shopping cart at the moment","Op dit moment zitten er geen artikelen in de winkelwagen van de klant"
"There was an error while deleting the address","Er is een fout opgetreden bij het verwijderen van het adres"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Deze e-mail wordt verstuurd in plaats van het standaard-welkomstbericht, na de bevestiging van het account"
"This account is not confirmed.","Dit account is niet bevestigd."
"This customer has no saved addresses.","Deze klant heeft geen opgeslagen adressen."
"This e-mail does not require confirmation.","Deze e-mail hoeft niet bevestigd te worden."
"This email address was not found in our records","Dit e-mail adres is niet gevonden in ons bestand"
"This is My Primary %s Address","Dit is mijn primaire %s-adres"
"To Cart","Naar Winkelwagen"
"Total","Totaal"
"Type","Type"
"Unknown","Onbekend"
"Unsubscribe from newsletter","Uitschrijven bij nieuwsbrief"
"Update","Update"
"Update customer address data","Adresgegevens van klant updaten"
"Update customer data","Klantgegevens updaten"
"Use as My Primary %s Address","Als mijn primaire %s-adres gebruiken"
"Use as my default billing address","Als mijn standaard-factuuradres gebruiken"
"Use as my default shipping address","Als mijn standaard-afleveradres"
"User description","Beschrijving gebruikers"
"View","Bekijken"
"View Order","Bestelling bekijken"
"View Order List","Bestellijst bekijken"
"Visible In","Zichtbaar in"
"Visitor","Bezoeker"
"Visitors Only","Alleen bezoekers"
"Website","Website"
"Welcome Email","Welkomst-mail"
"Wishlist","Verlanglijst"
"Wishlist - %d item(s)","Verlanglijst - %d artikel(en)"
"Wrong confirmation key.","Onjuiste bevestigingscode"
"Wrong customer account specified.","Onjuist klant-account gespecificeerd."
"Wrong email.","Onjuist e-mailadres."
"Wrong region id by selected country","Fout gebied-id bij geselecteerd land"
"Wrong transactional account email type.","Onjuist type transactionele e-mail"
"XML","XML"
"YYYY","JJJJ"
"Year","Jaar"
"You are currently not subscribed to any newsletter.","Momenteel bent u niet op een nieuwsbrief geabonneerd."
"You are currently not subscribed to our newsletter","Momenteel bent u niet geabonneerd op onze nieuwsbrief."
"You are currently subscribed to 'General Subscription'.","Momenteel bent u geabonneerd op het Algemene Abonnement."
"You are currently subscribed to our newsletter","U bent momenteel geabonneerd op onze nieuwsbrief"
"You are currently subscribed to our newsletter.","U bent momenteel geabonneerd op onze nieuwsbrief."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","U bent nu uitgelogd en wordt binnen 5 seconden naar onze homepage doorgestuurd."
"You have no additional address entries in your address book.","U hebt geen extra adressen in uw adresboek."
"You have no additional entries in your address book.","U hebt geen extra adressen in uw adresboek."
"You have no default billing address in your address book.","U hebt geen standaard-factuuradres in uw adresboek."
"You have no default shipping address in your address book.","Uw hebt geen standaard-afleveradres in uw adresboek."
"You have no primary entries in your address book.","U hebt geen primaire adressen in uw adresboek"
"You have not set a primary billing address.","U heeft geen primair factuuradres ingesteld."
"You have not set a primary shipping address.","U hebt geen primair afleveradres ingesteld."
"You have placed no orders yet.","U hebt nog geen bestellingen geplaatst."
"You have placed no products yet.","U hebt nog geen producten toegevoegd."
"You're now Logged Out","U bent nu uitgelogd"
"Your account balance is: %s","De balans van uw account is: %s"
"ZIP","Postcode"
"ZIP/Post Code","Postcode"
"ZIP/Postal Code","Postcode"
"Zip/Postal Code","Postcode"
"n/a","n.v.t."
"or","of"
"Please enter your email below and we'll send you a new password.","Vul hieronder uw emailadres in en we sturen u een nieuw wachtwoord."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
