"%s already exist","%s bestaat al"
"%s already exists","%s bestaat al"
"-- Please Select --","-- Selecteer a.u.b. --"
"Custom admin URL","Aangepaste admin-URL"
"Custom email 1","Eigen e-mail 1"
"Custom email 2","Eigen e-mail 2"
"Customer support","Klantenondersteuning"
"Date From","Datum vanaf"
"Date To","Datum tot"
"Date/time format ""%s"" is not supported.","Het datum/tijd-formaat ""%s"" wordt niet ondersteund"
"Debug","Debuggen"
"Default","Standaard"
"Default Description","Standaard-omschrijving"
"Default Keywords","Standaard-keywords"
"Default Pages","Standaard-pagina's"
"Default Robots","Standaard-robots"
"Default Store","Standaard-winkel"
"Default Store View","Standaard-winkelzicht"
"Default Title","Standaard-titel"
"Default country","Standaard-land"
"Default no-route url","Standaard-URL ""Niet gevonden"""
"Default web url","Standaard-web-URL"
"Delete","Verwijder"
"Delete Store","Winkel verwijderen"
"Delete Store View","Winkelzicht verwijderen"
"Delete Website","Website verwijderen"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Het verwijderen van een %1$s leidt niet tot de verwijdering van de gegevens die eraan gekoppeld zijn (bijv. categorie&euml;n, producten, etc.), maar de verwijdering kan niet ongedaan gemaakt worden. Wij adviseren u een backup te maken van uw database voordat u de verwijdering uitvoert."
"Design","Ontwerp"
"Design Change","Ontwerpverandering"
"Developer","Ontwikkelaar"
"Developer Client Restrictions","Beperkingen client-applicatie van ontwikkelaar"
"Disable email communications","Schakel e-mail communicatie uit"
"Disable modules output","Schakel uitvoer van modules uit"
"Duplicate Of Template Code","Kopie van template-code"
"Edit Design Change","Ontwerpverandering bewerken"
"Edit Store","Winkel bewerken"
"Edit Store View","Winkelzicht bewerken"
"Edit Website","Website wijzigen"
"Empty identifier field name","Lege identifier van veldnaam"
"Empty main table name","Lege naam hoofdtabel"
"Enabled","Ingeschakeld"
"Enabled for Admin","Ingeschakeld voor Admin"
"Enabled for Frontend","Ingeschakeld voor front-end"
"Error in file: ""%s"" - %s","Fout in bestand: ""%s"" - %s"
"Error while saving. Please try again later.","Fout tijdens opslaan. Probeer later opnieuw a.u.b."
"Error: Passwords do not match","Fout: wachtwoorden kloppen niet"
"Exceptions Log File Name","Bestandsnaam uitzonderingen-log"
"First Day of Week","Eerste dag van de week"
"Footer","Footer"
"Forgot Password Email Sender","Wachtwoord e-mail afzender vergeten"
"Forgot Password Email Template","Wachtwoord e-mail-template vergeten"
"General","Algemeen"
"General Settings","Algemene instellingen"
"General contact","Algemeen contact"
"Global","Systeem"
"HTML Head","HTML head"
"Header","Header"
"Host","Host"
"Id path for specified store","Id pad voor opgegeven winkel"
"Incorrect credit card expiration date","Onjuiste verloopdatum creditcard"
"Invalid base url type","Ongeldig type basis-URL"
"Invalid block name to set child %s: %s","Ongeldige bloknaam om kind in te stellen %s: %s"
"Invalid block type: %s","Ongeldig bloktype: %s"
"Invalid block: %s","Ongeldig blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Ongeldig argument layout-update argument. Verwachtte Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Ongeldige handle layout-update"
"Invalid messages storage ""%s"" for layout messages initialization","Ongeldige berichtenopslag ""%s"" voor initialisatie layout berichten"
"Invalid transactional email code: ","Invalid transactional email code: "
"Invalid websites configuration path: %s","Ongeldig websites-configuratiepad: %s"
"Layout","Layout"
"Layouts","Layouts"
"Leave empty for access from any location","Laat leeg voor toegang vanaf elke locatie"
"Locale","Lokalisatie"
"Locale options","Lokalisatie-opties"
"Log Settings","Log-instellingen"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Loggen vanuit Mage::log(). Bestand staat in {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Bezig met loggen vanuit Mage::logException(). Bestand staat in {{base_dir}}/var/log"
"Logo Image Alt","Alt-tekst logo"
"Logo Image Src","Bestand logo-plaatje"
"Manage Stores","Beheer winkels"
"Match expressions in the same order as displayed in the configuration.","Zorg dat expressies in dezelfde vorlgorde staan als getoond in de configuratie"
"Miscellaneous HTML","Diverse HTML"
"Miscellaneous scripts","Diverse scripts"
"Model class does not exist: %s","Model class bestaat niet: %s"
"Model collection resource name is not defined","Bronnaam model collection is niet gedefinieerd"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" mag niet afhankelijk zijn van ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Naam"
"New Design Change","Nieuw ontwerpverandering"
"New Store","Nieuwe winkel"
"New Store View","Nieuw winkelzicht"
"New Website","Nieuwe website"
"No","No"
"Package","Pakket"
"Please choose to register or to checkout as a guest","Kies of u zich registeert of als gast betaalt a.u.b."
"Please define flag code.","Definieer 'flag code' a.u.b."
"Please enter 6 or more characters.","Geef meer dan 6 tekens op a.u.b."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Voer zes of meer tekens in a.u.b. Spaties aan begin of eind zullen worden genegeerd."
"Please enter a number greater than 0 in this field.","Geef a.u.b. een getal groter dan 0 op in dit veld"
"Please enter a valid $ amount. For example $100.00.","Voer een geldig &euro; bedrag op. Bijvoorbeeld: &euro; 100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Geef een geldige URL op. Bijvoorbeeld http://www.example.com of www.example.com"
"Please enter a valid URL. http:// is required","Geef een geldige URL op. http:// is noodzakelijk"
"Please enter a valid credit card number.","Geef een geldig creditcard-nummer op a.u.b."
"Please enter a valid date.","Geef een geldige datum op a.u.b."
"Please enter a valid email address. For example johndoe@domain.com.","Geef een geldig e-mail adres op a.u.b. Bijvoorbeeld: iemand@mail.com ."
"Please enter a valid number in this field.","Geef een geldig getal op in dit veld."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Geef een geldig telefoonnummer op. Bijvoorbeeld (123) 456-7889 of 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","Geef een geldig burger-service-nummer op a.u.b. Bijvoorbeeld 123-45-6789."
"Please enter a valid zip code.","Geef een geldige postcode op."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please enter valid password.","Voer een geldig wachtwoord in a.u.b."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","De basis-URL moet eindigen met een '/' (slash), bijv. http://uwdomein/magento/"
"Please make sure your passwords match.","Zorg er voor dat de wachtwoorden overeenkomen"
"Please select State/Province.","Selecteer een provincie a.u.b"
"Please select an option.","Selecteer een optie a.u.b."
"Please select one of the above options.","Selecteer &eacute;&eacute;;n van de hierboven genoemde opties a.u.b.."
"Please select one of the options.","Selecteer &eacute;&eacute;n van de opties a.u.b.."
"Please specify payment method.","Specificeer de betaalwijze a.u.b."
"Please specify shipping method.","Specificeer de verzendwijze a.u.b."
"Please use letters only (a-z or A-Z) in this field.","Gebruik uitsluitend letters  (a-z en A-Z) in dit veld."
"Please use letters only (a-z) in this field.","Gebruik uitsluitend letters (a-z) in dit veld."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Gebruik a.u.b. alleen getallen in dit veld, vermijd spaties of andere tekens zoals punten en komma's"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Gebruik alleen letters (a-z) of getallen (0-9) in dit veld. Spaties en andere tekens zijn niet toegestaan"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Gebruik alleen letters (a-z), getallen (0-9), spaties of # in dit veld."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Gebruik alleen letters (a-z), cijfers (0-9) en underscores (_) in dit veld. Het eerste teken moet een letter zijn."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Gebruik dd/mm/jjjj als datum-formaat. Bijvoorbeeld 17/03/2006 voor 17 maart 2006."
"Please wait, loading...","Wacht a.u.b. Bezig met laden..."
"Polls","Polls"
"Port (25)","Poort (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","'Prototype depreciation log'"
"Request path for specified store","Pad opvragen voor gespecificeerde winkel"
"Requested invalid store ""%s""","Ongeldige winkel opgevraagd:""%s"""
"Resource is not set","Bron is niet ingesteld"
"Root Category","Basis-categorie (""root"")"
"SMTP settings (Windows server only)","SMTP-instellingen (alleen Windows server)"
"Sales representative","Vertegenwoordiger"
"Save","Opslaan"
"Save Store","Winkel opslaan"
"Save Store View","Winkelzicht opslaan"
"Save Website","Website opslaan"
"Search Engines Optimization","Zoekmachine-optimalisatie (SEO)"
"Secure","Veilig"
"Security","Security"
"Select Date","Datum selecteren"
"Sender email","Afzender e-mail"
"Sender name","Naam afzender"
"Services","Services"
"Session Cookie management","Sessiecookie beheer"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Instellingen sessievalidatie"
"Set as default","Instellen als standaard"
"Skin (Images / CSS)","Skin (Afbeeldingen / CSS)"
"Sort order","Sorteer volgorde"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Gespecificeerde datum/tijd ""%1$s"" is niet in het formaat ""%2$s""."
"Specify either category or product, or both.","Specificeer categorie, product of beide."
"Start date can't be greater than end date","Startdatum mag niet later zijn dan einddatum"
"Startup page","Startpagina"
"Status","Status"
"Store","Winkel"
"Store Email Addresses","E-mailadressen van winkel"
"Store Information","Winkelgegevens"
"Store Name","Winkelnaam"
"Store View","Winkelzicht"
"Store View Information","Winkelzicht-gegevens"
"Store View Name","Winkelzicht-naam"
"Store View was successfully saved","Winkelzicht is met succes opgeslagen."
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Winkelcode mag alleen bestaan uit letters (a-z), cijfers (0-9) of underscores (_). Het eerste teken moet een letter zijn."
"Store doesn't exist","Winkel bestaat niet"
"Store view doesn't exist","Winkelzicht bestaat niet"
"Store view was successfully deleted.","Winkelzicht is met succes verwijderd"
"Store was successfully deleted.","Winkel is met succes verwijderd"
"Store was successfully saved","Winkel is met succes opgeslagen"
"Store with the same code","Opslaan met dezelfde code"
"System","Systeem"
"System Log File Name","Bestandsnaam 'system log'"
"Template Path Hints","Hints template-pad"
"Templates","Templates"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Opgegeven %s is ongeldig. Zorg dat het voldoet aan het formaat ""http://domain.com/""."
"Themes","Themes"
"This category and all its child elements","Deze categorie en alle sub-elementen (""children"")"
"This category and its child categories only","Deze categorie en de sub-categorie&euml;n"
"This category and its products only","Deze categorie en de producten erin"
"This category only","Alleen deze categorie"
"This is a required field.","Dit is een verplicht veld."
"This store cannot be deleted","Deze winkel kan niet worden verwijderd"
"This store cannot be deleted.","Deze winkel kan niet worden verwijderd"
"This store view cannot be deleted","Dit winkelzicht kan niet worden verwijderd"
"This store view cannot be deleted.","Dit winkelzicht kan niet worden verwijderd"
"This website cannot be deleted","Deze website kan niet worden verwijderd"
"This website cannot be deleted.","Deze website kan niet worden verwijderd"
"This will be displayed just before body closing tag","Dit wordt pal voor de 'closing tag' getoond"
"This will be included before head closing tag in page HTML","Dit wordt voor de eind-tag van de head ingevoegd in de pagina-HTML"
"Timezone","Tijdzone"
"Title Prefix","Titel (voor de naam)"
"Title Suffix","Titel (achter de naam)"
"Translate Inline","Inline-vertaling"
"Translate cache should be disabled for both Frontend and Admin inline translations","De vertaal-cache moet uit staan voor zowel Frontend als Admin"
"Translations","Vertalingen"
"Unable to delete store view. Please, try again later.","Kan winkelzicht niet verwijderen. Probeer het later opnieuw."
"Unable to delete store. Please, try again later.","Kan winkel niet verwijderen. Probeer het later opnieuw."
"Unable to delete website. Please, try again later.","Kan website niet verwijderen. Probeer het later opnieuw."
"Unable to proceed. Please, try again","Kan niet doorgaan. Probeer het nog een keer.a.u.b."
"Unknown scope ""%s""","Onbekende scope: %s"
"Unsecure","Onveilig"
"Url Options","URL-opties"
"Use HTTP Only","Alleen HTTP gebruiken"
"Use Secure URLs in Admin","Gebruik veilige URLâ€™s in admin"
"Use Secure URLs in Frontend","Gebruik veilige URLâ€™s in front-end"
"Use Web Server Rewrites","Gebruik webserver-rewrites"
"Use custom admin URL","Gebruik eigen admin-URL"
"Validate HTTP_USER_AGENT","HTTP_USER_AGENT valideren"
"Validate HTTP_VIA","HTTP_VIA valideren"
"Validate HTTP_X_FORWARDED_FOR","HTTP_X_FORWARDED_FOR valideren"
"Validate REMOTE_ADDR","REMOTE_ADDR valideren"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","Website"
"Website Information","Website-gegevens"
"Website Name","Website-naam"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","De Website-code mag alleen bestaan uit letters (a-z), cijfers (0-9) or underscores (_). Het eerste teken moet een letter zijn"
"Website doesn't exist","Website bestaat niet"
"Website was successfully deleted.","Website is met succes verwijderd"
"Website was successfully saved","Website is met succes opgeslagen"
"Website with the same code","Website met dezelfde code"
"Weekend Days","Weekend-dagen"
"Welcome Text","Welkomsttekst"
"Wrong number of arguments for %s","Fout aantal argumenten voor %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Uw bestelling kan niet worden afgerond omdat er geen betaalwijzen voor beschikbaar zijn"
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Uw sessie is verlopen. U wordt nu opnieuw ingelogd."
"Search","Zoek"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
