"%s was successfully added to your shopping cart.","%s წარმატებით დაემატა თქვენს სავაჭრო კალათას."
"Continue to Shipping Information","გაგრძელება &raquo; მიმღების ინფორმაცია"
"Country","ქვეყანა"
"Coupon code ""%s"" is not valid.","კუპონის კოდი ""%s"" არასწორია."
"Coupon code ""%s"" was applied successfully.","Coupon code ""%s"" was applied successfully."
"Coupon code was canceled successfully.","Coupon code was canceled successfully."
"Create Billing Address","Create Billing Address"
"Create Shipping Address","მიმღების მისამართის დამატება"
"Customer Address is not valid.","Customer Address is not valid."
"Data saving problem","Data saving problem"
"Default Billing","Default Billing"
"Default Shipping","Default Shipping"
"Delete Condition","Delete Condition"
"Details","პროდუქტის აღწერა"
"Disable Onepage Checkout","Disable Onepage Checkout"
"Disabled","Disabled"
"Discount Codes","ფასდაკლების კოდები"
"Display Cart Summary","Display Cart Summary"
"Display Shopping Cart Sidebar","Display Shopping Cart Sidebar"
"Display item quantities","Display item quantities"
"Display number of items in cart","Display number of items in cart"
"Easy access to your order history and status","შეკვეთების სტატუსსა და ისტორიაზე მოხერხებული წვდომა"
"Edit","რედაქტირება"
"Edit Address","მისამართის რედაქტირება"
"Edit Billing Address","Edit Billing Address"
"Edit Items","პროდუქციის რედაქტირება"
"Edit Shipping Address","Edit Shipping Address"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","შეასწორეთ კალათა"
"Email Address","ელექტრონული ფოსტა"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","ახალი მისამართის შეტანა"
"Enter your coupon code if you have one.","თუ გაქვთ შეიყვანეთ კუპონის კოდი."
"Enter your destination to get a shipping estimate.","ტრანსპორტირების ფასის დასათვლელად მიუთითეთ დანიშნულების ადგილი."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","ტრანსპორტირებისა და გადასახადების გამოთვლა"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","შეკვეთის გაფორმება ადვილად და სწრაფად"
"Fax","მობილური"
"Forgot an Item?","გამოგრჩათ რამე?"
"Forgot your password?","დაგავიწყდათ პაროლი?"
"Get a Quote","ფასის დათვლა"
"Grand Total:","შეკვეთის ღირებულება:"
"Grouped product image","Grouped product image"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Invalid data"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Invalid shipping method."
"Items","პროდუქცია"
"Load customer quote error","Load customer quote error"
"Loading next step...","შემდეგი ნაბიჯის გამოძახება..."
"Login","შესვლა"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","რამოდენიმე მისამართზე გასაგზავნად მაქსიმალური რაოდენობაა %s"
"Move to Wishlist","სურვილებში გადატანა"
"My Account","ჩემი ანგარიში"
"My Cart","კალათა"
"My Cart (%s item)","კალათა (%s)"
"My Cart (%s items)","კალათა (%s)"
"My Cart Link","My Cart Link"
"New Address","New Address"
"New Condition","New Condition"
"Order #","შეკვეთის #"
"Order Review","შეკვეთის გადახედვა"
"Order Success","შეკვეთის წარმატება"
"Other items in your order","Other items in your order"
"Password","პაროლი"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","ანგარიშსწორების ინფორმაცია"
"Payment Method","გადახდის მეთოდი"
"Payment method is not defined","გადახდის მეთოდი გაურკვეველია"
"Place Order","შეკვეთის განთავსება"
"Please <a href=""%s"">continue shopping</a>.","გთხოვთ <a href=""%s"">გააგრძელოთ ვაჭრობა</a>."
"Please agree to all Terms and Conditions before placing the order.","გთხოვთ გაეცნოთ და დაეთანხმოთ ყველა წესსა და პირობას შეკვეთის გაფორმებამდე."
"Please agree to all Terms and Conditions before placing the orders.","გთხოვთ გაეცნოთ და დაეთანხმოთ ყველა წესსა და პირობას შეკვეთის გაფორმებამდე."
"Please enter a valid zip code. For example 90602 or 90602-1234.","გთხოვთ მიუთითოთ მოქმედი ფოსტის ინდექსი. მაგალითად 90602 ან 90602-1234."
"Please log in below:","შედით თქვენს ანგარიშზე:"
"Please select region, state or province","გთხოვთ აირჩიოთ რეგიონი, შტატი ან პროვინცია"
"Please select shipping address for applicable items","გთხოვთ მიუთითოთ პროდუქციის შესაბამისი მიმღების მისამართები"
"Please select shipping methods for all addresses","გთხოვთ აირჩიოთ მიწოდების მეთოდი ყველა მისამართისთვის"
"Price","ფასი"
"Proceed to Checkout","შეკვეთის გაგრძელება"
"Product","Product"
"Product Name","პროდიქციის დასახელება"
"Product does not exist","Product does not exist"
"Qty","რაოდენობა"
"Quote Lifetime (days)","Quote Lifetime (days)"
"Recently added item(s)","ბოლოს დამატებულები"
"Register","რეგისტრაცია"
"Register and save time!","რეგისტრაციით დაზოგავთ დროს!"
"Register to Create an Account","ანგარიშის გასახსნელად საჭიროა რეგისტრაცია"
"Register with us for future convenience:","სამომავლო მოხერხებულობისათვის უმჯობესია დარეგისტრირდეთ:"
"Remove","Remove"
"Remove Item","წაშლა"
"Remove Product","Remove Product"
"Remove item","წაშლა"
"Review Order","შეკვეთის გადახედვა"
"Review Order - %s","შეკვეთის გადახედვა - %s"
"Sales","Sales"
"Save Condition","პირობის შენახვა"
"Save in address book","მისამართების წიგნში შენახვა"
"Select Address","მისამართის არჩევა"
"Select Addresses","მისამართების არჩევა"
"Select Shipping Method","მიწოდების მეთოდის არჩევა"
"Select State/Province...","Select State/Province..."
"Select a billing address from your address book or enter a new address.","აირჩიეთ გადამხდელის მისამართი თქვენი მისამართების წიგნიდან ან დაამატეთ ახალი."
"Select a shipping address from your address book or enter a new address.","აირჩიეთ მიმღების მისამართი თქვენი მისამართების წიგნიდან ან დაამატეთ ახალი."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","ადრესატი"
"Ship to Multiple Addresses","რამოდენიმე მისამართზე გაგზავნა"
"Ship to different address","სხვა მისამართზე გაგზავნა"
"Ship to this address","ამავე მისამართზე გაგზავნა"
"Shipping Address","მიმღების მისამართი"
"Shipping Information","მიმღების ინფორმაცია"
"Shipping Method","მიწოდების მეთოდი"
"Shipping Methods","გაგზავნის მეთოდები"
"Shipping method has not been selected yet","მიწოდების მეთოდი არ არის არჩეული"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","მიმღების მისამართი"
"Shopping Cart","სავაჭრო კალათა"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","კალათა ცარიელია"
"Show Content as","შიგთავსის ჩვენება როგორც"
"Some of the products you requested are not available in the desired quantity","ზოგიერთი პროდუქციის თქვენს მიერ მოთხოვნილი რაოდენობა მიუწვდომელია."
"Some of the products you requested are unavailable","ზოგიერთი თქვენს მიერ მოთხოვნილი პროდუქცია მიუწვდომელია."
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","სამწუხაროდ სტუმრის სტატუსით შეკვეთა შეზღუდულია. გთხოვთ სცადეთ ხელახლა ან დაუკავშირდით მაღაზიას."
"Sorry, no quotes are available for this order at this time.","Sorry, no quotes are available for this order at this time."
"State/Province","რეგიონი/შტატი"
"Status","სტატუსი"
"Store View","Store View"
"Street Address","Street Address"
"Street Address ","Street Address "
"Submitting order information...","მიმდინარეობს შეკვეთის განთავსება..."
"Subtotal","ღირებულება"
"Telephone","ტელეფონი"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","დიდი მადლობა შენაძენისათვის!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","კალათაში <a href=""%s""><strong>%s პროდუტია</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","კალათაში <a href=""%s""><strong>1 პროდუტია</strong></a>."
"There is already a customer registered using this email address","მითითებული ელექტრონული ფოსტით მომხმარებელი უკვე რეგისტრირებულია"
"There was an error processing your order. Please contact us or try again later.","თქვენი შეკვეთის დამუშავებისას დაფიქსირდა შეცდომა. გთხოვთ დაგვიკავშირდით ან ახლიდან სცადეთ მოგვიანებით."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","სულ ღირებულება ამ მისამართზე"
"Unit Price","ერთეულის ფასი"
"Update Qty &amp; Addresses","მისამართებისა და რაოდენობის განახლება"
"Update Shopping Cart","კალათის განახლება"
"Update Total","საერთო ღირებულების განახლება"
"Use Billing Address","გადამხდელის მისამართის გამოყენება"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","თქვენი შეკვეთა დამუშავების პროცესშია და მალე მიიღებთ წერილს შეკვეთის დეტალებით. შეკვეთილი პროდუქციის გამოგზავნისთანავე თქვენ მიიღებთ დამატებით წერილს გზავნილის სტატუსის თვალყურის სადევნებელი ბმულით."
"You have no items in your shopping cart.","სავაჭრო კალათა ცარიელია."
"You will receive an order confirmation email with details of your order and a link to track its progress.","თქვენ მიიღებთ შეკვეთის დამადასტურებელ წერილს თქვენი შეკვეთის დეტალებითა და სტატუსის თვალყურის სადევნებელი ბმულით"
"Your Checkout Progress","შეკვეთის მიმდინარეობა"
"Your order # is: %s","თქვენი შეკვეთის ნომერია: %s"
"Your order # is: <a href=""%s"">%s</a>","თქვენი შეკვეთის ნომერია: <a href=""%s"">%s</a>"
"Your order has been received","თქვენი შეკვეთა მიღებულია"
"Your order number is ","თქვენი შეკვეთის ნომერია"
"Zip/Postal Code","საფოსტო ინდექსი"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","კალათა"
"You have no items in your shopping cart.","სავაჭრო კალათა ცარიელია."
"Checkout","შეკვეთა"
"Shopping Cart is Empty","კალათა ცარიელია"
"Please <a href=""%s"">continue shopping</a>.","გთხოვთ <a href=""%s"">გააგრძელოთ ვაჭრობა</a>."
