"* Required Fields","* Obligatoriske felt"
"Group ""%s"" can not be deleted","Kan ikke slette gruppe ""%s"""
"Group Information","Gruppeinformasjon"
"Group Name","Gruppenavn"
"Guest","Gjest"
"HTML","Html"
"Hello, %s!","Hei %s!"
"ID","Id"
"IP Address","IP-adresse"
"If you have an account with us, please log in.","Logg inn her dersom du allerede har en konto hos oss."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ugyldig attributtvalg for attributt %s (%s), hopper over oppføringen"
"Invalid attribute set specified, skipping the record","Ugyldig attributtsett, hopper over oppføringen"
"Invalid current password","Feil/ugyldig passord"
"Invalid customer data","Ugyldig kundedata"
"Invalid email address","Ugyldig epost-adresse"
"Invalid email address ""%s""","Ugyldig epost-adresse ""%s"""
"Invalid login or password.","Ugyldig brukernavn eller passord."
"Invalid option id specified for %s (%s), skipping the record","Ugyldig valg-ID spesifisert for %s (%s), hopper over oppføringen"
"Invalid store specified, skipping the record","Ugyldig butikk spesifisert, hopper over oppføringen"
"Items Order","Varebestilling"
"Last 5 Orders","Siste fem bestillinger"
"Last Activity","Siste aktivitet"
"Last Name","Etternavn"
"Last Url","Siste URL"
"Last Viewed Items","Sist viste varer"
"Last date subscribed","Dato sist abonnement opprettet"
"Last date unsubscribed","Dato sist abonnement ble stoppet"
"Last name can't be empty","Etternavn-feltet kan ikke være tomt"
"Leave empty for default (15 minutes).","La være tomt for å bruke Standard (15 minutter)."
"Leave empty for default (2). Valid range: 1-4","La være tomt for å bruke Standard (2). Gyldige verdier: 1-4"
"Lifetime Sales","Total omsetning"
"Log In","Logg inn"
"Log Out","Logg ut"
"Log in or Create an Account","Logg inn eller Opprett kundekonto"
"Login","Logg inn"
"Login Information","Innloggingsinformasjon"
"Login and password are required","Brukernavn og passord er obligatorisk"
"Login or Create an Account","Logg inn eller lag en ny konto"
"M.I.","MI."
"MM","MM."
"Manage Addresses","Behandle adresser"
"Manage Customers","Behandle kunder"
"Missing email, skipping the record","Mangler e-post, hopper over oppføring"
"Missing firstname, skipping the record","Mangler etternavn, hopper over oppføring"
"Missing lastname, skipping the record","Mangler etternavn, hopper over oppføring"
"Month","Måned"
"My Account","Min konto"
"My Account Dashboard","Kundekonto"
"My Dashboard","Kontooversikt"
"My Orders","Mine kjøp"
"My Reviews","Mine omtaler"
"My Tags","Mine tagger"
"My Wishlist","Min ønskeliste"
"Name","Navn"
"Name and Address Options","Navn- og adresse-alternativer"
"Never","Aldri"
"New Address","Ny adresse"
"New Address Entry","Ny adresseoppføring"
"New Customer","Ny kunde"
"New Customer Address","Ny kundeadresse"
"New Customer Group","Ny kundegruppe"
"New Customer Groups","Nye kundegrupper"
"New Customers","Nye kunder"
"New Group","Ny gruppe"
"New Password","Nytt passord"
"New account","Ny konto"
"New account confirmation key","Bekreftelsesnøkkel for ny konto"
"New account confirmed","Ny konto bekreftet"
"New password","Nytt passord"
"Newsletter","Nyhetsbrev"
"Newsletter Finish","Nyhetsbrev slutt"
"Newsletter Information","Nyhetsbrevinformasjon"
"Newsletter Received","Nyhetsbrev mottatt"
"Newsletter Start","Nyhetsbrev start"
"Newsletter Subscription","Nyhetsbrevabonnement"
"Newsletters","Nyhetsbrev"
"No Items Found","Ingen varer funnet"
"No Newsletter Found","Ingen nyhetsbrev funnet"
"No item specified.","Ingen spesifisert."
"No product collections found","Ingen produktsamlinger funnet"
"Not Sent","Ikke sendt"
"Not confirmed, can login","Kan logge inn, men ikke bekreftet"
"Not confirmed, cannot login","Kan ikke logge inn, og ikke bekreftet"
"Number of lines in a street address ","Antall linjer i gateadresse "
"Offline","Frakoblet"
"Online","Aktiv"
"Online Customers","Innloggede kunder"
"Online Customers Options","Alternativer for aktive kunder"
"Online Minutes Interval","Minutt-intervall"
"Order #","Ordrenummer"
"Order #%s (%s)","Ordrenummer %s (%s)"
"Order List...","Ordreliste..."
"Order Total","Ordretotal"
"Orders","Bestillinger"
"PDF","PDF-format"
"Password","Passord"
"Password Management","Passordbehandling"
"Password Options","Alternativer for passord"
"Password can't be empty","Passord-feltet kan ikke være tomt"
"Password fields can't be empty.","Passord-felt kan ikke være tomme."
"Password forgotten","Passord glemt"
"Password minimal length must be more %s","Passord må være lengre %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Passordet må bestå av minst seks tegn. Mellomrom først eller sist i passordet ignoreres."
"Paused","Pauset"
"Payment Method","Betalingsmetode"
"Pending","Venter"
"Per Website","Pr nettsted"
"Personal Information","Personlig informasjon"
"Please enter your email below and we'll send you a new password.","Skriv inn din epost-adresse nedenfor og vi sender deg nytt passord."
"Please enter your email below and we'll send you confirmation link for it.","Skriv inn din epost-adresse nedenfor og vi sender deg bekreftelseslink."
"Please enter your email.","Fyll inn din epost-adresse"
"Please make sure your passwords match.","Se til at passordene er like."
"Please select","Velg"
"Please select region, state or province","Velg fylke"
"Please, check your e-mail for confirmation key.","Sjekk eposten din etter bekreftelseskode."
"Prefix","Prefiks"
"Prefix dropdown options","Prefiks-alternativer (dropdown)"
"Price","Pris"
"Primary Billing Address","Primær fakturaadresse"
"Primary Shipping Address","Primær leveringsadresse"
"Problem saving the collection, aborting. Error: %s","Problem ved lagring. Feil: %s"
"Product","Produkt"
"Product ID","Produkt-ID"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product Tags","Produkttagger"
"Product name","Produktnavn"
"Purchase On","Kjøpt den"
"Purchased at","Kjøpt"
"Qty","Antall"
"Recent Orders","Siste bestillinger"
"Records for ""","Oppføinger for """
"Refunded","Tilbakebetalt"
"Registered Customers","Registrerte kunder"
"Remove","Fjern"
"Require Emails Confirmation","Krever bekreftelse av epost"
"Retrieve address data","Hent adresse-data"
"Retrieve address info","hente adresse-info"
"Retrieve customer addresses","Hent kunde-adresser"
"Retrieve customer data","Hent kundedata"
"Retrieve customer's groups","Hent kundegrupper"
"Retrieve customers","Hent kunder"
"Retrieve customers info","Hent kundeinfo"
"Retrieve your confirmation link here","Hent din bekreftelseskode her"
"Retrieve your password here","Hent ditt passord"
"SKU","Varekode"
"Sales Statistics","Salgsstatistikk"
"Save","Lagre"
"Save Address","Lagre adresse"
"Save And Continue Edit","Lagre og fortsett å redigere"
"Save Customer","Lagre kunde"
"Save Customer Group","Lagre kundegruppe"
"Save Password","Lagre passord"
"Saved ","Lagret "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option."
"Send Welcome Email after Confirmation","Send velkomstmelding etter bekreftelse"
"Send auto-generated password","Send automatisk generert passord"
"Send confirmation link","Send bekreftelseslink"
"Send welcome email","Send velkomstmelding på epost"
"Sending","Sender"
"Sent","Sendt"
"Session Start Time","Starttidspunkt for økt"
"Set as Default Billing Address","Sett som standard fakturaadresse"
"Set as Default Shipping Address","Sett som standard leveringsadresse"
"Share Customer Accounts","Del kundekontoer"
"Ship to First name","Send til fornavn"
"Ship to Last name","Send til etternavn"
"Shipped to First Name","Sendt til fornavn"
"Shipped to Last Name","Sendt til etternavn"
"Shipped to Name","Sendt til navn"
"Shipping Information","Leveringsinformasjon"
"Shipping Method","Leveringsmetode"
"Shopping Cart","Handlekurv"
"Shopping Cart - %d item(s)","Handlekurv - %d vare(r)"
"Show Tax/VAT number","Vis mva-nummer"
"Show date of birth","Vis fødselsdato"
"Show middle name (initial)","Vis mellomnavn"
"Show prefix","Vis tittel"
"Show suffix","Vis ending"
"Sign Up for Newsletter","Meld på nyhetsbrev"
"Sign up for our newsletter","Meld på vårt nyhetsbrev"
"Skip import row, required field ""%s"" not defined","Hopper over rad, obligatorisk felt ""%s"" ikke definert"
"Skip import row, website ""%s"" field not exists","Hopper over rad, feltet ""%s"" eksisterer ikke"
"State/Province","Poststed"
"Status","Status:"
"Store","Butikk"
"Store View","Butikkvisning"
"Street Address","Gateadresse"
"Street Address ","Gateadresse "
"Subject","Emne"
"Submit","Send"
"Subscribe","Abonnere"
"Subscribe to newsletter","Abonnere på nyhetsbrev"
"Subscribed to Newsletter?","Abonnerer du på vårt nyhetsbrev?"
"Suffix","Endelse"
"Suffix dropdown options","Alternativer for endelse (dropdown)"
"TAX/VAT number is required.","Organisasjonsnummer er påkrevd."
"Tag Name","Taggnavn"
"Tax Class","Momsklasse"
"Tax class","Momsklasse"
"Tax/VAT number","Organisasjonsnummer"
"Telephone","Telefon"
"Text","Tekst"
"Text One Line","En-linje tekst"
"Thank you for registering with %s","Takk for at du registrerte deg hos %s"
"The address does not belong to this customer","Adressen tilhører ikke denne kunden"
"The address was successfully deleted","Adressen ble slettet"
"The address was successfully saved","Adressen ble lagret"
"The suffix that goes after name (Jr., Sr., etc.)","Ending etter navn (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","Tittel (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Ønskelisten er for øyeblikket tom"
"There are no items in customer's shopping cart at the moment","Det er ingen varer i handlekurven for øyeblikket"
"There was an error while deleting the address","Det oppstod en feil ved sletting av adressen"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Denne eposten blir sendt istedenfor standard velkomstmeldingen, etter bekreftelse av kontoen."
"This account is not confirmed.","Denne kontoen er ikke bekreftet enda."
"This customer has no saved addresses.","Denne kunden har ingen lagrede adresser."
"This e-mail does not require confirmation.","Denne eposten krever ikke bekreftelse."
"This email address was not found in our records","Epost-adressen eksisterer ikke i vårt register"
"This is My Primary %s Address","Dette er min primære %s adresse"
"To Cart","Til handlekurven"
"Total","Totalt"
"Type","Type:"
"Unknown","Ukjent"
"Unsubscribe from newsletter","Stopp abonnement på nyhetsbrev"
"Update","Oppdatér"
"Update customer address data","Oppdater adresseinfo for kunde"
"Update customer data","Oppdater kundedata"
"Use as My Primary %s Address","Bruk som primær %s adresse"
"Use as my default billing address","Bruk som standard fakturaadresse"
"Use as my default shipping address","Bruk som standard leveringsadresse"
"User description","Brukerbeskrivelse"
"View","Vis"
"View Order","Vis ordre"
"View Order List","Vis ordreliste"
"Visible In","Synlig i"
"Visitor","Besøkende"
"Visitors Only","Kun besøkende"
"Website","Nettsted"
"Welcome Email","Velkomst-epost"
"Wishlist","Ønskeliste"
"Wishlist - %d item(s)","Ønskeliste - %d vare(r)"
"Wrong confirmation key.","Ugyldig bekreftelseskode."
"Wrong customer account specified.","Ugyldig kundekonto."
"Wrong email.","Ugyldig epost."
"Wrong region id by selected country","Feil region-ID for valgt land"
"Wrong transactional account email type.","Ugyldig kontotype."
"XML","XML-format"
"YYYY","År"
"Year","År"
"You are currently not subscribed to any newsletter.","Du abonnerer for tiden ikke på noen nyhetsbrev."
"You are currently not subscribed to our newsletter","Du abonnerer for tiden ikke på vårt nyhetsbrev."
"You are currently subscribed to 'General Subscription'.","Du abonnerer på vårt nyhetsbrev."
"You are currently subscribed to our newsletter","Du abonnerer på vårt nyhetsbrev"
"You are currently subscribed to our newsletter.","Du abonnerer på vårt nyhetsbrev."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Du har blitt logget ut og vil videresendes til hovedsiden innen fem sekunder."
"You have no additional address entries in your address book.","Du har ingen ekstra adresseoppføringer i adresseboken."
"You have no additional entries in your address book.","Du har ingen ekstra oppføringer i adresseboken."
"You have no default billing address in your address book.","Du har ingen standard fakturaadresse i adresseboken."
"You have no default shipping address in your address book.","Du har ingen standard leveringsadresse i adresseboken."
"You have no primary entries in your address book.","Du har ingen primæroppføringer i adresseboken."
"You have not set a primary billing address.","Du har ikke valgt primær fakturaadresse."
"You have not set a primary shipping address.","Du har ikke valgt primær leveringsadresse."
"You have placed no orders yet.","Du har ingen registrerte bestillinger."
"You have placed no products yet.","Du har ikke lagt til noen produkter enda."
"You're now Logged Out","Du er nå logget ut"
"Your account balance is: %s","Din kontobalanse: %s"
"ZIP","Postnummer"
"ZIP/Post Code","Postnummer"
"ZIP/Postal Code","Postnummer"
"Zip/Postal Code","Postnummer"
"n/a","NA"
"or","eller"
"Please enter your email below and we'll send you a new password.","Skriv inn din epost-adresse nedenfor og vi sender deg nytt passord."
"First name can't be empty","Fornavn kan ikke vÃ¦re tomt"
"Last name can't be empty","Etternavn kan ikke vÃ¦re tomt"
"Password can't be empty","Passord kan ikke vÃ¦re tomt"
"My Account","Min konto"
"Log In","Logg inn"
"New Customers","Nye kunder"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ved Ã¥ registrere en konto i vÃ¥r butikk kan du raskere avslutte din ordre, lagre flere leveringsadresser, se gjennom og spore tidligere ordre m.m"
"Registered Customers","Registrerte kunder"
"If you have an account with us, please log in.","Hvis du har opprettet konto hos oss tidligere, vÃ¦r snill Ã¥ logge inn."
"Email Address","E-post adresse"
"Password","Passord"
"* Required Fields","* PÃ¥krevet felt"
"Forgot Your Password?","Har du glemt passordet?"
"Retrieve your password here","Hent ditt passord her"
"Please enter your email below and we'll send you a new password.","Skriv inn din e-post adresse og vi sender deg et nytt passord"
"Back to Login","Tilbake til innlogging"
"Submit","Send"
"My Dashboard","Mitt Dashbord"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Fra ditt kontrollpanel har du mulighet til Ã¥ se en bilde av dine siste aktiviteter pÃ¥ kontoen og oppdatere din kontoinformasjon. Se linken over for Ã¥ vise eller endre informasjonen."
"Contact Information","Kontaktinformasjon"
"Address Book","Adressebok"
"Account Information","Informasjon om konto"
"Thank you for registering with %s","Tusen takk for din registrering i %s"
"Newsletter Subscription","Abonner pÃ¥ nyhetsbrev"
"You have not set a default billing address.","Du har ikke valgt standard fakturaadresse"
"You have not set a default shipping address.","Du har ikke valgt standard leveringsadresse"
"Login or Create an Account","Logg inn eller opprett konto"
"Personal Information","Personlig informasjon"
"Sign Up for Newsletter","Meld deg pÃ¥ for nyhetsbrev"
"You are currently not subscribed to any newsletter.","Du abonnerer ikke pÃ¥ noe nyhetsbrev for tiden"
"Default Shipping Address","Standard forsendelses adresse"
"Login","Logg inn"
"Invalid login or password.","Feil navn eller passord"
"Edit Account Information","Rediger kontoinformasjon"
"Log Out","Logg ut"
"First Name","First Name"
"Last Name","Last Name"
