"* Required Fields","*必填欄目"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","在這裡找回密碼"
"SKU","SKU "
"Sales Statistics","銷售統計"
"Save","保存"
"Save Address","保存地址"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","保存客戶"
"Save Customer Group","保存客戶分組"
"Save Password","保存密碼"
"Saved ","已保存"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","發送自動生成的密碼"
"Send confirmation link","Send confirmation link"
"Send welcome email","發送歡迎郵件"
"Sending","正在發送"
"Sent","已發出"
"Session Start Time","Session開始時間"
"Set as Default Billing Address","設為缺省的賬單地址"
"Set as Default Shipping Address","設為缺省的配送地址"
"Share Customer Accounts","共享客戶帳戶"
"Ship to First name","收貨人名字"
"Ship to Last name","收貨人姓氏"
"Shipped to First Name","收貨人名字"
"Shipped to Last Name","收貨人姓氏"
"Shipped to Name","收貨人姓名"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shopping Cart","購物車"
"Shopping Cart - %d item(s)","購物車- %d件商品"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","登記郵件列表"
"Sign up for our newsletter","登記我們的郵件列表"
"Skip import row, required field ""%s"" not defined","忽略導入行，必填欄目""%s""為定義"
"Skip import row, website ""%s"" field not exists","忽略導入行，網站""%s""欄不存在"
"State/Province","省份"
"Status","狀態"
"Store","商店"
"Store View","商店界面"
"Street Address","地址行一"
"Street Address ","Street Address "
"Subject","標題"
"Submit","提交"
"Subscribe","訂閱"
"Subscribe to newsletter","訂閱郵件列表"
"Subscribed to Newsletter?","訂閱郵件列表？ "
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","標籤名稱"
"Tax Class","稅率"
"Tax class","稅率"
"Tax/VAT number","Tax/VAT number"
"Telephone","電話"
"Text","文字"
"Text One Line","一行文字"
"Thank you for registering with %s","多謝您註冊%s "
"The address does not belong to this customer","地址不屬於該客戶"
"The address was successfully deleted","成功刪除地址"
"The address was successfully saved","成功保存地址"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","客戶的收藏中沒有商品"
"There are no items in customer's shopping cart at the moment","There are no items in customer's shopping cart at the moment "
"There was an error while deleting the address","刪除地址出錯"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","該客戶沒有保存地址。 "
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","沒有找到該電子郵件地址"
"This is My Primary %s Address","這是我的首選%s地址"
"To Cart","到購物車"
"Total","總計"
"Type","類型"
"Unknown","未知"
"Unsubscribe from newsletter","退訂郵件列表"
"Update","更新"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","作為我的首選%s地址"
"Use as my default billing address","作為我的缺省賬單地址"
"Use as my default shipping address","作為我的缺省配送地址"
"User description","用戶說明"
"View","查看"
"View Order","查看訂單"
"View Order List","查看訂單列表"
"Visible In","可見"
"Visitor","訪客"
"Visitors Only","僅限訪客"
"Website","網站"
"Welcome Email","Welcome Email"
"Wishlist","收藏"
"Wishlist - %d item(s)","收藏- %d件商品"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","已選國家的地區編號不正確"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML "
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","您沒有訂閱郵件列表。 "
"You are currently not subscribed to our newsletter","您沒有訂閱我們的郵件列表"
"You are currently subscribed to 'General Subscription'.","您訂閱了'本店快訊'. "
"You are currently subscribed to our newsletter","您訂閱了我們的郵件列表"
"You are currently subscribed to our newsletter.","您訂閱了我們的郵件列表。 "
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","您已成功登出，在5秒後將轉到首頁。 "
"You have no additional address entries in your address book.","您的地址簿中沒有其它地址項。 "
"You have no additional entries in your address book.","您的地址簿中沒有其它地址項。 "
"You have no default billing address in your address book.","您的地址簿中沒有缺省的賬單地址。 "
"You have no default shipping address in your address book.","您的地址簿中沒有缺省的配送地址。 "
"You have no primary entries in your address book.","您的地址簿中沒有首選地址。 "
"You have not set a primary billing address.","您沒有設置首選賬單地址。 "
"You have not set a primary shipping address.","您沒有設置首選配送地址。 "
"You have placed no orders yet.","您還沒有任何訂單。 "
"You have placed no products yet.","您還沒有訂購任何商品。 "
"You're now Logged Out","您已登出"
"Your account balance is: %s","您的帳戶餘額為：%s "
"ZIP","郵編"
"ZIP/Post Code","郵編"
"ZIP/Postal Code","郵編"
"Zip/Postal Code","郵編"
"n/a","空"
"or","或"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","登錄"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
