"%s was successfully added to your shopping cart.","成功將%s加入購物車。 "
"Display item quantities","顯示商品數量"
"Display number of items in cart","顯示購物車中商品數量"
"Easy access to your order history and status","方便查閱訂單記錄和狀態"
"Edit","修改"
"Edit Address","修改地址"
"Edit Billing Address","修改賬單地址"
"Edit Items","修改商品"
"Edit Shipping Address","修改配送地址"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","修改購物車"
"Email Address","電子郵件地址"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","輸入新的地址"
"Enter your coupon code if you have one.","如果有優惠券代碼，請輸入。 "
"Enter your destination to get a shipping estimate.","輸入目的地估計運費。 "
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","運費及稅估價"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","快速簡易結帳"
"Fax","傳真"
"Forgot an Item?","忘記商品了？ "
"Forgot your password?","忘記密碼了？ "
"Get a Quote","詢價"
"Grand Total:","總計："
"Grouped product image","組合商品圖片"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","數據不正確"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","配送方式不正確。 "
"Items","件商品"
"Load customer quote error","加載客戶詢價錯誤"
"Loading next step...","加載下一步... "
"Login","登錄"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","允許發貨到多個地址的最大數量是%s "
"Move to Wishlist","移到收藏"
"My Account","我的帳號"
"My Cart","我的購物車"
"My Cart (%s item)","我的購物車(%s件商品) "
"My Cart (%s items)","我的購物車(%s件商品) "
"My Cart Link","我的購物車鏈接"
"New Address","New Address "
"New Condition","New Condition"
"Order #","Order #"
"Order Review","查看訂單"
"Order Success","訂單成功"
"Other items in your order","Other items in your order"
"Password","密碼"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","支付信息"
"Payment Method","支付方式"
"Payment method is not defined","支付方式為定義"
"Place Order","下訂單"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">繼續購物</a>。 "
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","請輸入正確的郵編，例如90602或90602-1234 "
"Please log in below:","請在下面登錄： "
"Please select region, state or province","請選擇省份或地區"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","請選擇所有地址的配送方式"
"Price","價格"
"Proceed to Checkout","繼續結帳"
"Product","商品"
"Product Name","商品名稱"
"Product does not exist","商品不存在"
"Qty","數量"
"Quote Lifetime (days)","報價有效期(天) "
"Recently added item(s)","Recently added item(s)"
"Register","註冊"
"Register and save time!","註冊節省時間！ "
"Register to Create an Account","註冊帳戶"
"Register with us for future convenience:","註冊以便將來： "
"Remove","刪除"
"Remove Item","刪除商品"
"Remove Product","刪除商品"
"Remove item","Remove item"
"Review Order","查看訂單"
"Review Order - %s","查看訂單- %s "
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Save in address book"
"Select Address","選擇地址"
"Select Addresses","選擇地址"
"Select Shipping Method","選擇配送方式"
"Select State/Province...","選擇省份... "
"Select a billing address from your address book or enter a new address.","從您的地址簿中選擇賬單地址，或者輸入新的地址。 "
"Select a shipping address from your address book or enter a new address.","從您的地址簿中選擇送貨地址，或者輸入新的地址。 "
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","收貨人"
"Ship to Multiple Addresses","發貨到多個地址"
"Ship to different address","發貨到不同地址"
"Ship to this address","發貨到該地址"
"Shipping Address","配送地址"
"Shipping Information","配送信息"
"Shipping Method","配送方式"
"Shipping Methods","配送方式"
"Shipping method has not been selected yet","還未選擇配送方式"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","發貨地址"
"Shopping Cart","購物車"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","購物車空"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","您訂購的某些商品數量不足"
"Some of the products you requested are unavailable","您訂購的某些商品沒有存貨"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","對不起，目前沒有該訂單的報價。 "
"State/Province","省份"
"Status","Status"
"Store View","Store View"
"Street Address","地址行一"
"Street Address ","Street Address "
"Submitting order information...","提交訂單信息... "
"Subtotal","小計"
"Telephone","電話"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","感謝您的惠顧！ "
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","您的購物車中有<a href=""%s""><strong>%s件商品</strong></a>。 "
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","購物車中有<a href=""%s""><strong>1件商品</strong></a>。 "
"There is already a customer registered using this email address","已有客戶註冊了這個郵件地址"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","該地址總計"
"Unit Price","單價"
"Update Qty &amp; Addresses","更新數量和地址"
"Update Shopping Cart","更新購物車"
"Update Total","更新總額"
"Use Billing Address","使用賬單地址"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","我們正處理您的訂單，您很快會收到含有訂單詳細內容的郵件。訂單發貨後，您會收到另一封含有查詢訂單狀態鏈接的郵件。 "
"You have no items in your shopping cart.","您的購物車中沒有商品"
"You will receive an order confirmation email with details of your order and a link to track its progress.","您會收到訂單確認郵件，包含詳細的訂單內容以及查詢訂單狀態的鏈接。 "
"Your Checkout Progress","您的結帳步驟"
"Your order # is: %s","您的訂單是：%s "
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","您的訂單已收到"
"Your order number is ","Your order number is "
"Zip/Postal Code","郵編"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","我的購物車"
"You have no items in your shopping cart.","您的購物車中沒有商品"
"Checkout","結帳"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
