" Copy"," Kopyala"
"Newsletter Queue","Duyuru Kuyruğu"
"Newsletter Section","Duyurular Bölümü"
"Newsletter Sign-up","Duyuru Listesi Üyeliği"
"Newsletter Subscribers","Duyuru Aboneleri"
"Newsletter Subscription","Duyuru Aboneliği"
"Newsletter Subscriptions","Duyuru Abonelikleri"
"Newsletter Templates","Duyuru Temaları"
"Newsletter subscription confirmation","Duyuru abonelik onayı"
"Newsletter subscription success","Duyuru aboneliği tamamlandı"
"Newsletter unsubscription success","Duyuru abonelik iptali tamamlandı"
"No Templates Found","Tema bulunamadı"
"No problems found","Problem bulunamadı"
"No subscribers selected","Abone seçilmedi"
"Not Sent","Gönderilmedi"
"Not activated","Aktifleştirilmedi"
"Pause","Duraklat"
"Paused","Duraklatıldı"
"Please enter a valid email address","Geçerli bir e-mail adresi giriniz"
"Please enter new template name","Lütfen yeni tema adı giriniz"
"Please select subscriber(s)","Lütfen abone seçiniz"
"Preview","Önizleme"
"Preview Template","Temayı Önizle"
"Processed","İşlendi"
"Queue Date Start","Kuyruk Başlama Tarihi"
"Queue Finish","Kuyruk Bitiş Tarihi"
"Queue Information","Kuyruk Bilgisi"
"Queue Newsletter","Duyuru Kuyruğu"
"Queue Start","Kuyruk Başlangıcı"
"Queue Subject","Kuyruk Konusu"
"Recipients","Alıcılar"
"Reset","Temizle"
"Resume","İşleme Devam Et"
"Return Html Version","HTML Sürümüne Dön"
"Save And Resume","Kaydet ve Devam Et"
"Save As","Farklı Adla Kaydet"
"Save Newsletter","Duyuruyu Kaydet"
"Save Template","Temayı Kaydet"
"Selected problem subscribers successfully unsubscribed","Seçilen problemli aboneler listeden çıkarıldı"
"Selected problems successfully deleted","Seçilen problemler silindi"
"Sender","Gönderici"
"Sender Email","Gönderici Email Adresi"
"Sender Name","Gönderici Adı"
"Sending","Gönderiliyor"
"Sending Options","Gönderim Seçenekleri"
"Sent","Gönderildi"
"Set Return-Path","Geri Dönüş Yolu Belirt"
"Sign me up","Duyuru Listesine Katıl"
"Sign up for our newsletter:","Duyuru listemize abone olun :"
"Start","Başla"
"Status","Durum"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Subject","Konu"
"Subscribe","Abone Ol"
"Subscribed","Abone"
"Subscriber","Abone"
"Subscribers","Aboneler"
"Subscribers From","Aboneler"
"Subscription Options","Abonelik Seçenekleri"
"Success Email Sender","Tamamlandı mesajı için Mail Gönderici"
"Success Email Template","Tamamlandı mesajı için Email Teması"
"Template Content","Tema İçeriği"
"Template Information","Tema Bilgisi"
"Template Name","Tema Adı"
"Template Subject","Tema Konusu"
"Template Type","Tema Tipi"
"Thank you for your subscription","Abone olduğunuz için teşekkür ederiz."
"The subscription was successfully saved","Abonelik kaydı tamamlandı"
"There was a problem with the subscription","Abonelik işlemi esnasında bir hata oluştu"
"There was a problem with the subscription: %s","Abonelik esnasında bir sorun oluştu : %s"
"There was a problem with the un-subscription.","Abonelik iptali işlemi esnasında bir hata oluştu."
"There was an error while saving your subscription","Abonelik kaydı esnasında bir sorun oluştu "
"Toggle Editor","Editör Seçimi"
"Type","Tip"
"Unsubscribe","Abonelik iptali"
"Unsubscribe Selected","Seçili olan abonelikleri iptal et"
"Unsubscribed","Abone Değil"
"Unsubscription Email Sender","Abonelik iptali için Email Göndericisi"
"Unsubscription Email Template","Abonelik iptali için Email Teması"
"View Newsletter","Duyuruyu Göster"
"Website","Web Sitesi"
"You have been successfully unsubscribed.","Abonelik işlemi tamamlandı."
"Your subscription was successfully confirmed","Abonelik onaylama işleminiz tamamlandı"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Duyurularımıza abone olunuz"
"Newsletter Subscriptions","Newsletter Subscriptions"
