"* Required Fields","* Doldurulması Zorunlu Alanlar"
"Invalid email address","Hatalı E-Mail adresi"
"Invalid email address ""%s""","Hatalı e-mail adresi : ""%s"""
"Invalid login or password.","Hatalı kullanıcı adı veya şifre."
"Invalid option id specified for %s (%s), skipping the record","%s (%s) için hatalı seçenek numarası, kayıt atlanıyor"
"Invalid store specified, skipping the record","Mağaza seçimi hatalı, kayıt atlanıyor"
"Items Order","Sipariş Edilen Ürünler"
"Last 5 Orders","Son 5 Sipariş"
"Last Activity","Son İşlem"
"Last Name","Soyadınız"
"Last Url","Son Adres"
"Last Viewed Items","Son görülen ürünler"
"Last date subscribed","Abone olduğu son tarih"
"Last date unsubscribed","Abonelikten çıktığı son tarih"
"Last name can't be empty","Soyadı alanı boş bırakılamaz"
"Leave empty for default (15 minutes).","Varsayılan değer (15 dakika) için boş bırakınız."
"Leave empty for default (2). Valid range: 1-4","Varsayılan değer (2) için boş bırakınız. Valid range: 1-4"
"Lifetime Sales","Bütün Satışlar"
"Log In","Giriş"
"Log Out","Çıkış"
"Log in or Create an Account","Giriş Yapın veya Hesap Oluşturun"
"Login","Giriş"
"Login Information","Giriş Bilgisi"
"Login and password are required","Kullanıcı Adı ve Şifre gereklidir"
"Login or Create an Account","Giriş yapın veya Yeni Bir Hesap Açın"
"M.I.","M.I."
"MM","AA"
"Manage Addresses","Adresleri Yönet"
"Manage Customers","Müşterileri Yönet"
"Missing email, skipping the record","E-Mail girilmedi, kayıt atlanıyor"
"Missing firstname, skipping the record","Adı girilmedi, kayıt atlanıyor"
"Missing lastname, skipping the record","Soyadı girilmedi, kayıt atlanıyor"
"Month","Ay"
"My Account","Hesabım"
"My Account Dashboard","Hesabım"
"My Dashboard","Kontrol Panelim"
"My Orders","Siparişlerim"
"My Reviews","Yorumlarım"
"My Tags","Etiketlerim"
"My Wishlist","Takip Listem"
"Name","Adı"
"Name and Address Options","Ad ve Adres seçenekleri"
"Never","Asla"
"New Address","Yeni Adres"
"New Address Entry","Yeni Adres Girişi"
"New Customer","Yeni Müşteri"
"New Customer Address","Yeni Müşteri Adresi"
"New Customer Group","Yeni Müşteri Grubu"
"New Customer Groups","Yeni Müşteri Grupları"
"New Customers","Yeni Müşteriler"
"New Group","Yeni Grup"
"New Password","Yeni Şifre"
"New account","Yeni hesap"
"New account confirmation key","Yeni hesap onay anahtar kelimesi"
"New account confirmed","Yeni hesap doğrulandı"
"New password","Yeni Şifre"
"Newsletter","Duyurular"
"Newsletter Finish","Duyuru Sonu"
"Newsletter Information","Duyuru Bilgisi"
"Newsletter Received","Duyuru Alındı"
"Newsletter Start","Duyuru Başlangıcı"
"Newsletter Subscription","Duyuru Aboneliği"
"Newsletters","Duyurular"
"No Items Found","Ürün bulunamadı"
"No Newsletter Found","Duyuru bulunamadı"
"No item specified.","Ürün seçilmedi."
"No product collections found","Ürün listesi bulunamadı"
"Not Sent","Gönderilmedi"
"Not confirmed, can login","Hesap doğrulanmadı, giriş yapabilir"
"Not confirmed, cannot login","Hesap doğrulanmadı, giriş yapamaz"
"Number of lines in a street address ","Adres alanı için satır sayısı"
"Offline","Bağlı Değil"
"Online","Bağlı"
"Online Customers","Sitedeki Müşteriler"
"Online Customers Options","Sitedeki Ziyaretçiler Seçenekleri"
"Online Minutes Interval","Ziyaretçinin sitede sayılması için süre"
"Order #","Sipariş #"
"Order #%s (%s)","Sipariş #%s (%s)"
"Order List...","Sipariş Listesi..."
"Order Total","Sipariş Toplamı"
"Orders","Siparişler"
"PDF","PDF"
"Password","Şifre"
"Password Management","Şifre Yönetimi"
"Password Options","Şifre Seçenekleri"
"Password can't be empty","Şifre alanı boş bırakılamaz"
"Password fields can't be empty.","Şifre alanları boş bırakılamaz."
"Password forgotten","Şifreyi unuttu"
"Password minimal length must be more %s","Şifreler en az %s karakter uzunluğunda olmalıdır"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Şifre en az 6 harf olmalıdır. Baştaki veya sondaki boşluk görmezden gelinecektir."
"Paused","Duraklatıldı"
"Payment Method","Tahsilat Yöntemi"
"Pending","Beklemede"
"Per Website","Web Sitesi Başına"
"Personal Information","Kişisel Bilgi"
"Please enter your email below and we'll send you a new password.","Şifrenizin yeniden oluşturulması için lütfen aşağıdaki kutuya sistemde kayıtlı e-mail adresinizi giriniz."
"Please enter your email below and we'll send you confirmation link for it.","Lütfen şifre gönderebilmemiz için, üye olurken kullandığınız e-mail adresini giriniz."
"Please enter your email.","E-Mail adresinizi giriniz."
"Please make sure your passwords match.","Lütfen şifrelerinizin eşleştiğiniden emin olunuz."
"Please select","Lütfen seçiniz"
"Please select region, state or province","Lütfen Bölge/Şehir seçiminizi yapınız"
"Please, check your e-mail for confirmation key.","Lütfen, onay kodunuzun gönderildiği e-mail adresinizi kontrol ediniz."
"Prefix","Önek"
"Prefix dropdown options","Önek seçim menüsü seçenekleri"
"Price","Fiyat"
"Primary Billing Address","Birinci Fatura Adresi"
"Primary Shipping Address","Birinci Teslimat Adresi"
"Problem saving the collection, aborting. Error: %s","Liste kaydedilirken hata oluştu, iptal ediliyor. Hata : %s"
"Product","Ürün"
"Product ID","Ürün No"
"Product Name","Ürün Adı"
"Product Reviews","Ürün Yorumları"
"Product Tags","Ürün Etiketleri"
"Product name","Ürün Adı"
"Purchase On","Satın Alındı Yer"
"Purchased at","Satın Alındığı Tarih"
"Qty","Adet"
"Recent Orders","Geçmiş Siparişler"
"Records for ""","Kayıtlar """
"Refunded","Ücret İadesi Yapıldı"
"Registered Customers","Kayıtlı Müşteriler"
"Remove","Sil"
"Require Emails Confirmation","E-Mail Doğrulaması Gerekli Olsun"
"Retrieve address data","Adres verisi al"
"Retrieve address info","Adres bilgisi al"
"Retrieve customer addresses","Müşteri adreslerini al"
"Retrieve customer data","Müşteri bilgisini al"
"Retrieve customer's groups","Müşteri gruplarını al"
"Retrieve customers","Müşterileri al"
"Retrieve customers info","Müşteri bilgilerini al"
"Retrieve your confirmation link here","Onay linkini al"
"Retrieve your password here","Şifrenizi Buradan Alabilirsiniz"
"SKU","Ürün Kodu"
"Sales Statistics","Satış İstatistikleri"
"Save","Kaydet"
"Save Address","Adresi Kaydet"
"Save And Continue Edit","Kaydet ve Düzenlemeye Devam Et"
"Save Customer","Müşteriyi Kaydet"
"Save Customer Group","Müşteri Grubunu Kaydet"
"Save Password","Şifreyi Kaydet"
"Saved ","Kaydedildi "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Noktalı virgülle (;) ayrılmış değerler.<br/>Her satır başında boş bilgi için bir adet noktalı virgül olmalıdır.<br/>Yazı alanını açmak için boş bırakınız."
"Send Welcome Email after Confirmation","Doğrulama işleminden sonra Karşılama Maili Gönder"
"Send auto-generated password","Otomatik oluşturulmuş şifreyi gönder"
"Send confirmation link","Onay Linkini Gönder"
"Send welcome email","Hoşgeldin e-maili gönder"
"Sending","Gönderiliyor"
"Sent","Gönderildi"
"Session Start Time","Oturum Başlama Saati"
"Set as Default Billing Address","Varsayılan Fatura Adresi Olarak Kaydet"
"Set as Default Shipping Address","Varsayılan Teslimat Adresi Olarak Kaydet"
"Share Customer Accounts","Müşteri Hesaplarını Paylaş"
"Ship to First name","Alıcı Adı"
"Ship to Last name","Alıcı SoyAdı"
"Shipped to First Name","Gönderildiği Kişi Adı"
"Shipped to Last Name","Gönderildiği Kişi SoyAdı"
"Shipped to Name","Gönderildiği İsim"
"Shipping Information","Teslimat Bilgisi"
"Shipping Method","Teslimat Yöntemi"
"Shopping Cart","Alışveriş Sepeti"
"Shopping Cart - %d item(s)","Alışveriş Sepeti - %d ürün var"
"Show Tax/VAT number","Vergi/Vatandaşlık Numarasını Göster"
"Show date of birth","Doğum Tarihini Göster"
"Show middle name (initial)","İkinci Adı (veya Önadı) Göster"
"Show prefix","Öneki Göster"
"Show suffix","Soneki Göster"
"Sign Up for Newsletter","Duyuru ve Kampanya E-Maillerinizi Almak İstiyorum"
"Sign up for our newsletter","Duyurumuza Kaydolun"
"Skip import row, required field ""%s"" not defined","Satırın alınmasını atla, doldurulması zorunlu ""%s"" alanı boş"
"Skip import row, website ""%s"" field not exists","Satırın alınmasını atla, web sitesi ""%s"" alanı boş"
"State/Province","Şehir"
"Status","Durum"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Street Address","Adres"
"Street Address ","Adres"
"Subject","Konu"
"Submit","Gönder"
"Subscribe","Abone Ol"
"Subscribe to newsletter","Duyurulara abone ol"
"Subscribed to Newsletter?","Duyurulara abone oldunuz mu ?"
"Suffix","Sonek"
"Suffix dropdown options","Sonek seçim menüsü seçenekleri"
"TAX/VAT number is required.","Vergi/Vatandaşlık numarasını gerekiyor."
"Tag Name","Etiket Adı"
"Tax Class","Vergi Sınıfı"
"Tax class","Vergi sınıfı"
"Tax/VAT number","Vergi/Vatandaşlık numarası"
"Telephone","Telefon"
"Text","Yazı"
"Text One Line","Tek satır yazı"
"Thank you for registering with %s","Sitemize kaydolduğunuz için teşekkür ederiz"
"The address does not belong to this customer","Bu adres bu müşteriye ait değil"
"The address was successfully deleted","Adres silindi"
"The address was successfully saved","Adres kaydedildi"
"The suffix that goes after name (Jr., Sr., etc.)","Sonek, isimden sonra gelen ikinci isim veya isim ekidir (Jr., Sr., veya ikinci ad gibi)"
"The title that goes before name (Mr., Mrs., etc.)","Önek, isimden önce gelen eklerdir (Bay, Bayan, Doktor, Prof., gibi)"
"There are no items in customer's wishlist at the moment","Müşterinin takip listesinde ürün yok"
"There are no items in customer's shopping cart at the moment","Müşterinin sepetinde henüz ürün yok."
"There was an error while deleting the address","Adres silinirken hata oluştu"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Bu e-mail mesajı Hesap Doğrulama işleminden sonra Varsayılan Karşılama Maili yerine gönderilecektir."
"This account is not confirmed.","Hesap doğrulanmadı."
"This customer has no saved addresses.","Bu müşteriye ait kayıtlı adres bulunamadı."
"This e-mail does not require confirmation.","Bu e-mail'in doğrulanması gerekmiyor."
"This email address was not found in our records","Bu e-mail adresi kayıtlarımızda yok"
"This is My Primary %s Address","Bu adres benim birincil %s adresim"
"To Cart","Sepete"
"Total","Toplam"
"Type","Tip"
"Unknown","Bilinmeyen"
"Unsubscribe from newsletter","Duyuru aboneliğini iptal et"
"Update","Güncelle"
"Update customer address data","Müşteri adres verisini güncelle"
"Update customer data","Müşteri bilgilerini güncelle"
"Use as My Primary %s Address","Birincil %s adresim olarak kullan"
"Use as my default billing address","Birincil fatura adresim olarak kullan"
"Use as my default shipping address","Birincil teslimat adresim olarak kullan"
"User description","Kullanıcı açıklaması"
"View","Göster"
"View Order","Siparişi Göster"
"View Order List","Sipariş Listesini Göster"
"Visible In","Görüneceği Yer"
"Visitor","Ziyaretçi"
"Visitors Only","Sadece Ziyaretçiler"
"Website","Web sitesi"
"Welcome Email","Karşılama E-maili"
"Wishlist","Takip Listesi"
"Wishlist - %d item(s)","Takip Listesi - %d ürün var"
"Wrong confirmation key.","Hatalı onay anahtarı."
"Wrong customer account specified.","Müşteri hesabı seçiminde hata."
"Wrong email.","Hatalı e-mail."
"Wrong region id by selected country","Seçili ülke için yanlış bölge numarası"
"Wrong transactional account email type.","Yanıt gerektiren e-mail hesabı hatalı."
"XML","XML"
"YYYY","YYYY"
"Year","Yıl"
"You are currently not subscribed to any newsletter.","Hiç bir duyuruya abone olmadınız."
"You are currently not subscribed to our newsletter","Duyurularımıza abone olmadınız"
"You are currently subscribed to 'General Subscription'.","'Genel Abonelik' duyurumuza abone oldunuz."
"You are currently subscribed to our newsletter","Duyurumuza abone oldunuz"
"You are currently subscribed to our newsletter.","Duyurumuza abone oldunuz."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Güvenli çıkış işlemi başarılı. 5 saniye içinde ana sayfamıza yönlendirileceksiniz."
"You have no additional address entries in your address book.","Adres defterinizde başka adres yok."
"You have no additional entries in your address book.","Adres defterinizde başka adres yok."
"You have no default billing address in your address book.","Adres defterinizde birincil fatura adresiniz yok."
"You have no default shipping address in your address book.","Adres defterinizde birincil teslimat adresiniz yok."
"You have no primary entries in your address book.","Adres defterinizde birincil adres(ler)iniz yok."
"You have not set a primary billing address.","Birincil fatura adresi ayarlamadınız."
"You have not set a primary shipping address.","Birincil teslimat adresi ayarlamadınız."
"You have placed no orders yet.","Hiç sipariş vermediniz."
"You have placed no products yet.","Hiç ürün eklemediniz."
"You're now Logged Out","Çıkış yaptınız..."
"Your account balance is: %s","Hesap Bakiyeniz : %s"
"ZIP","Posta Kodu"
"ZIP/Post Code","ZIP/Posta Kodu"
"ZIP/Postal Code","Zip/Posta Kodu"
"Zip/Postal Code","Zip/Posta Kodu"
"n/a","yok"
"or","veya"
"Please enter your email below and we'll send you a new password.","Şifrenizin yeniden oluşturulması için lütfen aşağıdaki kutuya sistemde kayıtlı e-mail adresinizi giriniz."
"First name can't be empty","Adı alanı boş bırakılamaz"
"Last name can't be empty","Soyadı alanı boş bırakılamaz"
"Password can't be empty","Şifre alanı boş bırakılamaz"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","Varsayılan fatura adresi belirlemediniz."
"You have not set a default shipping address.","Varsayılan teslimat adresi belirlemediniz."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
