" and "," ve "
"Items to merge","Birleştirilecek kayıtlar"
"Last 5 Orders","Son 5 Sipariş"
"Last 5 Search Terms","Son 5 Arama"
"Last Logged In (%s):","Son Giriş (%s):"
"Last Logged In:","Son Giriş :"
"Last Name:","Soyadı :"
"Latest Message:","Son Mesaj :"
"Leave empty to use tax identifier","Vergi belirtecini kullanmak için boş bırakınız"
"Level","Seviye"
"License:","Lisans:"
"Loading...","Yükleniyor..."
"Local Server","Yerel Sunucu"
"Local/Remote Server","Yerel/Uzak Sunucu"
"Log Out","Çıkış"
"Logged in as %s","Giriş yapıldı %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento Core Api"
"Magento Core Api Section","Magento Core Api Bölümü"
"Magento Logo","Magento Logosu"
"Magento ver. %s","Magento vers. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; Irubin Consulting Inc. DBA Varien firmasının tescilli markasıdır.<br/> &copy; %s Tüm Hakları Saklıdır."
"Maintainers","Geliştirenler"
"Manage Stores","Mağazaları Yönet"
"Mapping Configuration","Harita Ayarları"
"Max","En fazla"
"Merge Now","Birleştir"
"Min","En az"
"Module version conflict!","Modül sürümü çakışması !"
"N/A","Yok"
"Name","Adı"
"Name on Card","Kart Sahibi"
"Name on the Card: %s","Kart Sahibi : %s"
"Name:","Adı :"
"Next month (hold for menu)","Sonraki Ay (menü için basılı tutunuz)"
"Next page","Sonraki Sayfa"
"Next year (hold for menu)","Sonraki Yıl (menü için basılı tutunuz)"
"No","Hayır"
"No Data Found","Veri bulunamadı"
"No search keywords.","Arama kelimesi yok."
"Note:","Not :"
"Notes:","Notlar :"
"Number of records:","Kayıt Sayısı :"
"Old rate:","Eski Puan :"
"Only mapped fields","Sadece eşleştirilen alanlar"
"Order Totals","Sipariş Toplamları"
"Order confirmation email not sent","Sipariş onaylama mesajı gönderilemedi"
"Order confirmation email sent","Sipariş onaylama mesajı gönderildi"
"Original Magento attribute names in first row:","İlk satırdaki Orijinal Magento özellik adları :"
"Package","Paket"
"Package Information","Paket Bilgisi"
"Packages","Paketler"
"Page","Sayfa"
"Passive mode","Pasif Mod"
"Password","Şifre"
"Path","Dosya Yolu"
"Path:","Dosya Yolu :"
"PayPal Email","PayPal Email Adresi"
"Personal Information","Kişisel Bilgiler"
"Phone:","Telefon :"
"Please confirm site switching. All data that hasn't been saved will be lost.","Site değişimini onaylayınız. Kaydedilmemiş tüm verileriniz kaybolacak."
"Please enter 6 or more characters.","En az 6 veya daha fazla karakter girmelisiniz."
"Please enter a number greater than 0 in this field.","0 (sıfır) dan büyük bir rakam girmelisiniz."
"Please enter a valid $ amount. For example $100.00.","Lütfen geçerli bir rakam giriniz. Örnek: $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Geçerli bir web adresi giriniz. Örnek: http://www.example.com veya www.example.com"
"Please enter a valid URL. http:// is required","Geçerli bir web adresi giriniz. http:// gereklidir"
"Please enter a valid credit card number.","Lütfen geçerli bir kredi kartı numarası giriniz."
"Please enter a valid date.","Lütfen geçerli bir tarih giriniz."
"Please enter a valid email address. For example johndoe@domain.com.","Lütfen geçerli bir e-mail adresi giriniz. Örnek : adiniz@domain.com"
"Please enter a valid number in this field.","Lütfen enter geçerli bir rakam giriniz."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Lütfen geçerli bir telefon numarası giriniz. Örenek (123) 456-7890 veya 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Lütfen geçerli bir vergi numarası giriniz. Örnek 123456789012345."
"Please enter a valid value from list","Lütfen listeden geçerli bir değer giriniz"
"Please enter a valid value, ex: 10,20,30","Lütfen geçerli bir değer giriniz, örnek: 10,20,30"
"Please enter a valid zip code.","Lütfen geçerli posta kodu değeri giriniz."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Lütfen geçerli posta kodu değeri giriniz. Örnek: 34100,06122 gibi."
"Please enter valid password.","Lütfen geçerli bir şifre giriniz."
"Please make sure that your changes were saved before running the profile.","Lütfen yaptığınız değişiklikleri kaydettiğinizden emin olmadan profil çalıştırmayınız."
"Please make sure your passwords match.","Lütfen yazdığınız şifrelerin aynı olduğundan emin olunuz."
"Please select State/Province.","Lütfen Şehir seçiniz."
"Please select an option.","Lütfen seçeneklerden birini seçiniz."
"Please select one of the above options.","Lütfen yukarıdaki seçeneklerden birini seçiniz."
"Please select one of the options.","Lütfen seçeneklerden birini seçiniz."
"Please use in this field only ""a-z,0-9,_"".","Lütfen bu alanda sadece ""a-z,0-9,_"" karakterlerini kullanınız"
"Please use letters only (a-z) in this field.","Lütfen bu alanda sadece harf (a-z) kullanınız."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Lütfen bu alanda sadece rakam kullanınız. Lütfen boşluk, tire ve diğer karakterleri kullanmayınız."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Lütfen bu alanda sadece harfler (a-z) ve rakamlar (0-9) kullanınız. Lütfen boşluk, tire ve diğer karakterleri kullanmayınız."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Lütfen bu alanda sadece harfler (a-z), rakamlar (0-9), boşluk ve diyez (#) kullanınız.."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Lütfen sadece bu biçimde tarih giriniz : gg/aa/yyyy. Örnek : 17 Mart 2006 için 17/03/2006."
"Please wait, loading...","Lütfen bekleyiniz, yükleniyor..."
"Please, select a store view","Lütfen bir mağaza görünümü seçiniz"
"Prev. month (hold for menu)","Önceki Ay (menü için basılı tutunuz)"
"Prev. year (hold for menu)","Sonraki Ay (menü için basılı tutunuz)"
"Previous page","Önceki Sayfa"
"Price","Fiyat"
"Price:","Fiyat:"
"Primary Billing Address","Birincil Fatura Adresi"
"Processed <strong>%s%% %s/%d</strong> items","<strong>%s%% %s/%d</strong> kayıt işlendi"
"Product","Ürün"
"Products","Ürünler"
"Profile Information","Profil Bilgisi"
"Provided Files","Sağlanan Dosyalar"
"Qty","Adet"
"Read details","Detayları oku"
"Recommended","Tavsiye edilen"
"Remote FTP","Uzak FTP"
"Remote URL:","Uzak Adres :"
"Remove","Sil"
"Resource Access","Kaynak Erişimi"
"Resources","Kaynaklar"
"Role","Rol"
"Role Users","Rol Kullanıcıları"
"Roles","Roller"
"Roles Resources","Rol Kaynakları"
"SKU","Ürün Kodu"
"SKU:","Ürün Kodu :"
"Schedule Merge","Zamanlanmış Birleştirme"
"Select All","Hepsini Seç"
"Select Date","Tarih Seç"
"Select Range","Aralık Seç"
"Select Visible","Görünenleri Seç"
"Select date","Tarih Seç"
"Select website from map","Haritadan başlangıcı"
"Select website to map","Harita sonu"
"Shipment Comments","Teslimat yorumları"
"Shipment History","Teslimat geçmişi"
"Shipping Address","Teslimad adresi"
"Shipping address selection is not applicable","Teslimat adresi seçimi uygulanabilir değil"
"Shipping method selection is not applicable","Teslimat yöntemi seçimi uygulanabilir değil"
"Show Report for","Rapor Göster"
"Show by","Gösterim Modu"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Siparişe dahil ürünlerden biri veya birkaçı farklı fatura ve teslimat tipi gerektiriyor. Lütfen fatura oluşturulduktan sonra teslimat bilgilerini oluşturunuz."
"Sort Order","Sıralama"
"Spreadsheet Name:","Sayfa Adı :"
"Staging Store: ","Gösterim Mağazası : "
"Staging Website: ","Gösterim Sitesi : "
"Start Date","Başlama Tarihi"
"State/Province:","Şehir :"
"Status","Durum"
"Status:","Durum :"
"Stock Quantity:","Stok Adedi :"
"Store:","Mağaza :"
"Store: ","Mağaza : "
"Subpackage","Alt Paket"
"Subpackages","Alt Paketler"
"Summary:","Özet :"
"Switch/Solo Only","Sadece Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo Kartı Issue No : %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo Kartı Kullanım Başlangıcı : %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Sadece Switch/Solo/Maestro (İngiltere için geçerli)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro (İngiltere için geçerli) Kart Issue No : %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(İngiltere için geçerli) Kart Başlama Tarihi : %s/%s"
"The information in this tab has been changed.","Bu sekmedeki bilgiler değişti."
"This is a required field.","Bu alanın doldurulması zorunlu."
"This tab contains invalid data. Please solve the problem before saving.","Bu sekmede geçersiz bir veri var. Kaydetmeden önce bu hatayı düzeltiniz."
"Thumbnail","Küçük Resim"
"Time selection:","Saat Seçimi :"
"Time:","Saat :"
"To","Kime"
"Top 5 Search Terms","En Popüler 5 Aranan Kelime"
"Total %d records found","Toplam %d kayıt bulundu"
"Track order","Sipariş İzleme"
"Track this shipment","Bu teslimatı izle"
"Type","Tip"
"Type:","Tip:"
"Unable to login.","Giriş yapılamadı."
"Unselect All","Seçimi İptal Et"
"Unselect Visible","Görünenlerin Seçimini İptal Et"
"Upgrade All Available Packages","Tüm Gereken Paketleri Güncelle"
"Upload Local File","Yerel Dosya Yükle"
"Upload local file:","Yerel Dosya Yükle:"
"Use Default Value","Varsayılan Değeri Yükle"
"User","Kullanıcı"
"User Name","Kullanıcı Adı"
"User Roles","Kullanıcı Rolleri"
"User name","Kullanıcı Adı"
"Users","Kullanıcılar"
"Value Delimiter:","Değer Ayracı :"
"Version:","Versiyon:"
"View","Göster"
"View Statistics for","İstatistikler Göster"
"Visibility:","Görünürlük :"
"Warning! Empty value can cause problems with CSV format.","Dikkat! Boş değerler CSV biçimli dosyada sorun oluşturabilir."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Web Hizmetleri"
"Web Services Configuration","Web Hizmetleri Ayarları"
"Website: ","Site : "
"Websites","Siteler"
"Websites / Stores","Siteler / Mağazalar"
"What is this?","Bu nedir ?"
"Yes","Evet"
"You have","Sahipsiniz"
"Your Account has been deactivated.","Hesabınız pasifleştirildi."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Sunucunuzun PHP ayarları aynı anda %s adetten fazla dosya yüklenmesine izin vermiyor. Bu sorunu aşmak için post_max_size (mevcut ayar %s) ve upload_max_filesize (mevcut ayar %s) parametrelerinin değerini yükseltin."
"Zip/Postal Code:","Posta Kodu:"
"critical","kritik"
"images/logo.gif","images/logo.gif"
"items selected","kayıt seçildi"
"major","büyük"
"md5sum","md5sum"
"minor","küçük"
"notice","not"
"of %s pages","/ Toplam %s sayfa"
"or","veya"
"per page","sayfa başı"
"to"," -> "
