"%s was successfully added to your shopping cart.","%s sepetinize eklendi."
"Customer Address is not valid.","Müşteri adresi hatalı."
"Data saving problem","Veri kaydedilirken hata oluştu"
"Default Billing","Varsayılan Fatura Adresiniz"
"Default Shipping","Varsayılan Teslimat Adresiniz"
"Delete Condition","Durumu Sil"
"Details","Detaylar"
"Disable Onepage Checkout","Tek Sayfada Alışveriş Tamamlamayı Pasifleştir"
"Disabled","Kapalı"
"Discount Codes","İndirim Kodları"
"Display Cart Summary","Sepet Özetini Göster"
"Display Shopping Cart Sidebar","Sağ/Sol Kolonda Alışveriş Sepeti Kutusunu Göster"
"Display item quantities","Toplam ürün adedini göster"
"Display number of items in cart","Sepetteki ürün sayısını göster"
"Easy access to your order history and status","Sipariş geçmişiniz ve siparişlerinizin durumu için kolay erişim"
"Edit","Düzelt"
"Edit Address","Adresi Düzelt"
"Edit Billing Address","Fatura Adresini Düzelt"
"Edit Items","Ürünleri Düzelt"
"Edit Shipping Address","Teslimat Adresini Düzelt"
"Edit Terms and Conditions","Kullanım Şartları Metnini Düzenle"
"Edit Your Cart","Sepeti Düzenle"
"Email Address","Email Adresi"
"Enable Terms and�Conditions","Kullanım Şartları Metnini Etkinleştir"
"Enabled","Açık"
"Enter a New Address","Yeni Bir Adres Giriniz"
"Enter your coupon code if you have one.","Kupon kodunuz varsa giriniz."
"Enter your destination to get a shipping estimate.","Kargo ücretinin hesaplanması için siparişinizin teslim edileceği yeri seçiniz."
"Error while deleting this condition. Please try again later.","Durum kaydı silinirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Error while saving this condition. Please try again later.","Durum kaydedilirken hata oluştu. Lütfen daha sonra tekrar deneyiniz."
"Estimate Shipping and Tax","Hesaplanan Kargo Ücreti ve Vergi"
"Excl. Tax","Vergi Hariç"
"Fast and easy check out","Hızlı ve Kolay Sipariş"
"Fax","Faks"
"Forgot an Item?","Unuttuğunuz bir şey mi var ?"
"Forgot your password?","Şifrenizi mi unuttunuz ?"
"Get a Quote","Fiyat Al"
"Grand Total:","Genel Toplam :"
"Grouped product image","Grup Ürünü Resmi"
"HTML","HTML"
"ID","No"
"Incl. Tax","Vergi Dahil"
"Invalid data","Hatalı veri"
"Invalid email address ""%s""","Hatalı e-mail adresleri ""%s"""
"Invalid shipping method.","Hatalı teslimat yöntemi."
"Items","Ürünler"
"Load customer quote error","Müşteri fiyatı çekilirken hata oluştu"
"Loading next step...","Bir sonraki adım yükleniyor..."
"Login","Giriş"
"Manage Checkout Terms and Conditions","Alışveriş Tamamlama Koşullarını Yönet"
"Maximum display Recently added item(s)","Son eklenen ürünlerin en fazla gösterilme sayısı"
"Maximum qty allowed for Shipping to multiple addresses is %s","Birden fazla adrese gönderim için gereken en fazla adet : %s"
"Move to Wishlist","Takip Listesine Taşı"
"My Account","Hesabım"
"My Cart","Sepetim"
"My Cart (%s item)","Sepetim (%s ürün)"
"My Cart (%s items)","Sepetim(%s ürün)"
"My Cart Link","Sepetim Bağlantısı"
"New Address","Yeni Adres"
"New Condition","Durum Ekle"
"Order #","Sipariş #"
"Order Review","Sipariş Gözden Geçir"
"Order Success","Sipariş Başarılı"
"Other items in your order","Siparişinizdeki diğer ürünler"
"Password","Şifre"
"Payment Failed Email Reciever","Ödeme Sistemi Sorunları İçin Bildirim Maili Alıcısı"
"Payment Failed Email Sender","Ödeme Sistemi Sorunları İçin Bildirim Maili Göndericisi"
"Payment Failed Emails","Ödeme Sistemi Sorunları Mailleri"
"Payment Failed Template","Ödeme Sistemi Sorunları Mailleri için Şablon"
"Payment Information","Ödeme Bilgisi"
"Payment Method","Tahsilat Yöntemi"
"Payment method is not defined","Tahsilat yöntemi ayarlanmadı"
"Place Order","Sipariş Ver"
"Please <a href=""%s"">continue shopping</a>.","Lütfen alışverişe devam etmek için <a href=""%s"">BURAYA TIKLAYINIZ</a>."
"Please agree to all Terms and Conditions before placing the order.","Lütfen sipariş eklemeden Kullanım Koşullarını okuyup onaylayınız."
"Please agree to all Terms and Conditions before placing the orders.","Lütfen sipariş eklemeden Tüm Kullanım Koşullarını okuyup onaylayınız."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Lütfen geçerli bir posta kodu giriniz. Örnek : 34212 or 34122-1244."
"Please log in below:","Lütfen giriş yapınız :"
"Please select region, state or province","Lütfen bölge, eyalet veya şehir seçiniz"
"Please select shipping address for applicable items","Lütfen gereken ürünler için Teslimat Adresi giriniz"
"Please select shipping methods for all addresses","Lütfen bütün adresler için bir teslimat yöntemi seçiniz"
"Price","Fiyat"
"Proceed to Checkout","Alışverişi Bitir"
"Product","Ürün"
"Product Name","Ürün Adı"
"Product does not exist","Ürün bulunamıyor"
"Qty","Adet"
"Quote Lifetime (days)","Teklif Geçerlilik Süresi (gün)"
"Recently added item(s)","Daha önce eklenen ürünler"
"Register","Kaydol"
"Register and save time!","Kaydolun ve zamandan kazanın!"
"Register to Create an Account","Yeni bir hesap oluşturun"
"Register with us for future convenience:","Kalitemizi kullanmak için üye olun :"
"Remove","Sil"
"Remove Item","Ürün sil"
"Remove Product","Ürün Sil"
"Remove item","Ürün Sil"
"Review Order","Siparişe Gözat"
"Review Order - %s","Siparişe Gözat - %s"
"Sales","Satışlar"
"Save Condition","Durumu Kaydet"
"Save in address book","Adres Defterine kaydet"
"Select Address","Adresleri Seçin"
"Select Addresses","Adresleri Seçin"
"Select Shipping Method","Teslimat Yöntemini Seçiniz"
"Select State/Province...","Şehir Seçiniz..."
"Select a billing address from your address book or enter a new address.","Fatura adresi olarak kullanılmak üzere adres defterinizden bir adres seçin veya yeni bir adres ekleyin."
"Select a shipping address from your address book or enter a new address.","Teslimat adresi olarak kullanılmak üzere adres defterinizden bir adres seçin veya yeni bir adres ekleyin."
"Send Payment Failed Email Copy Method","Ödeme Sistemi Sorunları Mailleri için Kopyalama Yöntemi"
"Send Payment Failed Email Copy To","Ödeme Sistemi Sorunu Maili Kopyası Alıcısı"
"Send to","Alıcı"
"Ship to Multiple Addresses","Birden fazla adrese gönder"
"Ship to different address","Başka adrese gönder"
"Ship to this address","Bu adrese gönder"
"Shipping Address","Teslimat Adresi"
"Shipping Information","Teslimat Bilgisi"
"Shipping Method","Teslimat Yöntemi"
"Shipping Methods","Teslimat Yöntemleri"
"Shipping method has not been selected yet","Teslimat Yöntemi seçilmedi"
"Shipping selection is not applicable","Teslimat seçimi uygulanamaz"
"Shipping to","Alıcı"
"Shopping Cart","Alışveriş Sepeti"
"Shopping Cart Sidebar","Alışveriş Sepeti Kolon Kutusu"
"Shopping Cart is Empty","Alışveriş Sepetiniz Boş"
"Show Content as","İçerik Göster"
"Some of the products you requested are not available in the desired quantity","İstediğiniz bazı ürünler istediğiniz miktarda stokta yok"
"Some of the products you requested are unavailable","İstediğiniz bazı ürünler stokta yok"
"Sorry, Onepage Checkout is disabled.","Üzgünüz, Tek Sayfada Alışveriş Tamamlama özelliği kapalı."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Üzgünüz, kayıtlı olmayan kullanıcılar alışveriş yapamaz. Üye olup alışverişi tamamlayın veya eğer bunun bir hata olduğunu düşünüyorsanız, site yönetimine bildirin."
"Sorry, no quotes are available for this order at this time.","Üzgünüz, bu sipariş için teklif bulunamıyor."
"State/Province","Şehir"
"Status","Durum"
"Store View","Mağaza Görünümü"
"Street Address","Adres"
"Street Address ","Adres"
"Submitting order information...","Sipariş bilgisi gönderiliyor..."
"Subtotal","Ara Toplam"
"Telephone","Telefon"
"Terms and Conditions","Kullanım Koşulları"
"Terms and Conditions Information","Kullanım Koşulları Bilgisi"
"Terms and conditions","Kullanım koşulları"
"Text","Yazı"
"Thank you for your purchase!","Bizi tercih ettiğiniz için teşekkür ederiz !"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Sepetinizde <a href=""%s""><strong>%s adet ürün</strong></a> var."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Sepetinizde <a href=""%s""><strong>1 ürün</strong></a> var."
"There is already a customer registered using this email address","Bu e-mail adresiyle kayıtlı bir müşterimiz zaten var"
"There was an error processing your order. Please contact us or try again later.","Siparişiniz işlenirken hata oluştu. Lütfen daha sonra tekrar deneyiniz veya bizimle bağlantı kurunuz."
"This condition no longer exists","Ulaşmaya çalıştığınız durum kaydı bulunamıyor"
"Total","Toplam"
"Total for this address","Bu adres için toplam"
"Unit Price","Adet Fiyatı"
"Update Qty &amp; Addresses","Adet &amp; Adres bilgisini güncelle"
"Update Shopping Cart","Sepeti Güncelle"
"Update Total","Toplamı Güncelle"
"Use Billing Address","Fatura Adresini Kullan"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Siparişiniz işleme alındı. En kısa zamanda size sipariş detaylarınızla ilgili bir mail göndereceğiz. Siparişiniz kargoya verilince teslimatla ilgili bir mail daha alacaksınız."
"You have no items in your shopping cart.","Sepetinizde hiç ürün yok."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Size siparişiniz için bir onay maili göndereceğiz. Bu mail aynı zamanda siparişinize ulaşmanızı ve izlemenizi sağlayacak."
"Your Checkout Progress","Sipariş Durumunuz"
"Your order # is: %s","Siparişiniz # : %s"
"Your order # is: <a href=""%s"">%s</a>","Siparişiniz #: <a href=""%s"">%s</a>"
"Your order has been received","Siparişiniz sistemimize ulaştı"
"Your order number is ","Sipariş Numaranız "
"Zip/Postal Code","Zip/Posta Kodu"
"osCommerce Orders","osCommerce Siparişleri"
"separate by "",""","separate by "","""
"My Cart","Sepetim"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
