"%s was successfully added to your shopping cart.","Товар <strong>%s</strong> успешно добавлен в корзину покупок."
"Content Height","Высота содержимого"
"Content Height (css)","Высота содержимого (CSS)"
"Continue","Продолжить"
"Continue Shopping","Вернуться к выбору товаров"
"Continue to Billing Information","Перейти к платёжной информации"
"Continue to Review Your Order","Перейти к просмотру Вашего заказа"
"Continue to Shipping Information","Перейти к информации о доставке"
"Country","Страна"
"Coupon code ""%s"" is not valid.","Неверный код купона ""%s""."
"Coupon code ""%s"" was applied successfully.","Код купона ""%s"" успешно применён."
"Coupon code was canceled successfully.","Код купона успешно отменён."
"Create Billing Address","Создать адрес плательщика"
"Create Shipping Address","Создать адрес доставки"
"Customer Address is not valid.","Неверный адрес клиента."
"Data saving problem","Проблема сохранения данных"
"Default Billing","Метод оплаты по умолчанию"
"Default Shipping","Метод доставки по умолчанию"
"Delete Condition","Удалить условие"
"Details","Подробно"
"Disable Onepage Checkout","Отключить одностраничный заказ"
"Disabled","Отключено"
"Discount Codes","Коды скидок"
"Display Cart Summary","Отображение резюме корзины"
"Display Shopping Cart Sidebar","Отображать боковую панель корзины покупок"
"Display item quantities","Показывать количество товаров"
"Display number of items in cart","Показывать количество позиций в корзине"
"Easy access to your order history and status","Удобный доступ к истории и статусам ваших заказов"
"Edit","Редактировать"
"Edit Address","Изменить адрес"
"Edit Billing Address","Изменить адрес плательщика"
"Edit Items","Изменить товары"
"Edit Shipping Address","Изменить адрес доставки"
"Edit Terms and Conditions","Редактировать соглашение о заказе"
"Edit Your Cart","Измените данные в корзине покупок"
"Email Address","Адрес электронной почты (email)"
"Enable Terms and�Conditions","Использовать соглашение о заказе"
"Enabled","Включено"
"Enter a New Address","Введите новый адрес"
"Enter your coupon code if you have one.","Введите код купона, если он у вас есть."
"Enter your destination to get a shipping estimate.","Укажите Ваше местоположение для оценки стоимости доставки."
"Error while deleting this condition. Please try again later.","Ошибка при удалении этого условия. Пожалуйста, повторите попытку позже."
"Error while saving this condition. Please try again later.","Ошибка при сохранении этого условия. Пожалуйста, повторите попытку позже."
"Estimate Shipping and Tax","Рассчитать стоимость доставки и величину налога"
"Excl. Tax","Без налога"
"Fast and easy check out","Быстрое оформление заказа"
"Fax","Факс"
"Forgot an Item?","Забыли добавить товар?"
"Forgot your password?","Забыли пароль?"
"Get a Quote","Получить итоговую цену"
"Grand Total:","Итоговая сумма:"
"Grouped product image","Изображение сборного товара"
"HTML","HTML"
"ID","ИД"
"Incl. Tax","Включая налог"
"Invalid data","Неверные данные"
"Invalid email address ""%s""","Неверный адрес электронной почты (email) ""%s"""
"Invalid shipping method.","Неверный метод доставки."
"Items","Товары"
"Load customer quote error","Ошибка во время загрузки итоговой информации о заказе"
"Loading next step...","Идёт загрузка следующего шага..."
"Login","Вход"
"Manage Checkout Terms and Conditions","Управление соглашениями о заказе"
"Maximum display Recently added item(s)","Максимальное количество последних добавленных позиций для показа"
"Maximum qty allowed for Shipping to multiple addresses is %s","Максимальное кол-во товара, разрешённое к доставке по нескольким адресам: %s"
"Move to Wishlist","Отложить в лист пожеланий"
"My Account","Моя учётная запись"
"My Cart","Корзина"
"My Cart (%s item)","Моя корзина (%s шт.)"
"My Cart (%s items)","Моя корзина (%s шт.)"
"My Cart Link","Ссылка на мою корзину"
"New Address","Новый адрес"
"New Condition","Новое условие"
"Order #","Заказ #"
"Order Review","Подтверждение заказа"
"Order Success","Заказ успешно оформлен"
"Other items in your order","Другие товары заказа"
"Password","Пароль"
"Payment Failed Email Reciever","Получатель сообщения о неудавшемся платеже"
"Payment Failed Email Sender","Отправитель сообщения о неудавшемся платеже"
"Payment Failed Emails","Получатели сообщения о неудавшемся платеже"
"Payment Failed Template","Шаблон сообщения о неудавшемся платеже"
"Payment Information","Информация об оплате"
"Payment Method","Метод оплаты"
"Payment method is not defined","Не указан метод оплаты"
"Place Order","Оформить заказ"
"Please <a href=""%s"">continue shopping</a>.","Пожалуйста, <a href=""%s"">вернитесь к выбору товара</a>."
"Please agree to all Terms and Conditions before placing the order.","Перед оформлением заказа Вы должны подтвердить Соглашение о заказе."
"Please agree to all Terms and Conditions before placing the orders.","Перед оформлением заказов Вы должны подтвердить Соглашение о заказе."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Пожалуйста, введите правильный почтовый индекс. Например, 9060 или 90602-1234."
"Please log in below:","Пожалуйста, введите информацию для входа:"
"Please select region, state or province","Пожалуйста, выберите регион, область или район"
"Please select shipping address for applicable items","Пожалуйста, выберите адрес доставки для указанных товаров"
"Please select shipping methods for all addresses","Пожалуйста, выберите методы доставки для всех адресов"
"Price","Цена"
"Proceed to Checkout","Перейти к оформлению заказа"
"Product","Товар"
"Product Name","Название товара"
"Product does not exist","Товар не существует"
"Qty","Кол-во"
"Quote Lifetime (days)","Время жизни квоты (дней)"
"Recently added item(s)","Последние товары в заказе"
"Register","Зарегистрируйтесь"
"Register and save time!","Зарегистрируйтесь и экономьте время!"
"Register to Create an Account","Зарегистрируйтесь для создания учётной записи"
"Register with us for future convenience:","Зарегистрируйтесь на сайте для удобства у будущем:"
"Remove","Удалить"
"Remove Item","Удалить позицию"
"Remove Product","Удалить товар"
"Remove item","Удалить позицию"
"Review Order","Обзор заказа"
"Review Order - %s","Обзор заказа - %s"
"Sales","Продажи"
"Save Condition","Сохранить условие"
"Save in address book","Сохранить в адресной книге"
"Select Address","Выберите адрес"
"Select Addresses","Выберите адреса"
"Select Shipping Method","Выберите метод доставки"
"Select State/Province...","Выберите Штат/провинцию..."
"Select a billing address from your address book or enter a new address.","Выберите адрес, который будет использоваться при создании счёта, из вашей адресной книги или введите новый адрес."
"Select a shipping address from your address book or enter a new address.","Выберите адрес доставки из адресной книги или введите новый ."
"Send Payment Failed Email Copy Method","Способ отправки копии сообщения о неудавшемся платеже для доп. получателя"
"Send Payment Failed Email Copy To","Доп. получатель сообщения о неудавшемся платеже"
"Send to","Получатель"
"Ship to Multiple Addresses","Доставить заказ на несколько адресов"
"Ship to different address","Доставить по другому адресу"
"Ship to this address","Доставить на этот адрес"
"Shipping Address","Адрес доставки"
"Shipping Information","Информация о доставке"
"Shipping Method","Метод доставки"
"Shipping Methods","Методы доставки"
"Shipping method has not been selected yet","Метод доставки еще не был выбран"
"Shipping selection is not applicable","Выбор доставки не подходит"
"Shipping to","Доставить"
"Shopping Cart","Корзина"
"Shopping Cart Sidebar","Корзина  - боковая панель"
"Shopping Cart is Empty","Корзина пуста"
"Show Content as","Показать содержимое как"
"Some of the products you requested are not available in the desired quantity","Некоторые товары, которые Вы запросили, не имеются в нужном количестве"
"Some of the products you requested are unavailable","Некоторые запрашиваемые товары недоступны"
"Sorry, Onepage Checkout is disabled.","Извините, одностраничный заказ отключён."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Извините, заказ без регистрации невозможен."
"Sorry, no quotes are available for this order at this time.","К сожалению, в данный момент отсутствуют цены для этого заказа"
"State/Province","Штат/район"
"Status","Статус"
"Store View","Представление магазина"
"Street Address","Адрес"
"Street Address ","Адрес "
"Submitting order information...","Отправление информации о заказе..."
"Subtotal","Итого"
"Telephone","Телефон"
"Terms and Conditions","Соглашение о заказе"
"Terms and Conditions Information","Информация о ""Соглашении о заказе"""
"Terms and conditions","Соглашение о заказе"
"Text","Текст"
"Thank you for your purchase!","Спасибо за покупку!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","В вашей корзине покупок <a href=""%s""><strong>%s товара(ов)</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","В вашей корзине покупок <a href=""%s""><strong>1 товар</strong></a>."
"There is already a customer registered using this email address","На сайте уже зарегистрирован клиент с таким адресом электронной почты (email)"
"There was an error processing your order. Please contact us or try again later.","Во время обработки заказа произошла ошибка. Пожалуйста, попробуйте позже или свяжитесь с администрацией."
"This condition no longer exists","Это условие больше не существует"
"Total","Всего"
"Total for this address","Итого для этого адреса"
"Unit Price","Цена за шт."
"Update Qty &amp; Addresses","Обновить количество и адреса"
"Update Shopping Cart","Обновить корзину"
"Update Total","Обновить итоговую сумму"
"Use Billing Address","Использовать адрес плательщика"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Мы обрабатываем ваш заказ. В ближайшее время вы получите электронное письмо с подробной информацией о заказе. После отправки заказа вы получите еще одно письмо со ссылкой для отслеживания пути посылки."
"You have no items in your shopping cart.","Ваша корзина покупок пуста."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Вы получите письмо на ваш адрес электронной почты (email) с подробной информацией о заказе и ссылкой на страницу, на которой можно проверить текущий статус заказа."
"Your Checkout Progress","Стадия оформления заказа"
"Your order # is: %s","Номер вашего заказа: %s"
"Your order # is: <a href=""%s"">%s</a>","Номер вашего заказа: <a href=""%s"">%s</a>"
"Your order has been received","Ваш заказ получен"
"Your order number is ","Номер вашего заказа: "
"Zip/Postal Code","Почтовый индекс"
"osCommerce Orders","Заказы osCommerce"
"separate by "",""","символ разделения: "","""
"My Cart","Моя корзина"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
