"%s was successfully added to your shopping cart.","%s pievienota(s) jūsu pirkumu grozam."
"Display number of items in cart","Rādīt preču skaitu grozā"
"Easy access to your order history and status","Piekļuvi pirkumu vēsturei un pasūtījumu izpildei"
"Edit","Mainīt"
"Edit Address","Labot adresi"
"Edit Billing Address","Labot rēķina adresi"
"Edit Items","Mainīt"
"Edit Shipping Address","Labot piegādes adresi"
"Edit Terms and Conditions","Edit Terms and Conditions"
"Edit Your Cart","Mainīt groza saturu"
"Email Address","E-pasta adrese"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","Pievienot jaunu adresi"
"Enter your coupon code if you have one.","Ja jums ir atlaižu karte, ievadiet atlaides kodu."
"Enter your destination to get a shipping estimate.","Norādiet piegādes adresi."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Nodokļu/Piegādes aprēķins"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","Ērtāku norēķināšanos"
"Fax","Fakss"
"Forgot an Item?","Piemirsās ko ielikt?"
"Forgot your password?","Piemirsās parole?"
"Get a Quote","Aprēķināt"
"Grand Total:","Pavisam kopā:"
"Grouped product image","Preču grupas bilde"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","Kļūdaini dati"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Nepareizs piegādes veids"
"Items","Preces"
"Load customer quote error","Kļūda ielādējot klienta cenas piedāvājumu"
"Loading next step...","Uzgaidiet..."
"Login","Ielogoties"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maksimālais atļautais daudzums piegādei uz vairākām adresēm ir %s"
"Move to Wishlist","Pievienot vēlmju sarakstam"
"My Account","Mans konts"
"My Cart","My Cart"
"My Cart (%s item)","Jūsu grozā ir (%s prece(s))"
"My Cart (%s items)","Mans grozs (%s preces)"
"My Cart Link","Mana groza saite"
"New Address","Norādīt jaunu adresi"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","Pārlūkot pasūtījumu"
"Order Success","Pasūtījums veikts"
"Other items in your order","Other items in your order"
"Password","Parole"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Apmaksas veids"
"Payment Method","Apmaksas veids"
"Payment method is not defined","Maksāšanas veids nav definēts"
"Place Order","Veikt pasūtījumu"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Turpināt iepirkšanos</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Norādiet pareizu pasta indeksu. Piemēram LV-2103"
"Please log in below:","Turpināt šeit:"
"Please select region, state or province","Lūdzu izvēlieties reģionu, štatu vai provinci"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Norādiet  piegādes veidu katrai adresei"
"Price","Cena"
"Proceed to Checkout","Norēķināties"
"Product","Prece"
"Product Name","Preces nosaukums"
"Product does not exist","Produkts neeksistē"
"Qty","Skaits"
"Quote Lifetime (days)","Kvotas ilgums (dienas)"
"Recently added item(s)","Jaunākā(s) prece(s) grozā"
"Register","Reģistrēties"
"Register and save time!","Reģistrēšanās ļauj ietupīt laiku!"
"Register to Create an Account","Reģistrējaties lai izveidotu pieejas kontu"
"Register with us for future convenience:","Reģistrēšanās nodrošina:"
"Remove","Izmest"
"Remove Item","Izņemt preci"
"Remove Product","Izmest no groza"
"Remove item","Remove item"
"Review Order","Pārskatīt pasūtījumu"
"Review Order - %s","Pārskatīt pasūtījumu - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Saglabāt adrešu grāmatā"
"Select Address","Izvēlieties adresi"
"Select Addresses","Adrešu izvēle"
"Select Shipping Method","Izvēlieties piegādes veidu"
"Select State/Province...","Norādiet štatu/reģionu..."
"Select a billing address from your address book or enter a new address.","Norādiet adresi rēķina sagatavošanai."
"Select a shipping address from your address book or enter a new address.","Norādiet preču piegādes adresi."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","Nosūtīt uz"
"Ship to Multiple Addresses","Piegāde uz vairākām adresēsm"
"Ship to different address","Norādīt citu piegādes adresi"
"Ship to this address","Lietot šo kā piegādes adresi"
"Shipping Address","Piegādes adrese"
"Shipping Information","Piegādes adrese"
"Shipping Method","Piegādes veids"
"Shipping Methods","Piegādes veidi"
"Shipping method has not been selected yet","Nav norādīts piegādes veids"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Piegādāt uz"
"Shopping Cart","Pirkumu grozs"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Pirkumu grozs ir tukšs"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Dažas no pieprasītajām precēm nav pieejamas nepieciešamajā daudzumā"
"Some of the products you requested are unavailable","Dažas no pieprasītajām precēm nav pieejamas"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Atvainojiet, šobrīd pasūtījumam nav pieejamas kvotas."
"State/Province","Rajons"
"Status","Status"
"Store View","Store View"
"Street Address","Iela"
"Street Address ","Street Address "
"Submitting order information...","Pasūtījuma informācijas nosūtīšana..."
"Subtotal","Summa"
"Telephone","Tālrunis"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Paldies par pirkumu!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Pirkumu grozā ir <a href=""%s""><strong>%s preces</strong></a>."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Jūsu grozā ir <a href=""%s""><strong>1 prece(s)</strong></a>."
"There is already a customer registered using this email address","Lietotājs ar šādu e-pasta adresi jau ir reģistrēts"
"There was an error processing your order. Please contact us or try again later.","Notikusi kļūme apstrādājot Jūsu pasūtījumu. Lūdzu kontaktējaties ar mums vai mēģiniet vēlreiz vēlāk."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Kopā uz šo adresi"
"Unit Price","Vienības cena"
"Update Qty &amp; Addresses","Atjaunot daudz. &amp; Adreses"
"Update Shopping Cart","Pārrēķināt kopsummu"
"Update Total","Pārrēķināt kopsummu"
"Use Billing Address","Lietot rēķina adresi"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Mēs apstrādājam Jūsu pasūtījumu un Jums drīz saņemsiet e-pastu ar detalizētu pasūtījuma informāciju. Tikko pasūtījums tiks nosūtīts, Jūs saņemsiet e-pastu ar www saiti lai varētu izsekot tā piegādes progresu."
"You have no items in your shopping cart.","Grozs ir tukšs."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Jūs saņemsiet pasūtījuma apstiprinājuma e-pastu ar pasūtījuma informāciju un www saiti  lai sekotu tā progresam."
"Your Checkout Progress","Norēķināšanās"
"Your order # is: %s","Jūsu pasūtījuma nr. ir: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Jūsu pasūtījums ir saņemts"
"Your order number is ","Your order number is "
"Zip/Postal Code","Pasta indekss"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Pirkumu grozs"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
