"# of Use","Lietošanas skaits"
"Error while saving this group. Please try again later.","Kļuda saglabājot šo grupu. Lūdzu pamēģiniet vēlreiz vēlāk."
"Exclude","Izslēgt"
"Expand All","Expand All"
"Failed","Nesanāca"
"Failed to move file: %s","Nesanāca pārvietot failu: %s"
"Feature Products","Reklamēt preces"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Filttra modeļa vārdam jābūt deklarētam"
"Filter must be as object. Set correct filter please","Filtram jābūt kā objektam. Lūdzu iestatiet pareizu filtru."
"Filterable (no results)","Filtrējams (bez rezultātiem)"
"Filterable (with results)","Filtrējams (ar rezultātiem)"
"Filters must be as array","Filtram jābūt kā masīvam"
"First Name","Vārds"
"Fixed","Salabots"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Iekšējai lietošanai. Jābūt unikālam, bez tukšumiem."
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Klientu lapa"
"Frontend Model","Klientu lapas modelis"
"Frontend Properties","Klientu lapas rekvizīti"
"Gallery","Galerija"
"General Information","Vispārēja informācija"
"Get special price","Get special price"
"Global","Globāls"
"Globally Editable","Globāli rediģējams"
"Go to Home Page","Doties Uz Sākumlapu"
"Grid","Tabulu"
"Grouped Product","Grupēts produkts"
"Groups","Grupas"
"Home","Sākumlapa"
"ID","NPK"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Bilde"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Attēla fails nav atrasts"
"Image not exists","Bilde neeksistē"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Attēla tipu un informāciju vajag norādīt katram veikala skatam"
"In Stock","Ir noliktavā"
"In stock","Ir noliktavā"
"In stock.","In stock."
"Incl. Tax","Incl. Tax"
"Input Type","Input Type"
"Input Validation for Store Owner","Ievades pārbaude veikala īpašniekam"
"Integer","Vesels"
"Integer Number","Vesels skaitlis"
"Invalid Tier Prices","Invalid Tier Prices"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Nepareiza atribūtu opcija norādīta atribūtam %s, izlaižam ierakstu"
"Invalid attribute set specified, skipping the record","Norādīts nepareizs atribūtu komplekts, izlaižam ierakstu"
"Invalid block: %s","Nepareizs bloks: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Nepareizs kategorijas ID"
"Invalid image file type","Nepareizs attēla datnes tips"
"Invalid image type.","Invalid image type."
"Invalid option id specified for %s (%s), skipping the record","Nepareizs opcijas id priekš  %s (%s), izlaižam ierakstu"
"Invalid product type specified, skipping the record","Nepareizi norādīts preces tips, izlaižam ierakstu"
"Invalid store specified","Neparaizi norādīts veikals"
"Invalid store specified, skipping the record","Nepareizi norādīts veikals, izlaižam ierakstu"
"Inventory","Inventārs"
"Is Default","Ir noklusētais lielums"
"Is Required","Is Required"
"Items %s to %s of %s total","Preces no %s līdz %s; (kopā  %s)"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Lietām, kuras nevēlieties rādīt katalogā vai meklēšanas rezultātos, jābūt stausam ""Neaktīvs"" izvēlētajā veikalā."
"Label","Uzraksts"
"Last Name","Uzvārds"
"Last Notification","Pēdēja paziņošana"
"Learn More","Lasīt vairāk"
"Length of text is too long","Length of text is too long"
"Letters","Burti"
"Letters(a-zA-Z) or Numbers(0-9)","Burti(a-žA-Ž) vai cipari(0-9)"
"Line %d, Email: %s","Līnija %d, e-pasts: %s"
"Line %d, SKU: %s","Līnija %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","Sarakstu"
"List Mode","Saraksta režīms"
"Manage Attribute Sets","Vadīt atribūtu uzstādījumus"
"Manage Attributes","Vadīt atribūtus"
"Manage Catalog Categories","Vadīt kataloga kategorijas"
"Manage Categories","Vadīt kategorijas"
"Manage Label / Options","Vadīt uzrakstu/opcijas"
"Manage Options (values of your attribute)","Vadīt opcijas (Jūsu atribūta vērtības)"
"Manage Product Attributes","Vadīt preces atribūtus"
"Manage Product Sets","Vadīt preču komplektus"
"Manage Products","Vadīt preces"
"Manage Stock","Manage Stock"
"Manage Titles (Size, Color, etc.)","Vadīt virsrakstus (izmērs, krāsa, u.c.)"
"Max Characters","Max Characters"
"Maximal Depth","Maximal Depth"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Maksimālais pirkuma daudzums"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Maximum number of characters"
"Media Image","Mēdija attēls"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Minimālais pirkuma daudzums"
"Minimum Qty for Item's Status to be Out of Stock","Mimimālais daudzums lai preces status būtu ""Nav noliktavā"""
"Missing SKU, skipping the record","Pazudis SKU, izlaist ierakstu"
"More Views","Vairāk skatu"
"Move","Move"
"Move category in tree","Move category in tree"
"Multiple Select","Vairāki iestatījumi"
"Name","Nosaukuma"
"Name In %s","Nosaukums iekš %s"
"Name<br/>(For internal use)","Nosaukums<br/>(Iekšējai lietošanai)"
"New Category","Jauna kategorija"
"New Product","Jauna prece"
"New Product Attribute","Jauns preces atribūts"
"New Products","Jaunas preces"
"New Search","Jauna meklēšana"
"New Set Name","Jauna nosaukuma iestatīšana"
"Next","Nākamais"
"No","Nē"
"No image","Nav attēla"
"No layout updates","Nav maketa jauninājumu"
"No options of this product are available.","Precei opcijas nav pieejamas."
"No product collections found","Nav atrasta preču kolekcija"
"None","Neviens"
"Not shared with other products","Nav kopīgs ar citām precēm"
"Notify Low Stock RSS","Paziņot zemu noliktavas atlikumu RSS"
"Notify for Quantity Below","Paziņot par daudzumu zemāk"
"Nowhere","Nekur"
"Number of Uses","Lietošanas reizes"
"Number of results<br/>(For last time placed)","Rezultātu skaits<br/>(Par pēdējo reizi)"
"OR","vai"
"Old Price:","Vecā cena:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Opcija:"
"Options Control","Opciju kontrole"
"Options is required","Obligātās opcijas"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Nav noliktavā"
"Out of stock","Nav noliktavā"
"Out of stock.","Nav noliktavā."
"PM","PM"
"Page Title Separator","Lapu virsrakstu atdalītājs"
"Page:","Lapa:"
"Parent Category","Vecāku kategorija"
"Pending","Gaida apstrādi"
"Pending Reviews RSS","Gaidošie apskati RSS"
"Percentage","Procenti"
"Please add rows to option.","Please add rows to option."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost."
"Please click on Close Window button if it won't be closed automatically","Lūdzu klikšķiniet uz pogas ""Aizvērt logu"", jat tas negrib aizvērties automātiski"
"Please enter a new group name","Lūdzu ievadiet jaunās grupas nosaukumu"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Lūdzu izvēlieties vienu vai vairāk atribūtus."
"Please select product(s)","Lūdzu izvēlieties preces"
"Please select products for attributes update","Lūdzu iestatiet preces priekš atribūtu atjaunošanas"
"Please select static block ...","Lūdzu iestatiet statisku bloku..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Please specify the product required option(s)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Pozīcija"
"Position In Layered Navigation","Pozīcija slāņotajā navigācijā"
"Position of attribute in layered navigation block","Atribūta pozīcija slāņotajā navigācijas blokā"
"Prev","Iepriekšējais"
"Previous","Iepriekšējā"
"Price","Cenas"
"Price Type","Price Type"
"Price values for options should be specified in system base currency.","Cenu vērtības opcijām jādefinē sistēmas bāzes valūtā."
"Price:","Cena:"
"Print This Page","Drukāt šo lapu"
"Problem saving the collection, aborting. Error: %s","Fatāla kļūda pievienojot kolekciju. Kļūda: %s"
"Product","Product"
"Product %s successfully added to compare list","Prece %s pievienota salīdzināšanas sarakstam"
"Product %s successfully removed from compare list","Prece %s sekmīgi izņemta no salīdzināšanas saraksta"
"Product API","Product API"
"Product Alerts","Preces brīdinājumi"
"Product Attribute","Preces atribūts"
"Product Attributes","Preces atribūti"
"Product Categories","Preces kategorijas"
"Product Description","Preces apraksts"
"Product Image Placeholders","Preču bilžu vieta"
"Product Image Watermarks","Produktu bilžu ūdenszīmes"
"Product Images","Product Images"
"Product Images API","Product Images API"
"Product In Websites","Preces tīmekļa vietnēs"
"Product Info Column","Product Info Column"
"Product Information","Preces informācija"
"Product Name","Preces nosaukums"
"Product Reviews","Preces apskati"
"Product Tags","Preces birkas"
"Product Tier Price API","Product Tier Price API"
"Product Type","Preces tips"
"Product URL Suffix","Product URL Suffix"
"Product attribute sets API","Product attribute sets API"
"Product attribute was successfully deleted","Produkta atribūts tika veiksmīgi izdzēsts"
"Product attribute was successfully saved","Produkta atribūts tika veiksmīgi saglabāts"
"Product attributes API","Product attributes API"
"Product collection expected","Tika sagaidīta preču grupa"
"Product deleted","Prece dzēsta"
"Product duplicated","Prece atkārtojas"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","Product links API (related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Kļūda saglabājot preci"
"Product saving error. ","Product saving error. "
"Product types API","Product types API"
"Product was successfully created.","Prece veiksmīgi izveidota."
"Product was successfully saved.","Prece veiksmīgi saglabāta."
"Product with this combination of attributes already associated to configurable.","Prece ar šādu atribūtu kombināciju jau ir konfigurējama."
"Products","Preces"
"Products Information","Preces informācija"
"Products Reviews","Preču apskati"
"Products Sitemap","Preču vietnes karte"
"Products only","Tikai preces"
"Products per Page on Grid default value","Preces vienā lapā noklusētājā lapas režģī"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Prece vienā lapā, saraksta noklusētajā vērtībā"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Rekvizīti"
"Qty","Skaits"
"Qty Uses Decimals","Daudzums decimālskaitļos"
"Qty for Item's Status to become Out of Stock","Qty for Item's Status to become Out of Stock"
"Quick Create","Ātrā izveidošana"
"Quick Overview","Īss apraksts"
"Quick simple product creation","Ātrā preces parauga izveidošana"
"Records for ""","Pieraksts priekš """
"Redirect","Pārvirzīšana"
"Redirect URL","Pārvirzīšanas URL"
"Regular Price:","Regulārā cena:"
"Related Products","Saistītās preces"
"Remove","Izmest"
"Remove Product","Dzēst preci"
"Remove Product From Websites","Dzēst preci no tīmekļa vietnēm"
"Remove This Item","Dzēst šo lietu"
"Remove product assignment","Remove product assignment"
"Remove product image","Remove product image"
"Remove product link","Remove product link"
"Required","Obligāts"
"Reset","Nonullēšana"
"Results","Rezultāti"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Apskats veiksmīgi dzēsts"
"Review was saved successfully","Apskats veiksmīgi saglabāts"
"Review was successfully saved","Apskats veiksmīgi saglabāts"
"Reviews","Apskati"
"Roll Over for preview","Pārrulēt pārskatam"
"Root","Saknes katalogs"
"SKU","Artikuls"
"Save","Saglabāt"
"Save And Continue Edit","Saglabāt un turpināt rediģēt"
"Save Attribute","Saglabāt atribūtu"
"Save Attribute Set","Saglabāt atribūtu komplektu"
"Save Category","Saglabāt kategoriju"
"Save Search","Saglabāt meklēšanas nosacījumus"
"Saved ","Saglabāts"
"Scope","Sfēra"
"Search","Meklēt"
"Search Engine Optimizations","Meklēšanas dzinēja optimizācijas"
"Search Information","Meklēšanas informācija"
"Search Query","Meklēšanas vaicājums"
"Search Term was successfully saved","Meklēšanas termins sekmīgi saglabāts"
"Search Term with such search query already exist.","Šāds meklēšanas termins ar tādu meklēšanas vaicājumu jau eksistē."
"Search was successfully deleted","Meklēšanas nosacījums sekmīgi dzēsts"
"Searchable","Piemērots meklēšanai"
"Select Configurable Attributes ","Atlasīt konfigurējamus atribūtus"
"Select type of option","Select type of option"
"Select type options required values rows.","Select type options required values rows."
"Selected Product Types","Atlasītie preču tipi"
"Selected configuration is not available.","Selected configuration is not available."
"Send Count","Nosūtīto skaits"
"Set Ascending Direction","Pieaugošā kārtībā"
"Set Descending Direction","Krītošā kārtībā"
"Set Name","Iestatīt vārdu"
"Set Root Category For Store","Iestatīt saknes kategoriju veikalam"
"Set root category for this store in the <a href=""%s"">configuration</a>","Iestatīt saknes kategoriju veikalam <a href=""%s"">konfigurācijā</a>"
"Set special price","Set special price"
"Set/Get current store view","Set/Get current store view"
"Settings","Uzstādījumi"
"Shop by","Veikals ar"
"Shopping Options","Atlases kritēriji"
"Show","Rādīt pa"
"Show Details","Show Details"
"Show Tags","Show Tags"
"Simple Product","Vienkārša prece"
"Site Map","Lapas karte"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Izlaist rindas importu, nav korekta vērtība ""%s"" laukam ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Izlaist rindas impoertu, obligātais lauks ""%s"" jaunajam klientam nav definēts"
"Skip import row, required field ""%s"" for new products not defined","Izlaists rindas imports, nepieciešamais lauks ""%s"" priekš jaunās preces nav definēts"
"Skip import row, required field ""%s"" not defined","Izlaists rindas imports, nepieciešamais lauks ""%s"" nav definēts"
"Skip import row, store ""%s"" field not exists","Rindas imports izlaists, veikala ""%s"" lauks neeksistē"
"Sort Order","Kārtošanas virziens"
"Sort by","Kārtot pēc"
"Source Model","Izejas modelis"
"Special Price:","Speciāla cena:"
"Starting at:","Sākot no:"
"Static","Statiska"
"Static block and products","Statisks bloks un preces"
"Static block only","Tikai statisks bloks"
"Status","Statuss"
"Stock Availability","Pieejamība noliktavā"
"Store","Veikals"
"Store View","Veikala skats"
"Stretch","Izstiept"
"Subscribe to Feed","Parakstīties uz RSS barotni"
"Subscribe to RSS Feed","Parakstīties uz RSS barotni"
"Super product attributes configuration","Superpreču atribūtu konfigurācija"
"Synonym For","Sinonīms priekš"
"Synonym for","Sinonīms priekš"
"System","Sistēma"
"System Properties","Sistēmas rekvizīti"
"Tag Name","Birkas nosaukums"
"Tax","Tax"
"Text","Teksts"
"Text Area","Teksta telpa"
"Text Field","Teksta lauks"
"There are no %s available.","%s nav pieejams."
"There are no customers for this alert","Priekš šī brīdinājuma nav klientu."
"There are no products matching the selection.","Neviena prece neatbilst atlasei."
"There was an error while adding products to websites","Kļūda pievienojot preces tīmekļa vietnēm"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Kļūda dzēšot preces no tīmekļa vietnēm"
"There was an error while updating product(s) attributes","Notikusi kļūda atjaunojot preces atribūtus"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Dotais atribūts vairs neeksistē"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again."
"This group contains system attributes. Please move system attributes to another group and try again.","Šī grupa satur sistēmas atribūtus. Lūdzu pārlieciet sistēmas atribūtus uz citu grupu un mēģiniet vēlreiz."
"This is a required option","This is a required option"
"This search no longer exists","Meklējums vairs neeksistē"
"Tier Pricing","Rindas cenošana"
"Tile","Cepure"
"Time format","Time format"
"Title","Title"
"Top/Left","Augšējais/Kreisais"
"Top/Right","Augšējais/Labais"
"Total Qty Base Items","Total Qty Base Items"
"Total incl. Tax: %1$s","Total incl. Tax: %1$s"
"Total of %d record(s) were successfully deleted","Pavisam of %d ieraksti tika veiksmīgi dzēsti"
"Total of %d record(s) were successfully updated","%d ieraksti apstrādāti"
"Type","Tips"
"Unable to complete request. Please try again later.","Neizdevās apstrādāt pieprasījumu. Lūdzu vēlāk mēģiniet vēlreiz."
"Unable to find a search term to delete","Neizdevās atrast izdzēšamo meklēšanas terminu"
"Unable to find an attribute to delete","Neizdevās atrast izdzēšamo atribūtu"
"Unable to get product id.","Neizdevās atrast preces npk."
"Unassigned Attributes","Nepilietotie atribūti"
"Unique Value","Unikāla vērtība"
"Unique Value (not shared with other products)","Unikāla vērtība (nav kopīga ar citām precēm)"
"Unknown attribute: %s","Nezināms atribūts: %s"
"Up-sells","Pēdējā pārdošana"
"Update","Update"
"Update Attributes","Update Attributes"
"Update Tier Price","Update Tier Price"
"Update assigned product","Update assigned product"
"Update attributes","Atjaunot atribūtus"
"Update category","Update category"
"Update product","Update product"
"Update product image","Update product image"
"Update product link","Update product link"
"Update product tier prices","Update product tier prices"
"Upload new product image ","Upload new product image "
"Url","Url"
"Url Rewrite Management","Url pārrakstīšanas vadība"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Lietot konfigurācijas uzstādījumus"
"Use Default Value","Lietot noklusēto vērtību"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Lietot slāņu navigāciju"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Lietot slāņu navigāciju<br/>(Var tikt lietots tikai ar kataloga ievades tipu 'Nolaižamais saraksts')"
"Use In Search Results Layered Navigation","Use In Search Results Layered Navigation"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Lietot lai izveidotu konfigurējamu preci"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
