"%s was successfully added to your shopping cart.","%s ถูกเพิ่มลงในรถเข็นของคุณแล้ว"
"Enter your coupon code if you have one.","ใส่รหัสคูปองถ้าคุณมี"
"Enter your destination to get a shipping estimate.","กรุณาใส่ปลายทางของคุณเพื่อประเมินค่าขนส่ง"
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","ประมาณค่าขนส่งและภาษี"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","ชำระเงินอย่างสะดวกและรวดเร็ว"
"Fax","โทรสาร"
"Forgot an Item?","ลืมรายการสินค้า?"
"Forgot your password?","ลืมรหัสผ่านของคุณ?"
"Get a Quote","เรียกข้อมูลอ้างอิง"
"Grand Total:","รวมทั้งหมด:"
"Grouped product image","กลุ่มรูปสินค้า"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","ข้อมูลไม่ถูกต้อง"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","วิธีการส่งสินค้าไม่ถูกต้อง"
"Items","รายการสินค้า"
"Load customer quote error","ข้อผิดพลาดในการโหลดคำอ้างอิงของลูกค้า"
"Loading next step...","กำลังโหลดขั้นตอนถัดไป..."
"Login","เข้าสู่ระบบ"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","อนุญาตจำนวนสูงสุดสำหรับส่งสินค้าหลายที่ %s"
"Move to Wishlist","ย้ายไปยัง Wishlist"
"My Account","บัญชีผู้ใช้ของฉัน"
"My Cart","My Cart"
"My Cart (%s item)","รถเข็นของฉัน (%s รายการ)"
"My Cart (%s items)","รถเข็นของฉัน (%s รายการ)"
"My Cart Link","ลิงค์รถเข็นของฉัน"
"New Address","ที่อยู่ใหม่"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","ตรวจสอบคำสั่งซื้อ"
"Order Success","สั่งซื้อสำเร็จแล้ว"
"Other items in your order","Other items in your order"
"Password","รหัสผ่าน"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","ข้อมูลการชำระเงิน"
"Payment Method","วีธีการชำระเงิน"
"Payment method is not defined","ไม่ได้ระบุวิธีการชำระเงิน"
"Place Order","สั่งซื้อ"
"Please <a href=""%s"">continue shopping</a>.","กรุณา <a href=""%s"">ดำเนินการซื้อต่อไป</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง ตัวอย่างเช่น 90602 หรือ 90602-1234."
"Please log in below:","กรุณาเขาสู่ระบบด้านล่าง:"
"Please select region, state or province","กรุณาเลือกภูมิภาค รัฐ หรือจังหวัด"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","กรุณาเลือกวิธีจัดส่งสินค้าสำหรับทุกที่อยู่"
"Price","ราคา"
"Proceed to Checkout","ดำเนินการแจ้งออก"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Product does not exist","ไม่มีสินค้า"
"Qty","จำนวน"
"Quote Lifetime (days)","อ้างอิงเวลาตลอดการใช้งาน (วัน)"
"Recently added item(s)","รายการที่เพิ่มเมื่อไม่นานนี้"
"Register","ลงทะเบียน"
"Register and save time!","ลงทะเบียนเพื่อประหยัดเวลาของคุณ!"
"Register to Create an Account","ลงทะเบียนเพื่อสร้างบัญชีผู้ใช้"
"Register with us for future convenience:","ลงทะเบียนกับเราเพื่อความสะดวกในอนาคต:"
"Remove","ลบออก"
"Remove Item","ลบรายการสินค้าออก"
"Remove Product","ลบสินค้าออก"
"Remove item","Remove item"
"Review Order","ตรวจสอบคำสั่งซื้อ"
"Review Order - %s","ตรวจสอบคำสั่งซื้อ - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","บันทึกในสมุดที่อยู่"
"Select Address","เลือกที่อยู่"
"Select Addresses","เลือกที่อยู่"
"Select Shipping Method","เลือกวิธีการจัดส่งสินค้า"
"Select State/Province...","เลือก รัฐ/จังหวัด..."
"Select a billing address from your address book or enter a new address.","เลือกที่อยู่สำหรับออกใบเสร็จจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่่"
"Select a shipping address from your address book or enter a new address.","เลือกที่อยู่สำหรับจัดส่งสินค้าจากสมุดที่อยู่ของคุณหรือใส่ที่อยู่ใหม่"
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","ส่งไปยัง"
"Ship to Multiple Addresses","ส่งไปยังที่อยู่หลายที่"
"Ship to different address","ส่งไปยังที่อยู่ที่ต่างกัน"
"Ship to this address","ส่งไปยังที่อยู่นี้"
"Shipping Address","ที่อยู่สำหรับจัดส่งสินค้า"
"Shipping Information","ข้อมูลในการจัดส่งสินค้า"
"Shipping Method","วิธีการส่งสินค้า"
"Shipping Methods","วิธีการส่งสินค้า"
"Shipping method has not been selected yet","ยังไม่ได้เลือกวิธีการส่งสินค้า"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","จัดส่งไปยัง"
"Shopping Cart","รถเข็นสินค้า"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","รถเข็นยังว่างเปล่าอยู่"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","สินค้าบางรายการที่คุณต้องการมีจำนวนไม่เพียงพอกับที่คุณขอซื้อ"
"Some of the products you requested are unavailable","สินค้าที่คุณต้องการบางรายการไม่มีจำหน่าย"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","ขออภัย, ไม่มีการอ้างอิงสำหรับออเดอร์นี้ที่ใช้ได้ขณะนี้"
"State/Province","รัฐ/จังหวัด"
"Status","Status"
"Store View","Store View"
"Street Address","ที่อยู่"
"Street Address ","Street Address "
"Submitting order information...","กำลังยืนยันข้อมูลคำสั่งซื้อ..."
"Subtotal","รวม"
"Telephone","โทรศัพท์"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","ขอบคุณที่ซื้อสินค้ากับเรา!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","นี้คือ<a href=""%s""><strong>%s รายการ</strong></a>ในรถเข็นของคุณ"
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There is already a customer registered using this email address","มีลูกค้าที่ลงทะเบียนโดยใช้อีเมล์นี้อยู่แล้ว"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","ทั้งหมดสำหรับที่อยู่นี้"
"Unit Price","ราคาต่อหน่วย"
"Update Qty &amp; Addresses","อัพเดท จำนวน &amp; ที่อยู่"
"Update Shopping Cart","อัพเดทรถเข็น"
"Update Total","อัพเดทยอดรวมทั้งหมด"
"Use Billing Address","ใช้ที่อยู่สำหรับออกใบเสร็จ"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","เรากำลังดำเนินการกับออเดอร์ของคุณอยู่ คุณจะได้รับอีเมลล์พร้อมรายละเอียดออเดอร์ในไม่ช้า และเมื่อเราจัดส่งออเดอร์ให้คุณ คุณจะได้รับอีเมล์อีกฉบับซึ่งจะมีลิงค์สำหรับติดตามความคืบหน้า"
"You have no items in your shopping cart.","คุณไม่มีรายการสินค้าในรถเข็นของคุณ"
"You will receive an order confirmation email with details of your order and a link to track its progress.","คุณจะได้รับอีเมล์ยืนยันการสั่งซื้อพร้อมรายละเอียดการสั่งซื้อของคุณและลิงค์สำหรับติดตามความคืบหน้าของการสั่งซื้อ"
"Your Checkout Progress","ความคืบหน้าในการ Checkout ของคุณ"
"Your order # is: %s","คำสั่งซื้อของคุณ # คือ: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","เราได้รับคำสั่งซื้อของคุณแล้ว"
"Your order number is ","Your order number is "
"Zip/Postal Code","รหัสไปรษณีย์"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","รถเข็นของฉัน"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
