"%s already exist","%s มีอยู่แล้ว"
"%s already exists","%s มีอยู่แล้ว"
"-- Please Select --","-- กรุณาเลือก --"
"Disable email communications","ปิดการใช้งานอีเมล์"
"Disable modules output","ปิดการใช้งานโมดูลผลลัพธ์"
"Duplicate Of Template Code","การซ้ำกันของโค้ดเทมเพลต"
"Edit Design Change","แก้ไขการเปลี่ยนแปลงดีไซน์"
"Edit Store","แก้ไขร้านค้า"
"Edit Store View","แก้ไขมุมมองร้านค้า"
"Edit Website","แก้ไขเว็บไซต์"
"Empty identifier field name","ทำชื่อฟิลด์ Identifier ให้ว่าง"
"Empty main table name","ทำชื่อตารางหลักให้ว่าง"
"Enabled","เปิดการใชงาน"
"Enabled for Admin","เปิดการใช้งานสำหรับผู้ดูแลระบบ"
"Enabled for Frontend","เปิดการใช้งานสำหรับส่วนหน้า"
"Error in file: ""%s"" - %s","ผิดพลาดในไฟล์: ""%s"" - %s"
"Error while saving. Please try again later.","พบข้อผิดพลาดขณะบันทึกข้อมูล กรุณาลองใหม่อีกครั้ง"
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","ลืมรหัสผ่านส่งอีเมลล์ผู้ส่ง"
"Forgot Password Email Template","ลืมรหัสผ่านส่งอีเมลล์เทมเพลต"
"General","ทั่วไป"
"General Settings","การตั้งค่าทั่วไป"
"General contact","ติดต่อทั่วไป"
"Global","โดยรวม"
"HTML Head","HTML Head"
"Header","Header"
"Host","โฮสต์"
"Id path for specified store","Id path สำหรับร้านค้าที่เลือก"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","ประเภท Urlพื้นฐานไม่ถูกต้อง"
"Invalid block name to set child %s: %s","ชื่อ Block ไม่ถูกต้องในการตั้งค่า Child %s: %s"
"Invalid block type: %s","ประเภท block ไม่ถูกต้อง: %s"
"Invalid block: %s","block ไม่ถูกต้อง: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Layout Update Argument ไม่ถูกต้อง ระบบต้องการค่า Mage_Core_Model_Layout_Element"
"Invalid layout update handle","การจัดการอัพเดท layout ไม่ถูกต้อง"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","ไม่ถูต้องเกี่ยวกับการติดต่อโค๊ดอีเมลล์: "
"Invalid websites configuration path: %s","การตั้งค่า path เว็บไซต์ไม่ถูกต้อง: %s"
"Layout","เลย์เอาท์"
"Layouts","Layouts"
"Leave empty for access from any location","ปล่อยว่างสำหรับการเข้าถึงจากตำแหน่งใดๆ"
"Locale","สถานที่"
"Locale options","ตัวเลือกสถานที่ "
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","จัดการร้านค้า"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","ไม่มีคลาสโมเดล: %s"
"Model collection resource name is not defined","ไม่ได้ระบุชื่อ Resource ของคอลเลคชั่นโมเดล"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","ชื่อ"
"New Design Change","การเปลี่ยนแปลงดีไซน์ใหม่"
"New Store","ร้านค้าใหม่"
"New Store View","มุมมองร้านค้าใหม่"
"New Website","เว็บไซต์ใหม่"
"No","No"
"Package","แพ็คเกจ"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","กรุณาใส่ตัวอักษรตั้งแต่ 6 ตัวขึ้นไป"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","กรุณาใส่ตัวอักษรตั้งแต่ 6 ตัวขึ้นไป หากมีเว้นวรรคข้างหน้าและหลังจะไม่ถูกนับ"
"Please enter a number greater than 0 in this field.","กรุณาใส่ตัวเลขที่ค่ามากกว่า 0 ในฟิลด์นี้"
"Please enter a valid $ amount. For example $100.00.","กรุณาใส่จำนวนเงิน $ ที่ถูกต้อง ตัวอย่างเช่น $100.00"
"Please enter a valid URL. For example http://www.example.com or www.example.com","กรุณาใส่ URL ที่ถูกต้อง ตัวอย่างเช่น http://www.example.com หรือ www.example.com"
"Please enter a valid URL. http:// is required","กรุณาใส่ URL ที่ถูกต้อง ต้องมี http:// "
"Please enter a valid credit card number.","กรุณาใส่เลขบัตรเครดิตที่ถูกต้อง"
"Please enter a valid date.","กรุณาใส่วันที่ที่ถูกต้อง"
"Please enter a valid email address. For example johndoe@domain.com.","กรุณาใส่อีเมล์ที่ถูกต้อง ตัวอย่างเช่น johndoe@domain.com."
"Please enter a valid number in this field.","กรุณาใส่ตัวเลขที่ถูกต้องในฟิลด์นี้"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","กรุณาใส่หมายเลขโทรศัพท์ที่ถูกต้อง ตัวอย่างเช่น (123) 456-7890 หรือ 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","กรุณาใส่หมายเลขประกันสังคมที่ถูกต้อง ตัวอย่างเช่น 123-45-6789"
"Please enter a valid zip code.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง"
"Please enter a valid zip code. For example 90602 or 90602-1234.","กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง ตัวอย่างเช่น 90602 หรือ 90602-1234"
"Please enter valid password.","กรุณาใส่รหัสผ่านที่ถูกต้อง"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","โปรดตรวจสอบให้แน่ใจว่ารหัสผ่านของคุณตรงกัน"
"Please select State/Province.","กรุณาเลือก รัฐ/จังหวัด"
"Please select an option.","กรุณาเลือกตัวเลือก."
"Please select one of the above options.","กรุณาเลือกตัวเลือกใดตัวเลือกหนึ่งด้านบน"
"Please select one of the options.","กรุณาเลือกตัวเลือกใดตัวเลือกหนึ่ง"
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","กรุณาใช้เฉพาะตัวอักษร (a-z) ในฟิลด์นี้"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","กรุณาใช้เฉพาะตัวเลขในฟิลด์นี้และยกเว้นการเว้นวรรคหรือตัวอักษรอื่นเช่นจุด หรือจุลภาค"
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","กรุณาใช้เฉพาะตัวอักษร (a-z) หรือตัวเลข (0-9) ในฟิลด์นี้ ห้ามมีเว้นวรรคหรือตัวอักษรอื่น ๆ"
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","กรุณาใช้เฉพาะตัวอักษร (a-z) หรือตัวเลข (0-9) หรือเว้นวรรคและ # ในฟิลด์นี้"
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","กรุณาใช้เฉพาะตัวอักษร (a-z), ตัวเลข (0-9) หรือขีดล่าง (_) ในฟิลด์นี้ โดยตัวแรกสุดจะต้องเป็นตัวอักษร"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","กรุณาใช้รูปแบบวันที่นี้: dd/mm/yyyy ตัวอย่างเช่น 17/03/2006 สำหรับวันที่ 17 มีนาคม 2006"
"Please wait, loading...","กำลังโหลด โปรดรอสักครู่..."
"Polls","Polls"
"Port (25)","พอร์ต (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","ขอ Path สำหรับร้านค้าที่กำหนด"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","ยังไม่ได้ตั้งค่า Resource"
"Root Category","Root Category"
"SMTP settings (Windows server only)","การตั้งค่า SMTP (เฉพาะเซิร์ฟเวอร์แบบ Windows เท่านั้น)"
"Sales representative","ตัวแทนขาย"
"Save","บันทึก"
"Save Store","บันทึกร้านค้า"
"Save Store View","บันทึกมุมมองร้าน"
"Save Website","บันทึกเว็บไซต์"
"Search Engines Optimization","การปรับแต่งเครื่องมือในการค้นหา"
"Secure","ปลอดภัย"
"Security","Security"
"Select Date","Select Date"
"Sender email","อีเมลล์ผู้ส่ง"
"Sender name","ชื่อผู้ส่ง"
"Services","การบริการ"
"Session Cookie management","การจัดการ Session Cookie"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","ตั้้งค่าเริ่มต้น"
"Skin (Images / CSS)","สกิน (รูปภาพ / CSS)"
"Sort order","การจัดเรียง"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","วันเริ่มต้นไม่ดีกว่าวันสิ้นสุด"
"Startup page","Startup page"
"Status","สถานะ"
"Store","ร้านค้า"
"Store Email Addresses","อีเมลล์ของร้าน"
"Store Information","ข้อมูลร้านค้า"
"Store Name","ชื่อร้านค้า"
"Store View","Store View"
"Store View Information","ข้อมูลมุมมองร้าน"
"Store View Name","ชื่อมุมมองร้าน"
"Store View was successfully saved","บันทึกมุมมองร้านค้าแล้ว"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","โค้ดร้านค้าจะต้องเป็นตัวอักษร (a-z), ตัวเลข (0-9) หรือขีดล่าง (_) เท่านั้นและตัวแรกจะต้องเป็นตัวอักษร"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","ลบร้านค้าแล้ว"
"Store was successfully saved","บันทึกร้านค้าแล้ว"
"Store with the same code","ร้านค้าที่มีโค้ดเหมือนกัน"
"System","ระบบ"
"System Log File Name","System Log File Name"
"Template Path Hints","เทมเพลต Path Hints"
"Templates","เทมเพลต"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","ธีม"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","เฉพาะประเภทนี้เท่านั้น"
"This is a required field.","ฟิลด์นี้จำเป็น"
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","โซนเวลา"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","การย้าย"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","ไม่สามารถดำเนินการต่อได้ กรุณาลองใหม่อีกครั้ง"
"Unknown scope ""%s""","ไม่รู้ขอบเขต""%s"""
"Unsecure","ไม่ปลอดภัย"
"Url Options","ตัวเลือก Url"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","ใช้ URL ที่ปลอดภัยในส่วน Admin"
"Use Secure URLs in Frontend","ใช้ URL ที่ปลอดภัยใน Frontend"
"Use Web Server Rewrites","ใช้การเขียนเว็บเซิร์ฟเวอร์ใหม่"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","เว็บ"
"Website","เว็บไซต์"
"Website Information","ข้อมูลเว็บไซต์"
"Website Name","ชื่อเว็บไซต์"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","โค้ดเว็บไซต์จะต้องเป็นตัวอักษร (a-z), ตัวเลข (0-9) หรือขีดล่าง (_) เท่านั้นและตัวแรกจะต้องเป็นตัวอักษร"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","ลบเว็บไซต์แล้ว"
"Website was successfully saved","บันทึกเว็บไซต์แล้ว"
"Website with the same code","เว็บไซต์ที่มีโค้ดเหมือนกัน"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","หมายเลข Argumentไม่ถูกต้องสำหรับ %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","ระยะเวลาเข้าสู่ระบบของคุณหมดเวลาลงแล้ว กรุณาเข้าสู่ระบบใหม่อีกครั้ง."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
