"* Required Fields","* ฟิลด์ที่จำเป็น"
"Continue Shopping","เลือกซื้อสินค้าต่อ"
"Country","ประเทศ"
"Create","Create"
"Create New Account Options","สร้างตัวเลือกบัญชีผู้ใช้ใหม่"
"Create New Customer Account","สร้างบัญชีลูกค้าใหม่"
"Create Order","สร้างคำสั่งซื้อ"
"Create an Account","สร้างบัญชี"
"Create customer","Create customer"
"Create customer address","Create customer address"
"Current Password","รหัสผ่านปัจจุบัน"
"Customer","ลูกค้า"
"Customer Addresses","ที่อยู่ลูกค้า"
"Customer Api","Customer Api"
"Customer Configuration","การตั้งค่าลูกค้า"
"Customer Group","กลุ่มลูกค้า"
"Customer Group was successfully deleted","ลบกลุ่มลูกค้าแล้ว"
"Customer Group was successfully saved","บันทึกกลุ่มลูกค้าแล้ว"
"Customer Groups","กลุ่มลูกค้า"
"Customer Information","ข้อมูลลูกค้า"
"Customer Login","เข้าสู่ระบบ สำหรับลูกค้า"
"Customer Since","เป็นลูกค้าตั้งแต่"
"Customer View","มุมมองลูกค้า"
"Customer collection expected","ระบบต้องการข้อมูลคอลเลคชั่นของลูกค้า"
"Customer doesn't have primary billing address","ไม่มีที่อยู่ลูกค้า"
"Customer email already exists","มีอีเมล์ลูกค้าอยู่แล้ว"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","ลูกค้า"
"Customers Only","เฉพาะลูกค้าเท่านั้น"
"Customers Section","Customers Section"
"DD","DD"
"Date","วันที่"
"Date Added","วันที่เพิ่ม"
"Date of Birth","Date of Birth"
"Date of Birth is required.","Date of Birth is required."
"Day","Day"
"Days in Wishlist","วันใน Wishlist"
"Default Addresses","ที่อยู่เริ่มต้น"
"Default Billing Address","ที่อยู่เริ่มต้นสำหรับออกใบเสร็จ"
"Default Email Domain","โดเมนอีเมล์เริ่มต้น"
"Default Group","กลุ่มเริ่มต้น"
"Default Shipping Address","ที่อยู่เริ่มต้นสำหรับจัดส่งสินค้า"
"Default Welcome Email","Default Welcome Email"
"Delete","ลบ"
"Delete Address","ลบที่อยู่"
"Delete Customer","ลบลูกค้า"
"Delete Customer Group","ลบกลุ่มลูกค้า"
"Delete customer","Delete customer"
"Delete customer address","Delete customer address"
"Deleted Stores","ลบร้านค้า"
"Details","รายละเอียด"
"Disabled","ปิดการใช้งาน"
"Edit","แก้ไข"
"Edit Account Info","Edit Account Info"
"Edit Account Information","แก้ไขข้อมูลบัญชีผู้ใช้"
"Edit Address","แก้ไขที่อยู่"
"Edit Address Entry","แก้ไขรายการที่อยู่"
"Edit Customer Group ""%s""","แกไขกลุ่มลูกค้า ""%s"""
"Edit Customer Groups","แก้ไขกลุ่มลูกค้า"
"Edit Customer's Address","แก้ไขที่อยู๋ลูกค้า"
"Edit Group","แก้ไขกลุ่ม"
"Edit Newsletter Subscription","แก้ไขการสมัครสมาชิกจดหมายข่าว"
"Edit Newsletters","แก้ไขจดหมายข่าว"
"Edit Personal Information","แก้ไขข้อมูลส่วนตัว"
"Email","อีเมลล์"
"Email Address","อีเมลล์"
"Email Sender","ผู้ส่งอีเมลล์"
"Entity collection is expected","ระบบต้องการข้อมูลการรวบรวม Entity"
"Error during retrieval of option value: %s","พบข้อผิดพลาดขณะดึงข้อมูลค่าตัวเลือก: %s"
"Ext. Price","ราคา Ext."
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","โทรสาร"
"First Name","ชื่อ"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","ลืมผู้ส่งอีเมล์"
"Forgot Email Template","ลืมเทมเพลตอีเมล์"
"Forgot Your Password?","ลืมรหัสผ่านของคุณ?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","จาก แผงควบคุมบัญชี ของคุณ คุณสามารถเลือกดูและแก้ไขข้อมูลกิจกรรมของคุณที่คุณพึ่งทำกับ บัญชี ของคุณ. โดยเลือกลิงค์ข้างล่าง มุมมอง หรือ แก้ไขข้อมูล"
"General Subscription","การสมัครสมาชิกทั่วไป"
"Global","โดยรวม"
"Go to Address Book","ไปยังสมุดที่อยู่"
"Grand Total","รวมทั้งหมด"
"Grand Total: %s","รวมทั้งหมด: %s"
"Group","กลุ่ม"
"Group ""%s"" can not be deleted","กลุ่ม ""%s"" ไม่สามารถลบได้"
"Group Information","ข้อมูลกลุ่ม"
"Group Name","ชื่อกลุ่ม"
"Guest","ผู้เยี่ยมชม"
"HTML","HTML"
"Hello, %s!","สวัสดี %s!"
"ID","รหัส"
"IP Address","IP Address"
"If you have an account with us, please log in.","ถ้าหากคุณมีบัญชีผู้ใช้กับเรา กรุณาเข้าสู่ระบบ"
"Invalid attribute option specified for attribute %s (%s), skipping the record","ตัวเลือกคุณลักษณะที่ถูกกำหนดสำหรับคุณลักษณะ %s (%s) ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid attribute set specified, skipping the record","ชุดคุณลักษณะที่ระบุไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid current password","รหัสผ่านปัจจุบันไม่ถูกต้อง"
"Invalid customer data","ข้อมูลลูกค้าไม่ถูกต้อง"
"Invalid email address","อีเมล์ไม่ถูกต้อง"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid option id specified for %s (%s), skipping the record","Id ตัวเลือกที่ระบุสำหรับ %s (%s) ไม่ถูกต้อง กำลังข้ามรายการ"
"Invalid store specified, skipping the record","การระบุร้านค้าไม่ถูกต้อง กำลังข้ามรายการ"
"Items Order","รายการคำสั่งซื้อ"
"Last 5 Orders","5 คำสั่งซื้อล่าสุด"
"Last Activity","กิจกรรมล่าสุด"
"Last Name","นามสกุล"
"Last Url","Url ล่าสุด"
"Last Viewed Items","รายการที่ถูกเรียกดูล่าสุด"
"Last date subscribed","วันที่สมัครสมาชิกล่าสุด"
"Last date unsubscribed","วันที่ยกเลิกการเป็นสมาชิกล่าสุด"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","ยอดขายตลอดระยะเวลาใช้งาน"
"Log In","เข้าสู่ระบบ"
"Log Out","ออกจากระบบ"
"Log in or Create an Account","Log in or Create an Account"
"Login","เข้าสู่ระบบ"
"Login Information","ข้อมูลการเข้าสู่ระบบ"
"Login and password are required","ต้องการรหัสผ่านเข้าสู่ระบบ"
"Login or Create an Account","เข้าสู่ระบบหรือสร้างบัญชีผู้ใช้"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","จัดการที่อยู่"
"Manage Customers","จัดการลูกค้า"
"Missing email, skipping the record","ไม่พบอีเมลล์ กำลังข้ามรายการ"
"Missing firstname, skipping the record","ไม่พบชื่อ กำลังข้ามรายการ"
"Missing lastname, skipping the record","ไม่พบนามสกุล กำลังข้ามรายการ"
"Month","Month"
"My Account","บัญชีผู้ใช้ของฉัน"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","แผงควบคุมของฉัน"
"My Orders","คำสั่งซื้อของฉัน"
"My Reviews","บทวิจารณ์ของฉัน"
"My Tags","Tags ของฉัน"
"My Wishlist","Wishlist ของฉัน"
"Name","ชื่อ"
"Name and Address Options","Name and Address Options"
"Never","ไม่เคย"
"New Address","ที่อยู่ใหม่"
"New Address Entry","รายการที่อยู่ใหม่"
"New Customer","ลูกค้าใหม่"
"New Customer Address","ที่อยู่ใหม่ของลูกค้า"
"New Customer Group","กลุ่มลูกค้าใหม่"
"New Customer Groups","กลุ่มลูกค้าใหม่"
"New Customers","ลูกค้าใหม่"
"New Group","กลุ่มใหม่"
"New Password","รหัสผ่านใหม่"
"New account","บัญชีผู้ใช้ใหม่"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","จดหมายข่าว"
"Newsletter Finish","จดหมายข่าวเสร็จสิ้น"
"Newsletter Information","ข้อมูลจดหม่ายข่าว"
"Newsletter Received","จดหมายข่าวที่ได้รับ"
"Newsletter Start","จดหมายข่าวเริ่ม"
"Newsletter Subscription","การสมัครสมาชิกจดหมายข่าว"
"Newsletters","จดหมายข่าว"
"No Items Found","ไม่พบรายการสินค้า"
"No Newsletter Found","ไม่พบจดหมายข่าว"
"No item specified.","No item specified."
"No product collections found","ไม่พบการเก็บรวบรวมสินค้า"
"Not Sent","ยังไม่ถูกส่ง"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","ออฟไลน์"
"Online","ออนไลน์"
"Online Customers","ลูกค้าที่ออนไลน์"
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","คำสั้งซื้อ #"
"Order #%s (%s)","คำสั้งซื้อ #%s (%s)"
"Order List...","รายการคำสั้งซื้อ..."
"Order Total","คำสั้งซื้อทั้งหมด"
"Orders","คำสั้งซื้อ"
"PDF","PDF"
"Password","รหัสผ่าน"
"Password Management","การจัดการรหัสผ่าน"
"Password Options","ตัวเลือกรหัสผ่าน"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","รหัสผ่านต้องประกอบไปด้วยตัวอักษรไม่ต่ำกว่า 6 ตัว หากมีเว้นวรรคข้างหน้าและหลังจะไม่ถูกนับ"
"Paused","หยุดชั่วคราว"
"Payment Method","วิธีการชำระเงิน"
"Pending","รอการตรวจสอบ"
"Per Website","ต่อเว็บไซต์"
"Personal Information","ข้อมูลส่วนตัว"
"Please enter your email below and we'll send you a new password.","กรุณาใส่อีเมลล์ข้างล่างทางเราจะส่งรหัสใหม่ให้คุณ"
"Please enter your email below and we'll send you confirmation link for it.","Please enter your email below and we'll send you confirmation link for it."
"Please enter your email.","กรุณาใส่อีเมลล์"
"Please make sure your passwords match.","โปรดตรวจสอบให้แน่ใจว่ารหัสผ่านของคุณถูกต้อง"
"Please select","โปรดเลือก"
"Please select region, state or province","กรุณาเลือกภูมิภาค รัฐ หรือจังหวัด"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","ราคา"
"Primary Billing Address","ที่อยู่หลักสำหรับออกใบเสร็จ"
"Primary Shipping Address","ที่อยู่หลักสำหรับจัดส่งสินค้า"
"Problem saving the collection, aborting. Error: %s","มีปัญหาเกิดขึ้นในการบันทึกคอลเลคชั่น กำลังยกเลิกการดำเนินการ ข้อผิดพลาด: %s"
"Product","สินค้า"
"Product ID","รหัส สินค้า"
"Product Name","ชื่อสินค้า"
"Product Reviews","บทวิจารณ์สินค้า"
"Product Tags","Tags สินค้า"
"Product name","ชื่อสินค้า"
"Purchase On","ซื้อเมื่อ"
"Purchased at","ซื้อที่"
"Qty","จำนวน"
"Recent Orders","ออเดอร์ปัจจุบัน"
"Records for ""","บันทึกสำหรับ"""
"Refunded","คืนเงินแล้ว"
"Registered Customers","ลูกค้าที่ลงทะเบียน"
"Remove","ลบออก"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Retrieve your confirmation link here"
"Retrieve your password here","เรียกคืนรหัสผ่านของคุณที่นี่"
"SKU","SKU"
"Sales Statistics","สถิติการขาย"
"Save","บันทึก"
"Save Address","บันทึกที่อยู่"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","บันทึกลูกค้า"
"Save Customer Group","บันทึกกลุ่มลูกค้า"
"Save Password","บันทึกรหัสผ่าน"
"Saved ","บันทึกแล้ว "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","ส่งรหัสผ่านที่สร้างโดยอัตโนมัติ"
"Send confirmation link","Send confirmation link"
"Send welcome email","ส่งอีเมลล์ต้อนรับ"
"Sending","กำลังส่ง"
"Sent","ส่งแล้ว"
"Session Start Time","เวลาเริ่ม Session "
"Set as Default Billing Address","ตั้งค่าเป็นที่อยู่เริ่มต้นสำหรับออกใบเสร็จ"
"Set as Default Shipping Address","ตั้งค่าเป็นที่อยู่เริ่มต้นสำหรับจัดส่งสินค้า"
"Share Customer Accounts","ใช้บัญชีลูกค้าร่วมกัน"
"Ship to First name","ส่งไปยังชื่อ"
"Ship to Last name","ส่งไปยังนามสกุล"
"Shipped to First Name","ส่งไปยังชื่อ"
"Shipped to Last Name","จัดส่งไปยังนามสกุล"
"Shipped to Name","ชื่อผู้ขนส่ง"
"Shipping Information","ข้อมูลการส่งสินค้า"
"Shipping Method","วิธีการส่งสินค้า"
"Shopping Cart","รถเข็น"
"Shopping Cart - %d item(s)","รถเข็น - %d รายการ"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","สมัครสมาชิกจดหมายข่าว"
"Sign up for our newsletter","สมัครสมาชิกจดหมายข่าวของเรา"
"Skip import row, required field ""%s"" not defined","ข้ามการนำเข้าแถว, ต้องการฟิลด์ ""%s"" ไม่ได้กำหนด"
"Skip import row, website ""%s"" field not exists","ข้ามการนำเข้าแถว, เว็บไซต์ ""%s"" ไม่มีฟิลด์นี่อยู่"
"State/Province","รัฐ/จังหวัด"
"Status","สถานะ"
"Store","ร้านค้า"
"Store View","มุมมองร้าน"
"Street Address","ที่อยู่"
"Street Address ","Street Address "
"Subject","เรื่อง"
"Submit","ยืนยัน"
"Subscribe","สมัครสมาชิก"
"Subscribe to newsletter","สมัครสมาชิกจดหมายข่าว"
"Subscribed to Newsletter?","สมัครสมาชิกจดหมายข่าวแล้ว?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","ชื่อ Tag"
"Tax Class","คลาสภาษี"
"Tax class","คลาสภาษี"
"Tax/VAT number","Tax/VAT number"
"Telephone","โทรศัพท์"
"Text","ข้อความ"
"Text One Line","ตัวอักษรบรรทัดเดียว"
"Thank you for registering with %s","ขอบคุณสำหรับการลงทะเบียน %s"
"The address does not belong to this customer","ที่อยู่ไม่ใช่ที่อยู่ของลูกค้านี้"
"The address was successfully deleted","ลบที่อยู่แล้ว"
"The address was successfully saved","บันทึกที่อยู่แล้ว"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","ลูกค้าไม่มี รายการ  ในขณะที่ wishlist "
"There are no items in customer's shopping cart at the moment","ลูกค้าไม่มี รายการ  ในขณะที่สั่งสินค้าใส่รถเข็น"
"There was an error while deleting the address","มีข้อผิดพลาดขณะลบที่อยู่"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","ลูกค้าท่านนี้ไม่มีที่อยู่ที่บันทึกไว้"
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","ไม่พบอีเมล์นี้ในข้อมูลของเรา"
"This is My Primary %s Address","นี่เป็นที่อยู่หลักสำหรับ%s ของฉัน"
"To Cart","ไปยังรถเข็น"
"Total","ทั้งหมด"
"Type","ประเภท"
"Unknown","ไม่รู้จัก"
"Unsubscribe from newsletter","ยกเลิกการเป็นสมาชิกของจดหมายข่าว"
"Update","ปรับปรุง"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","ใช้ที่อยู่หลักสำหรับ %s ของฉัน"
"Use as my default billing address","ใช้ที่อยู่เริ่มต้นสำหรับออกใบเสร็จของฉัน"
"Use as my default shipping address","ใช้ที่อยู่ที่เป็นค่าเริ่มต้นสำหรับจัดส่งสินค้าของฉัน"
"User description","รายละเอียดผู้ใช้"
"View","เรียกดู"
"View Order","เรียกดูคำสั่งซื้อ"
"View Order List","ดูรายการสั้งซื้อ"
"Visible In","สามารถเห็นได้ใน"
"Visitor","ผู้เยี่ยมชม"
"Visitors Only","เฉพาะผู้เยี่ยมชม"
"Website","เว็บไซต์"
"Welcome Email","Welcome Email"
"Wishlist","Wishlist"
"Wishlist - %d item(s)","Wishlist - %d รายการ"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","รหัสภูมิภาคไม่ถูกต้องตามประเทศที่เลือก"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","ขณะนี้คุณไม่ได้สมัครเป็นสมาชิกของจดหมายข่าวใด ๆ"
"You are currently not subscribed to our newsletter","ขณะนี้คุณไม่ได้เป็นสมาชิกของจดหมายข่าวของเรา"
"You are currently subscribed to 'General Subscription'.","ขณะนี้คุณเป็นสมาชิกทัวไป"
"You are currently subscribed to our newsletter","ขณะนี้คุณได้สมัครเป็นสมาชิกจดหมายข่าวของเราแล้ว"
"You are currently subscribed to our newsletter.","ขณะนี้คุณสมัครเป็นสมาชิกของจดหมายข่าวของเราแล้ว"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","คุณได้ออกจากระบบแล้ว และกำลังจะกลับไปยังหน้าหลักภายใน 5 วินาที"
"You have no additional address entries in your address book.","คุณไม่มีรายการที่อยู่เพิ่มเติมในสมุดที่อยู่ของคุณ"
"You have no additional entries in your address book.","คุณไม่มีรายการเพิ่มเติมในสมุดที่อยู่ของคุณ"
"You have no default billing address in your address book.","คุณไม่มีที่อยู่เริ่มต้นสำหรับออกใบเสร็จในสมุดที่อยู่ของคุณ"
"You have no default shipping address in your address book.","คุณไม่มีที่อยู่เริ่มต้นสำหรับจัดส่งสินค้าในสมุดที่อยู่ของคุณ"
"You have no primary entries in your address book.","คุณไม่มีรายการที่อยู่หลักในสมุดที่อยู่ของคุณ"
"You have not set a primary billing address.","คุณยังไม่ได้ตั้งค่าที่อยู่หลักสำหรับออกใบเสร็จ"
"You have not set a primary shipping address.","คุณยังไม่ได้ตั้งค่าที่อยู่หลักสำหรับการส่งสินค้า"
"You have placed no orders yet.","คุณยังไม่ได้สั่งซื้อ"
"You have placed no products yet.","คุณยังไม่ได้สั่งสินค้า"
"You're now Logged Out","ลงชื่อออกตอนนี้"
"Your account balance is: %s","ยอดเงินของบัญชีของคุณคือ: %s"
"ZIP","รหัสไปรษณีย์"
"ZIP/Post Code","รหัสไปรษณีย์"
"ZIP/Postal Code","รหัสไปรษณีย์"
"Zip/Postal Code","รหัสไปรษณีย์"
"n/a","n/a"
"or","หรือ"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
