"%s already exist","%s već postoji"
"%s already exists","%s već postoji"
"-- Please Select --","-- Molim odaberite --"
"Error in file: ""%s"" - %s","Greška u datoteci: ""%s"" - %s"
"Error while saving. Please try again later.","Greška prilikom spremanja. Molim, pokušajte ponovo kasnije."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","Forgot Password Email Sender"
"Forgot Password Email Template","Forgot Password Email Template"
"General","Općenito"
"General Settings","Opće postavke"
"General contact","Opći kontakt"
"Global","Globalno"
"HTML Head","HTML Head"
"Header","Header"
"Host","Host"
"Id path for specified store","Id putanja za naznačenu trgovinu"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Neispravan osnovni url tip"
"Invalid block name to set child %s: %s","Invalid block name to set child %s: %s"
"Invalid block type: %s","Neispravan tip bloka: %s"
"Invalid block: %s","Neispravan blok: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Neispravan layout update argument, očekivano Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Invalid layout update handle"
"Invalid messages storage ""%s"" for layout messages initialization","Invalid messages storage ""%s"" for layout messages initialization"
"Invalid transactional email code: ","Neispravan transakcijski email kod:"
"Invalid websites configuration path: %s","Neispravna putanja do konfiguracije web stranice: %s"
"Layout","Razmještaj"
"Layouts","Layouts"
"Leave empty for access from any location","Ostavite prazno za dohvat s bilo koje lokacije"
"Locale","Locale"
"Locale options","Locale opcije"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Upravljaj trgovinama"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Model class ne postoji: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Ime"
"New Design Change","Nova promjena dizajna"
"New Store","Nova trgovina"
"New Store View","Novi izlog trgovine"
"New Website","Nova web stranica"
"No","No"
"Package","Paket"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Molim, unesite 6 ili više znakova"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Molim, unesite 6 ili više znakova. Prazna mjesta na početku i na kraju će biti zanemarena."
"Please enter a number greater than 0 in this field.","Molim, unesite broj veći od nule u ovo polje."
"Please enter a valid $ amount. For example $100.00.","Molim unesite ispravan iznos u Kn. Na primjer 100,00 Kn."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Molim, unesite ispravan URL. Na primjer: http://www.example.com or www.example.com"
"Please enter a valid URL. http:// is required","Molim, unesite ispravan URL. Potrebno je unijeti: http://"
"Please enter a valid credit card number.","Molim , unesite ispravan broj kreditne kartice."
"Please enter a valid date.","Molim , ispravno unesite datum."
"Please enter a valid email address. For example johndoe@domain.com.","Molim, unesite ispravnu email adresu kao: ime@domena.hr"
"Please enter a valid number in this field.","Molim, unesite ispravan broj u ovo polje."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Molim, unesite ispravan telefonski broj u ovo polje. Na primjer: (01) 123-4567 ili 01-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","Please enter a valid social security number. For example 123-45-6789."
"Please enter a valid zip code.","Molim, unesite ispravan poštanski broj."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Molim, unesite ispravan poštanski broj. Na primjer 10020."
"Please enter valid password.","Molim, unesite ispravnu lozinku."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Molim, provjerite da li ste lozinke unijeli jednako."
"Please select State/Province.","Molim odaberite državu/pokrajinu."
"Please select an option.","Molim, odaberite opciju."
"Please select one of the above options.","Molim, unesite jednu od gore ponuđenih opcija."
"Please select one of the options.","Molim, odaberite jednu od opcija."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Molim, u ovom polju koristite samo slova (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Molim, koristite samo brojke u ovom polju, izbjegavajte blenkove, zareze, točke i ostale posebne znakove."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Molim, koristite samo slova (a-z) ili brojke (0-9) u ovom polju. Nisu dozvoljeni blenkovi ni drugi znakovi."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Molim, koristite samo slova (a-z) ili blenkove ili # znakove u ovom polju."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Molim, koristite samo slova (a-z) ili donju crtu (_) u ovom polju. Prvi znak treba biti slovo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Molim koristite datumski format: dd/mm/yyyy. Na primjer 17/03/2008 za 17. ožujak 2008."
"Please wait, loading...","Molim pričekajte, učitavanje ..."
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Request path for specified store"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resurs nije postavljen"
"Root Category","Osnovna kategorija"
"SMTP settings (Windows server only)","SMTP postavke (samo za Windows servere)"
"Sales representative","Prodajni referent"
"Save","Spremi"
"Save Store","Spremi trgovinu"
"Save Store View","Spremi izlog trgovine"
"Save Website","Spremi web stranicu"
"Search Engines Optimization","Optimiranje za programe za pretraživanje"
"Secure","Secure"
"Security","Security"
"Select Date","Select Date"
"Sender email","Email pošiljatelja"
"Sender name","Ime pošiljatelja"
"Services","Usluge"
"Session Cookie management","Upravljanje Cookie sesijama"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Postavi kao standardni"
"Skin (Images / CSS)","Skin (Images / CSS)"
"Sort order","Redosljed sortiranja"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Početni datum ne može biti veći od krajnjeg datuma"
"Startup page","Startup page"
"Status","Status"
"Store","Trgovina"
"Store Email Addresses","Email adresa trgovine"
"Store Information","Informacije o trgovini"
"Store Name","Ime trgovine"
"Store View","Store View"
"Store View Information","Informacije o izlogu trgovine"
"Store View Name","Naziv izloga trgovine"
"Store View was successfully saved","Izlog trgovine je uspješno spremljen"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","ID trgovine mora sadržavati samo slova (a-z), brojke (0-9) ili donju crtu (_), prvi znak mora biti slovo"
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Trgovina je uspješno obrisana."
"Store was successfully saved","Trgovina je uspješno spremljena"
"Store with the same code","Trgovina s istim ID-em"
"System","Sistem"
"System Log File Name","System Log File Name"
"Template Path Hints","Prijedlozi za putanju predloska"
"Templates","Predlošci"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Teme"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Samo kategorija"
"This is a required field.","Ovo je obavezno polje."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Vremenska zona"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Prijevodi"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Nije moguće nastaviti. Molim, pokušajte ponovo."
"Unknown scope ""%s""","Nepoznat doseg ""%s"""
"Unsecure","Unsecure"
"Url Options","Url opcije"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Koristi sigurne URL-ove u administratorskom web sučelju"
"Use Secure URLs in Frontend","Koristi sigurne URL-ove u webshop-u"
"Use Web Server Rewrites","Koristi webserver 'rewrite' opciju"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Web"
"Website","Web stranica"
"Website Information","Informacije o web stranici"
"Website Name","Naziv web stranice"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","ID web stranice treba sadržavati samo slova (a-z), brojke (0-9) ili donju crtu (_), prvi znak treba biti slovo"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Web stranica je uspješno obrisana"
"Website was successfully saved","Web stranica je uspješno spremljena"
"Website with the same code","Web stranica s istim ID-em"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Krivi broj argumenata za %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Vaša sesija je istekla, bit će te preusmjereni na login stranicu."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
