"# of Use","# korištenja"
"You cannot edit this attribute","Ne možete uređivati ovaj atribut"
"You cannot remove system attribute from this set.","Ne možete ukloniti sistemski atribut iz seta."
"You cannot update this attribute","Ne možete ažurirati ovaj atribut"
"You have no items to compare.","Nemate artikala za usporedbu."
"You may also be interested in the following product(s)","Možda će vas zanimati i slijedeći proizvod(i)"
"Zoom In","Uvećaj"
"Zoom Out","Umanji"
"[GLOBAL]","[GLOBAL]"
"and","i"
"and above","i više"
"cache refresh needed","cache refresh needed"
"categories","categories"
"comma separated","comma separated"
"each","each"
"ex. http://domain.com","npr. http://domain.com"
"leave blank if its not an image","leave blank if its not an image"
"must be in the allowed values list","must be in the allowed values list"
"per page","po stranici"
"products","products"
"px.","px."
"save","save"
"select all","odaberi sve"
"unselect all","odznači sve"
"x","x"
"Description","Description"
"Short Description","Short Description"
"Tax Class","Tax Class"
"There are no products matching the selection.","There are no products matching the selection."
"Availability:","Availability:"
"Qty:","Qty:"
"Compare Products","Compare Products"
"You have no items to compare.","You have no items to compare."
"Site Map","Site Map"
"Go to Home Page","Go to Home Page"
"Home","Home"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Categories","Categories"
"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Categories Sitemap","Categories Sitemap"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Clear All","Clear All"
"Products Sitemap","Products Sitemap"
