"-- Please Select --","-- Kérem válasszon --"
"Add New Class","Új adóosztály"
"Tax class was successfully deleted","Adó osztály sikeresen törlve"
"Tax class was successfully saved","Adó osztály sikeresen mentve"
"Tax rate was successfully deleted","Adó érték sikeresen törölve"
"Tax rate was successfully imported","Adó érték sikeresen importálva"
"Tax rate was successfully saved","Adó érték sikeresen mentve"
"Tax rates at the same priority are added, others are compounded.","Adó értékek ugyan ezzel a prioritással hozzáadva, a többi keverve."
"Tax rule was successfully deleted","Adó szabály sikeresen törölve"
"Tax rule was successfully saved","Adó szabály sikeresen törölve"
"This class no longer exists","Ez az osztály nem létezik"
"This rule no longer exists","Ez a szabály nem létezik"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups.","Ez az adó osztály nem törölhető amíg használatban van '%d' vevői csoport számára."
"You cannot delete this tax class as it is used for %d products.","Nem törölhető ez az adó osztály amíg használatban van %d termékeknél."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nem törölhető ez az adó osztály amíg használatban van az adó szabályoknál. Először a szabályt kell törölni amiben használatban van."
"Zip/Post Code","Irányítószám"
