" and "," és "
"Merge Now","Merge Now"
"Min","Min"
"Module version conflict!","Module version conflict!"
"N/A","N/A"
"Name","Név"
"Name on Card","Név a kártyán"
"Name on the Card: %s","Név a kártyán: %s"
"Name:","Név:"
"Next month (hold for menu)","Következő év (Szükséges a menühöz)"
"Next page","Következő oldal"
"Next year (hold for menu)","Következő év (Szükséges a menühöz)"
"No","Nem"
"No Data Found","Nem található adat"
"No search keywords.","Nincsenek kulcsszavak."
"Note:","Jegyzet:"
"Notes:","Jegyzetek:"
"Number of records:","Rekordok száma:"
"Old rate:","Régi mérték:"
"Only mapped fields","Csak a kiválasztott mezők"
"Order Totals","Összes rendelés"
"Order confirmation email not sent","Rendelés visszaigazoló e-mail nem lett elküldve"
"Order confirmation email sent","Rendelés visszaigazoló e-mail elküldve"
"Original Magento attribute names in first row:","Eredeti Magento jellemző nevek az első sorban:"
"Package","Csomag"
"Package Information","Csomag információk"
"Packages","Csomagok"
"Page","Oldal"
"Passive mode","Passzív mód"
"Password","Jelszó"
"Path","Útvonal"
"Path:","Útvonal:"
"PayPal Email","PayPal E-mail"
"Personal Information","Személyes adatok"
"Phone:","Telefon:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Erősítse meg az oldal váltást. Minden el nem mentett adat el fog veszni."
"Please enter 6 or more characters.","Adjon meg 6 vagy több karaktert."
"Please enter a number greater than 0 in this field.","Adjon meg egy 0-nál nagyobb számot ebben a mezőben."
"Please enter a valid $ amount. For example $100.00.","Adjon meg egy érvényes Ft összeget. Például 100 Ft."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Adjon meg érvényes URL-t. Például: http://www.example.com vagy www.example.com"
"Please enter a valid URL. http:// is required","Adjon meg érvényes URL-t. http:// szükséges"
"Please enter a valid credit card number.","Adjon meg egy érvényes kártya számot."
"Please enter a valid date.","Adjon meg egy érvényes dátumot."
"Please enter a valid email address. For example johndoe@domain.com.","Adjon meg érvényes e-mail címet! Pl.: kovacs@domain.hu."
"Please enter a valid number in this field.","Adjon meg egy érvényes számot ebben a mezőben."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Adjon meg egy érvényes telefonszámot. (123) 456-7890 vagy 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Adjon meg érvényes társadalombiztosítási számot."
"Please enter a valid value from list","Adjon meg egy érvényes értéket a listából"
"Please enter a valid value, ex: 10,20,30","Egy érvényes értéket adjon meg, pl: 10,20,30"
"Please enter a valid zip code.","Egy érvényes irányítószámot adjon meg."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Egy érvényes irányítószámot adjon meg. Például 2370 vagy 1184"
"Please enter valid password.","Adjon meg érvényes jelszót"
"Please make sure that your changes were saved before running the profile.","Ellenőrizze hogy a változtatások el lettek-e mentve mielőtt futtatja a profilt."
"Please make sure your passwords match.","Ellenőrizze hogy megegyeznek-e a jelszavak."
"Please select State/Province.","Válasszon megyét."
"Please select an option.","Válasszon egy lehetőséget."
"Please select one of the above options.","Válasszon egy lehetőséget a fentiek közül."
"Please select one of the options.","Válasszon a lehetőségek közül."
"Please use in this field only ""a-z,0-9,_"".","Ebben a mezőben csak ""a-z,0-9,_"" karaktereket használjon."
"Please use letters only (a-z) in this field.","Csak számoket (a-z) használjon ebben a mezőben."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Használjon számokat ebben a mezőben. Kerülje a szünetet vagy egyéb karaktereket mint a pontok vagy vesszők."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Használjon betűket (a-z) vagy számokat (0-9) ebben a mezőben. Szünetek és egyéb karakterek nem használhatók."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Hasznáhat betűket (a-z), számokat (0-9), szünetet vagy #-et ebben a mezőben."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Használja ezt a dátum formátumot: nn/hh/éééé. Például 17/03/2009 a 2009 március 17-hez."
"Please wait, loading...","Kérem várjon, töltés..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","Előző hónap (menühöz)"
"Prev. year (hold for menu)","Prev. year (menühöz)"
"Previous page","Előző oldal"
"Price","Ár"
"Price:","Ár:"
"Primary Billing Address","Elsődleges számlázási cím"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Termék"
"Products","Termékek"
"Profile Information","Személyes információk"
"Provided Files","Beszerzett fájlok"
"Qty","Mennyiség"
"Read details","Részletek"
"Recommended","Ajánlott"
"Remote FTP","Távoli FTP"
"Remote URL:","Távoli URL:"
"Remove","Remove"
"Resource Access","Eszköz hozzáférés"
"Resources","Eszközök"
"Role","Szerep"
"Role Users","Szerep használói"
"Roles","Szerepek"
"Roles Resources","Szerep Eszközei"
"SKU","CSZ"
"SKU:","CSZ:"
"Schedule Merge","Schedule Merge"
"Select All","Összes kiválasztása"
"Select Date","Válasszon dátumot"
"Select Range","Válassza ki a tartományt"
"Select Visible","Láthatóak kijelölése"
"Select date","Válasszon dátumot"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","Szállítás jegyzetei"
"Shipment History","Szállítási történet"
"Shipping Address","Szállítási cím"
"Shipping address selection is not applicable","Szállítási cím választása nem alkalmazható"
"Shipping method selection is not applicable","Szállítási cím választása nem alkalmazható"
"Show Report for","Jelentések mutatása erre"
"Show by","Rendezés"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Néhány termék ebben a rendelésben különböző számla és szállítási típussal bír. Csak akkor hozható létre a szállítás ha a számla elkészült."
"Sort Order","Rendezés"
"Spreadsheet Name:","Munkalap neve:"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","Induló dátum"
"State/Province:","Megye:"
"Status","Állapot"
"Status:","Állapot:"
"Stock Quantity:","Készlet mennyiség:"
"Store:","Bolt:"
"Store: ","Store: "
"Subpackage","Al-csomag"
"Subpackages","Al-csomagok"
"Summary:","Összesítés:"
"Switch/Solo Only","Switch/Solo kártyák"
"Switch/Solo card issue number: %s","Switch/Solo kártya kibocsátás dátuma: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kártya kibocsátás dátuma: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) kártyák"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro(UK Domestic) Kártya kibocsátási szám: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro(UK Domestic) kártya kibocsátás dátuma: %s/%s"
"The information in this tab has been changed.","Az információ ezen a fülön megváltozott."
"This is a required field.","Ez egy kötelező mező."
"This tab contains invalid data. Please solve the problem before saving.","Ez a fül érvénytelen adatokat tartalmaz, javítsa ki a problémát a mentés előtt."
"Thumbnail","Miniatűr"
"Time selection:","Idő választó:"
"Time:","Idő:"
"To","-"
"Top 5 Search Terms","Top 5 keresési kulcsszó"
"Total %d records found","Összesen %d rekordot találtam"
"Track order","Rendelés követése"
"Track this shipment","Szállítás követése"
"Type","Típus"
"Type:","Típus:"
"Unable to login.","Sikertelen bejelentkezés."
"Unselect All","Kijelölések törlése"
"Unselect Visible","Látható kijelölések törlése"
"Upgrade All Available Packages","Upgrade All Available Packages"
"Upload Local File","Fájl feltöltése"
"Upload local file:","Fájl feltöltése:"
"Use Default Value","Alapértelmezett érték"
"User","Felhasználó"
"User Name","Felhasználói név"
"User Roles","Felhasználói szerepek"
"User name","Felhasználói név"
"Users","Felhasználók"
"Value Delimiter:","Érték határoló:"
"Version:","Verzió:"
"View","Nézet"
"View Statistics for","Statisztika erre"
"Visibility:","Láthatóság:"
"Warning! Empty value can cause problems with CSV format.","Vigyázat! Üresen hagyva problémákat okozhat a CSV formátumban."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Webes alkalmazások"
"Web Services Configuration","Webes alkalmazások beállítása"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","Mi ez?"
"Yes","Igen"
"You have","You have"
"Your Account has been deactivated.","A fiókja inaktiválva lett."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","A szerver PHP beállításai maximum %s méretű fájok feltöltését engedi. Módosítsa a post_max_size (jelenleg %s) és az upload_max_filesize (jelenleg %s) értékeket a php.ini fájlban, ha nagyobb méretű fájlokat szeretne feltölteni."
"Zip/Postal Code:","Irányítószám:"
"critical","kritikus"
"images/logo.gif","images/logo.gif"
"items selected","választott elem"
"major","Fontos"
"md5sum","md5sum"
"minor","Csekély"
"notice","értesítés"
"of %s pages","a %s oldalból"
"or","or"
"per page","egy oldalra"
"to","-"
