" Copy"," Másol"
"Selected problems successfully deleted","Kiválasztott problémák sikeresen törölve"
"Sender","Küldő"
"Sender Email","Küldő e-mail"
"Sender Name","Küldő neve"
"Sending","Küldés"
"Sending Options","Küldés beállítások"
"Sent","Elküldve"
"Set Return-Path","Return-Path beállítása"
"Sign me up","Fizessen elő"
"Sign up for our newsletter:","Íratkozzon fel hírlevelünkre:"
"Start","Kezdés"
"Status","Állapot"
"Store","Bolt"
"Store View","Bolt nézet"
"Subject","Tárgy"
"Subscribe","Feliratkozás"
"Subscribed","Előfizetve"
"Subscriber","Előfizető"
"Subscribers","Előfizetők"
"Subscribers From","Előfizetők forrása"
"Subscription Options","Feliratkozás beállítások"
"Success Email Sender","Sikeres e-mail feladó"
"Success Email Template","Sikeres e-mail sablon"
"Template Content","Sablon tartalom"
"Template Information","Sablon információk"
"Template Name","Sablon neve"
"Template Subject","Sablon tárgya"
"Template Type","Sablon típusa"
"Thank you for your subscription","Köszönjük hogy feliratkozott"
"The subscription was successfully saved","A feliratkozás sikeresen mentve"
"There was a problem with the subscription","Hiba történt a feliratkozás során"
"There was a problem with the subscription: %s","Hiba történt a feliratkozás során: %s"
"There was a problem with the un-subscription.","Hiba történt a le-iratkozás során."
"There was an error while saving your subscription","Hiba történt a feliratkozás mentése során"
"Toggle Editor","Szerkesztő kapcsoló"
"Type","Típus"
"Unsubscribe","Leiratkozás"
"Unsubscribe Selected","Kiválasztottak leiratása"
"Unsubscribed","Leiratkozott"
"Unsubscription Email Sender","Leiratkozás e-mail küldő"
"Unsubscription Email Template","Leiratkozás e-mail sablon"
"View Newsletter","Hírlevél megtekintése"
"Website","Weboldal"
"You have been successfully unsubscribed.","Sikeresen leiratkozott."
"Your subscription was successfully confirmed","A feliratkozása sikeresen megerősítve."
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
