"# of Use","# használva"
"%1$s incl tax.","%1$s áfával."
"%s - %s","%s - %s"
"%s Item(s)","%s termék"
"(Copy data from: %s)","(Másolás innen: %s)"
"Customers for alert %s was successfuly added to queue","Vevők sikeresen hozzáadva a figyelmeztetéshez: %s "
"Data Type for Saving in Database","Adat típus az adatbázisban"
"Date","Dátum"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Felir. dátuma"
"Date fields order","Date fields order"
"Datetime","Dátum/idő"
"Decimal","Decimális"
"Decimal Number","Decimális szám"
"Declare attribute value saving scope","Jellemző érték mentési hatóköre?"
"Default Qty","Alap mennyiség"
"Default Values","Alap értékek"
"Default price","Alap ár"
"Default value","Alap érték"
"Delete","Töröl"
"Delete Attribute","Jellemző törlése"
"Delete Attribute Set","Jellemző halmaz törlése"
"Delete Category","Kategória törlése"
"Delete Option","Opció törlése"
"Delete Row","Sor törlése"
"Delete Search","Keresés törlése"
"Delete Selected Group","Kiválasztott csoport törlése"
"Delete category","Kategória törlése"
"Delete product","Termék törlése"
"Depends on design theme","Depends on design theme"
"Design","Kinézet"
"Disabled","Letiltva"
"Display in Suggested Terms","A javasolt kifejezésekben mutat"
"Double click on a group to rename it","Kattintson duplán egy csoportra az átnevezéshez"
"Double click on above image to view full picture","Kattintson duplán a képre, a teljes méret megtekintéséhez"
"Dropdown","Legördülő"
"Duplicate","Klónoz"
"Duplicate website tier price customer group and quantity.","Weboldal lépcsőzetes árak, vevő csoportok és mennyiségek klónozása."
"Duplicate website, country and state tax found.","Weboldal klónozása, ország/áfa megtalálva."
"Edit","Szerkeszt"
"Edit Attribute Set '%s'","Jellemző halmaz '%s' frissítése"
"Edit Product Attribute","Termékjellemző szerkesztése"
"Edit Product Attribute ""%s""","Termékjellemző szerkesztése ""%s"""
"Edit Search","Keresés beállítása"
"Edit Search '%s'","Keresés beállítása: '%s'"
"Email","E-mail"
"Email to a Friend","Küldjön E-mailt ismerőseinek"
"Empty","Üres"
"Enabled","Engedélyezett"
"Error during retrieval of option value: %s","Hiba az opció értékének betöltésekor: %s"
"Error while adding customers for %s alert. Message: %s","Hiba lépett fel a vevő hozzáadásakor: %s . Üzenet: %s"
"Error while saving this group. Group with the same name already exists.","Hiba a csoport mentésekor. Csoport már létezik ezen a néven."
"Error while saving this group. Please try again later.","Hiba a csoport mentésekor. Próbálja meg később."
"Exclude","Kivéve"
"Expand All","Mindet kibont"
"Failed","Sikertelen"
"Failed to move file: %s","Sikertelen fájl mozgatás: %s"
"Feature Products","Népszerű termékek"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Szűrő modell név nincs deklarálva"
"Filter must be as object. Set correct filter please","A szűrőt meg kell határozni. Állítson be helyes szűrést"
"Filterable (no results)","Szűrés (eredmények nélkül)"
"Filterable (with results)","Szűrés (eredményekkel)"
"Filters must be as array","Szűrőknek rendezve kell lenniük"
"First Name","Keresztnév"
"Fixed","Fix"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Belső használatra. Egyedi legyen szünet és speciális karakterek nélkül."
"For reindex enabled product(s) you need specify store or product","Az engedélyezett termékek újraindexeléséhez meg kell határoznod boltot vagy terméket"
"Frontend","Bolt"
"Frontend Model","Bolt Modell"
"Frontend Properties","Bolt tulajdonságok"
"Gallery","Galéria"
"General Information","Alapvető információk"
"Get special price","Speciális ár"
"Global","Globális"
"Globally Editable","Globálisan szerkeszthető"
"Go to Home Page","Ugrás a kezdőlapra"
"Grid","Rács"
"Grouped Product","Csoportos termék"
"Groups","Csoportok"
"Home","Kezdőlap"
"ID","Azon."
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used."
"Image","Kép"
"Image content is not valid base64 data.","Kép tartalma nem valós base64 formátumú."
"Image file not found","Kép fájl nem található"
"Image not exists","Kép nem létezik"
"Image not specified.","Kép nincs megadva."
"Image type and information need to be specified for each store view.","A kép típusát és információit minden bolt nézethez be kell állítani."
"In Stock","Készleten"
"In stock","Készleten"
"In stock.","Készleten."
"Incl. Tax","Áfával"
"Input Type","Bevitel típusa"
"Input Validation for Store Owner","Bevitel ellenőrzése feltöltéskor"
"Integer","Egész"
"Integer Number","Egész szám"
"Invalid Tier Prices","Érvénytelen árlépcső"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Érvénytelen tulajdonság a következő jellemzőhöz: %s (%s), rekord átugrása"
"Invalid attribute set specified, skipping the record","Érvénytelen jellemző csoport, rekord átugrása"
"Invalid block: %s","Érvénytelen blokk: %s"
"Invalid category","Érvénytelen kategória"
"Invalid category IDs","Érvénytelen kategória ID-k"
"Invalid image file type","Érvénytelen kép kiterjesztés"
"Invalid image type.","Érvénytelen kép típus."
"Invalid option id specified for %s (%s), skipping the record","Érvénytelen opció id ehhez: %s (%s), rekord átugrása"
"Invalid product type specified, skipping the record","Érvénytelen termék típus, rekord átugrása"
"Invalid store specified","Érvénytelen bolt"
"Invalid store specified, skipping the record","Érvénytelen bolt, rekord átugrása"
"Inventory","Készlet"
"Is Default","Alapértelmezett"
"Is Required","Kötelező"
"Items %s to %s of %s total","%s-%s-ig Össz.: %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Termékek, amelyeket nem szeretne megmutatni a katalógusban vagy keresésben az 'Érvénytelen' jelenjen meg a kívánt üzletnél."
"Label","Felirat"
"Last Name","Vezetéknév"
"Last Notification","Utolsó figyelmeztetés"
"Learn More","További információk"
"Length of text is too long","A szöveg túl hosszú"
"Letters","Betűk"
"Letters(a-zA-Z) or Numbers(0-9)","Betűk (a-zA-Z) vagy számok(0-9)"
"Line %d, Email: %s","Sor %d, E-mail: %s"
"Line %d, SKU: %s","Sor %d, CSZ: %s"
"Link (Related, Up sell, Cross sell)","Kapcsolat (Kapcsolódó, Fent-eladás, Kereszt-eladás)"
"Link product not exists.","Kapcsolódó termék nem létezik."
"List","Lista"
"List Mode","Listázás"
"Manage Attribute Sets","Jellemző halmazok kezelése"
"Manage Attributes","Jellemzők kezelése"
"Manage Catalog Categories","Kategóriák kezelése"
"Manage Categories","Kategóriák kezelése"
"Manage Label / Options","Tulajdonságok / opciók kezelése"
"Manage Options (values of your attribute)","Tulajdonságok kezelése (Jellemzők értékei)"
"Manage Product Attributes","Termékjellemzők kezelése"
"Manage Product Sets","Termékcsoportok kezelése"
"Manage Products","Termékek kezelése"
"Manage Stock","Készletkezelés"
"Manage Titles (Size, Color, etc.)","Címek kezelése (Méret, Szín, stb.)"
"Max Characters","Max karakterszám"
"Maximal Depth","Max mélység"
"Maximum Image Size","Maximum Image Size"
"Maximum Qty Allowed in Shopping Cart","Maximális engedélyezett mennyiség a kosárban"
"Maximum image height","Maximum image height"
"Maximum image width","Maximum image width"
"Maximum number of characters","Max karakterszám"
"Media Image","Termék kép"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Minimum engedélyezett mennyiség a kosárban"
"Minimum Qty for Item's Status to be Out of Stock","Minimum mennyiség a Nincs készleten állapothoz"
"Missing SKU, skipping the record","Hiányzó cikkszám, rekord átugrása"
"More Views","További képek"
"Move","Mozgat"
"Move category in tree","Kategória mozgatása"
"Multiple Select","Többes kiválasztás"
"Name","Név"
"Name In %s","Neve itt: %s"
"Name<br/>(For internal use)","Név<br/>(Belső használatra)"
"New Category","Új kategória"
"New Product","Új termék"
"New Product Attribute","Új termék jellemző"
"New Products","Új termékek"
"New Search","Új keresés"
"New Set Name","Új halmaz név"
"Next","Következő"
"No","Nem"
"No image","Nincs kép"
"No layout updates","Nincs nézet frissítés"
"No options of this product are available.","Ehhez a termékhez nincsenek opciók."
"No product collections found","Terméklista nem található"
"None","Semmi"
"Not shared with other products","Más termékek számára nem megadható"
"Notify Low Stock RSS","Alacsony készlet RSS"
"Notify for Quantity Below","Figyelmeztetés ha a készlet ez alá csökken"
"Nowhere","Sehol"
"Number of Uses","Használatok száma"
"Number of results<br/>(For last time placed)","Eredmények száma<br/>(Utolsó esetben)"
"OR","Vagy"
"Old Price:","Régi ár:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Opció:"
"Options Control","Opció kezelő"
"Options is required","Kötelező opciók"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Our customer service is available 24/7. Call us at (555) 555-0123."
"Out of Stock","Nincs készleten"
"Out of stock","Nincs készleten"
"Out of stock.","Nincs készleten."
"PM","PM"
"Page Title Separator","Oldal címsor (TITLE) elválasztó"
"Page:","Oldal:"
"Parent Category","Szülő kategória"
"Pending","Függőben"
"Pending Reviews RSS","Függőben lévő vélemények RSS"
"Percentage","Százalék"
"Please add rows to option.","Adjon hozzá sorokat a tulajdonságok számára."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Legyen óvatos ha egy sorra kattint, ez egy csomag betöltését indítja el a kiválasztott fájlból és minden nem mentett adat el fog veszni."
"Please click on Close Window button if it won't be closed automatically","Kattintson az ablak bezárása gombra ha nem záródna be automatikusan."
"Please enter a new group name","Adjon meg egy új csoport nevet"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Frissítse a ""Katalógus átírásokat"" és a ""Szűkített nézet indexet"" a Rendszer -> <a href=""%s"">Cache kezelés</a> menüpontban"
"Please select  items","Válasszon"
"Please select one or more attributes.","Válasszon ki egy vagy több jellemzőt."
"Please select product(s)","Válasszon terméket"
"Please select products for attributes update","Válasszon ki termékeket a jellemző frissítéshez"
"Please select static block ...","Válasszon passzív blokkot ..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Határozza meg a termék tulajdonságokat"
"Please specify the product required option(s)","Határozza meg a termék kötelező opcióit"
"Please specify the product(s) quantity","Adja meg a termék készletét"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Pozíció"
"Position In Layered Navigation","Pozíció a szűkített nézetben"
"Position of attribute in layered navigation block","Jellemző elhelyezkedése a szűkített nézet blokkjában"
"Prev","Előző"
"Previous","Előző"
"Price","Ár"
"Price Type","Ár típus"
"Price values for options should be specified in system base currency.","Az opciókhoz rendelt ár értékeket a rendszer alap pénznemében kell megadni."
"Price:","Ár:"
"Print This Page","Oldal nyomtatása"
"Problem saving the collection, aborting. Error: %s","Hiba a mentés során, kilépés. Hiba: %s"
"Product","Termék"
"Product %s successfully added to compare list","%s sikeresen hozzáadva az összehasonlításhoz"
"Product %s successfully removed from compare list","%s sikeresen eltávolítva az összehasonlításból"
"Product API","Termék API"
"Product Alerts","Termék figyelmeztetések"
"Product Attribute","Termék jellemző"
"Product Attributes","Termék jellemzők"
"Product Categories","Termék kategóriák"
"Product Description","Termék leírás"
"Product Image Placeholders","Termék kép helyfoglaló"
"Product Image Watermarks","Termék kép vízjel"
"Product Images","Termék képek"
"Product Images API","Termék kép API"
"Product In Websites","Termék a weboldalakon"
"Product Info Column","Termék leírás box"
"Product Information","Termék információk"
"Product Name","Termék név"
"Product Reviews","Termék vélemények"
"Product Tags","Termék címkék"
"Product Tier Price API","Termék árlépcső API"
"Product Type","Termék típus"
"Product URL Suffix","Termék URL utótag"
"Product attribute sets API","Termék jellemző halmazok API"
"Product attribute was successfully deleted","Termék jellemző sikeresen törölve"
"Product attribute was successfully saved","Termék jellemző sikeresen mentve"
"Product attributes API","Termék jellemzők API"
"Product collection expected","Terméklista várható"
"Product deleted","Termék törölve"
"Product duplicated","Termék duplikálva"
"Product has required options","A terméknek kötelező opciói vannak"
"Product links API (related, cross sells, up sells)","Termék linkek API (kapcsolódó, kereszt-eladás, fent-eladás)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Termék mentés hiba."
"Product saving error. ","Termék mentés hiba. "
"Product types API","Termék típusok API"
"Product was successfully created.","Termék sikeresen létrehozva."
"Product was successfully saved.","Termék sikeresen elmentve."
"Product with this combination of attributes already associated to configurable.","A termék a jellemzők ilyen kombinációjával már hozzá van társítva a konfigurálhatóhoz."
"Products","Termékek"
"Products Information","Termék információk"
"Products Reviews","Termék vélemények"
"Products Sitemap","Termékek oldaltérképe"
"Products only","Csak termékek"
"Products per Page on Grid default value","Termékek/oldal Rács szerkezet, alapértelmezett mennyiség"
"Products per Page on List allowed values","Termékek/oldal Lista szerkezet, engedélyezett mennyiségek"
"Products per Page on List default value","Termékek/oldal Lista szerkezet, alapértelmezett mennyiség"
"Products per page on Grid allowed values","Termékek/oldal Rács szerkezet, engedélyezett mennyiségek"
"Properties","Adatlap"
"Qty","Qty"
"Qty Uses Decimals","Mennyiségben lehet tizedes"
"Qty for Item's Status to become Out of Stock","Mennyiség a nincs készleten állapothoz"
"Quick Create","Gyors létrehozás"
"Quick Overview","Gyors áttekintés"
"Quick simple product creation","Gyors egyszerű termék létrehozás"
"Records for ""","Rekordok erre: """
"Redirect","Átirányítás"
"Redirect URL","Átirányítás URL"
"Regular Price:","Normál ár:"
"Related Products","Kapcsolódó termékek"
"Remove","Eltávolít"
"Remove Product","Termék eltávolítása"
"Remove Product From Websites","Termék törlése weboldalakról"
"Remove This Item","Elem elávolítása"
"Remove product assignment","Termék hozzárendelés törlése"
"Remove product image","Termék képének törlése"
"Remove product link","Termék linkek eltávolítása"
"Required","Szükséges"
"Reset","Alaphelyzet"
"Results","Eredmények"
"Retrieve attribute data","Jellemző adatok lekérése"
"Retrieve attribute list","Jellemző lista lekérése"
"Retrieve attribute options","Jellemzők tulajdonságainak lekérése"
"Retrieve categories tree","Kategória fa lekérése"
"Retrieve category attributes","Kategória jellemzők lekérése"
"Retrieve category data","Kategória adatainak lekérése"
"Retrieve hierarchical tree","Hierarchikus fa szerkezet lekérése"
"Retrieve linked products","Kapcsolódó termékek lekérése"
"Retrieve list of assigned products","Társított termékek lekérése"
"Retrieve one level of categories by website/store view/parent category","Kategóriák egy szintjének lekérése weboldal/bolt nézet/szülő kategória"
"Retrieve product","Termék lekérése"
"Retrieve product attribute sets","Termék jellemző halmaz lekérése"
"Retrieve product image","Termék kép lekérése"
"Retrieve product image list","Termék kép lista lekérése"
"Retrieve product image types","Termék kép típus lekérése"
"Retrieve product link type attributes","Kapcsolat típus jellemző lekérése"
"Retrieve product link types","Termék kapcsolat típusok lekérése"
"Retrieve product tier prices","Termék árlépcső lekérése"
"Retrieve product types","Termék típusok lekérése"
"Retrieve products data","Termék adatok lekérése"
"Retrieve products list by filters","Termék lista lekérése szűrőkkel"
"Review successfully deleted","Vélemény sikeresen törölve"
"Review was saved successfully","Vélemény sikeresen mentve"
"Review was successfully saved","Vélemény sikeresen mentve"
"Reviews","Vélemények"
"Roll Over for preview","Felfordít az előnézethez"
"Root","Gyökér"
"SKU","CSZ"
"Save","Ment"
"Save And Continue Edit","Ment és folytat"
"Save Attribute","Jellemző mentése"
"Save Attribute Set","Jellemző halmaz mentése"
"Save Category","Kategória mentése"
"Save Search","Keresés mentése"
"Saved ","Mentve "
"Scope","Hatókör"
"Search","Keresés"
"Search Engine Optimizations","Keresőoptimalizálás"
"Search Information","Keresési adatok"
"Search Query","Kereső kérés"
"Search Term was successfully saved","Keresési kulcsszó mentve"
"Search Term with such search query already exist.","Keresési kulcsszó a lekéréssel már létezik."
"Search was successfully deleted","Keresés sikeresen törölve"
"Searchable","Kereshető"
"Select Configurable Attributes ","Válasszon konfigurálható jellemzőket "
"Select type of option","Válassza ki az opció típusát"
"Select type options required values rows.","Válassza ki a kötelező mezők típusát."
"Selected Product Types","Kiválasztott temrék típusok"
"Selected configuration is not available.","A választott konfiguráció nem elérhető."
"Send Count","Számítás küldése"
"Set Ascending Direction","Emelkedő irány beállítása"
"Set Descending Direction","Csökkenő irány beállítása"
"Set Name","Név beállítása"
"Set Root Category For Store","A bolt gyökér kategóriájának beállítása"
"Set root category for this store in the <a href=""%s"">configuration</a>","Állítson be gyökér kategóriát ennek a boltnak a <a href=""%s"">beállításokban</a>"
"Set special price","Speciális ár beállítása"
"Set/Get current store view","Jelen bolt nézet beállítása"
"Settings","Beállítások"
"Shop by","Szűkítse találatait"
"Shopping Options","Szükített nézet"
"Show","Mutat"
"Show Details","Részletek mutatása"
"Show Tags","Címkék mutatása"
"Simple Product","Egyszerű termék"
"Site Map","Oldaltérkép"
"Sitemap","Sitemap"
"Skip import row, is not valid value ""%s"" for field ""%s""","Import sor átugrása, érvénytelen érték ""%s"" erre: ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Import sor átugrása, kötelező mező ""%s"" új vásárlókra nem lett definiálva"
"Skip import row, required field ""%s"" for new products not defined","Import sor átugrása, kötelező mező ""%s"" új termékekre nem lett definiálva"
"Skip import row, required field ""%s"" not defined","Import sor átugrása, kötelező mező ""%s"" nincs definiálva"
"Skip import row, store ""%s"" field not exists","Import sor átugrása, bolt ""%s"" mező nem létezik"
"Sort Order","Sorrend"
"Sort by","Rendezés"
"Source Model","Forrás modell"
"Special Price:","Kedvezményes ár:"
"Starting at:","Kezdet:"
"Static","Passzív"
"Static block and products","Passzív blokk és termékek"
"Static block only","Csak passzív blokk"
"Status","Állapot"
"Stock Availability","Készlet elérhetőség"
"Store","Bolt"
"Store View","Bolt nézet"
"Stretch","Nyújtás"
"Subscribe to Feed","Feliratkozás hírforrásra"
"Subscribe to RSS Feed","Íratkozzon fel RSS hírforrásra"
"Super product attributes configuration","Szuper termék jellemzők beállítása"
"Synonym For","Szinoníma erre"
"Synonym for","Szinoníma erre"
"System","Rendszer"
"System Properties","Rendszer jellemzők"
"Tag Name","Címke neve"
"Tax","Adó"
"Text","Szöveg"
"Text Area","Szöveg blokk"
"Text Field","Szöveges sor"
"There are no %s available.","%s nem elérhető."
"There are no customers for this alert","Nincsenek vásárlók ehhez a figyelmeztetéshez"
"There are no products matching the selection.","Nem található termék a megadott feltételekkel."
"There was an error while adding products to websites","Hiba történt a termékek weboldalhoz adása közben"
"There was an error while cleared compare list","Hiba történt az összehasonlító lista ürítése során"
"There was an error while removing products from websites","Hiba történt a termékek weboldalról való eltávolításakor"
"There was an error while updating product(s) attributes","Hiba lépett fel a termékjellemzők frissítésekor"
"There was an error while updating product(s) status","Hiba lépett fel a termék állapotának frissítésekor"
"This attribute no longer exists","Ez a jellemző már nem létezik"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Ez a csoport jellemzőket tartalmaz, amelyek konfigurálható termékeknél vannak használatban. Helyezze át ezeket a jellemzőket egy másik csoportba és próbálja újra."
"This group contains system attributes. Please move system attributes to another group and try again.","Ez a csoport rendszer jellemzőket tartalmaz. Kérem tegye át a rendszer jellemzőket egy másik csoportba és próbálja újra."
"This is a required option","This is a required option"
"This search no longer exists","Ez a keresés többé nem elérhető"
"Tier Pricing","Árlépcső"
"Tile","Mozaik"
"Time format","Time format"
"Title","Cím"
"Top/Left","Felül/Balra"
"Top/Right","Felül/Jobbra"
"Total Qty Base Items","Teljes termék készlet"
"Total incl. Tax: %1$s","Végösszeg áfával: %1$s"
"Total of %d record(s) were successfully deleted","Összesen %d rekord sikeresen törölve"
"Total of %d record(s) were successfully updated","Összesen %d rekord sikeresen frissítve"
"Type","Típus"
"Unable to complete request. Please try again later.","Nem teljesíthető a kérés. Kérem próbálja meg később."
"Unable to find a search term to delete","Nem található törölhető keresett kifejezés"
"Unable to find an attribute to delete","Nem található törölhető jellemző"
"Unable to get product id.","Termék id nem elérhető."
"Unassigned Attributes","Nem hozzárendelt jellemzők"
"Unique Value","Egyedi érték"
"Unique Value (not shared with other products)","Egyedi érték (más terméknek nem lehet ugyan az)"
"Unknown attribute: %s","Ismeretlen jellemző: %s"
"Up-sells","Fent-eladások"
"Update","Frissít"
"Update Attributes","Jellemzők frissítése"
"Update Tier Price","Árlépcső frissítése"
"Update assigned product","Hozzárendelt termékek frissítése"
"Update attributes","Jellemzők frissítése"
"Update category","Kategória frissítése"
"Update product","Termék frissítése"
"Update product image","Termék kép frissítése"
"Update product link","Termék link frissítése"
"Update product tier prices","Termék árlépcső frissítése"
"Upload new product image ","Új termék kép feltöltése "
"Url","Url"
"Url Rewrite Management","Url Átírás kezelő"
"Url rewrie save problem.","Url átírás mentés hiba."
"Use Config Settings","Alap beállítások használata"
"Use Default Value","Legyen default érték"
"Use Flat Catalog Category","Use Flat Catalog Category"
"Use Flat Catalog Product","Use Flat Catalog Product"
"Use In Layered Navigation","Szűkített nézetben használja"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Használja szűkített nézethez<br/>(Kizárólag 'Legördülő' típusú beviteli mezővel használható)"
"Use In Search Results Layered Navigation","A keresési eredményeknél megjelenő szűkített nézetben használja"
"Use JavaScript Calendar","Use JavaScript Calendar"
"Use To Create Configurable Product","Konfigurálható termék létrehozásához használja"
"Use Tree Like Category Sitemap","Use Tree Like Category Sitemap"
"Use categories path for product URLs","Használja a kategóri útvonalat a termékek url-jében"
"Use in advanced search","A Bővitett keresésben használja"
"Use in quick search","Gyorskeresésben használja"
