"* Required Fields","* Kötelező mezők"
"The address does not belong to this customer","A cím nem tartozik ehhez a vásárlóhoz"
"The address was successfully deleted","A cím sikeresen törölve"
"The address was successfully saved","A cím sikeresen elmentve"
"The suffix that goes after name (Jr., Sr., etc.)","Az utónév ami a név után következik (Jr., Sr., stb.)"
"The title that goes before name (Mr., Mrs., etc.)","A cím ami a név elé kerül (Mr., Mrs., stb.)"
"There are no items in customer's wishlist at the moment","A vevő kívánságlistája jelenleg üres."
"There are no items in customer's shopping cart at the moment","Nincsenek termékek a vevő kosarában jelenleg."
"There was an error while deleting the address","Hiba történt a vevő címének törlésekor"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Ez az e-mail lesz kiküldve alapértelmezett üdvözlő üzenetként, miután a fiók megerősítésre került."
"This account is not confirmed.","Ez a fiók nincs megerősítve."
"This customer has no saved addresses.","Ennek a vevőnek nincs elmentett címe."
"This e-mail does not require confirmation.","Ezt a címet már nem szükséges megerősíteni."
"This email address was not found in our records","Ez az e-mail cím nem található az adatbázisunkban"
"This is My Primary %s Address","Ez az én elsődleges %s címem"
"To Cart","Kosárhoz"
"Total","Teljes"
"Type","Típus"
"Unknown","Ismeretlen"
"Unsubscribe from newsletter","Leiratkozás a hírlevélről"
"Update","Frissít"
"Update customer address data","Vevő címének frissítése"
"Update customer data","Vevő adatainak frissítése"
"Use as My Primary %s Address","Használja mint elsődleges %s cím"
"Use as my default billing address","Használja alapértelmezett számlázási címként"
"Use as my default shipping address","Hasznáéja alapértelmezett szállítási címként"
"User description","Felhasználó leírása"
"View","Nézet"
"View Order","Rendelés megtekintése"
"View Order List","Rendelések megtekintése"
"Visible In","Láthatóság"
"Visitor","Látogató"
"Visitors Only","Csak látogatók"
"Website","Weboldal"
"Welcome Email","Üdvözlő e-mail"
"Wishlist","Kívánságlist"
"Wishlist - %d item(s)","Kívánságlista - %d termék"
"Wrong confirmation key.","Hibás megerősítő kulcs."
"Wrong customer account specified.","Hibás vevői fiók."
"Wrong email.","Hibás e-mail."
"Wrong region id by selected country","Hibás megye/régió id a kiválasztott országhoz"
"Wrong transactional account email type.","Hibás tranzakciós fiók e-mail típus."
"XML","XML"
"YYYY","ÉÉÉÉ"
"Year","ÉV"
"You are currently not subscribed to any newsletter.","Ön jelenleg nincs feliratkozva egyetlen hírlevelünkre sem."
"You are currently not subscribed to our newsletter","Ön jelenleg nincs feliratkozva hírlevelünkre."
"You are currently subscribed to 'General Subscription'.","Feliratkozva ide: 'Alap feliratkozás'."
"You are currently subscribed to our newsletter","Ön jelenleg fel van iratkozva hírlevelünkre"
"You are currently subscribed to our newsletter.","Ön jelenleg fel van iratkozva hírlevelünkre"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Sikeresen kijelentkezett. 5 másodpercen belül átirányítjuk a kezdőlapra."
"You have no additional address entries in your address book.","Önnek nincs további címe a címjegyzékben."
"You have no additional entries in your address book.","Önnek nincs további címe a címjegyzékben."
"You have no default billing address in your address book.","Önnek nincs alapértelmezett számlázási címe a címjegyzékben."
"You have no default shipping address in your address book.","Önnek nincs alapértelmezett szállítási címe a címjegyzékben."
"You have no primary entries in your address book.","Önnek nincs elsődleges bejegyzése a címjegyzékben."
"You have not set a primary billing address.","Nem adott meg elsődleges számlázási címet."
"You have not set a primary shipping address.","Nem adott meg elsődleges szállítási címet."
"You have placed no orders yet.","Még nem rendelt tőlünk."
"You have placed no products yet.","Még nem helyezett el termékeket."
"You're now Logged Out","Sikeresen kijelentkezett"
"Your account balance is: %s","Jelenlegi egyenlege: %s"
"ZIP","Isz."
"ZIP/Post Code","Irányítószám"
"ZIP/Postal Code","Irányítószám"
"Zip/Postal Code","Irányítószám"
"n/a","n/a"
"or","vagy"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
"Email Address/Username","E-mail cím / felhasználónév"
"Forgot Your Password?","Elfelejtette a jelszavát?"
"Registered Customers","Regisztrált ügyfelek"
"New Customers","Új ügyfelek"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Azáltal, hogy egy számlát üzletünkben, akkor képes lesz arra, hogy mozoghat a pénztár folyamat gyorsabb, tárolni több szállítási cím, megtekintheti és nyomon követheti a megrendelések a fiókjában, és így tovább."
"Automatic registration is disabled. Please complete and send form below, and we'll contact you soon to verify given informations ","Automatikus regisztráció le van tiltva. Kérjük, töltse ki és küldje el az alábbi űrlapot, és mi megkeressük Önt hamarosan ellenőrizni adott információk "
"and complete registration process by delivering your login informations.","és a teljes regisztrációs folyamat azáltal, hogy a bejelentkezési információk."
"Account details","Fiók részletek"
"Email address","E-mail cím"
"Billing informations","Számlázási információk"
"ZIP/Post code","Irányítószám"
"Shipping informations","Szállítási információk"
