" Copy"," Kopier"
"Unsubscription Email Template","E-postmal for stopping av abonnement"
"View Newsletter","Vis nyhetsbrev"
"Website","Nettsted"
"You have been successfully unsubscribed.","Ditt nyhetsbrevabonnement ble stoppet."
"Your subscription was successfully confirmed","Ditt abonnement ble bekreftet"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Nyhetsbrev"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
