"# of Use","antall ganger brukt"
"Are you sure you would like to remove this item from the compare products?","Er du sikker på at du vil fjerne dette elementet fra produktsammenligningslisten?"
"Are you sure?","Er du sikker?"
"As low as:","Fra"
"Assign","Angi"
"Assign product link","Angi produktlink"
"Assign product to category","Angi produkt til kategori"
"Assigned Products","Tilordnede Produkter"
"Associated Products","Tilknyttede produkter"
"Attrib. Set Name","Navn på attributtsett"
"Attribute Code","Attributtkode"
"Attribute Information","Attributtinformasjon"
"Attribute Label","Attributtmerkelapp"
"Attribute Model","Attributtmodell"
"Attribute Name:","Attributtnavn:"
"Attribute Properties","Attributtegenskaper"
"Attribute Set","Attributtsett"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Attributtmodell ikke definert"
"Attribute with the same code already exists","Attributt med samme kode eksisterer allerede"
"Attributes","Attributter"
"Attrribute names can be specified per store.","Atributtsett kan angis per butikk."
"Autogenerate","Autogenerer"
"Availability","Tilgjengelighet"
"Availability: In stock.","På lager."
"Availability: Out of stock.","Ikke på lager."
"Back","Tilbake"
"Backend Model","Administrasjonmodell"
"Backend Table","Administrasjontabell"
"Backend Table Title","Tittel på adm.tabell"
"Backorders","Restordrer"
"Base directory to upload image file is not specified","Katalog for opplasting av bildefil er ikke spesifisert"
"Based On","Basert på"
"Best Value","Beste tilbud"
"Block after Info Column","Block etter Infokolonne"
"Bottom/Left","Bunn/Venstre"
"Bottom/Right","Bunn/Høyre"
"Browse By","Bla gjennom basert på"
"Buy %1$s for %2$s","Kjøp %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Kjøp %1$s for %2$s (%3$s inkl mva) hver"
"Buy %1$s for %2$s each","Kjøp %1$s for %2$s hver"
"Can be used only with catalog input type Dropdown","Kan kun brukes med inndatatype ""Nedtrekksliste"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan kun brukes med inndatatype ""Nedtrekksliste"
"Can't create image.","Kan ikke opprette bilde."
"Cannot create writeable directory '%s'","Kan ikke opprette skrivbar katalog '%s'"
"Cart Item Attribute","Vareattributt"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Inndatatype for butikkeier"
"Catalog Price Scope","Omfang for katalogpris"
"Catalog Section","Varekatalog"
"Catalog, Search","Katalog, Søk"
"Categories","Kategorier"
"Categories Sitemap","Sidekart over kategorier"
"Category","Kategori"
"Category API","Kategori API"
"Category Data","Kategoridata"
"Category Navigation:","Kategorinavigering:"
"Category Products","Produkter i kategori"
"Category Top Navigation","Navigering"
"Category URL Suffix","Kategori URL"
"Category attributes API","Kategori attributt API"
"Category delete error","Feil ved sletting av kategori"
"Category deleted","Kategorien ble slettet"
"Category move error","Feil ved flytting av kategori"
"Category must be instance of Mage_Catalog_Model_Category","Kategori må være instans av Mage_Catalog_Model_Category"
"Category saved","Kategorien ble lagret"
"Change","Endre"
"Change or Retrieve attribute store view","Endre eller hent attributt butikkvisning"
"Change status","Endre status"
"Check items to add to the cart or","Merk produktene som skal legges i handlekurven"
"Choose an Option...","Velg et alternativ..."
"Choose option...","Velg alternativ..."
"Clear All","Fjern alle"
"Clear All Items","Fjern alle varer"
"Close Window","Lukk vindu"
"Collapse All","Utvid alle"
"Comparable","Sammenlignbar"
"Comparable on Front-end","Sammenlignbar i Frontend"
"Compare Items","Sammenlign varer"
"Compare Products","Produktsammenligning"
"Compare Products (%d)","Sammenlign produkter (%d)"
"Compare Products - %d Items","Sammenlign produkter - %d varer"
"Compare Products List","Produktsammenligningsliste"
"Compare list successfully cleared","Sammenligningslisten er nå tom."
"Conditions Combination","Kombinasjon av betingelser"
"Configurable Product","Konfigurerbart produkt"
"Configurable Product Settings","Innstillinger for konfigurerbart produkt"
"Continue","Fortsett"
"Copy From Configurable","Kopier fra konfigurerbart"
"Country/State","Land/Fylke"
"Create","Opprett"
"Create (Upload)","Opprett (Last opp)"
"Create Empty","Opprett tom"
"Create Product Settings","Innstillinger for opprettelse av produkt"
"Create Simple Associated Product","Lag tilhørende enkeltprodukt"
"Create new category","Opprett ny kategori"
"Create new product","Opprett nytt produkt"
"Cross-sells","Salg av tilbehør"
"Currently Shopping by","Viser nå varer etter:"
"Custom Design","Tilpasset design"
"Custom Options","Egendefinerte alternativer"
"Customer Group","Kundegruppe"
"Customers Reviews","Kundeomtaler"
"Customers Tagged Product","Produkter tagget av kunder"
"Customers for alert %s was successfuly added to queue","Kunder som skal varsles om %s ble lagt i køen"
"Data Type for Saving in Database","Datatype for lagring i database"
"Date","Dato"
"Date & Time Custom Options","Alternativer for dato og tid"
"Date Subscribed","Abonneringsdato"
"Date fields order","Dato-sortering"
"Datetime","Dato og tid"
"Decimal","Desimal"
"Decimal Number","Desimaltall"
"Declare attribute value saving scope","Angi omfang for lagring av attributtverdi"
"Default Qty","Standardantall"
"Default Values","Standardverdier"
"Default price","Standardpris"
"Default value","Standardverdi"
"Delete","Slett"
"Delete Attribute","Slett attributt"
"Delete Attribute Set","Slett attributtsett"
"Delete Category","Slett kategori"
"Delete Option","Slett valg"
"Delete Row","Slett"
"Delete Search","Slett søk"
"Delete Selected Group","Slett valgt gruppe"
"Delete category","Slett kategori"
"Delete product","Slett produkt"
"Depends on design theme","Avhenger av template"
"Design","Design"
"Disabled","Deaktivert"
"Display in Suggested Terms","Vis i foreslåtte fraser"
"Double click on a group to rename it","Dobbelklikk på en gruppe for å endre navn"
"Double click on above image to view full picture","Dobbelklikk på bildet for å se det i full størrelse"
"Dropdown","Nedtrekksliste"
"Duplicate","Dupliser"
"Duplicate website tier price customer group and quantity.","Dupliser kundegruppe og antall for nettstedets nivåpris."
"Duplicate website, country and state tax found.","Website, land eller mvasats finnes fra før."
"Edit","Endre"
"Edit Attribute Set '%s'","Rediger attributtsett '%s'"
"Edit Product Attribute","Rediger produktattributt"
"Edit Product Attribute ""%s""","Rediger produktattributt ""%s"""
"Edit Search","Rediger søk"
"Edit Search '%s'","Rediger søk '%s'"
"Email","Epost"
"Email to a Friend","Tips en venn"
"Empty","Tom"
"Enabled","Aktivert"
"Error during retrieval of option value: %s","Feil under henting av valgalternativer: %s"
"Error while adding customers for %s alert. Message: %s","Feil under innlegging av kunder for varsling om %s. Melding: %s"
"Error while saving this group. Group with the same name already exists.","Feil under lagring av denne gruppen. Gruppenavnet eksisterer allerede."
"Error while saving this group. Please try again later.","Feil under lagring av denne gruppen. Prøv igjen senere."
"Exclude","Ekskluder"
"Expand All","Utvid alle"
"Failed","Feilet"
"Failed to move file: %s","Feil under flytting av fil: %s"
"Feature Products","Anbefalte produkter"
"File options format is not valid","Filformat ikke gyldig"
"File upload failed","Filopplasting feilet"
"Filter model name must be declared","Filtermodellnavn må være angitt"
"Filter must be as object. Set correct filter please","Filter må være et objekt. Sett korrekt filter"
"Filterable (no results)","Filtrerbart (ingen resultater)"
"Filterable (with results)","Filtrerbart (med resultater)"
"Filters must be as array","Filtre må være en tabell"
"First Name","Fornavn"
"Fixed","Fast"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","For internt bruk. Må være unikt uten mellomrom"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Forside"
"Frontend Model","Modell for Frontend"
"Frontend Properties","Frontend-egenskaper"
"Gallery","Galleri"
"General Information","Generell informasjon"
"Get special price","Spesialpris"
"Global","Global"
"Globally Editable","Redigerbar globalt"
"Go to Home Page","Gå til hovedside"
"Grid","Rutenett"
"Grouped Product","Grupperte produkter"
"Groups","Grupper"
"Home","Hjem"
"ID","ID:"
"ID: %s","ID %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","If you do not specify an option value for a specific store view then the default (Admin) value will be used"
"Image","Bilde"
"Image content is not valid base64 data.","Image content is not valid base64 data"
"Image file not found","Fant ikke bilde"
"Image not exists","Bilde eksisterer ikke"
"Image not specified.","Ingen bilde definert."
"Image type and information need to be specified for each store view.","Bildetype og informasjon må være spesifisert for hver butikkvisning"
"In Stock","På lager"
"In stock","På lager"
"In stock.","På lager."
"Incl. Tax","Inkl mva"
"Input Type","Type"
"Input Validation for Store Owner","Inndatavalidering for butikkeier"
"Integer","Heltall"
"Integer Number","Heltall"
"Invalid Tier Prices","Ugyldig prissetting"
"Invalid attribute %s","ugyldig attributt %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Ugyldig attributtvalg for attributt %s (%s), hopper over oppføringen"
"Invalid attribute set specified, skipping the record","Ugyldig attributtsett, hopper over oppføringen"
"Invalid block: %s","Ugyldig blokk: %s"
"Invalid category","Ugyldig kategori"
"Invalid category IDs","Ugyldige kategori-IDer"
"Invalid image file type","Ugyldig bildefil"
"Invalid image type.","Ugyldig bildetype."
"Invalid option id specified for %s (%s), skipping the record","Ugyldig valg-ID spesifisert for %s (%s), hopper over oppføringen"
"Invalid product type specified, skipping the record","Ugyldig produkttype spesifisert, hopper over oppføringen"
"Invalid store specified","Ugyldig butikk spesifisert"
"Invalid store specified, skipping the record","Ugyldig butikk spesifisert, hopper over oppføringen"
"Inventory","Lagerbeholdning"
"Is Default","Er standard"
"Is Required","Påkrevd"
"Items %s to %s of %s total","Vare %s til %s av totalt %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Varer som ikke skal vises i katalogen eller i søkeresultater må ha status 'Deaktivert' i gjeldende butikk."
"Label","Merkelapp"
"Last Name","Etternavn"
"Last Notification","Siste varsling"
"Learn More","Les mer"
"Length of text is too long","Teksten er for lang"
"Letters","Bokstaver"
"Letters(a-zA-Z) or Numbers(0-9)","Bokstaver (a-zA-Z) eller tall (0-9)"
"Line %d, Email: %s","Linje %d, Epost: %s"
"Line %d, SKU: %s","Linje %d, Varekode: %s"
"Link (Related, Up sell, Cross sell)","Link (Relatert, Bedre alternativer, Liknende)"
"Link product not exists.","Link-produkt finnes ikke."
"List","Liste"
"List Mode","Listemodus"
"Manage Attribute Sets","Behandle attributtsett"
"Manage Attributes","Behandle attributter"
"Manage Catalog Categories","Behandle varekategorier"
"Manage Categories","Behandle kategorier"
"Manage Label / Options","Behandle etiketter/valg"
"Manage Options (values of your attribute)","Behandle valg (verdier for attributtet)"
"Manage Product Attributes","Behandle produktattributter"
"Manage Product Sets","Behandle produktklasser"
"Manage Products","Behandle produkter"
"Manage Stock","Behandle lager"
"Manage Titles (Size, Color, etc.)","Behandle overskrifter (størrelse, farge, osv.)"
"Max Characters","Maks antall bokstaver"
"Maximal Depth","Maksimal dybde"
"Maximum Image Size","Maksimal størrelse"
"Maximum Qty Allowed in Shopping Cart","Største antall tillatt i handlekurven"
"Maximum image height","Maksimal høyde"
"Maximum image width","Maksimal bredde"
"Maximum number of characters","Maks antall tegn"
"Media Image","Bilde"
"Minimum Lines Per Page","Minimum antall linjer pr side"
"Minimum Qty Allowed in Shopping Cart","Minste antall tillatt i handlekurven"
"Minimum Qty for Item's Status to be Out of Stock","Minsteantall før status blir endret til Ikke på lager"
"Missing SKU, skipping the record","Mangler varekode, hopper over oppføringen"
"More Views","Flere visninger"
"Move","Flytt"
"Move category in tree","Flytt kategori i treet"
"Multiple Select","Flervalg"
"Name","Navn"
"Name In %s","Navn i %s"
"Name<br/>(For internal use)","Navn<br/>(for internbruk)"
"New Category","Ny kategori"
"New Product","Nytt produkt"
"New Product Attribute","Nytt produktattributt"
"New Products","Nye produkter"
"New Search","Nytt søk"
"New Set Name","Nytt settnavn"
"Next","Neste"
"No","Nei"
"No image","Bilde eksisterer ikke"
"No layout updates","Ingen oppdateringer av sideoppsett"
"No options of this product are available.","Ingen valg er tilgjengelig for dette produktet."
"No product collections found","Ingen produktsamlinger funnet"
"None","Ingen"
"Not shared with other products","Ikke delt med andre produkter"
"Notify Low Stock RSS","RSS-varsling om lav lagerbeholdning"
"Notify for Quantity Below","Varsle om lagerbeholdning er under"
"Nowhere","Ingen steder"
"Number of Uses","Antall anvendelser"
"Number of results<br/>(For last time placed)","Antall resultater<br/>(For siste plasseringstidspunkt)"
"OR","ELLER"
"Old Price:","Vanlig pris:"
"Option validation failed to add product to cart","Feilet"
"Option:","Valg:"
"Options Control","Valgalternativer"
"Options is required","Valgalternativ kreves"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Vår kundeservice er tilgjengelig døgnet rundt."
"Out of Stock","Utsolgt"
"Out of stock","Utsolgt"
"Out of stock.","Utsolgt."
"PM","PM:"
"Page Title Separator","Skilletegn i sidetittel"
"Page:","Side:"
"Parent Category","Overordnet kategori"
"Pending","Ventende"
"Pending Reviews RSS","Ventende Omtaler-RSS"
"Percentage","Prosentdel"
"Please add rows to option.","Legg til ny rad for alternativet."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost"
"Please click on Close Window button if it won't be closed automatically","Please click on Close Window button if it won't be closed automatically."
"Please enter a new group name","Skriv inn et nytt gruppenavn"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Velg  artikler"
"Please select one or more attributes.","Velg ett eller flere attributter."
"Please select product(s)","Velg produkt(er)"
"Please select products for attributes update","Velg produkter for oppdatering av attributt"
"Please select static block ...","Velg en statisk blokk"
"Please set up merge date/time .","Sett opp dato/tid ."
"Please specify date required option(s)","Spesifiser påkrevd dato alternativ(er)"
"Please specify the product option(s)","Spesifiser produktalternativ(er)"
"Please specify the product required option(s)","Spesifiser de påkrevde alternativene"
"Please specify the product(s) quantity","Spesifiser antall"
"Please specify time required option(s)","Spesifiser påkrevd tidsalternativer"
"Please, use four-digit year format","Bruk firesifret datoformat"
"Position","Plassering"
"Position In Layered Navigation","Plassering i lagdelt navigasjon"
"Position of attribute in layered navigation block","Plassering av attributt i lagdelt navigasjonsblokk"
"Prev","Forrige"
"Previous","Forrige"
"Price","Pris"
"Price Type","Pristype"
"Price values for options should be specified in system base currency.","Priser for valgalternativer må angis i standardvaluta."
"Price:","Pris:"
"Print This Page","Skriv ut"
"Problem saving the collection, aborting. Error: %s","Problem ved lagring av denne samlingen. Feil: %s"
"Product","Produkt"
"Product %s successfully added to compare list","%s ble lagt til sammenligning."
"Product %s successfully removed from compare list","%s ble fjernet fra sammenligningslisten."
"Product API","Produkt API"
"Product Alerts","Produktvarsling"
"Product Attribute","Produktattributt"
"Product Attributes","Produktatttributter"
"Product Categories","Produktkategorier"
"Product Description","Produktbeskrivelse"
"Product Image Placeholders","Plassholder for produktbilde"
"Product Image Watermarks","Produktbildevannmerke"
"Product Images","Produktbilder"
"Product Images API","Produktbilde API"
"Product In Websites","Produkt i Nettsteder"
"Product Info Column","Kolonne for produktinfo"
"Product Information","Produktinformasjon"
"Product Name","Produktnavn"
"Product Reviews","Produktomtaler"
"Product Tags","Produkttagger"
"Product Tier Price API","Produkt flerpris API"
"Product Type","Produkttype"
"Product URL Suffix","Produkt URL Suffix"
"Product attribute sets API","Produkt attributtsett API"
"Product attribute was successfully deleted","Produktattributtet ble slettet"
"Product attribute was successfully saved","Produktattributtet ble lagret"
"Product attributes API","Produktattributt API"
"Product collection expected","Produktsamling forventet"
"Product deleted","Produkt slettet"
"Product duplicated","Produkt duplisert"
"Product has required options","Produktet har påkrevde alternativer"
"Product links API (related, cross sells, up sells)","Produktlink API (related, cross sells, up sells)"
"Product listing sort by","Produktlisting sortert etter"
"Product saving error.","Feil under lagring av produkt."
"Product saving error. ","Feil under lagring. "
"Product types API","Produkttype API"
"Product was successfully created.","Produktet ble lagt til."
"Product was successfully saved.","Produktet ble lagret."
"Product with this combination of attributes already associated to configurable.","Et produkt med denne attributtkombinasjonen er allerede tilknyttet konfigurerbart produkt."
"Products","Produkter"
"Products Information","Produktinformasjon"
"Products Reviews","Produktomtaler"
"Products Sitemap","Sidekart over produkter"
"Products only","Kun produkter"
"Products per Page on Grid default value","Standard antall produkter per side i rutenettvisning"
"Products per Page on List allowed values","Produkter per side ved listevisning"
"Products per Page on List default value","Standard antall produkter per side i listevisning"
"Products per page on Grid allowed values","Produkter per side ved rutenett"
"Properties","Egenskaper"
"Qty","Antall"
"Qty Uses Decimals","Desimaler i antallet"
"Qty for Item's Status to become Out of Stock","Antall for at varen skal få status Ikke på lager"
"Quick Create","Opprett direkte"
"Quick Overview","Oversikt"
"Quick simple product creation","Legg raskt til nytt produkt"
"Records for ""","Oppføringer for """
"Redirect","Videresending"
"Redirect URL","URL for videresending"
"Regular Price:","Vanlig pris:"
"Related Products","Relaterte produkter"
"Remove","Fjern"
"Remove Product","Fjern produkt"
"Remove Product From Websites","Fjern produkt fra Nettsteder"
"Remove This Item","Fjern denne varen"
"Remove product assignment","Fjern produkttilhørighet"
"Remove product image","Fjern produktbilde"
"Remove product link","Fjern produktlink"
"Required","Obligatorisk"
"Reset","Tilbakestill"
"Results","Resultater"
"Retrieve attribute data","Retrieve attribute data"
"Retrieve attribute list","Retrieve attribute list"
"Retrieve attribute options","Retrieve attribute options"
"Retrieve categories tree","Retrieve categories tree"
"Retrieve category attributes","Retrieve category attributes"
"Retrieve category data","Retrieve category data"
"Retrieve hierarchical tree","Retrieve hierarchical tree"
"Retrieve linked products","Retrieve linked products"
"Retrieve list of assigned products","Retrieve list of assigned products"
"Retrieve one level of categories by website/store view/parent category","Retrieve one level of categories by website/store view/parent category"
"Retrieve product","Retrieve product"
"Retrieve product attribute sets","Retrieve product attribute sets"
"Retrieve product image","Retrieve product image"
"Retrieve product image list","Retrieve product image list"
"Retrieve product image types","Retrieve product image types"
"Retrieve product link type attributes","Retrieve product link type attributes"
"Retrieve product link types","Retrieve product link types"
"Retrieve product tier prices","Retrieve product tier prices"
"Retrieve product types","Retrieve product types"
"Retrieve products data","Retrieve products data"
"Retrieve products list by filters","Retrieve products list by filters"
"Review successfully deleted","Omtalen ble slettet"
"Review was saved successfully","Omtalen ble lagret"
"Review was successfully saved","Omtalen ble lagret"
"Reviews","Produktomtaler"
"Roll Over for preview","Rull over for forhåndsvisning"
"Root","Toppnivå"
"SKU","Varekode"
"Save","Lagre"
"Save And Continue Edit","Lagre og fortsett å redigere"
"Save Attribute","Lagre attributt"
"Save Attribute Set","Lagre attributtsett"
"Save Category","Lagre kategori"
"Save Search","Lagre søk"
"Saved ","Lagret "
"Scope","Omfang"
"Search","Søk"
"Search Engine Optimizations","Søkemotoroptimalisering"
"Search Information","Søkeinformasjon"
"Search Query","Søk"
"Search Term was successfully saved","Søkefrase ble lagret"
"Search Term with such search query already exist.","Søkefrase med denne spørringen finnes allerede."""
"Search was successfully deleted","Søket ble slettet"
"Searchable","Søkbar"
"Select Configurable Attributes ","Velg konfigurerbare attributter "
"Select type of option","Velg alternativ"
"Select type options required values rows.","Velg."
"Selected Product Types","Valgte produkttyper"
"Selected configuration is not available.","Valgt konfigurasjon er ikke tilgjengelig."
"Send Count","Antall"
"Set Ascending Direction","Bruk stigende rekkefølge"
"Set Descending Direction","Bruk synkende rekkefølge"
"Set Name","Angi navn"
"Set Root Category For Store","Angi toppkategori for butikken"
"Set root category for this store in the <a href=""%s"">configuration</a>","Angi toppkategori for butikken i <a href=""%s"">konfigurasjonen</a>"
"Set special price","Sett spesialpris"
"Set/Get current store view","Se/vis nåværende butikkvisning"
"Settings","Innstillinger"
"Shop by","Handle basert på"
"Shopping Options","Filter"
"Show","Vis"
"Show Details","Vis detaljer"
"Show Tags","Vis tagger"
"Simple Product","Enkeltprodukt"
"Site Map","Sidekart"
"Sitemap","Sidekart"
"Skip import row, is not valid value ""%s"" for field ""%s""","Hopper over rad, ""%s"" er ikke en gyldig verdi for felt ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Hopper over rad, obligatorisk felt ""%s"" ikke definert for ny kunde"
"Skip import row, required field ""%s"" for new products not defined","Hopper over rad, obligatorisk felt ""%s"" ikke definert for nytt produkt"
"Skip import row, required field ""%s"" not defined","Hopper over rad, obligatorisk felt ""%s"" ikke definert"
"Skip import row, store ""%s"" field not exists","Hopper over import, butikk ""%s"" felt eksisterer ikke"
"Sort Order","Sorteringsrekkefølge"
"Sort by","Sorter etter"
"Source Model","Kildemodell"
"Special Price:","Spesialpris:"
"Starting at:","Starter:"
"Static","Statisk"
"Static block and products","Statisk blokk og produkter"
"Static block only","Kun statisk blokk"
"Status","Status"
"Stock Availability","Lagerstatus"
"Store","Butikk"
"Store View","Butikkvisning"
"Stretch","Strekk"
"Subscribe to Feed","Abonner på Feed"
"Subscribe to RSS Feed","Abonner på RSS Feed"
"Super product attributes configuration","Attributtkonfigurasjon for overordnet produkt"
"Synonym For","Synonym for"
"Synonym for","Synonym for"
"System","System"
"System Properties","Systemegenskaper"
"Tag Name","Taggnavn"
"Tax","Mva"
"Text","Tekst"
"Text Area","Tekstområde"
"Text Field","Tekstfelt"
"There are no %s available.","Ingen %s tilgjengelig."
"There are no customers for this alert","Ingen kunder abonnerer på dette varselet"
"There are no products matching the selection.","Det finnes ingen produkter som svarer til valgene."
"There was an error while adding products to websites","En feil oppstod under innlegging av produktene i nettsted"
"There was an error while cleared compare list","Det oppsto en feil ved sletting av sammenligningsliste"
"There was an error while removing products from websites","En feil oppstod under fjerning av produktene fra nettsted"
"There was an error while updating product(s) attributes","Det oppstod en feil ved oppdatering av produktattributtene"
"There was an error while updating product(s) status","Det oppsto en feil ved oppdatering av produktstatus"
"This attribute no longer exists","Attributtet eksisterer ikke lengre"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","This group contains attributes, used in configurable products. Please move these attributes to another group and try again"
"This group contains system attributes. Please move system attributes to another group and try again.","Denne gruppen inneholder systemattributter. Flytt systemattributtene til en annen gruppe og prøv igjen."
"This is a required option","Påkrevd alternativ"
"This search no longer exists","Dette søket eksisterer ikke lenger"
"Tier Pricing","Nivåprising"
"Tile","Snu"
"Time format","Tidsformat"
"Title","Tittel"
"Top/Left","Topp/Venstre"
"Top/Right","Topp/Høyre"
"Total Qty Base Items","Totalt antall"
"Total incl. Tax: %1$s","Total inkl mva: %1$s"
"Total of %d record(s) were successfully deleted","Totalt %d oppføring(er) ble slettet"
"Total of %d record(s) were successfully updated","Totalt %d oppføring(er) ble oppdatert"
"Type","Type"
"Unable to complete request. Please try again later.","Ikke i stand til å utføre forespørselen. Prøv igjen senere."
"Unable to find a search term to delete","Kunne ikke finne søkefrase å slette"
"Unable to find an attribute to delete","Kunne ikke finne finne attributt å slette"
"Unable to get product id.","Ikke i stand til å hente produkt-ID."
"Unassigned Attributes","Ikke tilordnede attributter"
"Unique Value","Unik verdi"
"Unique Value (not shared with other products)","Unik verdi (ikke felles med andre produkter)"
"Unknown attribute: %s","Ukjent attributt: %s"
"Up-sells","Bedre alternativer"
"Update","Oppdater"
"Update Attributes","Oppdater attributter"
"Update Tier Price","Oppdater multipris"
"Update assigned product","Oppdater tilknyttet produkt"
"Update attributes","Oppdater attributter"
"Update category","Oppdater kategori"
"Update product","Oppdater produkt"
"Update product image","Oppdater produktbilde"
"Update product link","Oppdater produktlink"
"Update product tier prices","Oppdater multipriser"
"Upload new product image ","Last opp nytt produktbilde "
"Url","Adresse"
"Url Rewrite Management","Behandle URL-omskrivninger"
"Url rewrie save problem.","Url rewrie save problem"
"Use Config Settings","Bruk konfigurasjonsinnstillinger"
"Use Default Value","Bruk standardverdi"
"Use Flat Catalog Category","Bruk Flat Catalog Kategori"
"Use Flat Catalog Product","Bruk Flat Catalog Produkt"
"Use In Layered Navigation","Bruk i lagdelt navigering"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Bruk i lagdelt navigasjon<br/>(Kun hvis inndatatype er ""Nedtrekksliste"")"
"Use In Search Results Layered Navigation","Bruk i filtrerte søkeresultat"
"Use JavaScript Calendar","Bruk Javascript-kalender"
"Use To Create Configurable Product","Bruk i konfigurerbart produkt"
"Use Tree Like Category Sitemap","Bruk trevisning i sidekart for kategori"
"Use categories path for product URLs","Bruk kategoristi i produkt-URL"
"Use in advanced search","Bruk i avansert søk"
"Use in quick search","Bruk i hurtigsøk"
"Used for sorting in product listing","Brukt i sortering i produktvisning"
"Used in product listing","Brukt i produktvisning"
"Values Required","Verdier kreves"
"Varchar","VarChar"
"View as","Visning"
"Virtual Product","Virtuelle produkter"
"Visibility","Synlighet"
"Visible","Synlig"
"Visible on Catalog Pages on Front-end","Synlig i varekatalog i Frontend"
"Visible on Product View Page on Front-end","Synlig på produktside i Frontend"
"Watermark","Vannmerke"
"Watermark Default Size","Standardstørrelse på vannmerke"
"Watermark Position","Vannmerke-posisjon"
"We Also Recommend","Vi anbefaler også"
"Web Site Item Must be checked","Webside Item må være markert"
"Web Site Store Must be checked","Website Store må være markert"
"Website","Nettsted"
"Websites","Nettsteder"
"Wrong BuyRequest instance in options group","Wrong BuyRequest instance in options group"
"Wrong option instance type in options group","Wrong option instance type in options group"
"Wrong option type to get group instance.","Wrong option type to get group instance"
"Wrong product instance type in options group","Wrong product instance type in options group"
"Wrong quote item instance in options group","Wrong quote item instance in options group"
"Wrong quote item option instance in options group","Wrong quote item option instance in options group"
"Year Range","Rekkevidde år"
"Yes","Ja"
"Yes/No","Ja/Nei"
"You cannot delete this attribute","Du kan ikke slette dette attributtet"
"You cannot edit this attribute","Du kan ikke endre dette attributtet"
"You cannot remove system attribute from this set.","Du kan ikke fjerne systemattributter fra dette settet."
"You cannot update this attribute","Du kan ikke oppdatere dette attributtet"
