"%s was successfully added to your shopping cart.","%s ble lagt til din handlekurv."
"Order Review","Ordresammendrag"
"Order Success","Bestillingen er mottatt"
"Other items in your order","Andre artikler i dine ordre"
"Password","Passord"
"Payment Failed Email Reciever","Betaling feilet ifm epost-mottaker"
"Payment Failed Email Sender","Betaling feilet ifm epost-sender"
"Payment Failed Emails","Betaling feilet eposter"
"Payment Failed Template","Betaling feilet template"
"Payment Information","Betalingsinformasjon"
"Payment Method","Betalingsmetode"
"Payment method is not defined","Betalingsmetode er ikke oppgitt"
"Place Order","Send bestilling"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Fortsett å handle</a>."
"Please agree to all Terms and Conditions before placing the order.","Vennligst bekreft vilkår og betingelsene før du fortsetter."
"Please agree to all Terms and Conditions before placing the orders.","Vennligst bekreft vilkår og betingelsene før du fortsetter."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Fyll inn et gyldig postnummer, fire siffer."
"Please log in below:","Logg inn med ditt brukernavn og passord:"
"Please select region, state or province","Velg fylke"
"Please select shipping address for applicable items","Velg frakt for aktuelle varer"
"Please select shipping methods for all addresses","Velg leveringsmetode for alle adressene"
"Price","Pris"
"Proceed to Checkout","Gå til kassen"
"Product","Produkt"
"Product Name","Produktnavn"
"Product does not exist","Produktet eksisterer ikke"
"Qty","Antall"
"Quote Lifetime (days)","Tilbudets varighet (dager)"
"Recently added item(s)","Produkt(er) nylig lagt til"
"Register","Registrer handlekonto"
"Register and save time!","Spar tid ved å registrere en konto."
"Register to Create an Account","Opprett en konto"
"Register with us for future convenience:","Handle enklere og raskere ved å opprette en konto:"
"Remove","Fjern"
"Remove Item","Fjern vare"
"Remove Product","Fjern produkt"
"Remove item","Fjern vare"
"Review Order","Ordresammendrag"
"Review Order - %s","Se igjennom bestilling - %s"
"Sales","Salg"
"Save Condition","Lagre vilkår"
"Save in address book","Lagre i adresseboken"
"Select Address","Velg adresse"
"Select Addresses","Velg adressser"
"Select Shipping Method","Velg leveringsmetode"
"Select State/Province...","Poststed"
"Select a billing address from your address book or enter a new address.","Velg fakturaadresse fra adresseboken eller skriv inn en ny adresse."
"Select a shipping address from your address book or enter a new address.","Velg leveringsadresse fra adresseboken eller skriv inn en ny adresse."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Metode"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy Til"
"Send to","Send til"
"Ship to Multiple Addresses","Levering til flere adresser"
"Ship to different address","Levering til annen adresse"
"Ship to this address","Levering til denne adressen"
"Shipping Address","Leveringsadresse"
"Shipping Information","Leveringsinformasjon"
"Shipping Method","Leveringsmetode"
"Shipping Methods","Leveringsmetoder"
"Shipping method has not been selected yet","Leveringsmetode er ikke valgt ennå"
"Shipping selection is not applicable","Fraktmetode er ikke tilgjengelig på denne ordren"
"Shipping to","Levering til"
"Shopping Cart","Handlekurv"
"Shopping Cart Sidebar","Sidebar for handlekyrv"
"Shopping Cart is Empty","Handlekurven er tom"
"Show Content as","Vis innhold som"
"Some of the products you requested are not available in the desired quantity","Noen av produktene du har valgt er ikke tilgjengelige i ønsket antall"
"Some of the products you requested are unavailable","Noen av produktene du har valgt er ikke tilgjengelige"
"Sorry, Onepage Checkout is disabled.","Beklager, Onepage utsjekking er deaktivert."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Beklager, gjesteutsjekk er deaktivert på denne bestillingen."
"Sorry, no quotes are available for this order at this time.","Beklager, ingen tilbud er for tiden tilgjengelig for denne ordren"
"State/Province","Poststed"
"Status","Status"
"Store View","Butikkvisning"
"Street Address","Gateadresse"
"Street Address ","Gateadresse "
"Submitting order information...","Sender bestilling..."
"Subtotal","Delsum"
"Telephone","Telefon"
"Terms and Conditions","Vilkår og betingelser"
"Terms and Conditions Information","Vilkår og betingelser"
"Terms and conditions","Vilkår og betingelser"
"Text","Tekst"
"Thank you for your purchase!","Takk for at du handlet hos oss!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Det er <a href=""%s""><strong>%s varer</strong></a> i din handlekurv."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Det er <a href=""%s""><strong>èn vare</strong></a> i din handlekurv."
"There is already a customer registered using this email address","Det er allerede en kunde registrert med denne epost-adressen"
"There was an error processing your order. Please contact us or try again later.","Det oppstod en feil under behandling av din ordre. Vennligst kontakt oss eller prøv igjen senere."
"This condition no longer exists","Dette vilkåret eksisterer ikke lengre"
"Total","Totalt"
"Total for this address","Totalt for denne adressen"
"Unit Price","Stykkpris"
"Update Qty &amp; Addresses","Oppdater antall og adresser"
"Update Shopping Cart","Oppdater"
"Update Total","Oppdater total"
"Use Billing Address","Bruk fakturaadresse"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Vi har mottatt din bestilling og du vil snart motta en e-post med detaljer rundt din ordre. Når pakken er sendt vil du motta en ny e-post med en lenke for å følge fremdriften."
"You have no items in your shopping cart.","Du har ingen varer i handlekurven."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Du vil motta en ordrebekreftelse på epost med informasjon om din bestilling og en lenke for å følge fremdriften."
"Your Checkout Progress","Fremdrift"
"Your order # is: %s","Ditt ordrenummer: %s"
"Your order # is: <a href=""%s"">%s</a>","Ditt ordrenummer er: <a href=""%s"">%s</a>"
"Your order has been received","Takk! Din bestilling er mottatt."
"Your order number is ","Ditt ordrenummer er "
"Zip/Postal Code","Postnummer"
"osCommerce Orders","osCommerce Ordrer"
"separate by "",""","separer med "","""
"My Cart","Handlekurv"
"You have no items in your shopping cart.","Du har ingen varer i handlekurven"
"Checkout","Sjekk ut"
"Shopping Cart is Empty","Handlekurven er tom"
"Please <a href=""%s"">continue shopping</a>.","Vennligst <a href=""%s"">forsett handelen</a>."
