"%s already exist","%s eksisterer allerede"
"%s already exists","%s eksisterer allerede"
"-- Please Select --","-- Vennligst velg --"
"Please define flag code.","Definer flaggkode."
"Please enter 6 or more characters.","Fyll inn minimum seks tegn."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Fyll inn seks eller flere tegn. Blanke felt ignoreres."
"Please enter a number greater than 0 in this field.","Fyll inn et tall større enn null i dette feltet."
"Please enter a valid $ amount. For example $100.00.","Fyll inn et gyldig beløp. For eksempel 100."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Fyll inn en gyldig URL. For eksempel http://www.domain.com eller www.domain.com"
"Please enter a valid URL. http:// is required","Fyll inn en gyldig URL. http:// er obligatorisk"
"Please enter a valid credit card number.","Fyll inn et gyldig kredittkortnummer."
"Please enter a valid date.","Fyll inn en gyldig dato. Bruk / istedenfor ."
"Please enter a valid email address. For example johndoe@domain.com.","Fyll inn en gyldig e-postadresse. For eksempel ola@domain.com."
"Please enter a valid number in this field.","Fyll inn et gyldig tall i dette feltet."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Fyll inn et gyldig telefonnummer."
"Please enter a valid social security number. For example 123-45-6789.","Fyll inn et gyldig personnummer."
"Please enter a valid zip code.","Fyll inn et gyldig postnummer."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Fyll inn et gyldig postnummer."
"Please enter valid password.","Fyll inn et gyldig passord."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL end with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Se til at passordene er like."
"Please select State/Province.","Velg område"
"Please select an option.","Velg alternativ"
"Please select one of the above options.","Velg et av alternativene over."
"Please select one of the options.","Velg et av alternativene."
"Please specify payment method.","Velg betalingsmetode."
"Please specify shipping method.","Velg fraktmetode."
"Please use letters only (a-z or A-Z) in this field.","Bruk kun bokstaver (a-z or A-Z) i dette feltet."
"Please use letters only (a-z) in this field.","I dette feltet kan bare bokstaver (a-z) benyttes."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Bruk kun tall i dette feltet. Unngå mellomrom og andre tegn som punktum og komma."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bruk kun bokstaver (a-z) eller tall (0-9) i dette feltet. Ingen mellomrom eller andre tegn er tillatt."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Bruk kun bokstaver (a-z), tall (0-9), mellomrom eller # i dette feltet."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bruk kun bokstaver (a-z), tall (0-9) eller understrek (_) i dette feltet. Første tegn må være en bokstav."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bruk dette datoformatet: DD/MM/ÅÅÅÅ. For eksempel 17/03/2006 for 17. mars, 2006."
"Please wait, loading...","Vennligst vent, laster..."
"Polls","Avstemninger"
"Port (25)","Port 25"
"Profiler","Profil"
"Prototype Deprecation Log","Prototype Deprecation Logg"
"Request path for specified store","Request Path for valgt butikk"
"Requested invalid store ""%s""","Ugyldig butikk ""%s"""
"Resource is not set","Ikke satt"
"Root Category","Toppnivå"
"SMTP settings (Windows server only)","SMTP-innstillinger (kun for Windows-based servers)"
"Sales representative","Salgsrepresentant"
"Save","Lagre"
"Save Store","Lagre butikk"
"Save Store View","Lagre butikkvisning"
"Save Website","Lagre nettsted"
"Search Engines Optimization","Søkemotoroptimalisering (SEO)"
"Secure","Sikker"
"Security","Sikkerhet"
"Select Date","Velg dato"
"Sender email","Avsenders epost"
"Sender name","Avsenders navn"
"Services","Tjenester"
"Session Cookie management","Behandle økt-informasjonskapsler"
"Session Lifetime, Seconds","Session Lifetime, Sekunder"
"Session Validation Settings","Session Validation Innstillinger"
"Set as default","Bruk som standard"
"Skin (Images / CSS)","Stil (bilder / CSS)"
"Sort order","Sorteringsrekkefølge"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angitt dato/tid ""%1$s"" er feil i forhold til ""%2$s""."
"Specify either category or product, or both.","Velg enten kategori eller produkt, eventuelt begge."
"Start date can't be greater than end date","Startdato kan ikke være etter sluttdato"
"Startup page","Oppstartsside"
"Status","Status"
"Store","Butikk (Store)"
"Store Email Addresses","Butikkens epost-adresser"
"Store Information","Butikkinformasjon"
"Store Name","Butikknavn"
"Store View","Butikkvisning (StoreView)"
"Store View Information","Informasjon om butikkvisning"
"Store View Name","Navn på butikkvisning (StoreView)"
"Store View was successfully saved","Butikkvisning ble lagret"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Butikk-kode kan kun bestå av bokstaver (a-z), tall (0-9) eller understrek (_). Første tegn må være en bokstav."
"Store doesn't exist","Butikk finnes ikke"
"Store view doesn't exist","Butikkvisning (StoreView) eksisterer ikke"
"Store view was successfully deleted.","Butikkvisning (StoreView) er nå slettet."
"Store was successfully deleted.","Butikk (Store) ble slettet."
"Store was successfully saved","Butikken (Store) ble lagret"
"Store with the same code","Butikk (Store) med samme kode"
"System","System"
"System Log File Name","System logg-filnavn"
"Template Path Hints","Malsti hint"
"Templates","Maler"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid, please make sure that it follows ""http://domain.com/"" format."
"Themes","Temaer"
"This category and all its child elements","Denne kategorien og alle underelementer"
"This category and its child categories only","Denne kategorien samt underkategorier"
"This category and its products only","Kun denne kategorien og produktene"
"This category only","Kun denne kategorien"
"This is a required field.","Dette er et påkrevd felt."
"This store cannot be deleted","Denne butikken kan ikke slettes"
"This store cannot be deleted.","Denne butikken kan ikke slettets."
"This store view cannot be deleted","Denne butikkvisningen kan ikke slettes"
"This store view cannot be deleted.","Denne butikkvisningen kan ikke slettes."
"This website cannot be deleted","Denne websiden (Website) kan ikke slettes"
"This website cannot be deleted.","Denne websiden (Website) kan ikke slettes."
"This will be displayed just before body closing tag","Vises rett før body closing-taggen"
"This will be included before head closing tag in page HTML","Dette inkluderes før headingens closing-tag"
"Timezone","Tidssone"
"Title Prefix","Tittel"
"Title Suffix","Endelse"
"Translate Inline","Oversett direkte i nettbutikken"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend- and Admin inline translations"
"Translations","Transaksjoner"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later.."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later.."
"Unable to proceed. Please, try again","Kunne ikke fortsette. Prøv igjen."
"Unknown scope ""%s""","Ukjent omfang ""%s"""
"Unsecure","Usikker"
"Url Options","URL-alternativer"
"Use HTTP Only","Bruk kun HTTP"
"Use Secure URLs in Admin","Bruk sikre URL-er i Admin"
"Use Secure URLs in Frontend","Bruk sikre URL-er i Frontend"
"Use Web Server Rewrites","Bruk søkemotorvennlige URL-er"
"Use custom admin URL","Bruk egendefinert admin URL"
"Validate HTTP_USER_AGENT","Valider HTTP_USER_AGENT"
"Validate HTTP_VIA","Valider HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Valider HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Valider REMOTE_ADDR"
"Values less than 60 are ignored.","Verdier under 60 blir ignorert."
"Web","Web"
"Website","Nettsted (Website)"
"Website Information","Nettstedsinformasjon"
"Website Name","Nettstedsnavn"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Nettsted-kode kan kun bestå av bokstaver (a-z), tall (0-9) og understrek (_). Første tegn må være en bokstav"
"Website doesn't exist","Webside eksisterer ikke"
"Website was successfully deleted.","Nettsted (Website) ble slettet."
"Website was successfully saved","Nettstedet (Website) ble lagret"
"Website with the same code","Nettsted (Website) med samme kode"
"Weekend Days","Helgedager"
"Welcome Text","Velkomsttekst"
"Wrong number of arguments for %s","Feil antall argumenter for %s"
"Yes","Ja"
"Your order can not be completed at this time as there is no payment methods available for it.","Din ordre kan dessverre ikke fullføres da det mangler betalingsmetode. Kontakt oss snarest silk at vi kan fikse dette er du grei."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Det er ikke definert noe fraktmetode i butikken. Ta kontakt med oss snarest slik at vi kan fikse dette er du grei."
"Your session has been expired, you will be relogged in now.","Økten har utløpt. Du vil nå logges inn på nytt."
"Search","Søk"
"Go","Gå"
"Search entire store here...","Search entire store here..."
"Compare Products","Sammenlign produkter"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","Du har ingen varer å sammenligne."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Søk"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- eller klikk og dra for raskere valg."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Velg dato"
"Drag to move","Drag to move"
"Close","Lukk"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
