"* Required Fields","* Campos requiridos"
"Change Billing Address","Cambiar o enderezo de facturación"
"Change Password","Cambiar o contrasinal"
"Change Shipping Address","Cambiar o enderezo de envío"
"City","Cidade"
"Company","Empresa"
"Config","Configurar"
"Confirm New Password","Confirmar o novo contrasinal"
"Confirm Password","Confirmar o contrasinal"
"Confirmation Link Email","Correo con ligazón de confirmación"
"Confirmed","Confirmado"
"Contact Information","Información de contacto"
"Continue Shopping","Continuar comprando"
"Country","País"
"Create","Crear"
"Create New Account Options","Crear novas opcións de conta"
"Create New Customer Account","Crear nova conta de cliente"
"Create Order","Crear pedido"
"Create an Account","Crear unha conta"
"Create customer","Crear cliente"
"Create customer address","Crear enderezo de cliente"
"Current Password","Contrasinal actual"
"Customer","Cliente"
"Customer Addresses","Enderezos do cliente"
"Customer Api","Api do cliente"
"Customer Configuration","Configuración de cliente"
"Customer Group","Grupo de cliente"
"Customer Group was successfully deleted","O Grupo de Clientes foi correctamente removido"
"Customer Group was successfully saved","Grupo de Clientes correctamente guardado"
"Customer Groups","Grupos de cliente"
"Customer Information","Información de cliente"
"Customer Login","Nome de usuario do cliente"
"Customer Since","Cliente desde"
"Customer View","Visualización do cliente"
"Customer collection expected","Esperado uma colecção de cliente"
"Customer doesn't have primary billing address","O Cliente não tem um endereço de facturação primário"
"Customer email already exists","Já existe um cliente com o mesmo email que inseriu"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","Clientes"
"Customers Only","Só clientes"
"Customers Section","Sección de clientes"
"DD","DD"
"Date","Data"
"Date Added","Data engadida"
"Date of Birth","Data de nacemento"
"Date of Birth is required.","Date of Birth is required."
"Day","Día"
"Days in Wishlist","Días na lista de desexos"
"Default Addresses","Enderezos predeterminados"
"Default Billing Address","Enderezo de facturación predeterminado"
"Default Email Domain","Dominio de correo predeterminado"
"Default Group","Grupo predeterminado"
"Default Shipping Address","Enderezo de envío predeterminado"
"Default Welcome Email","Correo de benvida predeterminado"
"Delete","Eliminar"
"Delete Address","Eliminar enderezo"
"Delete Customer","Eliminar cliente"
"Delete Customer Group","Eliminar grupo de cliente"
"Delete customer","Eliminar cliente"
"Delete customer address","Eliminar enderezo de cliente"
"Deleted Stores","Eliminar tendas"
"Details","Detalles"
"Disabled","Desactivado"
"Edit","Editar"
"Edit Account Info","Editar información da conta"
"Edit Account Information","Editar información da conta"
"Edit Address","Editar enderezo"
"Edit Address Entry","Editar entrada de enderezo"
"Edit Customer Group ""%s""","Editar o grupo de cliente ""%s"""
"Edit Customer Groups","Editar grupos de cliente"
"Edit Customer's Address","Editar enderezo do cliente"
"Edit Group","Editar grupo"
"Edit Newsletter Subscription","Editar subscrição de Newsletter"
"Edit Newsletters","Editar boletín informativo"
"Edit Personal Information","Editar Informação Pessoal"
"Email","Correo electrónico"
"Email Address","Enderezo de correo electrónico"
"Email Sender","Remitente de correo"
"Entity collection is expected","Colecção de Entidades esperada"
"Error during retrieval of option value: %s","Erro durante a recepção do valor da opção: %s"
"Ext. Price","Preço est."
"Failed to confirm customer account.","Fallou ao confirmar a conta de cliente."
"Fax","Fax"
"First Name","Nome"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Esqueceu o remitente do correo"
"Forgot Email Template","Esqueceu o modelo de correo"
"Forgot Your Password?","Esqueceu o seu contrasinal?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde o seu panel de A miña conta pode ver un resumo das súas actividades máis recentes e actualizar a súa información. Seleccione a ligazón de abaixo para ver ou editar a información."
"General Subscription","Subscrición xeral"
"Global","Global"
"Go to Address Book","Voltar ao Livro de Endereços"
"Grand Total","Total xeral"
"Grand Total: %s","Total final: %s"
"Group","Grupo"
"Group ""%s"" can not be deleted","O Grupo ""%s"" não pode ser removido"
"Group Information","Información de grupo"
"Group Name","Nome do grupo"
"Guest","Convidado"
"HTML","HTML"
"Hello, %s!","Ola, %s!"
"ID","Id"
"IP Address","Enderezo IP"
"If you have an account with us, please log in.","Se ten unha conta con nós, por favor, inicie sesión."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválida para atributo especificado. Ignorando registo"
"Invalid attribute set specified, skipping the record","Grupo de atributos especificado inválido. Ignorando o registo"
"Invalid current password","O contrasinal actual non é válido"
"Invalid customer data","Os datos de cliente non son válidos"
"Invalid email address","Endereço de Email inválido"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Nome de usuario ou contrasinal incorrectos."
"Invalid option id specified for %s (%s), skipping the record","Id de opção especificada inválida para %s (%s), ignorando os dados"
"Invalid store specified, skipping the record","Loja inválida especificada, ignorando registo"
"Items Order","Itens da encomenda"
"Last 5 Orders","Últimas 5 encomendas"
"Last Activity","A última actividade"
"Last Name","Apelidos"
"Last Url","Última Url"
"Last Viewed Items","Últimos itens vistos"
"Last date subscribed","Última data de subscrição"
"Last date unsubscribed","Última data de cancelamento de Subscrição"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Deixar baleiro por defecto (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Deixar baleiro por defecto (2). Marxe de valores válidos: 1-4"
"Lifetime Sales","Vendas no tempo de vida"
"Log In","Iniciar a sesión"
"Log Out","Terminar a sesión"
"Log in or Create an Account","Log in or Create an Account"
"Login","Iniciar sesión"
"Login Information","Información do inicio de sesión"
"Login and password are required","Nome de utilizador e palavra-passe obrigatórios"
"Login or Create an Account","Iniciar sesión ou crear unha conta"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Xestionar enderezos"
"Manage Customers","Xestionar clientes"
"Missing email, skipping the record","Email não encontrado, ignorando registo"
"Missing firstname, skipping the record","Primeiro nome não encontrado, ignorando registo"
"Missing lastname, skipping the record","Apelido não encontrado, ignorando registo"
"Month","Mes"
"My Account","A miña conta"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","O meu panel"
"My Orders","Os meus pedidos"
"My Reviews","As minhas análises"
"My Tags","As minhas Etiquetas"
"My Wishlist","A Minha Lista de Presentes"
"Name","Nome"
"Name and Address Options","Opcións de nome e enderezo"
"Never","Nunca"
"New Address","Novo enderezo"
"New Address Entry","Entrada de enderezo nova"
"New Customer","Novo cliente"
"New Customer Address","Novo enderezo de cliente"
"New Customer Group","Grupo de cliente novo"
"New Customer Groups","Grupos de cliente novos"
"New Customers","Novos clientes"
"New Group","Novo grupo"
"New Password","Novo contrasinal"
"New account","Nova conta"
"New account confirmation key","Chave de confirmación da nova conta"
"New account confirmed","Nova conta confirmada"
"New password","Novo contrasinal"
"Newsletter","Boletín informativo"
"Newsletter Finish","Fin do boletín informativo"
"Newsletter Information","Información do boletín informativo"
"Newsletter Received","Boletín informativo recibido"
"Newsletter Start","Comezo do boletín informativo"
"Newsletter Subscription","Subscrición ao boletín informativo"
"Newsletters","Boletín informativo"
"No Items Found","Non se encontraron os elementos"
"No Newsletter Found","Non se encontrou o boletín informativo"
"No item specified.","Non se especificou o elemento."
"No product collections found","Não foram encontradas colecções de produtos"
"Not Sent","Non enviado"
"Not confirmed, can login","Non confirmado, pode iniciar sesión"
"Not confirmed, cannot login","Non confirmado, non pode iniciar sesión"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Sen conexión"
"Online","Con conexión"
"Online Customers","Clientes en liña"
"Online Customers Options","Opcións de clientes en liña"
"Online Minutes Interval","Intervalo de minutos en liña"
"Order #","Pedido #"
"Order #%s (%s)","Encomenda $%s (%s)"
"Order List...","Lista de encomendas..."
"Order Total","Total do pedido"
"Orders","Pedidos"
"PDF","PDF"
"Password","Contrasinal"
"Password Management","Xestión de contrasinal"
"Password Options","Opcións de contrasinal"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Contrasinal esquecido"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","A palavra-passe deverá conter 6 caracteres."
"Paused","Detido"
"Payment Method","Método de Pagamento"
"Pending","Pendente"
"Per Website","Por páxina web"
"Personal Information","Información persoal"
"Please enter your email below and we'll send you a new password.","Por favor insira o seu email abaixo para lhe ser enviada a nova palavra-passe"
"Please enter your email below and we'll send you confirmation link for it.","Por favor, introduza o seu correo abaixo e enviarémoslle unha ligazón de confirmación."
"Please enter your email.","Por favor, introduza o seu correo."
"Please make sure your passwords match.","Por favor, asegúrese de que os seus contrasinais coinciden."
"Please select","Por favor, seleccione"
"Please select region, state or province","Por favor, seleccione rexión, estado ou provincia"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefixo"
"Prefix dropdown options","Prefix dropdown options"
"Price","Prezo"
"Primary Billing Address","Endereço de facturação primário"
"Primary Shipping Address","Endereço de envio primário"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a colecção, abortado. Erro: %s"
"Product","Produto"
"Product ID","ID do produto"
"Product Name","Nome do produto"
"Product Reviews","Valoracións do produto"
"Product Tags","Etiquetas do produto"
"Product name","Nome do produto"
"Purchase On","Comprar en"
"Purchased at","Comprado em"
"Qty","Cantidade"
"Recent Orders","Pedidos recentes"
"Records for ""","Resultados para """
"Refunded","Reembolsado"
"Registered Customers","Clientes rexistrados"
"Remove","Eliminar"
"Require Emails Confirmation","Requirir confirmación de correos"
"Retrieve address data","Obter datos do enderezo"
"Retrieve address info","Obter información do enderezo"
"Retrieve customer addresses","Obter enderezos do cliente"
"Retrieve customer data","Obter datos do cliente"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Obter clientes"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Obter a súa ligazón de confirmación aquí"
"Retrieve your password here","Recuperar aquí o seu contrasinal"
"SKU","SKU"
"Sales Statistics","Estatísticas de vendas"
"Save","Gardar"
"Save Address","Gardar enderezo"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Gardar cliente"
"Save Customer Group","Gardar grupo de cliente"
"Save Password","Gardar o contrasinal"
"Saved ","Guardado"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por punto e coma (;).<br/>Poña punto e coma no inicio para deixar baleira a primeira opción.<br/>Deixe baleiros para abrir campo de texto."
"Send Welcome Email after Confirmation","Enviar correo de benvida despois de confirmación"
"Send auto-generated password","Enviar contrasinal xerado automaticamente"
"Send confirmation link","Enviar ligazón de confirmación"
"Send welcome email","Enviar email de boas-vindas"
"Sending","Enviando"
"Sent","Enviado"
"Session Start Time","Hora de inicio da sesión"
"Set as Default Billing Address","Configurar como enderezo de facturación predeterminado"
"Set as Default Shipping Address","Configurar como enderezo de envío predeterminado"
"Share Customer Accounts","Compartir contas de usuario"
"Ship to First name","Nome de Envio"
"Ship to Last name","Apelido de Envio"
"Shipped to First Name","Enviado a nome"
"Shipped to Last Name","Enviado ao apelido"
"Shipped to Name","Enviado a nome"
"Shipping Information","Informação de Envio"
"Shipping Method","Método de Envio"
"Shopping Cart","Carriño da compra"
"Shopping Cart - %d item(s)","O carriño da compra - %d elemento(s)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Subscribirse ao boletín informativo"
"Sign up for our newsletter","Subscreva a nossa Newsletter"
"Skip import row, required field ""%s"" not defined","Ignorar importação linha, campo requerido ""%s"" não definido"
"Skip import row, website ""%s"" field not exists","Ignorar importação linha, campo do site ""%s"" não existe"
"State/Province","Estado/Provincia"
"Status","Estado"
"Store","Tenda"
"Store View","Visualización da tenda"
"Street Address","Rúa"
"Street Address ","Rúa "
"Subject","Asunto"
"Submit","Enviar"
"Subscribe","Subscrever"
"Subscribe to newsletter","Subscrever newsletter"
"Subscribed to Newsletter?","Está subscrito ao boletín informativo?"
"Suffix","Sufixo"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Nome da etiqueta"
"Tax Class","Clase de imposto"
"Tax class","Classe de Imposto"
"Tax/VAT number","Número da taxa de IVE"
"Telephone","Teléfono"
"Text","Texto"
"Text One Line","Texto nunha liña"
"Thank you for registering with %s","Obrigado por se registar com %s"
"The address does not belong to this customer","Este endereço não pertence a este cliente"
"The address was successfully deleted","O endereço foi correctamente removido"
"The address was successfully saved","O endereço foi guardado correctamente"
"The suffix that goes after name (Jr., Sr., etc.)","O sufixo que vai despois do nome (Sr., Sra. etc.)"
"The title that goes before name (Mr., Mrs., etc.)","O título que vai despois do nome (Dr., Dra., etc.)"
"There are no items in customer's wishlist at the moment","Non hai elementos na lista de desexos do cliente actualmente"
"There are no items in customer's shopping cart at the moment","Non hai elementos no carriño de compra do cliente actualmente"
"There was an error while deleting the address","Erro enquanto removia o endereço"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","Esta conta non está confirmada."
"This customer has no saved addresses.","Este cliente non ten enderezos gardados."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Este endereço de email não foi encontrado nos registos"
"This is My Primary %s Address","Este é o meu Endereço Primário %s"
"To Cart","Para o carriño"
"Total","Total"
"Type","Tipo"
"Unknown","Descoñecido"
"Unsubscribe from newsletter","Cancelar subscrição da Newsletter"
"Update","Actualizar"
"Update customer address data","Actualizar os datos do enderezo do cliente"
"Update customer data","Actualizar os datos do usuario"
"Use as My Primary %s Address","Utilizar %s como o meu endereço primário"
"Use as my default billing address","Utilizar como o meu enderezo predeterminado de facturación"
"Use as my default shipping address","Utilizar como o meu enderezo de envío predeterminado"
"User description","Descrición de usuario"
"View","Ver"
"View Order","Ver pedido"
"View Order List","Ver lista de encomendas"
"Visible In","Visible en"
"Visitor","Visitante"
"Visitors Only","Só visitantes"
"Website","Sitio web"
"Welcome Email","Correo de benvida"
"Wishlist","Lista de desexos"
"Wishlist - %d item(s)","Lista de desexos - %d elemento(s)"
"Wrong confirmation key.","Chave de confirmación errónea."
"Wrong customer account specified.","Conta de cliente especificada errónea."
"Wrong email.","Correo electrónico incorrecto."
"Wrong region id by selected country","ID de Região inválido para país seleccionado"
"Wrong transactional account email type.","Tipo de conta de correo de transacción incorrecto."
"XML","XML"
"YYYY","YYYY"
"Year","Ano"
"You are currently not subscribed to any newsletter.","Na actualidade vostede non está subscrito a ningún boletín informativo."
"You are currently not subscribed to our newsletter","Não está actualmente a subscrever a nossa Newsletter"
"You are currently subscribed to 'General Subscription'.","Vostede está subscrito a 'Subscrición xeral'."
"You are currently subscribed to our newsletter","Está actualmente a receber a nossa Newsletter"
"You are currently subscribed to our newsletter.","Vostede está subscrito ao noso boletín informativo."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Terminou com sucesso a sua sessão e será redireccionado para a página principal dentro de 5 segundos"
"You have no additional address entries in your address book.","Non ten entradas de enderezos adicionais na súa axenda de enderezos."
"You have no additional entries in your address book.","Non ten entradas adicionais na súa axenda de enderezos."
"You have no default billing address in your address book.","Non ten enderezos de facturación predeterminados na súa axenda de enderezos."
"You have no default shipping address in your address book.","Non ten enderezos de envío predeterminados na súa axenda de enderezos."
"You have no primary entries in your address book.","Não tem registos no seu livro de endereços"
"You have not set a primary billing address.","Ainda não definiu um endereço de facturação primário."
"You have not set a primary shipping address.","Não tem definido um endereço de envio primário"
"You have placed no orders yet.","Non fixo aínda ningún pedido."
"You have placed no products yet.","Non solicitou aínda ningún produto."
"You're now Logged Out","Terminou agora a sua sessão"
"Your account balance is: %s","O seu balance de conta é: %s"
"ZIP","Código Postal"
"ZIP/Post Code","ZIP/Código Postal"
"ZIP/Postal Code","Código Postal"
"Zip/Postal Code","Zip/Código Postal"
"n/a","N/D"
"or","ou"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","Non estableceu un enderezo predeterminado de facturación."
"You have not set a default shipping address.","Non estableceu un enderezo predeterminado de envío."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
