" and "," e "
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paquete con prezos dinámicos que non pode incluír as opcións personalizadas definidas. Non se gardarán as opcións."
"CSV / Tab separated","Separado CSV / Tabulación"
"Card Verification Number","Número de verificación da tarxeta"
"Catalog","Catálogo"
"Channel","Canle"
"Channel:","Channel:"
"Choose Store View","Escoller visualización da tenda"
"Client Session timeout (sec.)","Client Session timeout (sec.)"
"Close","Pechar"
"Comments History","Historial de comentarios"
"Confirmed email:","Correo electrónico confirmado:"
"Connect with the Magento Community","Conectar coa comunidade de Magento"
"Contents","Contidos"
"Country:","País:"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","Número de tarxeta de crédito"
"Credit Card Number: xxxx-%s","Número de tarxeta de crédito: xxxx-%s"
"Credit Card Type","Tipo de tarxeta de crédito"
"Credit Card Type: %s","Tipo de tarxeta de crédito: %s"
"Credit Memo History","Historial da nota de crédito"
"Credit Memo Totals","Totais da nota de crédito"
"Current Configuration Scope:","Ámbito de configuración actual:"
"Current Release Information","Current Release Information"
"Custom","Personalizar"
"Customer Group:","Grupo do cliente:"
"Customer Since:","Cliente desde:"
"Customers","Clientes"
"DHTML Date/Time Selector","Selector de Data/Tempo DHTML"
"Dashboard","Panel"
"Data Format","Formato de datos"
"Data transfer:","Transferencia de datos:"
"Date selection:","Selección de data:"
"Date selector","Selector de data"
"Date:","Date:"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores (Admin) predeterminados"
"Default Values","Valores predeterminados"
"Delete","Eliminar"
"Dependencies","Dependencies"
"Description:","Description:"
"Direction:","Dirección:"
"Display %s first","Mostrar primeiro %s"
"Distributed under GNU LGPL. See %s for details.","Distribuído baixo a licenza GNU LGPL. Vexa os detalles en %s."
"Done By:","Done By:"
"Done by:","Done by:"
"Download Remote File","Download Remote File"
"Drag to move","Arrastrar para mover"
"Edit Role","Editar rol"
"Edit User '%s'","Editar usuario '%s'"
"Email","Correo electrónico"
"Email Preview","Previsualización de correo electrónico"
"Email:","Correo electrónico:"
"Enclose Values In:","Incluír valores en:"
"Entity type:","Tipo de entidade:"
"Excl. Tax","Excl. Imposto"
"Exclude","Exclude"
"Expiration Date","Data de caducidade"
"Expiration Date: %s/%s","Data de caducidade: %s/%s"
"Export","Exportar"
"Export Filters","Exportar filtros"
"Export to:","Exportar para:"
"Export:","Exportar:"
"Extension","Extensión"
"Extensions","Extensións"
"FTP Host[:Port]","Servidor FTP[:Porto]"
"Field Mapping","Mapeamento de campo"
"File Information","Información de ficheiro"
"File name:","Nome do ficheiro:"
"Final Price","Prezo final"
"Finished items creation.","Finished items creation."
"First Name:","Nome:"
"For latest version visit: %s","Para a última versión visitada: %s"
"From","De"
"General Settings","Opcións xerais"
"Get help for this page","Obter axuda para esta páxina"
"Global Record Search","Busca do rexistro global"
"Go Today","Ir para Hoxe"
"Google Base Items","Elementos de Google Base"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Axúdenos a manter a calidade do Magento - Envíe todos os erros"
"Ignore","Ignorar"
"Images","Imaxes"
"Import","Importar"
"Import Service","Importar servizo"
"In Database:","En base de datos:"
"In File:","En ficheiro:"
"Inactive","Inactive"
"Incl. Tax","Incl. Imposto"
"Include","Incluír"
"Installed As","Installed As"
"Interactive","Interactivo"
"Interface Locale: %s","Configuración local da interface: %s"
"Invalid webservice adapter specified","Invalid webservice adapter specified"
"Invalid webservice handler specified","Invalid webservice handler specified"
"Invoice History","Historial de factura"
"Invoice Totals","Totais de factura"
"Issue Number","Número de emisión"
"Issuer: %s","Financeira: %s"
"Items to merge","Items to merge"
"Last 5 Orders","Os últimos 5 pedidos"
"Last 5 Search Terms","Os últimos 5 termos de busca"
"Last Logged In (%s):","Último inicio de sesión (%s):"
"Last Logged In:","Último inicio de sesión en:"
"Last Name:","Apelido:"
"Latest Message:","Última mensaxe:"
"Leave empty to use tax identifier","Deixar baleiro para usar o identificador de impostos"
"Level","Level"
"License:","License:"
"Loading...","Cargando..."
"Local Server","Servidor local"
"Local/Remote Server","Servidor Local/Remoto"
"Log Out","Saír da sesión"
"Logged in as %s","Iniciada sesión como %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Api do núcleo de Magento"
"Magento Core Api Section","Sección da Api do núcleo de Magento"
"Magento Logo","Logotipo do Magento"
"Magento ver. %s","Magento %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Maintainers"
"Manage Stores","Xestionar tendas"
"Mapping Configuration","Mapping Configuration"
"Max","Máx"
"Merge Now","Merge Now"
"Min","Mín"
"Module version conflict!","Module version conflict!"
"N/A","N/D"
"Name","Nome"
"Name on Card","Nome na tarxeta"
"Name on the Card: %s","Nome na tarxeta: %s"
"Name:","Nome:"
"Next month (hold for menu)","Próximo mes (despregar menú)"
"Next page","Páxina seguinte"
"Next year (hold for menu)","Próximo ano (despregar menú)"
"No","Non"
"No Data Found","Non se atoparon datos"
"No search keywords.","Sen palabras chave para buscar."
"Note:","Nota:"
"Notes:","Notes:"
"Number of records:","Número de rexistros:"
"Old rate:","Taxa antiga:"
"Only mapped fields","Só campos mapeados"
"Order Totals","Totais do pedido"
"Order confirmation email not sent","Order confirmation email not sent"
"Order confirmation email sent","Order confirmation email sent"
"Original Magento attribute names in first row:","Nomes orixinais de atributo do Magento na primeira fila:"
"Package","Paquete"
"Package Information","Package Information"
"Packages","Paquetes"
"Page","Páxina"
"Passive mode","Modo pasivo"
"Password","Contrasinal"
"Path","Ruta"
"Path:","Ruta:"
"PayPal Email","PayPal Email"
"Personal Information","Información persoal"
"Phone:","Teléfono:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Por favor, confirme as alteracións de sitio. Todos os datos que non se gardaran perderánse."
"Please enter 6 or more characters.","Por favor, introduza 6 ou máis caracteres."
"Please enter a number greater than 0 in this field.","Introduza un número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Introduza unha cantidade válida. Por exemplo 100.00€."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Introduza un URL válido. Por exemplo, http://www.exemplo.com ou www.exemplo.com"
"Please enter a valid URL. http:// is required","Introduza un URL válido. Requírese http://"
"Please enter a valid credit card number.","Introduza un número válido de tarxeta de crédito."
"Please enter a valid date.","Introduza unha data válida."
"Please enter a valid email address. For example johndoe@domain.com.","Introduza un enderezo válido de correo electrónico. Por exemplo, nome@dominio.com."
"Please enter a valid number in this field.","Introduza un número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduza un número de teléfono válido. Por exemplo, 999 999 999 ou 999-999-999."
"Please enter a valid social security number. For example 123-45-6789.","Introduza un número da seguridade social válido. Por exemplo, 12-3456789123."
"Please enter a valid value from list","Introduza un valor válido da lista"
"Please enter a valid value, ex: 10,20,30","Por favor, introduza un valor válido, ex: 10,20,30"
"Please enter a valid zip code.","Por favor, introduza un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introduza un código postal válido. Por exemplo, 12345."
"Please enter valid password.","Introduza un contrasinal válido."
"Please make sure that your changes were saved before running the profile.","Por favor, asegúrese de que se gardaron todos os cambios antes de executar o perfil."
"Please make sure your passwords match.","Asegúrese de que os seus contrasinais coinciden."
"Please select State/Province.","Escolla a provincia/estado."
"Please select an option.","Seleccione unha opción."
"Please select one of the above options.","Escolla unha das opcións de arriba."
"Please select one of the options.","Seleccione unha das opcións."
"Please use in this field only ""a-z,0-9,_"".","Utilice neste campo só ""a-z,0-9,_""."
"Please use letters only (a-z) in this field.","Utilice só letras (a-z) neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Utilice só números neste campo. Evite os espazos en branco ou outros caracteres como os puntos ou as comas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Utilice só letras (a-z) ou números (0-9) neste campo. Os espazos ou outros caracteres non están permitidos."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Utilice só letras (a-z) ou números (0-9) ou espazos e # neste campo."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Use este formato de data: dd/mm/yyyy. Por exemplo, 17/05/1968 para o 17 de maio do ano 1968."
"Please wait, loading...","Por favor, espere, cargando..."
"Please, select a store view","Please, select a store view"
"Prev. month (hold for menu)","Mes anterior (despregar menú)"
"Prev. year (hold for menu)","Ano anterior (despregar menú)"
"Previous page","Páxina anterior"
"Price","Prezo"
"Price:","Prezo:"
"Primary Billing Address","Primary Billing Address"
"Processed <strong>%s%% %s/%d</strong> items","Processed <strong>%s%% %s/%d</strong> items"
"Product","Produto"
"Products","Produtos"
"Profile Information","Información do perfil"
"Provided Files","Provided Files"
"Qty","Ctde"
"Read details","Ler detalles"
"Recommended","Recommended"
"Remote FTP","FTP remoto"
"Remote URL:","Remote URL:"
"Remove","Eliminar"
"Resource Access","Acceso a recurso"
"Resources","Recursos"
"Role","Role"
"Role Users","Usuarios do rol"
"Roles","Roles"
"Roles Resources","Recursos dos roles"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Schedule Merge"
"Select All","Seleccionar todo"
"Select Date","Seleccionar data"
"Select Range","Seleccionar marxe"
"Select Visible","Seleccionar visible"
"Select date","Seleccionar data"
"Select website from map","Select website from map"
"Select website to map","Select website to map"
"Shipment Comments","Comentarios de envío"
"Shipment History","Historial de envío"
"Shipping Address","Enderezo de envío"
"Shipping address selection is not applicable","A selección de enderezo de envío non é aplicable"
"Shipping method selection is not applicable","A selección de método de envío non é aplicable"
"Show Report for","Show Report for"
"Show by","Show by"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Algúns elementos neste pedido teñen tipos de envío e facturación distintos. Pode crear un só envío despois de crear a factura."
"Sort Order","Orde de clasificación"
"Spreadsheet Name:","Nome da folla de cálculo:"
"Staging Store: ","Staging Store: "
"Staging Website: ","Staging Website: "
"Start Date","Data de inicio"
"State/Province:","Estado/Provincia:"
"Status","Estado"
"Status:","Estado:"
"Stock Quantity:","Cantidade en stock:"
"Store:","Tenda:"
"Store: ","Store: "
"Subpackage","Subpackage"
"Subpackages","Subpackages"
"Summary:","Summary:"
"Switch/Solo Only","Switch/Solo Only"
"Switch/Solo card issue number: %s","Número de emisión da tarxeta Switch/Solo: %s"
"Switch/Solo card start Date: %s/%s","Data de inicio da tarxeta Switch/Solo: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(UK Domestic) só"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Número de emisión de tarxeta Switch/Solo/Maestro(UK Domestic): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Data de inicio da tarxeta Switch/Solo/Maestro(UK Domestic) %s/%s"
"The information in this tab has been changed.","Modificouse a información neste separador."
"This is a required field.","Este é un campo obrigatorio."
"This tab contains invalid data. Please solve the problem before saving.","Este separador contén datos non válidos. Por favor, resolva o problema antes de gardar."
"Thumbnail","Miniatura"
"Time selection:","Selección de hora:"
"Time:","Hora:"
"To","A"
"Top 5 Search Terms","Os 5 termos de busca máis utilizados"
"Total %d records found","Atopáronse %d rexistros"
"Track order","Track order"
"Track this shipment","Rastrexar este envío"
"Type","Tipo"
"Type:","Tipo:"
"Unable to login.","Non se pode iniciar sesión."
"Unselect All","Anular a selección de todo"
"Unselect Visible","Anular a selección de visible"
"Upgrade All Available Packages","Upgrade All Available Packages"
"Upload Local File","Upload Local File"
"Upload local file:","Upload local file:"
"Use Default Value","Usar valores predeterminados"
"User","Usuario"
"User Name","Nome de usuario"
"User Roles","Roles de usuario"
"User name","Nome do usuario"
"Users","Usuarios"
"Value Delimiter:","Delimitador de valor:"
"Version:","Version:"
"View","Ver"
"View Statistics for","View Statistics for"
"Visibility:","Visibilidade:"
"Warning! Empty value can cause problems with CSV format.","Aviso! O valor baleiro pode crear problemas co formato CSV."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Servizos web"
"Web Services Configuration","Web Services Configuration"
"Website: ","Website: "
"Websites","Websites"
"Websites / Stores","Websites / Stores"
"What is this?","Que é isto?"
"Yes","Si"
"You have","Vostede ten"
"Your Account has been deactivated.","Your Account has been deactivated."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","As preferencias do seu servidor de PHP non lle permíten subir ficheiros de máis de %s ao mesmo tempo. Modifique os valores post_max_size (actualmente %s) e upload_max_filesize (actualmente %s) no ficheiro php.ini se quere subir ficheiros máis grandes."
"Zip/Postal Code:","Código postal:"
"critical","crítico"
"images/logo.gif","imaxes/logo.gif"
"items selected","Elementos seleccionados"
"major","importante"
"md5sum","md5sum"
"minor","secundario"
"notice","aviso"
"of %s pages","de %s páxinas"
"or","or"
"per page","por páxina"
"to","para"
