"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s elemento(s)"
"(Copy data from: %s)","(Copiar datos desde: %s)"
"Availability","Availability"
"Availability: In stock.","Disponibilidade: Disponível"
"Availability: Out of stock.","Disponibilidade: Esgotado"
"Back","Volver"
"Backend Model","Modelo de backend"
"Backend Table","Táboa do backend"
"Backend Table Title","Título da táboa do backend"
"Backorders","Pedidos atrasados"
"Base directory to upload image file is not specified","O directório base para o carregamento de imagens não está especificado"
"Based On","Baseado en"
"Best Value","Mellor prezo"
"Block after Info Column","Bloque posterior á columna de información"
"Bottom/Left","Abaixo/Esquerda"
"Bottom/Right","Abaixo/Dereita"
"Browse By","Buscar por"
"Buy %1$s for %2$s","Mercar %1$s por %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Mercar %1$s por %2$s cada un (%3$s impostos incluídos)"
"Buy %1$s for %2$s each","Mercar %1$s por %2$s cada un"
"Can be used only with catalog input type Dropdown","Só se pode usar co tipo de entrada do catálogo despregable"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Só se pode usar co tipo de entrada do catálogo despregable, selección múltiple e prezo"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Atributo do elemento do carriño"
"Catalog","Catálogo"
"Catalog Input Type for Store Owner","Tipo de entrada para Dono da Loja"
"Catalog Price Scope","Ámbito do prezo do catálogo"
"Catalog Section","Sección do catálogo"
"Catalog, Search","Catálogo, Busca"
"Categories","Categorías"
"Categories Sitemap","Mapa do sitio das categorías"
"Category","Categoría"
"Category API","API da categoría"
"Category Data","Datos da Categoría"
"Category Navigation:","Navegação por Categorias:"
"Category Products","Produtos da categoría"
"Category Top Navigation","Categoría superior de navegación"
"Category URL Suffix","Sufixo do URL da categoría"
"Category attributes API","API de atributos da categoría"
"Category delete error","Erro ao remover categoria"
"Category deleted","Categoria removida"
"Category move error","Houbo un erro movendo a categoría"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Categoria guardada"
"Change","Cambiar"
"Change or Retrieve attribute store view","Cambiar ou recuperar o atributo da visualización da tenda"
"Change status","Cambiar estado"
"Check items to add to the cart or","Verificar elementos para engadir ao carriño ou"
"Choose an Option...","Escolla unha opción..."
"Choose option...","Escolha opção..."
"Clear All","Limpar todo"
"Clear All Items","Limpar todos os itens"
"Close Window","Pechar ventá"
"Collapse All","Contraer todo"
"Comparable","Comparável"
"Comparable on Front-end","Comparable no Front-end"
"Compare Items","Comparar Itens"
"Compare Products","Comparar produtos"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Comparar Produtos - %d itens"
"Compare Products List","Compara Lista de Produtos"
"Compare list successfully cleared","Lista de comparação de preços correctamente limpa"
"Conditions Combination","Combinación de condicións"
"Configurable Product","Produto configurable"
"Configurable Product Settings","Parámetros configurables do produto"
"Continue","Continuar"
"Copy From Configurable","Copiar desde configurable"
"Country/State","País/Estado"
"Create","Crear"
"Create (Upload)","Crear (subir)"
"Create Empty","Crear baleiro"
"Create Product Settings","Crear configuracións de produto"
"Create Simple Associated Product","Crear un produto asociado simple"
"Create new category","Crear unha nova categoría"
"Create new product","Crear un novo produto"
"Cross-sells","Ventás cruzadas"
"Currently Shopping by","Actualmente a comprar por"
"Custom Design","Deseño personalizado"
"Custom Options","Opcións personalizadas"
"Customer Group","Grupo de cliente"
"Customers Reviews","Valoracións dos clientes"
"Customers Tagged Product","Produto etiquetado polos clientes"
"Customers for alert %s was successfuly added to queue","Clientes para alertas %s foram correctamente colocados em Lista de Espera"
"Data Type for Saving in Database","Tipo de datos para gardar na base de datos"
"Date","Data"
"Date & Time Custom Options","Opcións personalizadas de data e hora"
"Date Subscribed","Data de subscrición"
"Date fields order","Date fields order"
"Datetime","Data"
"Decimal","Décimla"
"Decimal Number","Número decimal"
"Declare attribute value saving scope","Declarar o alcance do atributo de aforro"
"Default Qty","Cantidade predeterminada"
"Default Values","Valores predeterminados"
"Default price","Preço por Omissão"
"Default value","Valor por omissão"
"Delete","Eliminar"
"Delete Attribute","Eliminar atributo"
"Delete Attribute Set","Borrar conxunto de atributos"
"Delete Category","Borrar categoría"
"Delete Option","Borrar opción"
"Delete Row","Borrar fila"
"Delete Search","Borrar busca"
"Delete Selected Group","Borrar o grupo seleccionado"
"Delete category","Borrar categoría"
"Delete product","Borrar produto"
"Depends on design theme","Depende do deseño do tema"
"Design","Deseño"
"Disabled","Desactivado"
"Display in Suggested Terms","Amosar nos termos suxeridos"
"Double click on a group to rename it","Faga dobre clic nun grupo para renomealo"
"Double click on above image to view full picture","Faga dobre clic na imaxe superior para vela completa"
"Dropdown","Lista de selecção"
"Duplicate","Duplicar"
"Duplicate website tier price customer group and quantity.","Sitio web duplicado no grupo e cantidade do prezo ao cliente."
"Duplicate website, country and state tax found.","Sitio web duplicado, atopouse un país e un imposto estatal."
"Edit","Editar"
"Edit Attribute Set '%s'","Editar conxunto de atributos '%s'"
"Edit Product Attribute","Editar atributo do produto"
"Edit Product Attribute ""%s""","Editar atributo do produto ""%s"""
"Edit Search","Editar busca"
"Edit Search '%s'","Editar a busca '%s'"
"Email","Correo electrónico"
"Email to a Friend","Correo para un amigo"
"Empty","Baleiro"
"Enabled","Activado"
"Error during retrieval of option value: %s","Houbo un erro recuperando o valor da opción: %s"
"Error while adding customers for %s alert. Message: %s","Erro enquanto adicionava clientes para a alerta %s. Mensagem: %s "
"Error while saving this group. Group with the same name already exists.","Erro ao guardar grupo. Já existe um outro com o mesmo nome."
"Error while saving this group. Please try again later.","Erro ao guardar o grupo. Por favor tente novamente mais tarde"
"Exclude","Excluír"
"Expand All","Expandir todo"
"Failed","Fallou"
"Failed to move file: %s","Houbo un fallo movendo o ficheiro: %s"
"Feature Products","Carecterísticas dos produtos"
"File options format is not valid","File options format is not valid"
"File upload failed","Fallou a subida do ficheiro"
"Filter model name must be declared","O nome do modelo de filtro tem que ser definido"
"Filter must be as object. Set correct filter please","O filtro tem que ser um objecto. Por favor corrija o problema"
"Filterable (no results)","Filtrable (sen resultados)"
"Filterable (with results)","Filtrable (con resultados)"
"Filters must be as array","Os filtros tem que ser uma matriz (array)"
"First Name","Nome"
"Fixed","Fixo"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","Para uso interno. Tem que ser único e sem espaços"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","Frontend"
"Frontend Model","Modelo de frontend"
"Frontend Properties","Propiedades do frontend"
"Gallery","Galería"
"General Information","Información xeral"
"Get special price","Obter un prezo especial"
"Global","Global"
"Globally Editable","Editable globalmente"
"Go to Home Page","Ir á páxina de inicio"
"Grid","Grade"
"Grouped Product","Produto agrupado"
"Groups","Grupos"
"Home","Inicio"
"ID","ID"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Se non especifica un valor da opción para unha visualización de tenda específica usarase o valor por defecto (Admin)."
"Image","Imaxe"
"Image content is not valid base64 data.","Image content is not valid base64 data."
"Image file not found","Imagem não encontrada"
"Image not exists","Imagem não existente"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","Precísase especificar un tipo de imaxe e información para cada visualización da tenda."
"In Stock","En stock"
"In stock","En stock"
"In stock.","In stock."
"Incl. Tax","Incl. Imposto"
"Input Type","Tipo de entrada"
"Input Validation for Store Owner","Validação de entrada para dono da Loja"
"Integer","Enteiro"
"Integer Number","Número Inteiro"
"Invalid Tier Prices","Capa de prezos non válida"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opção de atributo inválida para atributo especificado. Ignorando registo"
"Invalid attribute set specified, skipping the record","Grupo de atributos especificado inválido. Ignorando o registo"
"Invalid block: %s","Bloco inválido: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Id's de categoria inválidos"
"Invalid image file type","Tipo de ficheiro de imagem inválido"
"Invalid image type.","Tipo de imaxe non válido."
"Invalid option id specified for %s (%s), skipping the record","Id de opção especificada inválida para %s (%s), ignorando os dados"
"Invalid product type specified, skipping the record","Tipo de produto inválido, ignorando os dados"
"Invalid store specified","Non é válida a tenda especificada"
"Invalid store specified, skipping the record","Loja inválida especificada, ignorando registo"
"Inventory","Inventario"
"Is Default","É predeterminado"
"Is Required","Requírese"
"Items %s to %s of %s total","Elementos %s a %s dun total de %s"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Os elementos que non quere amosar no catálogo ou nos resultados das buscas deben ter o estado 'Desactivado' na tenda desexada."
"Label","Etiqueta"
"Last Name","Apelido"
"Last Notification","Última notificación"
"Learn More","Aprender máis"
"Length of text is too long","Length of text is too long"
"Letters","Letras"
"Letters(a-zA-Z) or Numbers(0-9)","Letras (a-zA-Z) ou Números(0-9)"
"Line %d, Email: %s","Liña %d, Correo: %s"
"Line %d, SKU: %s","Liña %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Ligazón (Relacionado, Venda dirixida, Venda cruzada)"
"Link product not exists.","Link product not exists."
"List","Lista"
"List Mode","Modo de lista"
"Manage Attribute Sets","Xestionar conxunto de atributos"
"Manage Attributes","Xestionar atributos"
"Manage Catalog Categories","Xestionar as categorías de catálogos"
"Manage Categories","Xestionar categorías"
"Manage Label / Options","Xestionar etiqueta / Opcións"
"Manage Options (values of your attribute)","Xestionar opcións (valores do seu atributo)"
"Manage Product Attributes","Xestionar os atributos do produto"
"Manage Product Sets","Xestionar os conxuntos de produtos"
"Manage Products","Xestionar produtos"
"Manage Stock","Xestionar almacén"
"Manage Titles (Size, Color, etc.)","Xestionar títulos (Tamaño, Cor etc.)"
"Max Characters","Caracteres máximos"
"Maximal Depth","Profundidade máxima"
"Maximum Image Size","Tamaño máximo de imaxe"
"Maximum Qty Allowed in Shopping Cart","Cantidade máxima permitida no carriño de compra"
"Maximum image height","Altura máxima da imaxe"
"Maximum image width","Largura máxima da imaxe"
"Maximum number of characters","Maximum number of characters"
"Media Image","Soportes de imaxe"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","Cantidade mínima permitida no carriño de compra"
"Minimum Qty for Item's Status to be Out of Stock","Cantidade mínima para que o estado dos elementos sexa esgotado"
"Missing SKU, skipping the record","SKU em falta, ignorando os dados"
"More Views","Máis visualizacións"
"Move","Mover"
"Move category in tree","Mover a categoría na árbore"
"Multiple Select","Selecção Múltipla"
"Name","Nome"
"Name In %s","Nome Em %s"
"Name<br/>(For internal use)","Nome <br/>(Para uso interno)"
"New Category","Nova categoría"
"New Product","Novo produto"
"New Product Attribute","Novo atributo de produto"
"New Products","Novos produtos"
"New Search","Nova busca"
"New Set Name","Novo nome do conxunto"
"Next","Seguinte"
"No","Non"
"No image","Sen imaxe"
"No layout updates","Non hai actualizacións do deseño"
"No options of this product are available.","Non hai opcións dispoñibles deste produto."
"No product collections found","Não foram encontradas colecções de produtos"
"None","Ningún"
"Not shared with other products","Não está partilhado com outros produtos"
"Notify Low Stock RSS","Avisar da baixa dispoñibilidade en almacén por RSS"
"Notify for Quantity Below","Avisar de cantidades por debaixo de"
"Nowhere","Em lado nenhum"
"Number of Uses","Número de usos"
"Number of results<br/>(For last time placed)","Número de resultados<br />(Colocados da última vez)"
"OR","OU"
"Old Price:","Prezo antigo:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","Opción:"
"Options Control","Control de opcións"
"Options is required","Precísanse opcións"
"Our customer service is available 24/7. Call us at (555) 555-0123.","O noso servizo de atención ao cliente está dispoñible 24/7. Chámenos ao (555) 555-0123."
"Out of Stock","Esgotado"
"Out of stock","Esgotado"
"Out of stock.","Indisponível"
"PM","PM"
"Page Title Separator","Separador do título da páxina"
"Page:","Pagina:"
"Parent Category","Categoría pai"
"Pending","Pendente"
"Pending Reviews RSS","RSS das valoracións pendentes"
"Percentage","Porcentaxe"
"Please add rows to option.","Engada filas á opción."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Teña coidado porque unha vez que prema na fila cargarase o paquete de datos do ficheiro seleccionado e todos os datos non gardados do formulario perderanse."
"Please click on Close Window button if it won't be closed automatically","Por favor clique no botão de fechar a janela se esta não fechar automaticamente"
"Please enter a new group name","Introduza un novo nome de grupo"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","Escolla un ou máis atributos."
"Please select product(s)","Por favor seleccione produto(s)"
"Please select products for attributes update","Escolla os produtos para actualizar os atributos"
"Please select static block ...","Por favor seleccione um bloco estático"
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","Especifique a(s) opción(s) de produto necesarias"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","Posición"
"Position In Layered Navigation","Posição na Navegação por Atributos"
"Position of attribute in layered navigation block","Posición do atributo no bloque de navegación por capas"
"Prev","Anterior"
"Previous","Anterior"
"Price","Prezo"
"Price Type","Tipo de prezo"
"Price values for options should be specified in system base currency.","Os valores de prezos nas opcións deben especificarse na moeda base do sistema."
"Price:","Prezo:"
"Print This Page","Imprimir esta páxina"
"Problem saving the collection, aborting. Error: %s","Problema ao guardar a colecção, abortado. Erro: %s"
"Product","Produto"
"Product %s successfully added to compare list","Produto %s adicionado à lista de comparação"
"Product %s successfully removed from compare list","Produto %s correctamente removido da lista de comparações"
"Product API","API do produto"
"Product Alerts","Avisos de produto"
"Product Attribute","Atributo do produto"
"Product Attributes","Atributos do produto"
"Product Categories","Categorías do produto"
"Product Description","Descrición do produto"
"Product Image Placeholders","Marcas de posición da imaxe do produto"
"Product Image Watermarks","Marcas de auga da imaxe do produto"
"Product Images","Imaxes do produto"
"Product Images API","API das imaxes do produto"
"Product In Websites","Produto nos sitios web"
"Product Info Column","Columna de información do produto"
"Product Information","Información do produto"
"Product Name","Nome do produto"
"Product Reviews","Valoracións do produto"
"Product Tags","Etiquetas do produto"
"Product Tier Price API","API do prezo diferenciado do produto"
"Product Type","Tipo de produto"
"Product URL Suffix","Sufixo do URL do produto"
"Product attribute sets API","API de conxuntos de atributo do produto"
"Product attribute was successfully deleted","O atributo do produto foi correctamente removido"
"Product attribute was successfully saved","O atributo do produto foi correctamente alterado"
"Product attributes API","API dos atributos do produto"
"Product collection expected","Colecção de produtos esperada"
"Product deleted","Produto removido"
"Product duplicated","Produto duplicado"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","API de ligazóns de produto (relacionados, vendas cruzadas, vendas dirixidas)"
"Product listing sort by","Product listing sort by"
"Product saving error.","Erro guardar produto"
"Product saving error. ","Product saving error. "
"Product types API","API de tipos de produto"
"Product was successfully created.","Produto criado correctamente"
"Product was successfully saved.","Produto guardado correctamente"
"Product with this combination of attributes already associated to configurable.","O produto con esta combinación de atributos xa se asociou a configurable."
"Products","Produtos"
"Products Information","Información do produtos"
"Products Reviews","Valoracións dos produtos"
"Products Sitemap","Mapa do sitio para os produtos"
"Products only","Só produtos"
"Products per Page on Grid default value","Produtos por página por omissão na Vista em grelha"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Produtos por página por omissão em Lista"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","Propiedades"
"Qty","Ctde"
"Qty Uses Decimals","As cantidades usan decimais"
"Qty for Item's Status to become Out of Stock","Cantidade para que o estado dos elementos sexa esgotado"
"Quick Create","Crear rapidamente"
"Quick Overview","Visión xeral rápida"
"Quick simple product creation","Creación rápida de produto simple"
"Records for ""","Rexistros para """
"Redirect","Redireccionar"
"Redirect URL","Redireccionar URL"
"Regular Price:","Prezo fixo:"
"Related Products","Produtos relacionados"
"Remove","Eliminar"
"Remove Product","Remover produto"
"Remove Product From Websites","Eliminar produto das webs"
"Remove This Item","Eliminar este elemento"
"Remove product assignment","Eliminar a asignación de produtos"
"Remove product image","Eliminar a imaxe do produto"
"Remove product link","Eliminar a ligazón do produto"
"Required","Obrigatório"
"Reset","Restablecer"
"Results","Resultados"
"Retrieve attribute data","Recuperar os datos do atributo"
"Retrieve attribute list","Recuperar a lista de atributos"
"Retrieve attribute options","Recuperar as opcións do atributo"
"Retrieve categories tree","Recuperar a árbore de categorías"
"Retrieve category attributes","Recuperar os atributos da categoría"
"Retrieve category data","Recuperar os datos da categoría"
"Retrieve hierarchical tree","Recuperar a árbore xerárquica"
"Retrieve linked products","Recuperar os produtos ligados"
"Retrieve list of assigned products","Recuperar a lista de produtos asignados"
"Retrieve one level of categories by website/store view/parent category","Recuperar un nivel de categorías por sitio/tenda ou ver/categoría pai"
"Retrieve product","Recuperar produto"
"Retrieve product attribute sets","Recuperar os conxuntos de atributos do produto"
"Retrieve product image","Recuperar a imaxe do produto"
"Retrieve product image list","Recuperar a lista de imaxes do produto"
"Retrieve product image types","Recuperar os tipos de imaxe do produto"
"Retrieve product link type attributes","Recuperar os tipos de atributos de ligazón do produto"
"Retrieve product link types","Recuperar os tipos de ligazón de produto"
"Retrieve product tier prices","Recuperar prezos do nivel do produto"
"Retrieve product types","Recuperar os tipos de produto"
"Retrieve products data","Recuperar os datos do produto"
"Retrieve products list by filters","Recuperar listas de produtos por filtros"
"Review successfully deleted","Análise correctamente removida"
"Review was saved successfully","A análises foi guardada correctamente"
"Review was successfully saved","Análise correctamente guardada"
"Reviews","Valoracións"
"Roll Over for preview","Darlle unha volta para previsualizar"
"Root","Raíz"
"SKU","SKU"
"Save","Gardar"
"Save And Continue Edit","Guardar e Continuar Edição"
"Save Attribute","Gardar atributo"
"Save Attribute Set","Gardar o conxunto de atributos"
"Save Category","Gardar a categoría"
"Save Search","Gardar a busca"
"Saved ","Guardado"
"Scope","Ámbito"
"Search","Busca"
"Search Engine Optimizations","Optimizacións para motores de busca (SEO)"
"Search Information","Información da busca"
"Search Query","Consulta da busca"
"Search Term was successfully saved","Termo de Pesquisa foi correctamente guardado"
"Search Term with such search query already exist.","Termo de pesquisa com essa consulta já existe"
"Search was successfully deleted","A pesquisa foi correctamente removida"
"Searchable","Buscable"
"Select Configurable Attributes ","Escoller os atributos configurables "
"Select type of option","Escoller o tipo de opción"
"Select type options required values rows.","Escolla o tipo de opcións para os valores das filas solicitadas."
"Selected Product Types","Escoller os tipos de produtos"
"Selected configuration is not available.","A configuración escollida non está dispoñible."
"Send Count","Enviar conta"
"Set Ascending Direction","Establecer o sentido ascendente"
"Set Descending Direction","Establecer o sentido descendente"
"Set Name","Establecer o nome"
"Set Root Category For Store","Definir Categoria Principal para a Loja"
"Set root category for this store in the <a href=""%s"">configuration</a>","Establecer a categoría raíz para esta tenda na <a href=""%s"">configuración</a>"
"Set special price","Establecer un prezo especial"
"Set/Get current store view","Establecer/Obter a visualización actual da tenda"
"Settings","Opcións"
"Shop by","Comprar por"
"Shopping Options","Opcións de compra"
"Show","Amosar"
"Show Details","Amosar detalles"
"Show Tags","Amosar etiquetas"
"Simple Product","Produto simple"
"Site Map","Mapa do sitio"
"Sitemap","Mapa do sitio"
"Skip import row, is not valid value ""%s"" for field ""%s""","Saltar a fila para importar, ""%s"" non é un valor válido para o campo ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","Ignorar importação linha, campo requerido ""%s"" para novo cliente não definido"
"Skip import row, required field ""%s"" for new products not defined","Ignorar importação linha, campo requerido ""%s"" para novos produtos não definido"
"Skip import row, required field ""%s"" not defined","Ignorar importação linha, campo requerido ""%s"" não definido"
"Skip import row, store ""%s"" field not exists","Ignorar importação linha, campo da loja ""%s"" não existe"
"Sort Order","Orde de clasificación"
"Sort by","Ordenar por"
"Source Model","Modelo de orixe"
"Special Price:","Prezo especial:"
"Starting at:","Comezando por:"
"Static","Estático"
"Static block and products","Bloque e produtos estáticos"
"Static block only","Só bloque estático"
"Status","Estado"
"Stock Availability","Dispoñibilidade en almacén"
"Store","Tenda"
"Store View","Visualización da tenda"
"Stretch","Estirar"
"Subscribe to Feed","Subscrever Feed"
"Subscribe to RSS Feed","Subscribirse á fonte de novas"
"Super product attributes configuration","Configuración de atributos de súper produto"
"Synonym For","Sinónimo de"
"Synonym for","Sinónimo para"
"System","Sistema"
"System Properties","Propiedades do sistema"
"Tag Name","Nome de etiqueta"
"Tax","Imposto"
"Text","Texto"
"Text Area","Área de texto"
"Text Field","Campo de texto"
"There are no %s available.","Non hai %s dispoñible."
"There are no customers for this alert","Non hai clientes para esta alerta"
"There are no products matching the selection.","Non hai produtos que coincidan coa selección."
"There was an error while adding products to websites","Ocorreu um erro enquanto adicionava produtos ao site"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","Ocorreu um erro enquanto removia produtos do site"
"There was an error while updating product(s) attributes","Ocorreu um erro ao actualizar os atributos dos produtos"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","Este atributo xa non existe"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","Este grupo contén atributos que se utilizan en produtos configurables. Mova estes atributos a outro grupo e ténteo de novo."
"This group contains system attributes. Please move system attributes to another group and try again.","Este grupo contén atributos do sistema. Mova os atributos do sistema a outro grupo e ténteo de novo."
"This is a required option","Esta é unha opción obrigatoria"
"This search no longer exists","Esta pesquisa já não existe"
"Tier Pricing","Escalar o prezo"
"Tile","Ficha"
"Time format","Time format"
"Title","Título"
"Top/Left","Arriba/Esquerda"
"Top/Right","Arriba/Dereita"
"Total Qty Base Items","Cantidade total de elementos base"
"Total incl. Tax: %1$s","Total incl. imposto: %1$s"
"Total of %d record(s) were successfully deleted","Um total de %d registo(s) foram correctamente removidos"
"Total of %d record(s) were successfully updated","Um total de %d registo(s) foram correctamente actualizados"
"Type","Tipo"
"Unable to complete request. Please try again later.","Incapaz de terminar o pedido. Por favor tente novamente mais tarde."
"Unable to find a search term to delete","Não foi possível encontrar o termo de pesquisa para remover"
"Unable to find an attribute to delete","Incapaz de encontrar o atributo a remover"
"Unable to get product id.","Incapaz de encontrar a id do produto."
"Unassigned Attributes","Atributos sen asignar"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (não é partilhado com outros produtos)"
"Unknown attribute: %s","Atributo desconhecido: %s"
"Up-sells","Aumento de vendas"
"Update","Actualizar"
"Update Attributes","Actualizar os atributos"
"Update Tier Price","Actualizar o nivel de prezos"
"Update assigned product","Actualizar o produto asignado"
"Update attributes","Actualizar atributos"
"Update category","Actualizar a categoría"
"Update product","Actualizar produto"
"Update product image","Actualizar a imaxe do produto"
"Update product link","Actualizar a ligazón do produto"
"Update product tier prices","Actualizar o nivel de prezos do produto"
"Upload new product image ","Subir unha nova imaxe do produto "
"Url","Url"
"Url Rewrite Management","Xestión de URL Rewrite"
"Url rewrie save problem.","Url rewrie save problem."
"Use Config Settings","Usar parámetros de configuración"
"Use Default Value","Usar valores predeterminados"
"Use Flat Catalog Category","Usar a categoría de catálogo simple"
"Use Flat Catalog Product","Usar o catálogo simple de produto"
"Use In Layered Navigation","Usar na navegación por capas"
"Use In Layered Navigation<br/>(Can be used only with catalog input type 'Dropdown')","Usar na Navegação por atributos<br>(Apenas pode ser usado com a entrada de catálogo do tipo 'Menu de Selecç0')"
"Use In Search Results Layered Navigation","Usar na navegación por capas no resultado de buscas"
"Use JavaScript Calendar","Usar o calendario JavaScript"
"Use To Create Configurable Product","Usar para crear un produto configurable"
"Use Tree Like Category Sitemap","Usar mapa do sitio de categorías como árbore"
"Use categories path for product URLs","Usar o caminho das categorias para a Url dos produtos"
"Use in advanced search","Utilizar na pesquisa avançada"
"Use in quick search","Usar na pesquisa rápida"
"Used for sorting in product listing","Used for sorting in product listing"
"Used in product listing","Used in product listing"
"Values Required","Valores Necessários"
"Varchar","Varchar"
"View as","Ver como"
"Virtual Product","Produto virtual"
"Visibility","Visibilidade"
"Visible","Visível"
"Visible on Catalog Pages on Front-end","Visible nas páxinas de catálogo na portada"
"Visible on Product View Page on Front-end","Visible na páxina de visualización do produto na portada"
"Watermark","Marca de auga"
"Watermark Default Size","Tamaño predefinido da marca de auga"
