"%s was successfully added to your shopping cart.","%s Foi correctamente adicionado ao seu carrinho de compras"
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","Estimación do envío e de impostos"
"Excl. Tax","Excluír impostos"
"Fast and easy check out","Confirmación de pedido rápido e sinxelo"
"Fax","Fax"
"Forgot an Item?","Esqueceu un elemento?"
"Forgot your password?","Perdeu o seu contrasinal?"
"Get a Quote","Obter un presuposto"
"Grand Total:","Suma total:"
"Grouped product image","Imagem de Produto em Grupo"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incluír impostos"
"Invalid data","Dados inválidos"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Método de Envio inválido"
"Items","Elementos"
"Load customer quote error","Houbo un erro na carga do presuposto do cliente"
"Loading next step...","Cargando o seguinte paso..."
"Login","Iniciar sesión"
"Manage Checkout Terms and Conditions","Xestionar os termos e condicións da confirmación do pedido"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","A cantidade máxima permitida para o envío a múltiples enderezos é %s"
"Move to Wishlist","Mover á lista de desexos"
"My Account","A Minha Conta"
"My Cart","O meu carriño"
"My Cart (%s item)","O meu carriño (%s elemento)"
"My Cart (%s items)","O meu carriño (%s elementos)"
"My Cart Link","Ligazón ao meu carriño"
"New Address","Novo enderezo"
"New Condition","Nova condición"
"Order #","Pedido #"
"Order Review","Repasar pedido"
"Order Success","Pedido correcto"
"Other items in your order","Other items in your order"
"Password","Contrasinal"
"Payment Failed Email Reciever","Destinatario do correo electrónico de erros no pagamento"
"Payment Failed Email Sender","Remitente do correo electrónico de erros no pagamento"
"Payment Failed Emails","Correos electrónicos de erros de pagamento"
"Payment Failed Template","Modelo de erros de pagamento"
"Payment Information","Información de pagamento"
"Payment Method","Método de pagamento"
"Payment method is not defined","Non se definiu o método de pagamento"
"Place Order","Facer pedido"
"Please <a href=""%s"">continue shopping</a>.","Por favor <a href=""%s"">continue as suas compras</a>."
"Please agree to all Terms and Conditions before placing the order.","Acepte todos os termos e condicións antes de realizar o pedido."
"Please agree to all Terms and Conditions before placing the orders.","Acepte todos os termos e condicións antes de realizar os pedidos."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Por favor insira uma código postal válido. Ex: 4750 ou 4750-144"
"Please log in below:","Inicie sesión abaixo:"
"Please select region, state or province","Escolla unha provincia, rexión ou estado"
"Please select shipping address for applicable items","Escolla un enderezo de envío para os elementos correspondentes"
"Please select shipping methods for all addresses","Escolla os métodos de envío para todos os enderezos"
"Price","Prezo"
"Proceed to Checkout","Continuar coa confirmación de pedido"
"Product","Produto"
"Product Name","Nome do produto"
"Product does not exist","O produto não existe"
"Qty","Cantidade"
"Quote Lifetime (days)","Tempo de vida da oferta (días)"
"Recently added item(s)","Elemento(s) recentemente engadido(s)"
"Register","Rexistrarse"
"Register and save time!","Rexístrese e aforre tempo!"
"Register to Create an Account","Rexistrarse para crear unha conta"
"Register with us for future convenience:","Rexístrese con nós para futuras oportunidades:"
"Remove","Remover"
"Remove Item","Eliminar o elemento"
"Remove Product","Remover produto"
"Remove item","Eliminar o elemento"
"Review Order","Revisar pedido"
"Review Order - %s","Revisar pedido - %s"
"Sales","Vendas"
"Save Condition","Gardar condición"
"Save in address book","Gardar na axenda de enderezos"
"Select Address","Escoller enderezo"
"Select Addresses","Escoller enderezos"
"Select Shipping Method","Escoller método de envío"
"Select State/Province...","Escoller provincia/estado..."
"Select a billing address from your address book or enter a new address.","Escolla un enderezo de facturación da súa axenda de enderezos ou introduza un novo."
"Select a shipping address from your address book or enter a new address.","Escolla un enderezo de envío da súa axenda de enderezos ou introduza un novo."
"Send Payment Failed Email Copy Method","Método de copia do correo electrónico de erro no pagamento"
"Send Payment Failed Email Copy To","Enviar unha copia do correo electrónico de erro no pagamento a"
"Send to","Enviar para"
"Ship to Multiple Addresses","Enviar a múltiples enderezos"
"Ship to different address","Enviar a enderezos diferentes"
"Ship to this address","Enviar a este enderezo"
"Shipping Address","Enderezo de envío"
"Shipping Information","Información de envío"
"Shipping Method","Método de envío"
"Shipping Methods","Métodos de envío"
"Shipping method has not been selected yet","Aínda non se escolleu o método de envío"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Enviar para"
"Shopping Cart","Carriño da compra"
"Shopping Cart Sidebar","Barra lateral do carriño de compra"
"Shopping Cart is Empty","O carriño de compra está baleiro"
"Show Content as","Amosar contido como"
"Some of the products you requested are not available in the desired quantity","Alguns dos produtos que pediu não estão disponíveis na quantidade indicada"
"Some of the products you requested are unavailable","Alguns dos produtos pedidos não estão disponíveis"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Sentímolo, non hai ofertas dispoñibles para este pedido neste momento."
"State/Province","Provincia/Estado"
"Status","Estado"
"Store View","Visualización de tenda"
"Street Address","Rúa"
"Street Address ","Street Address "
"Submitting order information...","Entregando información do pedido..."
"Subtotal","Sub-total"
"Telephone","Teléfono"
"Terms and Conditions","Termos e condicións"
"Terms and Conditions Information","Información de termos e condicións"
"Terms and conditions","Termos e condicións"
"Text","Texto"
"Thank you for your purchase!","Grazas pola súa compra!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Existem <a href=""%s""><strong>%s itens</strong></a> no seu carrinho de compras."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Existe <a href=""%s""><strong>1 item</strong></a> no seu carrinho de compras."
"There is already a customer registered using this email address","Já existe um cliente registado com o mesmo endereço de email"
"There was an error processing your order. Please contact us or try again later.","Houbo un erro procesando o seu pedido. Contacte con nós ou ténteo de novo máis tarde."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Total para este enderezo"
"Unit Price","Prezo por unidade"
"Update Qty &amp; Addresses","Actualizar cantidade e enderezos"
"Update Shopping Cart","Actualizar o carriño de compra"
"Update Total","Actualizar total"
"Use Billing Address","Usar enderezo de facturación"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Estamos procesando o seu pedido e pronto recibirá un correo electrónico cos detalles. Unha vez que o pedido se envíe recibirá outro correo cunha ligazón para rastrexar o proceso."
"You have no items in your shopping cart.","Non ten elementos no seu carriño de compra."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Recibirá unha confirmación de pedido cos detalles correspondentes e unha ligazón para rastrexar o proceso."
"Your Checkout Progress","O seu progreso de confirmación de pedido"
"Your order # is: %s","A sua encomenda # é: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","Recibiuse o seu pedido"
"Your order number is ","O seu número de pedido é "
"Zip/Postal Code","Código postal"
"osCommerce Orders","Pedidos de osCommerce"
"separate by "",""","separate by "","""
"My Cart","O Meu Carrinho"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
