"%s was successfully added to your shopping cart.","%s sėkmingai įkelta į Jūsų Krepšelį."
"Shipping method has not been selected yet","Pristatymo būdas dar nebuvo pasirinktas"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","Pristati į"
"Shopping Cart","Krepšelis"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","Krepšelis tuščias"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","Dalies pasirinktų prekių nepakankamas kiekis"
"Some of the products you requested are unavailable","Dalies pasirinktų prekių šiuo metu nėra"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Atsiprašome, šiuo metu nenustatyta kaina Jūsų užsakymui."
"State/Province","Apskritis/Rajonas"
"Status","Status"
"Store View","Store View"
"Street Address","Gatvė namo nr."
"Street Address ","Street Address "
"Submitting order information...","Pateikiama užsakymo informacija..."
"Subtotal","Tarpinė suma"
"Telephone","Telefonas"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Dėkojame už Jūsų pirkinį!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Yra <a href=""%s""><strong>%s prekė</strong></a> krepšelyje."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There is already a customer registered using this email address","Klientas su tokiu el.paštu jau yra"
"There was an error processing your order. Please contact us or try again later.","There was an error processing your order. Please contact us or try again later."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","Viso šiam adresui"
"Unit Price","Vieneto kaina"
"Update Qty &amp; Addresses","Atnaujinti Vnt. &amp; Adresus"
"Update Shopping Cart","Atnaujinti krepšelį"
"Update Total","Atnaujinti viso"
"Use Billing Address","Naudoti Mokėtojo adresą"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Mes vykdome jūsų užsakymą, netrukus gausite užsakymo informaciją į el. paštą. Kai tik užsakymas bus išsiųstas, gausite el.laišką su nuoroda, kur galėsite sekti eigą."
"You have no items in your shopping cart.","Jūsų krepšelis tuščias."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Jūs gausite užsakymo patvirtinimo laišką į el.paštą ir nuorodą kaip užsakymas vykdomas."
"Your Checkout Progress","Jūsų pirkimo procesas"
"Your order # is: %s","Jūsų užsakymas r # yra: %s"
"Your order # is: <a href=""%s"">%s</a>","Jūsų užsakymas # yra: <a href=""%s"">%s</a>"
"Your order has been received","Jūsų užsakymas priimtas"
"Your order number is ","Your order number is "
"Zip/Postal Code","Zip/Pašto kodas"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","Mano krepšelis"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
