"* Required Fields","* Privalomi laukeliai"
"Edit Customer Group ""%s""","Redaguoti Pirkėjų Grupes ""%s"""
"Edit Customer Groups","Redaguoti klientų grupę"
"Edit Customer's Address","Redaguoti Pirkėjų Adresus"
"Edit Group","Redaguoti grupę"
"Edit Newsletter Subscription","Redaguokite Naujienlaiškio Prenumeravimą"
"Edit Newsletters","Redaguoti naujienlaiškius"
"Edit Personal Information","Redaguoti asmeninę informaciją"
"Email","El.paštas"
"Email Address","El. pašto adresas"
"Email Sender","Siuntėjas"
"Entity collection is expected","Pasirinktos sąlygos tinkamos"
"Error during retrieval of option value: %s","Klaida grąžinant pasirinkimo reikšmę: %s"
"Ext. Price","Ext. Kaina"
"Failed to confirm customer account.","Failed to confirm customer account."
"Fax","Faksas"
"First Name","Vardas"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","Užmiršo el.pašto Siuntėją"
"Forgot Email Template","Užmiršo el.pašto Siuntėjo Šabloną"
"Forgot Your Password?","Pamiršote slaptažodį?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","	
Instrumentų panelės skyriuje Mano sąskaita Jūs galite peržiūrėti ir atnaujinti informaciją apie atsiskaitymus, bei Jūsų asmeninę info. Pasirinkite apačioje esančią nuorodą, norėdami peržiūrėti arba redaguoti info."
"General Subscription","Bendras Prenumeravimas"
"Global","Globalus"
"Go to Address Book","Į adresų knygelę"
"Grand Total","Visa suma"
"Grand Total: %s","Viso suma: <strong>%s</strong>"
"Group","Grupė"
"Group ""%s"" can not be deleted","Grupės ""%s"" negalima ištrinti"
"Group Information","Grupės Informacija"
"Group Name","Grupės pavadinimas"
"Guest","Svečias"
"HTML","HTML"
"Hello, %s!","Sveiki, %s!"
"ID","ID"
"IP Address","IP Adresas"
"If you have an account with us, please log in.","Jei esate užsiregistravęs, prašome prisijungti."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Klaidingas savybės pasirinkimas nurodytame atribute %s (%s), praleidžiant įrašą"
"Invalid attribute set specified, skipping the record","Klaidingas savybių rinkinys nurodytas, praleidžiant įrašą"
"Invalid current password","Klaidingas dabartinis slaptažodis"
"Invalid customer data","Klaidinga Pirkėjo informacija"
"Invalid email address","Klaidingas El.paštas"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","Neteisingas prisijungimo vardas arba slaptažodis."
"Invalid option id specified for %s (%s), skipping the record","Klaidingas pasirinkimo ID  %s (%s), praleidžiant įrašą"
"Invalid store specified, skipping the record","Klaidingai nurodyta parduotuvė, praleidžiant įrašą"
"Items Order","Prekių užsakymas"
"Last 5 Orders","Paskutiniai 5 užsakymai"
"Last Activity","Paskutinis aktyvumas"
"Last Name","Pavardė"
"Last Url","Paskutinis Url"
"Last Viewed Items","Paskutinės žiūrėtos prekės"
"Last date subscribed","Paskutinė prenumeratos data"
"Last date unsubscribed","Paskutinė atsisakymo prenumeratos data"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","Leave empty for default (15 minutes)."
"Leave empty for default (2). Valid range: 1-4","Leave empty for default (2). Valid range: 1-4"
"Lifetime Sales","Visi Pardavimai"
"Log In","Prisijungti"
"Log Out","Atsijungti"
"Log in or Create an Account","Log in or Create an Account"
"Login","Prisijungti"
"Login Information","Prisijungimo informacija"
"Login and password are required","Registracijos slapyvardis ir slaptažodis yra būtini"
"Login or Create an Account","Registracija - Prisijungimas"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Valdyti adresus"
"Manage Customers","Valdyti klientus"
"Missing email, skipping the record","Trūksta el.pašto"
"Missing firstname, skipping the record","Neįrašytas Vardas"
"Missing lastname, skipping the record","Neįrašyta Pavardė"
"Month","Month"
"My Account","Mano sąskaita"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","Mano Darbastalis"
"My Orders","Mano užsakymai"
"My Reviews","Mano apžvalgos"
"My Tags","Mano žymės"
"My Wishlist","Mano Pažymėti"
"Name","Vardas"
"Name and Address Options","Name and Address Options"
"Never","Niekada"
"New Address","Naujas adresas"
"New Address Entry","Naujas adreso įrašas"
"New Customer","Naujas klientas"
"New Customer Address","Naujo kliento adresas"
"New Customer Group","Nauja klientų grupė"
"New Customer Groups","Nauja klientų grupė"
"New Customers","Naujas klientas"
"New Group","Nauja grupė"
"New Password","Naujas slaptažodis"
"New account","Nauja registracija"
"New account confirmation key","New account confirmation key"
"New account confirmed","New account confirmed"
"New password","New password"
"Newsletter","Naujienlaiškis"
"Newsletter Finish","Naujienlaiškio pabaiga"
"Newsletter Information","Naujienlaiškio informacija"
"Newsletter Received","Naujienlaiškis pristatytas"
"Newsletter Start","Naujienlaiškis pradėtas"
"Newsletter Subscription","Newsletter Subscription"
"Newsletters","Naujienlaiškiai"
"No Items Found","Nerasta"
"No Newsletter Found","Naujienlaiškių nerasta"
"No item specified.","No item specified."
"No product collections found","Prekių kolekcijų nerasta"
"Not Sent","Neišsiųsta"
"Not confirmed, can login","Not confirmed, can login"
"Not confirmed, cannot login","Not confirmed, cannot login"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","Neprisijungęs"
"Online","Tinkle"
"Online Customers","Prisijungę klientai  "
"Online Customers Options","Online Customers Options"
"Online Minutes Interval","Online Minutes Interval"
"Order #","Užsakymas #"
"Order #%s (%s)","Užsakymas #%s (%s)"
"Order List...","Užsakymų adresas..."
"Order Total","Visas užsakymas"
"Orders","Užsakymai"
"PDF","PDF"
"Password","Slaptažodis"
"Password Management","Slaptažodžio valdymas"
"Password Options","Slaptažodžio Opcijos"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","Password forgotten"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Slaptažodis turi turėti bent jau 6 simbolius. Tabuliacija ar tarpai bus ignoruoti."
"Paused","Pauzė"
"Payment Method","Mokėjimo būdas"
"Pending","Laukiama"
"Per Website","Per Tinklapį"
"Personal Information","Asmeninė informacija"
"Please enter your email below and we'll send you a new password.","Prašome įrašyti savo el.pašto adresą ir mes atsiųsime Jums naują slaptažodį."
"Please enter your email below and we'll send you confirmation link for it.","Prašome įrašyti savo el.pašto adresą, kuriuo bus išsiųsta patvirtinimo nuoroda."
"Please enter your email.","Prašome įrašyti savo el.pašto adresą."
"Please make sure your passwords match.","Prašome įsitikinti, kad slaptažodžiai sutampa."
"Please select","Pasirinkite"
"Please select region, state or province","Prašome pasirinkti apskritį arba rajoną"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","Prefix"
"Prefix dropdown options","Prefix dropdown options"
"Price","Kaina"
"Primary Billing Address","Pirminis mokėtojo adresas"
"Primary Shipping Address","Pirminis pristatymo adresas"
"Problem saving the collection, aborting. Error: %s","Problemos išsaugant prekių kolekcijas - nutraukta. klaida: %s"
"Product","Prekės"
"Product ID","Prekės ID"
"Product Name","Prekės pavadinimas"
"Product Reviews","Prekės apžvalgos"
"Product Tags","Prekės žymės"
"Product name","Prekės pavadinimas"
"Purchase On","Sumokėta"
"Purchased at","Sumokėta "
"Qty","Vnt"
"Recent Orders","Naujausi užsakymai"
"Records for ""","Įrašai """
"Refunded","Grąžinta"
"Registered Customers","Registruoti klientai"
"Remove","Pašalinti"
"Require Emails Confirmation","Require Emails Confirmation"
"Retrieve address data","Retrieve address data"
"Retrieve address info","Retrieve address info"
"Retrieve customer addresses","Retrieve customer addresses"
"Retrieve customer data","Retrieve customer data"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","Retrieve customers"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","Atkurkite savo patvirtinimo nuorodą čia"
"Retrieve your password here","Atkurkite savo slaptažodį čia"
"SKU","SKU"
"Sales Statistics","Pardavimų statistika"
"Save","Išsaugoti"
"Save Address","Išsaugoti adresą"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","Išsaugoti klientą"
"Save Customer Group","Išsaugoti kliento grupę"
"Save Password","Išsaugoti slaptažodį"
"Saved ","Išsaugota "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Send Welcome Email after Confirmation"
"Send auto-generated password","Siųsti atomatiškai sugeneruotą slaptažodį"
"Send confirmation link","Siųsti patvirtinimo nuorodą"
"Send welcome email","Siųsti Sveikinimo laišką"
"Sending","Siunčiama"
"Sent","Išsiųsta"
"Session Start Time","Sesijos pradžios laikas"
"Set as Default Billing Address","Nustatyti kaip įprastą Mokėtojo adresą"
"Set as Default Shipping Address","Nustatykite įprastą pristatymo adresą"
"Share Customer Accounts","Pažymėti Pirkėjo Sąskaitą"
"Ship to First name","Kam siunčiamas Vardas"
"Ship to Last name","Kam siunčiama Pavardė"
"Shipped to First Name","Kam Nusiųstas Vardas "
"Shipped to Last Name","Kam Nusiųsta Pavardė"
"Shipped to Name","Kam Nusiųstas Vardas"
"Shipping Information","Pristatymo informacija"
"Shipping Method","Pristaymo būdas"
"Shopping Cart","Krepšelis"
"Shopping Cart - %d item(s)","Krepšelis - %d prekės(-ių)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","Užsisakyki naujienlaiškį"
"Sign up for our newsletter","Užsisakyti mūsų naujienlaiškį"
"Skip import row, required field ""%s"" not defined","Praleiskite importo eilę, reikalingas laukas ""%s"" neapibrėžtas"
"Skip import row, website ""%s"" field not exists","Praleiskite importo eilę, žiniatinklio svetainė ""%s"" laukas neegzistuoja"
"State/Province","Apskritis/Rajonas"
"Status","Būsena"
"Store","Parduotuvė"
"Store View","Parduotuvės Vaizdas"
"Street Address","Gatvė, Namo nr."
"Street Address ","Street Address "
"Subject","Tema"
"Submit","Siųsti"
"Subscribe","Užsisakyti"
"Subscribe to newsletter","Užsisakykite naujienlaiškį"
"Subscribed to Newsletter?","Užsisakykite naujienlaiškį?"
"Suffix","Suffix"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","Žymės pavadinimas"
"Tax Class","Mokesčių klasė"
"Tax class","Mokesčių klasė"
"Tax/VAT number","Tax/VAT number"
"Telephone","Telefonas"
"Text","Tekstas"
"Text One Line","Tekstas Viena Linija"
"Thank you for registering with %s","Dėkojame, kad užsiregistravote %s"
"The address does not belong to this customer","Adresas nepriklauso šiam klientui"
"The address was successfully deleted","Adresas sėkmingai pašalintas"
"The address was successfully saved","Adresas sėkmingai išsaugotas"
"The suffix that goes after name (Jr., Sr., etc.)","The suffix that goes after name (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","The title that goes before name (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","Dar nėra Pirkėjo pažymėtų prekių"
"There are no items in customer's shopping cart at the moment","Pirkėjo Krepšelis dar tuščias"
"There was an error while deleting the address","Klaida trinant adresą "
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","This account is not confirmed."
"This customer has no saved addresses.","Pirkėjas neturį įrašytų adresų."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","Šis el. paštas nerastas mūsų įrašuose"
"This is My Primary %s Address","Tai yra mano pagrindinis <strong>%s</strong> Adresas"
"To Cart","Į krepšelį"
"Total","Viso"
"Type","Tipas"
"Unknown","Nežinomas"
"Unsubscribe from newsletter","Atsisakyti naujienlaiškio"
"Update","Atnaujinti"
"Update customer address data","Update customer address data"
"Update customer data","Update customer data"
"Use as My Primary %s Address","Naudokite mano pirminį <strong>%s</strong> adresą"
"Use as my default billing address","Naudoti mano įprastą <strong>mokėjimo</strong>  adresą "
"Use as my default shipping address","Naudoti įprastą <strong>pristatymo</strong> adresą"
"User description","Nario aprašymas"
"View","Peržiūrėti"
"View Order","Peržiūrėti užsakymą"
"View Order List","Peržiūrėti užsakymų sąrašą"
"Visible In","Matoma"
"Visitor","Lankytojas"
"Visitors Only","Tik lankytojams"
"Website","Svetainė"
"Welcome Email","Welcome Email"
"Wishlist","Pažymėti"
"Wishlist - %d item(s)","Pažymėta - %d prekių"
"Wrong confirmation key.","Wrong confirmation key."
"Wrong customer account specified.","Wrong customer account specified."
"Wrong email.","Wrong email."
"Wrong region id by selected country","Neteisingas rajono ID pagal pasirinktą šalį"
"Wrong transactional account email type.","Wrong transactional account email type."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","Jūs neužsakėte naujienlaiškių."
"You are currently not subscribed to our newsletter","Jūs neužsakėte naujienlaiškių"
"You are currently subscribed to 'General Subscription'.","Jūs esate užsiprenumeravęs 'Bendras Naujienas'."
"You are currently subscribed to our newsletter","Jūs esate užsiprenumeravęs naujienlaiškius"
"You are currently subscribed to our newsletter.","Jūs esate užsiprenumeravęs naujienlaiškius."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Jūs sėkmingai atsijungėte ir po 5 sekundžių būsite nukreiptas į pagrindinį puslapį."
"You have no additional address entries in your address book.","Jūs neturite jokių papildomų adresų Jūsų adresų knygelėje."
"You have no additional entries in your address book.","Jūs neturite jokių papildomų adresų Jūsų adresų knygelėje."
"You have no default billing address in your address book.","Jūs neturite įprasto mokėjimo adreso adresų knygelėje."
"You have no default shipping address in your address book.","Jūs neturite įprasto pristatymo adreso adresų knygelėje."
"You have no primary entries in your address book.","Jūs neturite pirminio įrašo adresų knygelėje."
"You have not set a primary billing address.","Jūs nenustatėte pirminio mokėjimo adreso."
"You have not set a primary shipping address.","Jūs nenustatėte pirminio pristatymo adreso."
"You have placed no orders yet.","Dar nepateikėte jokių užsakymų."
"You have placed no products yet.","Dar nepasirinkote prekių."
"You're now Logged Out","Jūs Atsijungėte"
"Your account balance is: %s","Jūsų balansas: <strong>%s</strong>"
"ZIP","Indeksas"
"ZIP/Post Code","ZIP/Pašto kodas"
"ZIP/Postal Code","ZIP/Pašto kodas"
"Zip/Postal Code","ZIP/Pašto kodas"
"n/a","n/d"
"or","ar"
"Please enter your email below and we'll send you a new password.","Prašome įrašyti savo el.pašto adresą ir mes atsiųsime Jums naują slaptažodį."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","Nenustatėte įprastų mokėjimo adresų."
"You have not set a default shipping address.","Nenustatėte įprastų pristatymo adresų."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
