"%s already exist","%s jau yra"
"%s already exists","%s jau yra"
"-- Please Select --","-- Pasirinkite --"
"Empty identifier field name","Tuščias identifikuojamojo lauko pavadinimas"
"Empty main table name","Tuščias pagrindinės lentelės pavadinimas"
"Enabled","Įjungta"
"Enabled for Admin","Įjungti tik Adminui"
"Enabled for Frontend","Įjungti Klientams"
"Error in file: ""%s"" - %s","Klaida rinkmenoje: ""%s"" - %s"
"Error while saving. Please try again later.","Klaida, išsaugant. Prašome pabandyti vėliau."
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","Užmiršo Slaptažodį el.pašto Siuntėjas"
"Forgot Password Email Template","Užmiršo Slaptažodį el.pašto Šablonas"
"General","Bendras"
"General Settings","Bendri Nustatymai"
"General contact","Bendri Kontaktai"
"Global","Globalus"
"HTML Head","HTML Head"
"Header","Header"
"Host","Serveris"
"Id path for specified store","Id kelias apibrėžtai parduotuvei"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","Klaidingas bazinis url tipas"
"Invalid block name to set child %s: %s","Negaliojantis Bloko tipas, skirtas šakai %s: %s"
"Invalid block type: %s","Klaidingas bloko tipas: %s"
"Invalid block: %s","Klaidingas blokas: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Neteisingas maketo atnaujinimo argumentas, numatomas Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Neteisinga Maketo atnaujinimo loginė tvarka"
"Invalid messages storage ""%s"" for layout messages initialization","Neteisinga žinučių saugojimo tvarka ""%s"" žinutės įkėlimui"
"Invalid transactional email code: ","Negaliojantis transakcijos el.pašto kodas: "
"Invalid websites configuration path: %s","Klaidingas svetainės nustatymo kelias: %s"
"Layout","Maketas"
"Layouts","Layouts"
"Leave empty for access from any location","Paliekame tuščią prieigai iš bet kurios vietos"
"Locale","Lokalė"
"Locale options","Lokalizacijos opcijos"
"Log Settings","Log Settings"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Logo Image Alt"
"Logo Image Src","Logo Image Src"
"Manage Stores","Redaguoti parduotuvę"
"Match expressions in the same order as displayed in the configuration.","Match expressions in the same order as displayed in the configuration."
"Miscellaneous HTML","Miscellaneous HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Modelio klasė neegzistuoja: %s"
"Model collection resource name is not defined","Modelio šaltinio pavadinimas nenurodytas"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Pavadinimas"
"New Design Change","Naujas Dizaino Pakeitimas"
"New Store","Nauja parduotuvė"
"New Store View","Naujas parduotuvės Vaizdas"
"New Website","Nauja svetainė"
"No","No"
"Package","Rinkmena"
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please define flag code.","Please define flag code."
"Please enter 6 or more characters.","Prašome įrašyti 6 ar daugiau simbolių."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Prašome įrašyti 6 arba daugiau simbolių. Tarpai pradžioje arba pabaigoje bus ingnoruojami."
"Please enter a number greater than 0 in this field.","Šiame laukelyje įveskite skaičių didesnį nei 0."
"Please enter a valid $ amount. For example $100.00.","Prašome įrašyti galiojančią $ sumą. Pvz. 100.00 Lt."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Prašome įrašyti galiojantį url. Pvz. http://www.manoDomenas.lt arba www.manoDomenas.lt"
"Please enter a valid URL. http:// is required","Prašome įrašyti galiojantį URL. http:// privaloma"
"Please enter a valid credit card number.","Prašome įrašyti galiojantį kreditinės kortelės numerį."
"Please enter a valid date.","Prašome įrašyti galiojančią datą."
"Please enter a valid email address. For example johndoe@domain.com.","Prašome įrašyti galiojantį el.pašto adresą. Pvz. jonas@manoDomenas.lt."
"Please enter a valid number in this field.","Prašome įrašyti galiojantį numerį šiam laukeliui."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Prašome įrašyti galiojantį telefono numerį. Pvz. (123) 456-7890 ar 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Prašome įrašyti galiojantį socialinio draudimo numerį. Pvz. 123-45-6789."
"Please enter a valid zip code.","Prašome įrašyti galiojantį Pašto Indeksą."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Įveskite galiojanti Pašto indeksą. Pvz.: 90602 ar 90602-1234."
"Please enter valid password.","Prašome įrašyti galiojantį slaptažodį."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Prašome įsitikinti, kad slaptažodžiai sutampa."
"Please select State/Province.","Prašome pasirinkti Apskritį/Rajoną."
"Please select an option.","Prašome pasirinkti."
"Please select one of the above options.","Prašome pasirinkti vieną iš aukščiau minėtų pasirinkimų."
"Please select one of the options.","Prašome pasirinkti vieną iš pasirinkimų."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please use letters only (a-z or A-Z) in this field.","Please use letters only (a-z or A-Z) in this field."
"Please use letters only (a-z) in this field.","Šiame laukelyje rašykite tik raides (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Šiame laukelyje rašykite tik skaičius. Nenaudokite tarpų ar kitų simbolių, tokių kaip taškai ar kableliai."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Šiame laukelyje naudokite tik raides (a-z) ar skaičius (0-9). Tarpai ir kiti simboliai neleidžiami."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Šiame laukelyje naudokite tik raides  (a-z) ar skaičių (0-9) ar tarpus ir # ."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Prašom rašyti tiktai raides (a-z), skaičius (0-9) ar pabraukimus (_) šiame lauke, pirmas simbolis turi būti raidė."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Prašome naudoti šį datos formatą: dd/mm/yyyy. Pvz 17/03/2006 bus kovo 17-ta , 2006."
"Please wait, loading...","Prašome palaukti, kraunama..."
"Polls","Polls"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Kelias pasirinktai parduotuvei"
"Requested invalid store ""%s""","Requested invalid store ""%s"""
"Resource is not set","Resursas nepasirinktas"
"Root Category","Šakninė Kategorija"
"SMTP settings (Windows server only)","SMTP nustatymai (Tik Windows serveriui)"
"Sales representative","Pardavimo vadybininkas"
"Save","Išsaugoti"
"Save Store","Išsaugoti parduotuvę"
"Save Store View","Išaugoti Parduotuvės Vaizdą"
"Save Website","Išsaugoti svetainę"
"Search Engines Optimization","Paieškos sistemų Optimizavimas"
"Secure","Saugus"
"Security","Security"
"Select Date","Select Date"
"Sender email","Siuntėjo el.paštas"
"Sender name","Siuntėjo vardas"
"Services","Paslaugos"
"Session Cookie management","Sesijos Slapukų Nustatymai"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Session Validation Settings"
"Set as default","Set as default"
"Skin (Images / CSS)","Apvalkas (Images / CSS)"
"Sort order","Rūšiavimo tvarka"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Specified date/time ""%1$s"" do not match format ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Pradžios data negali būti vėlesnė nei pabaigos"
"Startup page","Startup page"
"Status","Būsena"
"Store","Parduotuvė"
"Store Email Addresses","Elektroninio pašto Adresai"
"Store Information","Parduotuvės informacija"
"Store Name","Parduotuvės pavadinimas"
"Store View","Store View"
"Store View Information","Parduotuvės vaizdo Info"
"Store View Name","Parduotuvės Vaizdo Pavadinimas"
"Store View was successfully saved","Vaizdas Išsaugotas"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Prašom rašyti tiktai raides (a-z), skaičius (0-9) ar pabraukimus (_) šiame lauke, pirmas simbolis turi būti raidė."
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","Store view doesn't exist"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","Parduotuvė Ištrinta."
"Store was successfully saved","Parduotuvė sėkmingai išsaugota"
"Store with the same code","Parduotuvė su tuo pačiu kodu"
"System","Sistema"
"System Log File Name","System Log File Name"
"Template Path Hints","Šablono Kelio Užuominos"
"Templates","Šablonai"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format."
"Themes","Temos"
"This category and all its child elements","This category and all its child elements"
"This category and its child categories only","This category and its child categories only"
"This category and its products only","This category and its products only"
"This category only","Tik Kategorija"
"This is a required field.","Privalomas laukelis."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","This store cannot be deleted."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","This store view cannot be deleted."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","This website cannot be deleted."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","Laiko Zona"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Translate Inline","Translate Inline"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","Vertimai"
"Unable to delete store view. Please, try again later.","Unable to delete store view. Please, try again later."
"Unable to delete store. Please, try again later.","Unable to delete store. Please, try again later."
"Unable to delete website. Please, try again later.","Unable to delete website. Please, try again later."
"Unable to proceed. Please, try again","Neįmoanoma tęsti. Prašome pabandyti vėliau"
"Unknown scope ""%s""","Nežinoma apimtis ""%s"""
"Unsecure","Nesaugus"
"Url Options","Url Options"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","Naudoti Saugų URLs Admine"
"Use Secure URLs in Frontend","Naudoti Saugų URLs Parduotuvėje"
"Use Web Server Rewrites","Naudoti Web perrašymą"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","Validate HTTP_USER_AGENT"
"Validate HTTP_VIA","Validate HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","Validate HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","Validate REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","Webas"
"Website","Svetainė"
"Website Information","Svetainės informacija"
"Website Name","Svetainės pavadinimas"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Svetainės kodas rašomas tiktai raidėmis (a-z), skaičiais (0-9) ar pabraukimais (_) šiame lauke, pirmas simbolis turi būti raidė."
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","Svetainė ištrinta."
"Website was successfully saved","Svetainė sėkmingai išsaugota"
"Website with the same code","Svetainė su tuo pačiu kodu"
"Weekend Days","Weekend Days"
"Welcome Text","Welcome Text"
"Wrong number of arguments for %s","Neteisingas skaičiaus argumentas %s"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","Sesija baigėsi, jūs turite prisijungti iš naujo."
"Search","Ieškoti"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Prekių palyginimas"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","Neturite prekių palyginimui."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
