" Copy"," Kopija"
"Newsletter","Naujienlaiškis"
"Newsletter Message Preview","Naujienlaiškio žinutės peržiūrėjimas"
"Newsletter Problem Reports","Naujienlaiškių klaidų pranešimai"
"Newsletter Queue","Naujienlaiškių eilė"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","Naujienlaiškių prenumeratoriai"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Newsletter Templates","Naujienlaiškio šablonas"
"Newsletter subscription confirmation","Prenumeruojamo naujienlaiškio patvirtinimas"
"Newsletter subscription success","Prenumeruojamas naujienlaiškis užsakytas"
"Newsletter unsubscription success","Prenumeratos atsisakyta"
"No Templates Found","Šablonų nerasta"
"No problems found","Problemų nerasta"
"No subscribers selected","Nepasirinkote prenumeratorių"
"Not Sent","Neišsiųsta"
"Not activated","Neaktyvuota"
"Pause","Pauzė"
"Paused","Pauzė"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Įrašykite naujo šablono pavadinimą"
"Please select subscriber(s)","Pasirinkite prenumeratorių(ius)"
"Preview","Peržiūrėti"
"Preview Template","Peržiūrėti šabloną"
"Processed","Vykdo"
"Queue Date Start","Eilės pradžios data"
"Queue Finish","Eilės pabaiga"
"Queue Information","Eilės informacija"
"Queue Newsletter","Naujienlaiškių eilė"
"Queue Start","Eilės pradžia"
"Queue Subject","Eilės tema"
"Recipients","Gavėjai"
"Reset","Atitaisyti"
"Resume","Tęsti"
"Return Html Version","Grįžti į Html versiją"
"Save And Resume","Išsaugoti ir tęsti"
"Save As","Išsaugoti kaip"
"Save Newsletter","Išsaugoti naujienlaiškį"
"Save Template","Išsaugoti šabloną"
"Selected problem subscribers successfully unsubscribed","Pasirinkti problematiški prenumeratoriai sėkmingai išbraukti iš sąrašo"
"Selected problems successfully deleted","Pažymėtos problemos sėkmingai pašalintos"
"Sender","Siuntėjas"
"Sender Email","Siuntėjo el.paštas"
"Sender Name","Siuntėjo vardas"
"Sending","Siunčiama"
"Sending Options","Sending Options"
"Sent","Išsiųsta"
"Set Return-Path","Set Return-Path"
"Sign me up","Sign me up"
"Sign up for our newsletter:","Užsiprenumeruokite mūsų naujienlaiškį:"
"Start","Pradėti"
"Status","Būsena"
"Store","Parduotuvė"
"Store View","Parduotuvės Vaizdas"
"Subject","Tema"
"Subscribe","Užsisakyti"
"Subscribed","Subscribed"
"Subscriber","Prenumeratorius"
"Subscribers","Prenumeratoriai"
"Subscribers From","Prenumeratoriai Nuo"
"Subscription Options","Užsisakymo Nustatymai"
"Success Email Sender","Prenumeratos el.pašto Siuntėjas"
"Success Email Template","Prenumeratos el.pašto šablonas"
"Template Content","Šablono turinys"
"Template Information","Šablono informacija"
"Template Name","Šablono pavadinimas"
"Template Subject","Šablono tema"
"Template Type","Šablono tipas"
"Thank you for your subscription","Dėkojame už jūsų prenumeratą"
"The subscription was successfully saved","Prenumera sėkmingai išsaugota"
"There was a problem with the subscription","Buvo problemos su prenumeravimu"
"There was a problem with the subscription: %s","Problemos su prenumeratomis: %s"
"There was a problem with the un-subscription.","Buvo problemos su prenumeratos atsisakymu."
"There was an error while saving your subscription","Buvo keletas klaidų išsaugant jūsų prenumeratą"
"Toggle Editor","Įjungiamas redaktorius"
"Type","Tipas"
"Unsubscribe","Atsisakyti"
"Unsubscribe Selected","Nutraukti prenumeratą pažymėtiems"
"Unsubscribed","Unsubscribed"
"Unsubscription Email Sender","Atsisakytos prenumeratos Siuntėjas"
"Unsubscription Email Template","Atsisakytos prenumeratos el.pašto šablonas"
"View Newsletter","Peržiūrėti naujienlaiškį"
"Website","Svetainė"
"You have been successfully unsubscribed.","Jūsų prenumerata nutraukta."
"Your subscription was successfully confirmed","Jūsų prenumerata sėkmingai patvirtinta"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","Sign up for our newsletter"
"Newsletter Subscriptions","Newsletter Subscriptions"
