"# of Use","# שימוש"
"Display in Suggested Terms","הצג במונחים מומלצים"
"Double click on a group to rename it","לחץ לחיצה כפולה לשינוי שם קבוצה"
"Double click on above image to view full picture","לחץ לחיצה כפולה על התמונה כדי לראות מבט מלא"
"Dropdown","Dropdown"
"Duplicate","שכפל"
"Duplicate website tier price customer group and quantity.","כפילות בתמחור שכבתי, קבוצות לקוח וכמות"
"Duplicate website, country and state tax found.","כפילות באתר, נמצא מס ארץ וגם מס מדינה."
"Edit","ערוך"
"Edit Attribute Set '%s'","ערוך סט תכונות '%s'"
"Edit Product Attribute","ערוך תכונת מוצר"
"Edit Product Attribute ""%s""","ערוך תכונת מוצר ""%s"""
"Edit Search","ערוך חיפוש"
"Edit Search '%s'","ערוך חיפוש '%s'"
"Email","דוא""ל"
"Email to a Friend","שלח לחבר"
"Empty","ריק"
"Enabled","פעיל"
"Error during retrieval of option value: %s","טעות מהלך שחזור ערך אפשרות :  %s"
"Error while adding customers for %s alert. Message: %s","שגיאה בעת הוספת לקוחות לתזכורת %s. הודעה: %s"
"Error while saving this group. Group with the same name already exists.","שגיאה בשמירת קבוצה. קבוצה בעלת שם זהה כבר קיימת."
"Error while saving this group. Please try again later.","שגיאה במהלך שמירת הקבוצה. אנא נסה שנית מאוחר יותר"
"Exclude","לא כולל"
"Expand All","פתח הכל"
"Failed","נכשל"
"Failed to move file: %s","נכשל בהזזת קובץ: %s"
"Feature Products","מוצרים בהצגה"
"File options format is not valid","File options format is not valid"
"File upload failed","העלאת קובץ נכשלה"
"Filter model name must be declared","Filter model name must be declared"
"Filter must be as object. Set correct filter please","Filter must be as object. Set correct filter please"
"Filterable (no results)","ניתן לסינון (ללא תוצאות)"
"Filterable (with results)","ניתן לסינון (עם תוצאות)"
"Filters must be as array","המסננים צריכים להיות כמו המערך"
"First Name","שם פרטי"
"Fixed","תוקן"
"Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module.","Flat Catalog module has a limit of %2$d filterable and/or sort able attributes. Currently there are %1$d. Please reduce the number of filterable/sort able attributes in order to use this module."
"For internal use. Must be unique with no spaces","לשימוש פנימי. צריך להיות ייחודי ללא רווחים"
"For reindex enabled product(s) you need specify store or product","For reindex enabled product(s) you need specify store or product"
"Frontend","חלק קדמי"
"Frontend Model","מודל של חלק קדמי"
"Frontend Properties","מאפייני חלק קדמי"
"Gallery","גלרייה"
"General Information","מידע כללי"
"Get special price","קבל מחיר מיוחד"
"Global","גלובלי"
"Globally Editable","ניתן לעריכה באופן גלובלי"
"Go to Home Page","חזור לדף ראשי"
"Grid","רשת"
"Grouped Product","מוצר קבוצתי"
"Groups","קבוצות"
"Home","ראשי"
"ID","קוד/ת.ז/זיהוי"
"ID: %s","ID: %s"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","אם אתה לא מציין ערך עבור אפשרות תצוגת חנות , יבוצע שימוש בערך ברירת המחדל  (מנהל) ."
"Image","תמונה"
"Image content is not valid base64 data.","תוכן תמונה אינו מידע base64 תקין."
"Image file not found","קובץ תמונה לא נמצא"
"Image not exists","התמונה לא קיימת"
"Image not specified.","Image not specified."
"Image type and information need to be specified for each store view.","סוג התמונה והמידע צריכים להיות מצויינים עבור כל חנות"
"In Stock","במלאי"
"In stock","במלאי"
"In stock.","In stock."
"Incl. Tax","כולל מס"
"Input Type","סוג שדה כתיבה"
"Input Validation for Store Owner","Input Validation for Store Owner"
"Integer","שלם"
"Integer Number","מספר שלם"
"Invalid Tier Prices","תמכור שכבות שגוי"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record","אפשרות לא תקנית למאפיין %s (%s), מדלג על רשומה"
"Invalid attribute set specified, skipping the record","סט מאפיינים לא תקני, מדלג על רשומה"
"Invalid block: %s","בלוק מידע לא תקני: %s"
"Invalid category","Invalid category"
"Invalid category IDs","Invalid category IDs"
"Invalid image file type","Invalid image file type"
"Invalid image type.","סוג תמונה שגוי."
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid product type specified, skipping the record","Invalid product type specified, skipping the record"
"Invalid store specified","צויינה חנות שגויה"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Inventory","מלאי"
"Is Default","הוא ערך ברירת מחדל"
"Is Required","נדרש"
"Items %s to %s of %s total","פריטים %s עד %s מתוך %s פרטים"
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","פריטים שאינך רוצה שיופיעו בקטלוג או בתוצאות חיפוש צריכים להיות ""לא פעילים"" בחנות הרצויה"
"Label","תוית"
"Last Name","שם משפחה"
"Last Notification","תזכורת אחרונה"
"Learn More","למד עוד"
"Length of text is too long","Length of text is too long"
"Letters","מכתבים"
"Letters(a-zA-Z) or Numbers(0-9)","Letters(a-zA-Z) or Numbers(0-9)"
"Line %d, Email: %s","שורה %d, אמייל: %s"
"Line %d, SKU: %s","שורה %d, מק""ט: %s"
"Link (Related, Up sell, Cross sell)","קישור (Related, Up sell, Cross sell)"
"Link product not exists.","Link product not exists."
"List","רשימה"
"List Mode","תצוגת רשימה"
"Manage Attribute Sets","תכונות/מאפיינים - ניהול סטים"
"Manage Attributes","ניהול תכונות/מאפיינים"
"Manage Catalog Categories","ניהול קטגוריות קטלוג"
"Manage Categories","ניהול קטגוריות"
"Manage Label / Options","ניהול תוית /אפשרויות"
"Manage Options (values of your attribute)","אפשרויות ניהול  (ערכים של תכונות)"
"Manage Product Attributes","ניהול מאפייני מוצר"
"Manage Product Sets","מוצרים - ניהול סטים"
"Manage Products","ניהול מוצרים"
"Manage Stock","ניהול מלאי"
"Manage Titles (Size, Color, etc.)","ניהול כותרות (גודל, צבע וכו')"
"Max Characters","מקסימום תוים"
"Maximal Depth","עומק מקסימלי"
"Maximum Image Size","גודל תמונה מקסימלי"
"Maximum Qty Allowed in Shopping Cart","כמות מקסימלית מורשית בעגלת הקניות"
"Maximum image height","גובה תמונה מקסימלי"
"Maximum image width","רוחב תמונה מקסימלי"
"Maximum number of characters","Maximum number of characters"
"Media Image","מדיה תמונה"
"Minimum Lines Per Page","Minimum Lines Per Page"
"Minimum Qty Allowed in Shopping Cart","כמות מינימלית המורשית בעגלת הקניות"
"Minimum Qty for Item's Status to be Out of Stock","כמות מינימלית כדי שסטטוס פריט יהיה ""לא במלאי"""
"Missing SKU, skipping the record","חסר מק""ט, מדלג על רשומה"
"More Views","תצוגות נוספות"
"Move","העבר"
"Move category in tree","העבר קטגוריה בעץ"
"Multiple Select","בחירה מרובה"
"Name","שם"
"Name In %s","Name In %s"
"Name<br/>(For internal use)","שם<br/>(לשימוש פנימי)"
"New Category","קטגוריה חדשה"
"New Product","מוצר חדש"
"New Product Attribute","תכונת/מאפיין מוצר חדש"
"New Products","מוצרים חדשים"
"New Search","חיפוש חדש"
"New Set Name","שם סט חדש"
"Next","הבא"
"No","לא"
"No image","ללא תמונות"
"No layout updates","אין עדכוני פריסת עמוד"
"No options of this product are available.","אין אפשרויות זמינות למוצר זה."
"No product collections found","לא נמצאו אוספי מוצרים"
"None","ללא/כלום"
"Not shared with other products","לא משותף עם מוצרים אחרים"
"Notify Low Stock RSS","הודעה כאשר Low Stock RSS"
"Notify for Quantity Below","התרע לכמות מתחת"
"Nowhere","בשום מקום"
"Number of Uses","כמות שימושים"
"Number of results<br/>(For last time placed)","Number of results<br/>(For last time placed)"
"OR","או"
"Old Price:","מחיר ישן:"
"Option validation failed to add product to cart","Option validation failed to add product to cart"
"Option:","אפשרות:"
"Options Control","התאמת אפשרויות"
"Options is required","אפשרות נדרשת"
"Our customer service is available 24/7. Call us at (555) 555-0123.","שירות הלקוחות שלנו פעיל 24/7. צור קשר בטל' (555) 555-0123."
"Out of Stock","אין במלאי"
"Out of stock","אין במלאי"
"Out of stock.","אין במלאי."
"PM","PM"
"Page Title Separator","עמוד - מפריד כותרת"
"Page:","דף:"
"Parent Category","קטגוריית אב"
"Pending","בהמתנה"
"Pending Reviews RSS","סיקורים בהמתנה RSS"
"Percentage","אחוז"
"Please add rows to option.","אנא, הוסף שורות לאפשרות"
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","שים לב, ברגע שתלחץ על שורה, חבילת מידע תועלה מהקובץ הנבחר וכל המידע שאינו שמור ימחק."
"Please click on Close Window button if it won't be closed automatically","Please click on Close Window button if it won't be closed automatically"
"Please enter a new group name","אנא הכנס שם קבוצה חדשה"
"Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>","Please refresh ""Catalog Rewrites"" and ""Layered Navigation Indices"" in System -> <a href=""%s"">Cache Management</a>"
"Please select  items","Please select  items"
"Please select one or more attributes.","בחר מאפיין אחד או יותר"
"Please select product(s)","בחר מוצר(ים)"
"Please select products for attributes update","בחר מוצרים לעדכון מאפיינים"
"Please select static block ...","בחר בלוק סטטי..."
"Please set up merge date/time .","Please set up merge date/time ."
"Please specify date required option(s)","Please specify date required option(s)"
"Please specify the product option(s)","Please specify the product option(s)"
"Please specify the product required option(s)","ציין את אפשרות(יות) המוצר הנדרשת(ות)"
"Please specify the product(s) quantity","Please specify the product(s) quantity"
"Please specify time required option(s)","Please specify time required option(s)"
"Please, use four-digit year format","Please, use four-digit year format"
"Position","מיקום"
"Position In Layered Navigation","מיקום בניתוב שכבתי"
"Position of attribute in layered navigation block","מיקום תכונה בבלוק ניווט layered"
"Prev","קודם"
"Previous","קודם"
"Price","מחיר"
"Price Type","סוג מחיר"
"Price values for options should be specified in system base currency.","אפשרויות ערכי מחיר צריכות להיות מצוינות במטבעות הבסיסיים של המערכת."
"Price:","מחיר:"
"Print This Page","גרסת הדפסה"
"Problem saving the collection, aborting. Error: %s","בעייה בשמירת אוסף, מבטל פעולה. שגיאה: %s"
"Product","מוצר"
"Product %s successfully added to compare list","Product %s successfully added to compare list"
"Product %s successfully removed from compare list","Product %s successfully removed from compare list"
"Product API","ממשק ניהול מוצרים"
"Product Alerts","תזכורות מוצר"
"Product Attribute","מאפיין המוצר"
"Product Attributes","מאפייני המוצר"
"Product Categories","קטגוריות מוצר"
"Product Description","תיאור המוצר"
"Product Image Placeholders","מצייני מיקום של תמונות המוצר"
"Product Image Watermarks","סימני מים של תמונות המוצר"
"Product Images","תמונות המוצר"
"Product Images API","ממשק ניהול תמונות מוצרים "
"Product In Websites","מוצר באתרים"
"Product Info Column","עמודת מידע אודות המוצר"
"Product Information","מידע מוצר"
"Product Name","שם המוצר"
"Product Reviews","סיקורי מוצר"
"Product Tags","תגיות מוצר"
"Product Tier Price API","ממשק ניהול רמות מחירי מוצרים"
"Product Type","סוג מוצר"
"Product URL Suffix","סיומות URL של מוצרים"
"Product attribute sets API","ממשק ניהול קבוצות מאפייני המוצר"
"Product attribute was successfully deleted","מאפיין מוצר נמחק בהצלחה"
"Product attribute was successfully saved","מאפיין מוצר נשמר בהצלחה"
"Product attributes API","ממש ניהול של מאפייני המוצר"
"Product collection expected","מצפה לאוסף מוצרים"
"Product deleted","המוצר נמחק"
"Product duplicated","המוצר שוכפל"
"Product has required options","Product has required options"
"Product links API (related, cross sells, up sells)","ממשק ניהול קישורי מוצר(related, cross sells, up sells)"
"Product listing sort by","Product listing sort by"
"Product saving error.","שגיאה בשמירת מוצר"
"Product saving error. ","Product saving error. "
"Product types API","ממשק ניהול סוגי מוצר"
"Product was successfully created.","המוצר נוצר בהצלחה."
"Product was successfully saved.","המוצר נשמר בהצלחה."
"Product with this combination of attributes already associated to configurable.","מוצר עם צירוף אפשרויות זה מקושר כבר למוצר מוגדר"
"Products","מוצרים"
"Products Information","מידע מוצרים"
"Products Reviews","סקירות מוצרים"
"Products Sitemap","מפת אתר של מוצרים"
"Products only","רק מוצרים"
"Products per Page on Grid default value","Products per Page on Grid default value"
"Products per Page on List allowed values","Products per Page on List allowed values"
"Products per Page on List default value","Products per Page on List default value"
"Products per page on Grid allowed values","Products per page on Grid allowed values"
"Properties","תכונות"
"Qty","כמות"
"Qty Uses Decimals","כמות - שימוש בנקודה עשרונית"
"Qty for Item's Status to become Out of Stock","כמות הפריטים שהסטאטוס שלהם ישתנה ל 'נגמר במלאי'"
"Quick Create","יצירה מהירה"
"Quick Overview","סקירה מהירה"
"Quick simple product creation","יצירה מהירה של מוצר פשוט"
"Records for ""","רשומות ל """
"Redirect","נתב מחדש"
"Redirect URL","כתובת לניתוב חדש"
"Regular Price:","מחיר רגיל:"
"Related Products","מוצרים נלווים"
"Remove","הסר"
"Remove Product","הסר מוצר"
"Remove Product From Websites","הסר מוצרים מהאתר"
"Remove This Item","הסר פריט זה"
"Remove product assignment","הסר הקצאה של מוצר"
"Remove product image","הסר תמונת מוצר"
"Remove product link","הסר קישור מוצר"
"Required","נחוץ"
"Reset","התחל מחדש"
"Results","תוצאות"
"Retrieve attribute data","אחזר תכונות מידע"
"Retrieve attribute list","אחזר רשימת תכונות"
"Retrieve attribute options","אחזר אפשרויות תכונות"
"Retrieve categories tree","אחזר עץ קטגוריות"
"Retrieve category attributes","אחזר תכונות קטגוריה"
"Retrieve category data","אחזר מידע קטגורי"
"Retrieve hierarchical tree","אחזר עץ היררכיה"
"Retrieve linked products","אחזר מוצרים מקושרים"
"Retrieve list of assigned products","אחזר רשימת מוצרים מיועדים"
"Retrieve one level of categories by website/store view/parent category","אחזר רמה אחת של קטגוריות לפי קטגורית : אתר/תצוגת חנות/קטגוריה ראשית"
"Retrieve product","אחזר מוצר"
"Retrieve product attribute sets","אחזר סט תכונות מוצר"
"Retrieve product image","אחזר תמונות מוצר"
"Retrieve product image list","אחזר רשימת תמונות המוצר"
"Retrieve product image types","אחזר סוגי תמונות המוצר"
"Retrieve product link type attributes","אחזר תכונות של סוגי קישור המוצר"
"Retrieve product link types","אחזר סוגי קישורים של מוצר"
"Retrieve product tier prices","אחזר רמות מחירי מוצר"
"Retrieve product types","אחזר סוגי מוצר"
"Retrieve products data","אחזר מידע אודות המוצרים"
"Retrieve products list by filters","אחזר רשימת מוצרים לפי מסננים"
"Review successfully deleted","הסקירה נמחקה בהצלחה"
"Review was saved successfully","הסקירה נשמרה בהצלחה"
"Review was successfully saved","הסקירה נשמרה בהצלחה"
"Reviews","סקירות/סיקורים"
"Roll Over for preview","Roll Over for preview"
"Root","שורש/בסיס"
"SKU","מק""ט"
"Save","שמור"
"Save And Continue Edit","שמור והמשך לערוך"
"Save Attribute","שמור תיאור"
"Save Attribute Set","שמור סט תכונות"
"Save Category","שמור קטגוריה"
"Save Search","שמור חיפוש"
"Saved ","נשמר"
"Scope","תחום/טווח"
"Search","חיפוש"
"Search Engine Optimizations","אופטימיזציית מנוע חיפוש"
"Search Information","חפש מידע"
"Search Query","שאילתת חיפוש"
"Search Term was successfully saved","ערך לחיפוש נשמר בהצלחה"
"Search Term with such search query already exist.","המונח לחיפוש עם שאילתה זו כבר קיים."
"Search was successfully deleted","החיפוש נמחק בהצלחה"
"Searchable","ניתן לחיפוש"
"Select Configurable Attributes ","בחר מאפיינים הניתנים להגדרה"
"Select type of option","בחר סוג אפשרות"
"Select type options required values rows.","בחר סוגי אפשרויות הנדרשות לערכי שורות. "
"Selected Product Types","סוגי מוצר נבחרים"
"Selected configuration is not available.","התצורה שנבחרה אינה זמינה"
"Send Count","שלח ספירה"
"Set Ascending Direction","קבע כיוון עולה"
"Set Descending Direction","קבע כיוון יורד"
"Set Name","קבע שם"
"Set Root Category For Store","קבע קטגוריית בסיס לחנות"
"Set root category for this store in the <a href=""%s"">configuration</a>","הגדר קטגוריה ראשית עבור החנות ב <a href=""%s"">תצורות</a>"
"Set special price","הגדר מחיר מיוחד"
"Set/Get current store view","הגדר/קבל תצוגת חנות נוכחית"
"Settings","הגדרות"
"Shop by","Shop by"
"Shopping Options","קנייה - אפשרויות"
"Show","הצג"
"Show Details","הראה פרטים"
"Show Tags","הראה תגיות"
"Simple Product","מוצר פשוט"
"Site Map","מפת אתר"
"Sitemap","מפת אתר"
"Skip import row, is not valid value ""%s"" for field ""%s""","דלג על שורה, ערך לא תקין ""%s"" עבור שדה ""%s"""
"Skip import row, required field ""%s"" for new customer not defined","דלג על שורה, השדה ""%s"" עבור לקוחות חדשים לא מוגדר"
"Skip import row, required field ""%s"" for new products not defined","דלג על שורה, השדה ""%s"" עבור מוצרים חדשים לא מוגדר"
"Skip import row, required field ""%s"" not defined","דלג על שורה, השדה ""%s"" לא מוגדר"
"Skip import row, store ""%s"" field not exists","דלג על שורה, השדה ""%s"" בחנות לא מוגדר"
"Sort Order","מיון לפי"
"Sort by","מיין לפי"
"Source Model","מודול מקור"
"Special Price:","מחיר מבצע:"
"Starting at:","מתחיל ב:"
"Static","קבוע"
"Static block and products","בלוק סטטי ומוצרים"
"Static block only","רק בלוק סטטי"
"Status","מצב"
"Stock Availability","זמינות מלאי"
"Store","חנות"
"Store View","מבט חנות"
"Stretch","מתח"
"Subscribe to Feed","הרשם ל- Feed"
"Subscribe to RSS Feed","הרשם ל- RSS"
"Super product attributes configuration","תצורה מתקדמת של אפשרויות מוצרים "
"Synonym For","מילה נרדפת ל"
"Synonym for","מילה נרדפת ל"
"System","מערכת"
"System Properties","תכונות מערכת"
"Tag Name","שם תג"
"Tax","מע""מ"
"Text","טקסט"
"Text Area","Text Area"
"Text Field","שדה טקסט"
"There are no %s available.","אין %s זמינים."
"There are no customers for this alert","אין לקוחות לתזכורת/התרעה זו"
"There are no products matching the selection.","לא נמצאו מוצרים העונים על הבחירה"
"There was an error while adding products to websites","There was an error while adding products to websites"
"There was an error while cleared compare list","There was an error while cleared compare list"
"There was an error while removing products from websites","There was an error while removing products from websites"
"There was an error while updating product(s) attributes","ארעה שגיאה בזמן עדכון מאפייני מוצר(ים)"
"There was an error while updating product(s) status","There was an error while updating product(s) status"
"This attribute no longer exists","מאפיין זה לא קיים יותר"
"This group contains attributes, used in configurable products. Please move these attributes to another group and try again.","קבוצה זאת מכילה תכונות, אשר נמצאות בשימוש בתצורת מוצרים. אנא, העבר תכונות אלה לקבוצה אחרת ונסה שנית."
"This group contains system attributes. Please move system attributes to another group and try again.","קבוצה זאת מכילה תכונות מערכת. אנא, העבר תכונות מערכת אלה לקבוצה אחרת ונסה שנית"
"This is a required option","זאת אפשרות נדרשת"
"This search no longer exists","חיפוש זה לא קיים יותר"
"Tier Pricing","תמחור מדורג"
"Tile","אריח"
"Time format","Time format"
"Title","כותרת"
"Top/Left","למעלה/שמאלה"
"Top/Right","למעלה/ימינה"
"Total Qty Base Items","סה""כ כמות פריטי בסיס"
"Total incl. Tax: %1$s","סה""כ כולל מע""מ: %1$s"
"Total of %d record(s) were successfully deleted","סה""כ %d רשומה(ות) נמחקו בהצלחה"
"Total of %d record(s) were successfully updated","סה""כ %d רשומה(ות) עודכנו בהצלחה"
"Type","סוג"
"Unable to complete request. Please try again later.","לא יכול להשלים את הבקשה. אנא נסה מאוחר יותר."
"Unable to find a search term to delete","לא נמצא מונח חיפוש למחיקה"
"Unable to find an attribute to delete","לא נמצא מאפיין למחיקה"
"Unable to get product id.","לא יכול לקבל ID של המוצר"
"Unassigned Attributes","תכונה שלא הוקצת"
"Unique Value","ערך ייחודי"
"Unique Value (not shared with other products)","ערך ייחודי (לא משותף עם מוצרים אחרים)"
"Unknown attribute: %s","מאפיין לא ידוע: %s"
"Up-sells","Up-sells"
"Update","עדכן"
"Update Attributes","עדכן מאפיינים"
"Update Tier Price","עדכן מחיר שכבה"
"Update assigned product","Update assigned product"
"Update attributes","עדכן מאפיינים"
"Update category","עדכן קטגוריה"
"Update product","עדכן מוצר"
"Update product image","עדכן תמונת מוצר"
"Update product link","עדכן לינק למוצר"
"Update product tier prices","עדכן נתוני תמחור שכבות למוצר"
"Upload new product image ","העלה תמונת מוצר חדשה"
"Url","כתובת"
