"%s already exist","%s כבר קיימים"
"%s already exists","%s כבר קיים"
"-- Please Select --","-- בחר מהרשימה --"
"Date From","מתאריך"
"Date To","עד תאריך"
"Date/time format ""%s"" is not supported.","פורמט תאריך/שעה ""%s"" אינו נתמך."
"Debug","אתר שגיאות"
"Default","ברירת מחדל"
"Default Description","תיאור ברירת מחדל"
"Default Keywords","ברירת מחדל למילות מפתח"
"Default Pages","עמודי ברירת מחדל"
"Default Robots","רובוטים ברירת מחדל"
"Default Store","חנות ברירת מחדל"
"Default Store View","מבט חנות - ברירת מחדל  (%s)"
"Default Title","כותרת ברירת מחדל"
"Default country","ארץ ברירת מחדל"
"Default no-route url","Default no-route url"
"Default web url","כתובת ברירת מחדל לאתר"
"Delete","מחק/מחיקה"
"Delete Store","מחק חנות"
"Delete Store View","מחק מבט חנות"
"Delete Website","מחק אתר"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","מחיקת %1$s לא תמחק את המידע המקושר עם %1$s (קטגוריות, מוצרים וכו), אבל ה- %1$s לא יוכל להיות משוחזר. מומלץ לעשות גבוי לפני המחיקה של %1$s"
"Design","עיצוב"
"Design Change","שינוי עיצוב"
"Developer","מפתח"
"Developer Client Restrictions","הגבלות מפתח לקוחות"
"Disable email communications","Disable email communications"
"Disable modules output","Disable modules output"
"Duplicate Of Template Code","שיכפול מקוד התבנית"
"Edit Design Change","ערוך שינוי עיצוב"
"Edit Store","ערוך חנות"
"Edit Store View","ערוך מבט חנות"
"Edit Website","ערוך אתר"
"Empty identifier field name","שם מזהה שדה ריק"
"Empty main table name","שם טבלה עיקרית ריק"
"Enabled","פעיל"
"Enabled for Admin","פעיל למנהל"
"Enabled for Frontend","מופעל באתר"
"Error in file: ""%s"" - %s","שגיאה בקובץ: ""%s"" - %s"
"Error while saving. Please try again later.","שגיאה בשמירה. אנא נסה שוב מאוחר יותר"
"Error: Passwords do not match","שגיאה: סיסמאות לא מתאימות"
"Exceptions Log File Name","שמות קובת לוג יוצא מן הכלל"
"First Day of Week","יום ראשון של השבוע"
"Footer","כותרת תחתונה"
"Forgot Password Email Sender","שכחתי סיסמא"
"Forgot Password Email Template","שחכתי סיסמא - תבנית הודעה"
"General","כללי"
"General Settings","הגדרות כלליות"
"General contact","איש קשר כללי"
"Global","גלובלי"
"HTML Head"," כותרת HTML"
"Header","כותרת עליונה"
"Host","שרת/מארח"
"Id path for specified store","Id path for specified store"
"Incorrect credit card expiration date","Incorrect credit card expiration date"
"Invalid base url type","סוג URL בסיס לא תקין"
"Invalid block name to set child %s: %s","שם בלוק לא תיקני עובר תת סט %s: %s"
"Invalid block type: %s","סוג בלוק מידע לא תקני: %s"
"Invalid block: %s","בלוק מידע לא תקני: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Invalid layout update argument, expected Mage_Core_Model_Layout_Element"
"Invalid layout update handle","תפעול עדכון פריסת עיצוב לא תקני"
"Invalid messages storage ""%s"" for layout messages initialization","אחסון הודעות לא תקין ""%s"" לפריסת הודעות "
"Invalid transactional email code: ","קוד דוא""ל העברה לא תקין: "
"Invalid websites configuration path: %s","Invalid websites configuration path: %s"
"Layout","סידור/פריסה/לייאאוט"
"Layouts","Layouts"
"Leave empty for access from any location","השאר ריק לגישה מכל מקום"
"Locale","מקומי/איזורי"
"Locale options","אפשרויות מקומיות"
"Log Settings","לוג - הגדרות"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","לוגו - טקסט אלטרנטיבי"
"Logo Image Src","לוגו - כתובת תמונה"
"Manage Stores","ניהול חנויות"
"Match expressions in the same order as displayed in the configuration.","התאם ביטויים באותו הסדר כפי שהם מופיעים בהגדרות"
"Miscellaneous HTML","  מעורב HTML"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","Model class does not exist: %s"
"Model collection resource name is not defined","Model collection resource name is not defined"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","שם"
"New Design Change","שינוי עיצוב חדש"
"New Store","חנות חדשה"
"New Store View","מבט חנות חדש"
"New Website","אתר חדש"
"No","לא"
"Package","חבילה"
"Please choose to register or to checkout as a guest","אנא בחר להירשם או להמשיך בתהליך רכישה כאורח."
"Please define flag code.","אנא הגדר קוד דגל"
"Please enter 6 or more characters.","יש להקליד 6 תווים או יותר."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","אנא הקלד 6 או יותר תווים. רווחים לפני או אחרי לא ילקחו בחשבון"
"Please enter a number greater than 0 in this field.","בשדה זה יש להקליד מספר הגדול מ-0"
"Please enter a valid $ amount. For example $100.00.","בבקשה הכנס סכום תקין לדוגמא $100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","אנא הקלד כתובת חוקית, לדוגמא: http://www.example.com או www.example.com"
"Please enter a valid URL. http:// is required","אנא הקלד כתובת תקנית. http:// נדרש"
"Please enter a valid credit card number.","יש להקליד מספר כרטיס אשראי חוקי."
"Please enter a valid date.","יש להקליד תאריך תקין."
"Please enter a valid email address. For example johndoe@domain.com.","הקלד כתובת אימייל תקינה, לדוגמא: johndoe@domain.com."
"Please enter a valid number in this field.","בשדה זה יש להקליד מספר חוקי."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","אנא הקלד מספר טלפון תקני, לדוגמא: (123) 456-7890 או 123-456-7890"
"Please enter a valid social security number. For example 123-45-6789.","אנא הקלד מספר ביטוח לאומי/ת.ז. תקני, לדוגמא: 123456789"
"Please enter a valid zip code.","יש להקליד מיקוד תקין."
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please enter valid password.","יש להקליד סיסמה חוקית."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","יש לוודא שהסיסמאות זהות."
"Please select State/Province.","בחר מדינה/מחוז."
"Please select an option.","בחר אפשרות"
"Please select one of the above options.","יש לבחור אחת מהאפשרויות לעיל."
"Please select one of the options.","יש לבחור אחת מהאפשרויות."
"Please specify payment method.","ציין את שיטת התשלום."
"Please specify shipping method.","ציין שיטת שילוח"
"Please use letters only (a-z or A-Z) in this field.","אנא השתמש באותיות (a-z או A-Z) בלבד"
"Please use letters only (a-z) in this field.","אנא השתמש באותיות (a-z) בלבד"
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","אנא השתמש בספרות (0-9) בלבד. המנע משימוש ברווחים, פסיקים או נקודות."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","אנא השתמש בספרות (0-9) ואותיות (א-ת, a-z) בלבד. הימנע משימוש ברווחים ותווים אחרים."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","אנא השתמש בספרות (0-9), אותיות (א-ת, a-z), רווחים ו # בלבד בשדה זה."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","אנא השתמש בספרות (0-9), אותיות (א-ת, a-z), או קו תחתון (_) , בשדה זה. תו ראשון צריך להיות אות."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","אנא השתמש בפורמט תאריך מסוג dd/mm/yyyy, לדוגמא: 17/03/2006 עבור ה- 17 למרץ, 2006."
"Please wait, loading...","אנא המתן/י, טוען..."
"Polls","סקרים"
"Port (25)","Port (25)"
"Profiler","בונה פרופילים"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Request path for specified store"
"Requested invalid store ""%s""","נדרשה חנות לא תקינה ""%s"""
"Resource is not set","מקור לא הוגדר"
"Root Category","קטגוריית שורש/בסיס"
"SMTP settings (Windows server only)","הגדרות SMTP (שרת Windows בלבד)"
"Sales representative","Sales representative"
"Save","שמור"
"Save Store","שמור חנות"
"Save Store View","שמור מבט חנות"
"Save Website","שמור אתר"
"Search Engines Optimization","אופטימיזציית מנועי חיפוש"
"Secure","מאובטח"
"Security","אבטחה"
"Select Date","בחר תאריך"
"Sender email","השולח - אימייל"
"Sender name","השולח - שם"
"Services","שירותים"
"Session Cookie management","Session Cookie management"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","הגדרות אישור מפגש"
"Set as default","Set as default"
"Skin (Images / CSS)","סקין (תמונות / CSS)"
"Sort order","מיון לפי"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","זמן/תאריך נבחר ""%1$s"" לא תואמים את הפורמט ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","Start date can't be greater than end date"
"Startup page","Startup page"
"Status","מצב"
"Store","חנות"
"Store Email Addresses","חנות - כתובות אימייל"
"Store Information","חנות - מידע"
"Store Name","חנות - שם"
"Store View","מבט חנות"
"Store View Information","מבט חנות - מידע"
"Store View Name","מבט חנות - שם"
"Store View was successfully saved","מבט חנות נשמר בהצלחה"
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","קוד חנות צריך לכלול אותיות (a-z), ספרות (0-9) או קו תחתי (_), תו ראשון צריך להיות אות."
"Store doesn't exist","Store doesn't exist"
"Store view doesn't exist","תצוגת חנות לא קיימת"
"Store view was successfully deleted.","Store view was successfully deleted."
"Store was successfully deleted.","החנות נמחקה בהצלחה"
"Store was successfully saved","החנות נשמרה בהצלחה"
"Store with the same code","חנות עם אותו הקוד"
"System","מערכת"
"System Log File Name","שם קובץ לוג המערכת"
"Template Path Hints","רמיזות נתיב תבנית"
"Templates","תבניות"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","ה %s שהוזן לא תקין. אנא ודא כי הוא עוקב אחרי פורמט ""http://domain.com/"" "
"Themes","ערכות (Themes)"
"This category and all its child elements","הקטגוריה וכל תתי האלמנטים שלה"
"This category and its child categories only","הקטגוריה ותתי הקטגוריה שלה בלבד"
"This category and its products only","הקטגוריה והמוצרים שלה בלבד"
"This category only","קטגוריה זו בלבד"
"This is a required field.","שדה זה הוא חובה."
"This store cannot be deleted","This store cannot be deleted"
"This store cannot be deleted.","לא ניתן למחוק חנות זו."
"This store view cannot be deleted","This store view cannot be deleted"
"This store view cannot be deleted.","לא ניתן למחוק מבט חנות זה."
"This website cannot be deleted","This website cannot be deleted"
"This website cannot be deleted.","לא ניתן למחוק אתר זה."
"This will be displayed just before body closing tag","This will be displayed just before body closing tag"
"This will be included before head closing tag in page HTML","This will be included before head closing tag in page HTML"
"Timezone","איזור זמן"
"Title Prefix","תחילית - כותרת"
"Title Suffix","סופית - כותרת"
"Translate Inline","תרגם ממשק פנימי"
"Translate cache should be disabled for both Frontend and Admin inline translations","Translate cache should be disabled for both Frontend and Admin inline translations"
"Translations","תרגומים"
"Unable to delete store view. Please, try again later.","לא יכול למחוק מבט חנות. אנא נסה מאוחר יותר."
"Unable to delete store. Please, try again later.","לא יכול למחוק חנות. אנא נסה מאוחר יותר."
"Unable to delete website. Please, try again later.","לא יכול למחוק אתר. אנא נסה מאוחר יותר"
"Unable to proceed. Please, try again","לא יכול להמשיך. אנא נסה שוב"
"Unknown scope ""%s""","תחום/טווח לא ידוע ""%s"""
"Unsecure","לא מאובטח"
"Url Options","הגדרות URL"
"Use HTTP Only","השתמש ב  HTTP בלבד"
"Use Secure URLs in Admin","השתמש ב URL מאובטח בתצוגת ניהול."
"Use Secure URLs in Frontend","השתמש ב URL מאובטח בתצוגת חנות"
"Use Web Server Rewrites","השתמש בשכתובי שרת אתר"
"Use custom admin URL","Use custom admin URL"
"Validate HTTP_USER_AGENT","אשר HTTP_USER_AGENT"
"Validate HTTP_VIA","אשר HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","אשר HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","אשר REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","רשת/אתר"
"Website","אתר"
"Website Information","מידע אתר"
"Website Name","שם אתר"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter"
"Website doesn't exist","Website doesn't exist"
"Website was successfully deleted.","האתר נמחק בהצלחה."
"Website was successfully saved","אתר נשמר בהצלחה"
"Website with the same code","אתר עם אותו הקוד"
"Weekend Days","ימי סופשבוע"
"Welcome Text","טקסט ברוך הבא"
"Wrong number of arguments for %s","כמות פרמטרים שגויה ל %s"
"Yes","כן"
"Your order can not be completed at this time as there is no payment methods available for it.","Your order can not be completed at this time as there is no payment methods available for it."
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","זמן המפגש שלך נגמר, אתה תחובר מחדש עכשיו."
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
