"* Required Fields","* שדות חובה"
"Current Password","סיסמא נוכחית"
"Customer","לקוח"
"Customer Addresses","כתובות לקוח"
"Customer Api","לקוח Api"
"Customer Configuration","הגדרות הלקוח"
"Customer Group","קבוצת לקוח"
"Customer Group was successfully deleted","קטגוריית לקוח נמחקה בהצלחה"
"Customer Group was successfully saved","קטגוריית לקוח נשמרה בהצלחה"
"Customer Groups","קבוצות קונים"
"Customer Information","מידע לקוח"
"Customer Login","כניסת לקוחות"
"Customer Since","לקוח מתאריך"
"Customer View","מבט לקוח"
"Customer collection expected","מצפה לאוסף לקוחות"
"Customer doesn't have primary billing address","לא קיימת כתובת ראשית לחיוב לקוח"
"Customer email already exists","מייל לקוח כבר קיים"
"Customer website id must be specified, when using website scope.","Customer website id must be specified, when using website scope."
"Customers","קונים"
"Customers Only","לקוחות בלבד"
"Customers Section","איזור - לקוחות"
"DD","DD"
"Date","תאריך"
"Date Added","תאריך התווספות"
"Date of Birth","תאריך לידה"
"Date of Birth is required.","Date of Birth is required."
"Day","יום"
"Days in Wishlist","ימים ברשימת החלומות"
"Default Addresses","כתובות ברירת המחדל"
"Default Billing Address","כתובת ברירת המחדל לחיוב"
"Default Email Domain","דומיין ברירת מחדל לאימייל"
"Default Group","קבוצת ברירת מחדל"
"Default Shipping Address","כתובת ברירת המחדל למשלוח"
"Default Welcome Email","ברירת מחדל - אימייל ברוכים הבאים"
"Delete","מחק/מחיקה"
"Delete Address","מחק כתובת"
"Delete Customer","מחק לקוח"
"Delete Customer Group","מחק קבוצת לקוחות"
"Delete customer","מחק לקוח"
"Delete customer address","מחק כתובת לקוח"
"Deleted Stores","חנויות שנמחקו"
"Details","פרטים"
"Disabled","כבוי/לא פעיל"
"Edit","ערוך"
"Edit Account Info","ערוך פרטי חשבון"
"Edit Account Information","ערוך חשבון לקוח"
"Edit Address","ערוך כתובת"
"Edit Address Entry","ערוך רשומת כתובת"
"Edit Customer Group ""%s""","ערוך קבוצת לקוחות ""%s"""
"Edit Customer Groups","ערוך קבוצת לקוחות"
"Edit Customer's Address","ערוך כתובת לקוח"
"Edit Group","ערוך קבוצה"
"Edit Newsletter Subscription","ערוך רישום לניוזלטר"
"Edit Newsletters","ערוך ניוזלטרים"
"Edit Personal Information","ערוך פרטים אישיים"
"Email","מייל"
"Email Address","כתובת אי-מייל"
"Email Sender","אימייל השולח/שלח אימייל לשולח"
"Entity collection is expected","מצפה לאוסף ישויות"
"Error during retrieval of option value: %s","Error during retrieval of option value: %s"
"Ext. Price","Ext. Price"
"Failed to confirm customer account.","נכשל באימות חשבון לקוח."
"Fax","פקס"
"First Name","שם פרטי"
"First name can't be empty","First name can't be empty"
"Forgot Email Sender","שכחתי אימייל"
"Forgot Email Template","שחכתי אימייל - תבנית הודעה"
"Forgot Your Password?","שכחת את הסיסמא?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","מלוח הניהול של החשבון שלך את/ה יכול לצפות בפעילות האחרונה שלך באתר ולעדכן פרטים. אנא בחר לינק מלמטה כדי לצפות/לערוך מידע."
"General Subscription","הרשמה כללית"
"Global","גלובלי"
"Go to Address Book","לך לספר הכתובות"
"Grand Total","סה""כ כללי"
"Grand Total: %s","סך הכל בגדול: <strong>%s</strong>"
"Group","קבוצה"
"Group ""%s"" can not be deleted","לא ניתן למחוק את קבוצה ""%s"""
"Group Information","מידע קבוצה"
"Group Name","שם קבוצה"
"Guest","אורח"
"HTML","HTML"
"Hello, %s!","שלום, %s!"
"ID","קוד/ת.ז/זיהוי"
"IP Address","כתובת IP"
"If you have an account with us, please log in.","אם הינך משתמש רשום, אנא היכנס."
"Invalid attribute option specified for attribute %s (%s), skipping the record","אפשרות לא תקנית למאפיין %s (%s), מדלג על רשומה"
"Invalid attribute set specified, skipping the record","סט מאפיינים לא תקני, מדלג על רשומה"
"Invalid current password","סיסמא נוכחית שגויה"
"Invalid customer data","נתוני לקוח לא תקניים"
"Invalid email address","כתובת אימייל לא תקינה"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid login or password.","משתמש או סיסמא שגויים"
"Invalid option id specified for %s (%s), skipping the record","Invalid option id specified for %s (%s), skipping the record"
"Invalid store specified, skipping the record","Invalid store specified, skipping the record"
"Items Order","הזמנת פריטים"
"Last 5 Orders","5 הזמנות אחרונות"
"Last Activity","פעילות אחרונה"
"Last Name","שם משפחה"
"Last Url","כתובת אחרונה"
"Last Viewed Items","פריטים אחרונים שצפית בהם"
"Last date subscribed","תאריך הרשמה אחרונה"
"Last date unsubscribed","תאריך ביטול הרשמה אחרונה"
"Last name can't be empty","Last name can't be empty"
"Leave empty for default (15 minutes).","השאר ריק עבור ברירת מחדל (15 דקות)."
"Leave empty for default (2). Valid range: 1-4","השאר ריק עבור ברירת מחדל (2). טווח תקין: 1-4"
"Lifetime Sales","מכירות מכל הזמנים"
"Log In","התחבר"
"Log Out","התנתק"
"Log in or Create an Account","Log in or Create an Account"
"Login","כניסה"
"Login Information","פרטי כניסה"
"Login and password are required","שם משתמש וסיסמא נדרשים"
"Login or Create an Account","היכנס או צור חשבון"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","ניהול כתובות"
"Manage Customers","ניהול קונים"
"Missing email, skipping the record","חסר אימייל, מדלג על רשומה"
"Missing firstname, skipping the record","חסר שם פרטי, מדלג על רשומה"
"Missing lastname, skipping the record","חסר שם משפחה, מדלג על רשומה"
"Month","חודש"
"My Account","חשבון שלי"
"My Account Dashboard","My Account Dashboard"
"My Dashboard","ממש הבקרה שלי"
"My Orders","ההזמנות שלי"
"My Reviews","סקירות שלי"
"My Tags","תגיות שלי"
"My Wishlist","רשימת החלומות שלי"
"Name","שם"
"Name and Address Options","אפשרויות שם וכתובת"
"Never","לעולם לא"
"New Address","כתובת חדשה"
"New Address Entry","הזנת כתובת חדשה"
"New Customer","לקוח חדש"
"New Customer Address","כתובת לקוח חדשה"
"New Customer Group","קבוצת לקוח חדשה"
"New Customer Groups","קבוצות לקוח חדשות"
"New Customers","לקוחות חדשים"
"New Group","קבוצה חדשה"
"New Password","סיסמא חדשה"
"New account","חשבון חדש"
"New account confirmation key","מפתח אישור חשבון חדש"
"New account confirmed","חשבון חדש אושר"
"New password","סיסמא חדשה"
"Newsletter","ניוזלטר"
"Newsletter Finish","ניוזלטר - סיום"
"Newsletter Information","מידע ניוזלטר"
"Newsletter Received","ניוזלטר התקבל"
"Newsletter Start","ניוזלטר - התחלה"
"Newsletter Subscription","ניוזלטר - רישום"
"Newsletters","ניוזלטרים"
"No Items Found","לא נמצאו פריטים"
"No Newsletter Found","לא נמצאו הודעות ניוזלטר"
"No item specified.","לא צוין פריט."
"No product collections found","לא נמצאו אוספי מוצרים"
"Not Sent","לא נשלח"
"Not confirmed, can login","לא מאושר, יכול להתחבר"
"Not confirmed, cannot login","לא מאושר, לא יכול להתחבר"
"Number of lines in a street address ","Number of lines in a street address "
"Offline","אוף-ליין"
"Online","און-ליין"
"Online Customers","קונים באתר"
"Online Customers Options","אפשרויות קונים מקוונים באתר"
"Online Minutes Interval","אפשרויות הפרש דקות."
"Order #","מס' הזמנה"
"Order #%s (%s)","הזמנה מס' %s (%s)"
"Order List...","רשימת הזמנות..."
"Order Total","סה""כ להזמנה"
"Orders","הזמנות"
"PDF","PDF"
"Password","סיסמא"
"Password Management","ניהול סיסמאות"
"Password Options","אפשרויות סיסמא"
"Password can't be empty","Password can't be empty"
"Password fields can't be empty.","Password fields can't be empty."
"Password forgotten","שכחתי סיסמא"
"Password minimal length must be more %s","Password minimal length must be more %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Password must have at least 6 characters. Leading or trailing spaces will be ignored."
"Paused","עצר/נעצר"
"Payment Method","שיטת התשלום"
"Pending","בהמתנה"
"Per Website","לאתר"
"Personal Information","פרטים אישיים"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Please enter your email below and we'll send you confirmation link for it.","אנא, הזאת את הכתובת שלך ואנחנו נשלח לך קישור אישור הרשמה."
"Please enter your email.","הקלד את כתובת האימייל שלך."
"Please make sure your passwords match.","יש לוודא שהסיסמאות זהות."
"Please select","בחר אפשרות"
"Please select region, state or province","בחר איזור, מדינה או מחוז"
"Please, check your e-mail for confirmation key.","Please, check your e-mail for confirmation key."
"Prefix","תחילית"
"Prefix dropdown options","Prefix dropdown options"
"Price","מחיר"
"Primary Billing Address","כתובת ראשית לחיוב"
"Primary Shipping Address","כתובת ראשית למשלוח"
"Problem saving the collection, aborting. Error: %s","בעייה בשמירת אוסף, מבטל פעולה. שגיאה: %s"
"Product","מוצר"
"Product ID","קוד מוצר"
"Product Name","שם המוצר"
"Product Reviews","סיקורי מוצר"
"Product Tags","תגיות מוצר"
"Product name","שם המוצר"
"Purchase On","קנה בתאריך/קנה ב"
"Purchased at","נקנה ב"
"Qty","כמות"
"Recent Orders","הזמנות אחרונות"
"Records for ""","רשומות ל """
"Refunded","הוחזר"
"Registered Customers","לקוחות רשומים"
"Remove","הסר"
"Require Emails Confirmation","דרוש אישור דוא""ל"
"Retrieve address data","אחזר פרטי כתובת"
"Retrieve address info","אחזר מידע כתובת"
"Retrieve customer addresses","אחזר כתובת לקוח"
"Retrieve customer data","אחזר מידע לקוח"
"Retrieve customer's groups","Retrieve customer's groups"
"Retrieve customers","אחזר לקוחות"
"Retrieve customers info","Retrieve customers info"
"Retrieve your confirmation link here","אחזר את קישור האישור שלך כאן"
"Retrieve your password here","שחזר סיסמא כאן"
"SKU","מק""ט"
"Sales Statistics","סטטיסטיקת מכירות"
"Save","שמור"
"Save Address","שמור כתובת"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer","שמור לקוח"
"Save Customer Group","שמור קבוצת לקוחות"
"Save Password","שמור סיסמא"
"Saved ","נשמר"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","נקודה פסיק (;) ערכים מופרדים.<br/>הכנס נקודה פסיק בכדי לשאיר אפשרות ראשונה ריקה.<br/>השאר ריק לדה טקסט ריק."
"Send Welcome Email after Confirmation","שלח דוא""ל ברכה אחרי אישור"
"Send auto-generated password","שלח סיסמא אוטומטית"
"Send confirmation link","שלח קישור לאישור הרשמה"
"Send welcome email","שלח אימייל ברוך הבא"
"Sending","שולח"
"Sent","נשלח"
"Session Start Time","זמן תחילת פגישה"
"Set as Default Billing Address","קבע כברירת מחדל לכתובת חיוב"
"Set as Default Shipping Address","קבע ככתובת ברירת מחדל לשילוח"
"Share Customer Accounts","שתף חשבונות לקוח"
"Ship to First name","שלח אל - שם פרטי"
"Ship to Last name","שלח אל - שם משפחה"
"Shipped to First Name","נשלח אל - שם פרטי"
"Shipped to Last Name","נשלח אל - שם משפחה"
"Shipped to Name","נשלח אל - שם"
"Shipping Information","מידע על משלוח"
"Shipping Method","שיטת שילוח"
"Shopping Cart","סל קניות"
"Shopping Cart - %d item(s)","עגלת קניות - %d פריט(ים)"
"Show Tax/VAT number","Show Tax/VAT number"
"Show date of birth","Show date of birth"
"Show middle name (initial)","Show middle name (initial)"
"Show prefix","Show prefix"
"Show suffix","Show suffix"
"Sign Up for Newsletter","הירשם לניוזלטר"
"Sign up for our newsletter","הירשם לניולטר שלנו"
"Skip import row, required field ""%s"" not defined","דלג על שורה, השדה ""%s"" לא מוגדר"
"Skip import row, website ""%s"" field not exists","דלג על שורה, השדה ""%s"" באתר לא מוגדר"
"State/Province","מדינה/מחוז"
"Status","מצב"
"Store","חנות"
"Store View","מבט חנות"
"Street Address","כתובת רחוב"
"Street Address ","כתובת רחוב"
"Subject","נושא"
"Submit","שלח"
"Subscribe","הירשם"
"Subscribe to newsletter","הירשם לניוזלטר"
"Subscribed to Newsletter?","הרשמה לניוזלטר?"
"Suffix","סיומת"
"Suffix dropdown options","Suffix dropdown options"
"TAX/VAT number is required.","TAX/VAT number is required."
"Tag Name","שם תג"
"Tax Class","מחלקת/מדרגת מס"
"Tax class","מחלקת/מדרגת מס"
"Tax/VAT number","מספר מס/מעמ"
"Telephone","טלפון"
"Text","טקסט"
"Text One Line","טקסט - שורה אחת"
"Thank you for registering with %s","תודה על הרישום עם  %s"
"The address does not belong to this customer","הכתובת לא שייכת ללקוח זה"
"The address was successfully deleted","הכתובת נמחקה בהצלחה"
"The address was successfully saved","הכתובת נשמרה בהצלחה"
"The suffix that goes after name (Jr., Sr., etc.)","הסיומת שמופיע לאחר השם  (Jr., Sr., etc.)"
"The title that goes before name (Mr., Mrs., etc.)","כתואר במגיע לפני השם (Mr., Mrs., etc.)"
"There are no items in customer's wishlist at the moment","אין פריטים ברשימת החלומות של הלקוח בשלב זה"
"There are no items in customer's shopping cart at the moment","אין פריטים בעגלת הקניות של הקלוח"
"There was an error while deleting the address","ארעה שגיאה במהלך מחיקת הכתובת"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","This Email will be sent instead of Default Welcome Email, after Account Confirmation."
"This account is not confirmed.","החשבון לא מאושר"
"This customer has no saved addresses.","ללקוח זה אין כתובות שמורות."
"This e-mail does not require confirmation.","This e-mail does not require confirmation."
"This email address was not found in our records","כתובת דואר אלקטרוני זו לא קיימת ברישומים שלנו"
"This is My Primary %s Address","זוהי כתובתי <strong>%s</strong> הראשית"
"To Cart","לסל הקניות"
"Total","סה""כ"
"Type","סוג"
"Unknown","לא ידוע"
"Unsubscribe from newsletter","הסר רישום מניוזלטר"
"Update","עדכן"
"Update customer address data","עדכן נתוני כתובת לקוח"
"Update customer data","עדכן נתוני לקוח"
"Use as My Primary %s Address","השתמש בכתובתי הראשית <strong>%s</strong>"
"Use as my default billing address","השתמש בכתובת <strong>החיוב</strong> שלי כברירת מחדל"
"Use as my default shipping address","השתמש בכתובת <strong>המשלוח</strong> שלי כברירת מחדל"
"User description","תיאור משתמש"
"View","הצג"
"View Order","הצג הזמנה"
"View Order List","הצג רשימת הזמנות"
"Visible In","גלוי ב"
"Visitor","אורח"
"Visitors Only","אורחים בלבד"
"Website","אתר"
"Welcome Email","אימייל ברוך הבא"
"Wishlist","רשימת החלומות"
"Wishlist - %d item(s)","רשימת חלומות - %d פריט(ים)"
"Wrong confirmation key.","מפתח אישור שגוי"
"Wrong customer account specified.","צוין חשבון לקוח שגוי"
"Wrong email.","אימייל לא נכון."
"Wrong region id by selected country","קוד איזור שגוי לארץ הנבחרת"
"Wrong transactional account email type.","סוג דוא""ל חשבון העברה שגוי."
"XML","XML"
"YYYY","YYYY"
"Year","שנה"
"You are currently not subscribed to any newsletter.","כרגע אינך מנוי לאף ניוזלטר."
"You are currently not subscribed to our newsletter","כרגע, אינך מנוי לניוזלטר שלנו"
"You are currently subscribed to 'General Subscription'.","כרגע אתה רשום בתור ,'רישום כללי'"
"You are currently subscribed to our newsletter","הרישום לניוזלטר שלנו בוצע בהצלחה"
"You are currently subscribed to our newsletter.","הרישום לניוזלטר שלנו בוצע בהצלחה."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","יציאתך הושלמה בהצלחה ואתה תופנה לדף הבית שלנו בעוד 5 שניות."
"You have no additional address entries in your address book.","אין לך כתובות נוספות בספר הכתובות שלך."
"You have no additional entries in your address book.","אין לך רשומות נוספות בספר הכתובות שלך."
"You have no default billing address in your address book.","אין לך כתובת ברירת מחדל לתשלום בספר הכתובות שלך."
"You have no default shipping address in your address book.","אין לך כתובת משלוח ברירת מחדל בספר הכתובות שלך."
"You have no primary entries in your address book.","You have no primary entries in your address book."
"You have not set a primary billing address.","לא הוגדרה כתובת חיוב ראשית"
"You have not set a primary shipping address.","לא הוגדרה כתובת משלוח ראשית"
"You have placed no orders yet.","עדיין לא בוצעה שום הזמנה."
"You have placed no products yet.","עדיין לא בוצעה שום הזמנת מוצרים."
"You're now Logged Out","הינך יוצא מהמערכת"
"Your account balance is: %s","המאזן לחשבונך: <strong>%s</strong>"
"ZIP","מיקוד"
"ZIP/Post Code","מיקוד/ת.ד."
"ZIP/Postal Code","מיקוד/ת.ד."
"Zip/Postal Code","מיקוד/ת.ד."
"n/a","לא זמין"
"or","או"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","לא הגדרת כתובת חיוב ברירת מחדל."
"You have not set a default shipping address.","לא הגדרת כתובת משלוח ברירת מחדל."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
"Sign Up for Newsletter","Sign Up for Newsletter"
"You are currently not subscribed to any newsletter.","You are currently not subscribed to any newsletter."
"Default Shipping Address","Default Shipping Address"
"Login","Login"
"Invalid login or password.","Invalid login or password."
"Edit Account Information","Edit Account Information"
"Log Out","Log Out"
"First Name","First Name"
"Last Name","Last Name"
