"%s was successfully added to your shopping cart.","%s הוסף בהצלחה לעגלת הקניות."
"Grand Total:","סה""כ:"
"Grouped product image","תמונת מוצר קבוצתי"
"HTML","HTML"
"ID","קוד/ת.ז/זיהוי"
"Incl. Tax","כולל מס"
"Invalid data","נתונים לא תקניים"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","Invalid shipping method."
"Items","פריטים"
"Load customer quote error","שגיאה בטעינת הצעת מחיר ללקוח"
"Loading next step...","טוען שלב הבא..."
"Login","כניסה"
"Manage Checkout Terms and Conditions","ניהול תקנון תשלום"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","כמות מקסימלית מורשית למשלוח המפוצל לכמה כתובות הינה %s"
"Move to Wishlist","עבור לרשימת החלומות"
"My Account","My Account"
"My Cart","עגלת הקניות שלי"
"My Cart (%s item)","העגלה שלי (%s פריט)"
"My Cart (%s items)","העגלה שלי (%s פריטים)"
"My Cart Link","לינק לעגלה שלי"
"New Address","כתובת חדשה"
"New Condition","תנאי חדש"
"Order #","מס' הזמנה"
"Order Review","סקירת ההזמנה"
"Order Success","ההזמנה בוצעה בהצלחה"
"Other items in your order","Other items in your order"
"Password","סיסמא"
"Payment Failed Email Reciever","יעד דוא""ל תשלום נכשל"
"Payment Failed Email Sender","מקור דוא""ל תשלום נכשל"
"Payment Failed Emails","דוא""ל תשלומים שנכשלו"
"Payment Failed Template","תבנית תשלום שנכשל"
"Payment Information","מידע על תשלום"
"Payment Method","שיטת התשלום"
"Payment method is not defined","שיטת תשלום לא מוגדרת"
"Place Order","בצע הזמנה"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">המשך בקניות</a>."
"Please agree to all Terms and Conditions before placing the order.","אנא אשר את תקנון השימוש לפני ביצוע ההזמנה."
"Please agree to all Terms and Conditions before placing the orders.","אנא אשר את תקנון השימוש לפני ביצוע ההזמנות."
"Please enter a valid zip code. For example 90602 or 90602-1234.","אנא ציין מיקוד. לדוגמא 69020"
"Please log in below:","אנא התחבר (בתחתית):"
"Please select region, state or province","בחר איזור, מדינה או מחוז"
"Please select shipping address for applicable items","אנא בחר כתובת למשלוח עבור פריט ישים"
"Please select shipping methods for all addresses","אנא בחר שיטות משלוח לכל הכתובות"
"Price","מחיר"
"Proceed to Checkout","עבור לקופה"
"Product","מוצר"
"Product Name","שם המוצר"
"Product does not exist","מוצר לא קיים"
"Qty","כמות"
"Quote Lifetime (days)","תוקף הצעת מחיר (ימים)"
"Recently added item(s)","פריט(ים) שהוספו לאחרונה"
"Register","הירשם"
"Register and save time!","הירשם וחסוך זמן!"
"Register to Create an Account","הרשם כדי ליצור חשבון"
"Register with us for future convenience:","הרשם לשירות שלנו למען נוחיותך בעתיד:"
"Remove","הסר"
"Remove Item","הסר"
"Remove Product","הסר מוצר"
"Remove item","הסר"
"Review Order","סקור ההזמנה"
"Review Order - %s","צפה בהזמנה - %s"
"Sales","מכירות"
"Save Condition","שמור תנאי"
"Save in address book","שמור בספר הכתובות"
"Select Address","בחר כתובת"
"Select Addresses","בחר כתובות"
"Select Shipping Method","בחר שיטת המשלוח"
"Select State/Province...","בחר אזורמחוז..."
"Select a billing address from your address book or enter a new address.","בחר כתובת למשלוח מספר הכתובת שלך או שהכנס <a href=""#"" onclick=""billing.newAddress(true); return false;"">כתובת חדשה</a>."
"Select a shipping address from your address book or enter a new address.","בחר כתובת למשלוח מספר הכתובות או הזן <a href=""#"" onclick=""shipping.newAddress(true); return false;"">כתובת חדשה</a>."
"Send Payment Failed Email Copy Method","שיטת העתקת דוא""ל נכשל שליחת תשלום"
"Send Payment Failed Email Copy To","העתק ל- דוא""ל נכשל שליחת תשלום"
"Send to","שלח אל"
"Ship to Multiple Addresses","משלוח למספר כתובות"
"Ship to different address","שלח לכתובת שונה"
"Ship to this address","שלח לכתובת זו"
"Shipping Address","כתובת למשלוח"
"Shipping Information","מידע על משלוח"
"Shipping Method","שיטת שילוח"
"Shipping Methods","שיטות משלוח"
"Shipping method has not been selected yet","שיטת המשלוח עדיין לא נבחרה"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","משלוח עבור"
"Shopping Cart","סל קניות"
"Shopping Cart Sidebar","תפריט צד של עגלת קניות"
"Shopping Cart is Empty","סל הקניות ריק"
"Show Content as","הראה תוכן כ"
"Some of the products you requested are not available in the desired quantity","חלק מהמוצרים שביקשת להזמין לא זמינים בכמות המבוקשת"
"Some of the products you requested are unavailable","חלק מהמוצרים שביקשת להזמין לא זמינים כרגע"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","אנו מתנצלים. בשלב זה אין הצעות מחיר להזמנה זו."
"State/Province","מדינה/מחוז"
"Status","מצב"
"Store View","מבט חנות"
"Street Address","כתובת רחוב"
"Street Address ","Street Address "
"Submitting order information...","שולח מידע על ההזמנה..."
"Subtotal","סך ביניים"
"Telephone","טלפון"
"Terms and Conditions","תקנון שימוש"
"Terms and Conditions Information","מידע תקנון שימוש"
"Terms and conditions","תקנון שימוש"
"Text","טקסט"
"Thank you for your purchase!","אנו מודים על הזמנתך!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","ישנם <a href=""%s""><strong>%s פריטים</strong></a> בעגלת הקניות שלך."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","There is <a href=""%s""><strong>1 item</strong></a> in your cart."
"There is already a customer registered using this email address","כבר קיים משתמש רשום מכתובת זו"
"There was an error processing your order. Please contact us or try again later.","ארעה שגיאה במהלך עיבוד ההזמנה. צור עמנו קשר או נסה שנית בזמן הקרוב."
"This condition no longer exists","This condition no longer exists"
"Total","סה""כ"
"Total for this address","סה""כ לכתובת הנבחרת"
"Unit Price","מחיר ליחידה"
"Update Qty &amp; Addresses","עדכון כמות וכתובות"
"Update Shopping Cart","עדכן סל הקניות שלך"
"Update Total","עדכן סה""כ"
"Use Billing Address","השתמש בכתובת שהוזנה בחיוב"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","הזמנתך התקבלה ובקרוב תקבל אישור עם פרטי ההזמנה למייל שהגדרת. <br/>כשהמשלוח יצא, תקבל מייל נוסף ובו קישור למעקב אודות התקדמות המשלוח."
"You have no items in your shopping cart.","אין עדיין שום דבר בסל הקניות שלך"
"You will receive an order confirmation email with details of your order and a link to track its progress.","אישור הזמנה ישלח לכתובת האימייל שצויינה ובה קישור למעקב אחר התקדמות ההזמנה."
"Your Checkout Progress","התקדמות התשלום שלך"
"Your order # is: %s","מס' ההזמנה שלך: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","הזמנתך התקבלה"
"Your order number is ","מספר ההזמנה שלך הוא"
"Zip/Postal Code","מיקוד/ת.ד."
"osCommerce Orders","הזמנות חנות מסחר אלקטרונית"
"separate by "",""","separate by "","""
"My Cart","סל הקניות"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
