"-- Please Select --","-- בחר מהרשימה --"
"Error while saving this tax rule. Please try again later.","שגיאה בעת שמירת חוק מס. אנא מסה שוב מאוחר יותר."
"Error while saving this tax rule. This product tax class, customer tax class and tax rate combination","Error while saving this tax rule. This product tax class, customer tax class and tax rate combination"
"Excl. Tax","לא כולל מס"
"Excl. Tax:","לא כולל מס:"
"Excluding tax","Excluding tax"
"Export Tax Rates","ייצא שיעורי מס"
"Ignored when 'Apply Tax After Discount' option is enabled","Ignored when 'Apply Tax After Discount' option is enabled"
"Import / Export Tax Rates","ייבוא/ייצוא תערפי מע""מ"
"Import Tax Rates","ייבא תעריפי מס"
"Inc. Tax","כולל מס"
"Incl. Tax","כולל מס"
"Incl. Tax:","כולל מס:"
"Including and excluding tax","Including and excluding tax"
"Including tax","Including tax"
"Incorrect rate Data","Incorrect rate Data"
"Invalid data for tax rate calculation","נתונים לא תקינים לחישוב שיעור המס"
"Invalid file format upload attempt","ניסיון להעלות - סוג קובץ לא תקין"
"Invalid file upload attempt","ניסיון להעלות - קובץ לא תקין"
"Manage Customer Tax Classes","נהל דרגות מס ללקוח"
"Manage Product Tax Classes","מוצרים - ניהול מחלקות/מדרגות מס"
"Manage Tax Rates","ניהול תערפי מע""מ"
"Manage Tax Rules","ניהול כללי מע""מ"
"Manage Tax Zones & Rates","ניהול איזורי מס ותעריפים"
"Name","שם"
"New Class","מחלקה חדשה"
"New Rule","חוק חדש"
"New Tax Rate","תעריף מס חדש"
"None","ללא/כלום"
"One of the country has invalid code.","אחת מהארצות עם קוד לא תקין."
"Original price only","מחיר מקורי בלבד"
"Please select Country","בחר ארץ"
"Please select County","בחר מחוז"
"Please select State","בחר מדינה"
"Priority","עדיפות/מועדף"
"Product Tax Class","מוצר - מחלקות/מדרגות מס"
"Product Tax Class Information","מוצר - מידע על מדרגת/מחלקת המס"
"Product Tax Classes","מוצר - מדרגות/מחלקות מס"
"Rate","שיעור"
"Reset","התחל מחדש"
"Sales","מכירות"
"Save Class","שמור מחלקה"
"Save Rate","שמור תעריף"
"Save Rule","שמור חוק"
"Shipping prices include tax","Shipping prices include tax"
"Sort Order","מיון לפי"
"State","מדינה"
"State/Region","מדינה/אזור/מחוז"
"Tax","מע""מ"
"Tax Based On","Tax Based On"
"Tax Class for Shipping","מחלקת/מדרגת מס לשילוח"
"Tax Classes","רמות מע""מ"
"Tax Identifier","מזהה מע""מ"
"Tax Rate","שיעור מס"
"Tax Rate Information","שיעור מס - מידע"
"Tax Rule Information","חוק מס - מידע"
"Tax Rules","חוקי מס"
"Tax Section","איזור - מיסים"
"Tax Titles","מס - כותרות"
"Tax class was successfully deleted","מחלקת/מדרגת מס נמחקה בהצלחה"
"Tax class was successfully saved","מחלקת/מדרגת מס נשמרה בהצלחה"
"Tax rate was successfully deleted","שיעור המס נמחק בהצלחה"
"Tax rate was successfully imported","שיעור מס יובא בהצלחה"
"Tax rate was successfully saved","שיעור מס נשמר בהצלחה"
"Tax rates at the same priority are added, others are compounded.","שיעורי מע”מ באותה העדיפות נוספו, השאר הורכבו."
"Tax rule was successfully deleted","חוק מס נמחק בהצלחה"
"Tax rule was successfully saved","חוק מס נשמר בהצלחה"
"This class no longer exists","מחלקה זו לא קיימת יותר"
"This rule no longer exists","חוק זה לא קיים יותר"
"XML","XML"
"You cannot delete this tax class as it is used for %d customer groups."," .אתה לא יכול למחוק את סוג המס בגלל שהוא בשימוש עבור קבוצות הלקוחות  %d "
"You cannot delete this tax class as it is used for %d products.","אתה לא יכול למחוק את סוג המס בכלל שהוא בשימוש עבור המוצרים  %d "
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","אתה לא יכול למחק את סוג המס בגלל שהוא בשימוש בחוקי המס. עליך קודם למחוק את החוק בו מתבצע השימוש."
"Zip/Post Code","מיקוד/ת.ד."
