" and "," a "
"Customer Group:","Skupina zákazníků:"
"Customer Since:","Zákazníkem od:"
"Customers","Zákazníci"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Dashboard","Nástěnka"
"Data Format","Formát dat"
"Data transfer:","Přenos dat:"
"Date selection:","Smazat výběr:"
"Date selector","Výběr data"
"Date:","Datum:"
"Decimal separator:","Oddělovač desetin:"
"Default (Admin) Values","Výchozí (Admin) hodnota"
"Default Values","Výchozí hodnota"
"Delete","Smazat"
"Dependencies","Závislosti"
"Description:","Popis:"
"Direction:","Směr:"
"Display %s first","Zobrazit prvních %s"
"Distributed under GNU LGPL. See %s for details.","Distribuováno pod GNU LGPL. Pro detaily se podívejte na %s."
"Done By:","Hotovo od:"
"Done by:","Hotovo od:"
"Download Remote File","Stáhnout vzdálený soubor"
"Drag to move","Uchopit pro přesun"
"Edit Role","Upravit roli"
"Edit User '%s'","Upravit uživatele '%s'"
"Email","E-mail"
"Email Preview","Náhled emailu"
"Email:","Email:"
"Enclose Values In:","Hodnoty uzavřené v:"
"Entity type:","Typ entity:"
"Excl. Tax","Bez daně"
"Exclude","Vyřadit"
"Expiration Date","Datum platnosti"
"Expiration Date: %s/%s","Datum expirace: %s/%s"
"Export","Export"
"Export Filters","Filtry exportu"
"Export to:","Export do:"
"Export:","Export:"
"Extension","Rozšíření"
"Extensions","Rozšíření"
"FTP Host[:Port]","Server FTP [:Port]"
"Field Mapping","Přiřazení pole"
"File Information","Informace o souboru"
"File name:","Jméno souboru:"
"Final Price","Konečná cena"
"Finished items creation.","Vytvořené položky."
"First Name:","Jméno:"
"For latest version visit: %s","Pro poslední verzi navštivte: %s"
"From","Od"
"General Settings","Obecné nastavení"
"Get help for this page","Získat nápovědu pro tuto stránku"
"Global Record Search","Globální hledání záznamu"
"Go Today","Přejít na dnešek"
"Google Base Items","Základní položky Google"
"Group:","Skupina:"
"Help Us Keep Magento Healthy - Report All Bugs","Pomozte nám udržovat Magento aktuální - Hlaste všechny chyby"
"Ignore","Ignorovat"
"Images","Obrázky"
"Import","Import"
"Import Service","Služba import"
"In Database:","V databázi:"
"In File:","V souboru:"
"Inactive","Neaktivní"
"Incl. Tax","S daní"
"Include","Obsahuje"
"Installed As","Instalovat jako"
"Interactive","Interaktivní"
"Interface Locale: %s","Rozhraní v jazyce: %s"
"Invalid webservice adapter specified","Chybně vybraný adaptér webové služby"
"Invalid webservice handler specified","Chybně vybraný ukazatel webové služby"
"Invoice History","Historie faktur"
"Invoice Totals","Faktury celkem"
"Issue Number","Problém číslo"
"Issuer: %s","Vydavatel: %s"
"Items to merge","Položky k sloučení"
"Last 5 Orders","Posledních 5 objednávek"
"Last 5 Search Terms","Posledních 5 vyhledávaných výrazů"
"Last Logged In (%s):","Naposledy přihlášen (%s):"
"Last Logged In:","Naposledy přihlášen:"
"Last Name:","Příjmení"
"Latest Message:","Poslední zpráva:"
"Leave empty to use tax identifier","Ponechte prázdné pro použití DIČ"
"Level","Úroveň"
"License:","Licence:"
"Loading...","Nahrávám..."
"Local Server","Lokální server"
"Local/Remote Server","Lokální / vzdálený server"
"Log Out","Odhlásit"
"Logged in as %s","Přihlášen jako %s"
"MS Excel XML","MS Excel XML"
"Magento Core Api","Magento"
"Magento Core Api Section","Magento"
"Magento Logo","Magento Logo"
"Magento ver. %s","Magento ver. %s"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento je ochranou známkou Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc."
"Maintainers","Správci"
"Manage Stores","Spravovat obchody"
"Mapping Configuration","Nastavení přiřazení (mapování)"
"Max","Max"
"Merge Now","Sloučit teď"
"Min","Min"
"Module version conflict!","Konflikt verzí modulů!"
"N/A","nedefinováno"
"Name","Jméno"
"Name on Card","Jméno na kartě"
"Name on the Card: %s","Jméno na kartě: %s"
"Name:","Jméno:"
"Next month (hold for menu)","Příští měsíc (podržte pro menu)"
"Next page","Další"
"Next year (hold for menu)","Příští rok (podržte pro menu)"
"No","Ne"
"No Data Found","Nenalezena data"
"No search keywords.","Nenalezeno klíčové slovo."
"Note:","Poznámka:"
"Notes:","Poznámky:"
"Number of records:","Počet záznamů:"
"Old rate:","Stará sazba:"
"Only mapped fields","Pouze přiřazená pole"
"Order Totals","Objednávka celkem"
"Order confirmation email not sent","Potvrzující mail objednávky nebyl odeslán"
"Order confirmation email sent","Potvrzující email objednávky odeslán"
"Original Magento attribute names in first row:","Původní Jméno Magento vlastností v prvním řádku:"
"Package","Balík"
"Package Information","Informace o balíčku"
"Packages","Balíčky"
"Page","Stránka"
"Passive mode","Pasivní mód"
"Password","Heslo"
"Path","Cesta"
"Path:","Cesta:"
"PayPal Email","PayPal Email"
"Personal Information","Osobní informace"
"Phone:","Telefon:"
"Please confirm site switching. All data that hasn't been saved will be lost.","Potvrďte změnu stránek. Všechna neuložená data budou ztracena."
"Please enter 6 or more characters.","Zadejte prosím 6 nebo více znaků."
"Please enter a number greater than 0 in this field.","Do tohoto pole prosím vložte číslo větší než 0."
"Please enter a valid $ amount. For example $100.00.","Vložte prosím platný obnos $. Například $100,00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Vložte prosím platnou URL. Například http://www.iobchod.net nebo www.iguru.eu"
"Please enter a valid URL. http:// is required","Vložte prosím platnou URL. http:// je povinné."
"Please enter a valid credit card number.","Vložte prosím platné číslo kreditní karty."
"Please enter a valid date.","Vložte prosím platné datum."
"Please enter a valid email address. For example johndoe@domain.com.","Vložte prosím platnou emailovou adresu. Například johndoe@domain.com."
"Please enter a valid number in this field.","Zadejte prosím do tohoto pole platné číslo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Vložte prosím platné telefonní číslo. Například (123) 456-7890 nebo 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Vložte prosím platné číslo sociálního pojištění. Například 123-45-6789."
"Please enter a valid value from list","Vložte prosím platnou hodnotu ze seznamu"
"Please enter a valid value, ex: 10,20,30","Vložte prosím platnou hodnotu. Například: 10, 20, 30"
"Please enter a valid zip code.","Zadejte prosím platné PSČ."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Zadejte prosím platné PSČ. Například 10000."
"Please enter valid password.","Vložte prosím platné heslo."
"Please make sure that your changes were saved before running the profile.","Ujistěte se, že jsou Vaše změny uloženy před spuštěním profilu."
"Please make sure your passwords match.","Ujistěte se prosím, že hesla souhlasí."
"Please select State/Province.","Vyberte prosím stát/provincii."
"Please select an option.","Vyberte prosím možnost."
"Please select one of the above options.","Vyberte prosím jednu z uvedených možností"
"Please select one of the options.","Vyberte prosím jednu z možností."
"Please use in this field only ""a-z,0-9,_"".","Lze použít pouze ""a-z, 0-9, _"" "
"Please use letters only (a-z) in this field.","V tomto poli prosím použijte pouze písmena (a-z)."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","V tomto poli prosím použijte pouze číslice. Vyhněte se mezerám a ostatním znakům, jako tečky a čárky."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","V tomto poli prosím použijte pouze písmena (a-z), nebo číslice (0-9). Nejsou povoleny mezery ani jiné znaky."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","V tomto poli prosím použijte pouze písmena (a-z), číslice (0-9), mezery, nebo #."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Použijte prosím tento formát data: dd/mm/rrrr. Například 17/03/2006 pro 17. března, 2006."
"Please wait, loading...","Čekejte prosím, načítá se..."
"Please, select a store view","Vyberte obchod"
"Prev. month (hold for menu)","Předchozí měsíc (podržte pro menu)"
"Prev. year (hold for menu)","Předchozí rok (podržte pro menu)"
"Previous page","Předchozí"
"Price","Cena"
"Price:","Cena:"
"Primary Billing Address","Hlavní fakturační adresa"
"Processed <strong>%s%% %s/%d</strong> items","Zpracováno položek <strong>%s%% %s/%d</strong>"
"Product","Produkt"
"Products","Produkty"
"Profile Information","Informace o profilu"
"Provided Files","Poskytnuté soubory"
"Qty","Množství"
"Read details","Číst podrobnosti"
"Recommended","Doporučený"
"Remote FTP","Vzdálené FTP"
"Remote URL:","Vzdálené URL:"
"Remove","Odstranit"
"Resource Access","Přístup ke zdrojům"
"Resources","Zdroje"
"Role","Role"
"Role Users","Uživatelské role"
"Roles","Role"
"Roles Resources","Zdroje role"
"SKU","SKU"
"SKU:","SKU:"
"Schedule Merge","Naplánovat sloučení"
"Select All","Vybrat vše"
"Select Date","Vybrat datum"
"Select Range","Vyberte rozsah"
"Select Visible","Označit viditelné"
"Select date","Vybrat datum"
"Select website from map","Vybrat stránky z mapy"
"Select website to map","Vybrat stránky do mapy"
"Shipment Comments","Komentář k zásilce"
"Shipment History","Historie zásilky"
"Shipping Address","Dodací adresa"
"Shipping address selection is not applicable","Vybraná adresa doručení není použitelná"
"Shipping method selection is not applicable","Vybraná metoda doručení není použitelná"
"Show Report for","Ukázat report"
"Show by","Ukázat"
"Some items in this order have different invoice and shipment types. You can create shipment only after the invoice is created.","Některé z položek v této objednávce má rozdílnou fakturu a způsob doručení. Zásilku můžete vyrobit až po vystavení faktury."
"Sort Order","Pořadí objednávek"
"Spreadsheet Name:","Jméno sešitu:"
"Staging Store: ","Testovací sklad:"
"Staging Website: ","Testovací stránky "
"Start Date","Datum začátku"
"State/Province:","Kraj/Region:"
"Status","Stav"
"Status:","Stav:"
"Stock Quantity:","Množství na skladu:"
"Store:","Obchod:"
"Store: ","Obchod:"
"Subpackage","část balíčku"
"Subpackages","části balíčku"
"Summary:","Souhrn:"
"Switch/Solo Only","Přepínač/pouze samostatný"
"Switch/Solo card issue number: %s","Switch/Solor card issue number: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solor card start Date: %s/%s"
"Switch/Solo/Maestro(UK Domestic) Only","Switch/Solo/Maestro(pouze pro občany UK)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","Switch/Solo/Maestro (pouze pro občany UK) číslo karty: %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","Switch/Solo/Maestro (pouze pro občany UK) datum vydání karty: %s/%s"
"The information in this tab has been changed.","Informace v této záložce byly změněny."
"This is a required field.","Toto pole je povinné."
"This tab contains invalid data. Please solve the problem before saving.","Tato záložka obsahuje chybná data. Odstraňte je prosím před uložením."
"Thumbnail","Náhled"
"Time selection:","Výběr času:"
"Time:","Čas:"
"To","Pro"
"Top 5 Search Terms","Nejvyhledávanějších pět výrazů"
"Total %d records found","Celkem nalezeno záznamů: %d"
"Track order","Sledovat objednávku"
"Track this shipment","Sledovat zásilku"
"Type","Typ"
"Type:","Typ:"
"Unable to login.","Nelze se přihlásit."
"Unselect All","Odznačit vše"
"Unselect Visible","Odznačit viditelné"
"Upgrade All Available Packages","Aktualizovat všechny dostupné balíčky"
"Upload Local File","Nahrát lokální soubor"
"Upload local file:","Nahrát lokální soubor:"
"Use Default Value","Použít výchozí hodnotu"
"User","Uživatel"
"User Name","Uživatelské jméno"
"User Roles","Role uživatele"
"User name","Uživatelské jméno"
"Users","Uživatelé"
"Value Delimiter:","Oddělovač hodnot:"
"Version:","Verze:"
"View","Pohled"
"View Statistics for","Zobrazit statistiku pro"
"Visibility:","Viditelnost:"
"Warning! Empty value can cause problems with CSV format.","Upozornění! Prázdná hodnota může způsobit problémy s CSV formátem."
"Warning!rnThis action will remove this user from already assigned rolernAre you sure?","Warning!rnThis action will remove this user from already assigned rolernAre you sure?"
"Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?","Warning!rnThis action will remove those users from already assigned rolesrnAre you sure?"
"Web Services","Webové služby"
"Web Services Configuration","Web Služba Nastavení"
"Website: ","Webové stránky: "
"Websites","Webové stránky"
"Websites / Stores","Webové stránky / Obchody"
"What is this?","Co to je?"
"Yes","Ano"
"You have","Máte"
"Your Account has been deactivated.","Váš účet byl zablokován."
"Your server PHP settings allow you to upload files not more than %s at a time. Please modify post_max_size (currently is %s) and upload_max_filesize (currently is %s) values in php.ini if you want to upload larger files.","Nastavení PHP Vašeho serveru v tuto chvíli neumožňuje nahrát soubory větší než %s. Prosím upravte hodnoty post_max_size (momentálně je %s) a upload_max_filesize (momentálně je %s) v php.ini pokud chcete nahrávat větší soubory."
"Zip/Postal Code:","PSČ"
"critical","kritická"
"images/logo.gif","images/logo.gif"
"items selected","Vybrané položky"
"major","vysoká"
"md5sum","md5sum"
"minor","nízká"
"notice","upozornění"
"of %s pages","stránek %s"
"or","nebo"
"per page","na stránku"
"to","do"
