"* Required Fields","* Povinná pole"
"Create customer address","Vytvořit adresu zákazníka"
"Current Password","Současné heslo"
"Customer","Zákazník"
"Customer Addresses","Adresy zákazníka"
"Customer Api","API zákazníků"
"Customer Configuration","Nastavení zákazníka"
"Customer Group","Skupina zákazníků"
"Customer Group was successfully deleted","Skupina zákazníků byla úspěšně smazána"
"Customer Group was successfully saved","Skupina zákazníků byla úspěšně uložena"
"Customer Groups","Skupiny zákazníků"
"Customer Information","Informace o zákazníkovi"
"Customer Login","Přihlášení zákazníka"
"Customer Since","Zákazníkem od"
"Customer View","Zákaznický pohled"
"Customer collection expected","Byla očekávána kolekce zákazníka"
"Customer doesn't have primary billing address","Zákazník nemá hlavní fakturační adresu"
"Customer email already exists","Zákazníkův e-mail už existuje"
"Customer website id must be specified, when using website scope.","Zákaznické id musí být specifikováno před použitím rozsahu stránek."
"Customers","Zákazníci"
"Customers Only","Pouze zákazníci"
"Customers Section","Zákazníci"
"DD","DD"
"Date","Datum"
"Date Added","Přidáno datum"
"Date of Birth","Datum narození"
"Date of Birth is required.","Datum narození je vyžadován."
"Day","Den"
"Days in Wishlist","Dny v seznamu přání"
"Default Addresses","Výchozí adresy"
"Default Billing Address","Výchozí fakturační adresa"
"Default Email Domain","Výchozí E-mail"
"Default Group","Výchozí skupina"
"Default Shipping Address","Výchozí dodací adresa"
"Default Welcome Email","Výchozí uvítací email"
"Delete","Smazat"
"Delete Address","Smazat adresu"
"Delete Customer","Smazat zákazníka"
"Delete Customer Group","Smazat zákaznickou skupinu"
"Delete customer","Smazat zákazníka"
"Delete customer address","Smazat zákazníkovu adresu"
"Deleted Stores","Smazat obchody"
"Details","Detaily"
"Disabled","Neaktivní"
"Edit","Upravit"
"Edit Account Info","Upravit informace o účtu"
"Edit Account Information","Upravit informace o účtu"
"Edit Address","Upravit adresu"
"Edit Address Entry","Upravit adresní záznam"
"Edit Customer Group ""%s""","Upravit zákaznickou skupinu ""%s"""
"Edit Customer Groups","Upravit zákaznickou skupinu"
"Edit Customer's Address","Upravit zákaznické adresy"
"Edit Group","Upravit skupinu"
"Edit Newsletter Subscription","Upravit odběr zpravodaje"
"Edit Newsletters","Upravit zpravodaje"
"Edit Personal Information","Upravit osobní informace"
"Email","E-mail"
"Email Address","Emailová adresa"
"Email Sender","Odesílatel emailu"
"Entity collection is expected","Je očekávána skupina údajů"
"Error during retrieval of option value: %s","Chyba během příjmu hodnoty volby: %s"
"Ext. Price","Ext. Cena"
"Failed to confirm customer account.","Chybně potvrzený účet zákazníka."
"Fax","Fax"
"First Name","Jméno"
"First name can't be empty","Jméno nesmí být prázdné"
"Forgot Email Sender","Zapomenut odesílatel"
"Forgot Email Template","Zapomenuté heslo"
"Forgot Your Password?","Zapomněli jste heslo?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Na nástěnce Vašeho účtu můžete sledovat souhrn posledních událostí na Vašem účtu. Vyberte odkaz níže pro prohlížení nebo úpravu informací."
"General Subscription","Hlavní odběr"
"Global","Globální"
"Go to Address Book","Jít do adresáře"
"Grand Total","Celkový součet"
"Grand Total: %s","Celkem: <strong>%s</strong>"
"Group","Skupina"
"Group ""%s"" can not be deleted","Skupina ""%s"" nemůže být smazána"
"Group Information","Informace o skupině"
"Group Name","Jméno skupiny"
"Guest","Návštěvník"
"HTML","HTML"
"Hello, %s!","Vítejte, %s!"
"ID","ID"
"IP Address","IP adresa"
"If you have an account with us, please log in.","Pokud zde máte účet, pak se prosím přihlašte."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Byla specifikována neplatná volba pro atribut %s (%s), záznam vynechán"
"Invalid attribute set specified, skipping the record","Byla specifikována neplatná sada atributů, záznam vynechán"
"Invalid current password","Zadané heslo je neplatné"
"Invalid customer data","Chybná zákaznická data"
"Invalid email address","Chybná emailová adresa"
"Invalid email address ""%s""","Chybná emailová adresa ""%s"""
"Invalid login or password.","Neplatné uživatelské jméno nebo heslo."
"Invalid option id specified for %s (%s), skipping the record","Bylo specifikováno neplatné id volby pro %s (%s), záznam vynechán"
"Invalid store specified, skipping the record","Byl vybrán neplatný obchod, záznam vynechán"
"Items Order","Pořadí položek"
"Last 5 Orders","Posledních 5 objednávek"
"Last Activity","Poslední událost"
"Last Name","Příjmení"
"Last Url","poslední přihlášení z"
"Last Viewed Items","Poslední zobrazené položky"
"Last date subscribed","Poslední den odběru"
"Last date unsubscribed","Poslední den zrušení odběru"
"Last name can't be empty","Příjmení nesmí být prázdné"
"Leave empty for default (15 minutes).","Ponechte prázdné pro výchozí hodnotu (15 minut)."
"Leave empty for default (2). Valid range: 1-4","Ponechte prázdné pro výchozí (2). Platný rozsah je 1- 4."
"Lifetime Sales","Průběh prodeje"
"Log In","Přihlásit se"
"Log Out","Odhlásit"
"Log in or Create an Account","Přihlásit nebo vytvořit účet"
"Login","Přihlášení"
"Login Information","Přihlašovací informace"
"Login and password are required","Jméno a heslo je vyžadováno"
"Login or Create an Account","Přihlásit se, nebo vytvořit účet"
"M.I.","M.I."
"MM","MM"
"Manage Addresses","Správa adres"
"Manage Customers","Správa zákazníků"
"Missing email, skipping the record","Chybný email, záznam vynechán"
"Missing firstname, skipping the record","Chybějící jméno, záznam vynechán"
"Missing lastname, skipping the record","Chybějící příjmení, záznam vynechán"
"Month","Měsíc"
"My Account","Můj účet"
"My Account Dashboard","Nástěnka účtu"
"My Dashboard","Moje nástěnka"
"My Orders","Moje objednávky"
"My Reviews","Moje recenze"
"My Tags","Moje štítky"
"My Wishlist","Moje přání"
"Name","Jméno"
"Name and Address Options","Možnosti adresy a jména"
"Never","Nikdy"
"New Address","Nová adresa"
"New Address Entry","Nový adresní záznam"
"New Customer","Nový zákazník"
"New Customer Address","Nová zákaznická adresa"
"New Customer Group","Nová zákaznická skupina"
"New Customer Groups","Nová skupina zákazníků"
"New Customers","Noví zákazníci"
"New Group","Nová skupina"
"New Password","Nové heslo"
"New account","Nový účet"
"New account confirmation key","Nový potvrzovací klíč účtu"
"New account confirmed","Nově potvrzený účet"
"New password","Nové heslo"
"Newsletter","Zpravodaj"
"Newsletter Finish","Zpravodaj dokončen"
"Newsletter Information","Informace o zpravodaji"
"Newsletter Received","Zpravodaj obdržen"
"Newsletter Start","Start zpravodaje"
"Newsletter Subscription","Odběry zpravodaje"
"Newsletters","Zpravodaje"
"No Items Found","Nenalezeny položky"
"No Newsletter Found","Zpravodaj nenalezen"
"No item specified.","Nespecifikovány položky."
"No product collections found","Kolekce produktů nenalezeny"
"Not Sent","Neodesláno"
"Not confirmed, can login","Nepotvrzeno, lze se přihlásit"
"Not confirmed, cannot login","Nepotvrzeno, nelze se přihlásit"
"Number of lines in a street address ","Počet řádků ulice v adrese"
"Offline","Offline"
"Online","Online"
"Online Customers","Online zákazníci"
"Online Customers Options","Možnosti online zákazníků"
"Online Minutes Interval","Online interval v minutách"
"Order #","Objednávka č."
"Order #%s (%s)","Objednávka č:%s (%s)"
"Order List...","Seznam objednávek..."
"Order Total","Objednávka celkem"
"Orders","Objednávky"
"PDF","PDF"
"Password","Heslo"
"Password Management","Nastavení hesla"
"Password Options","Možnosti hesla"
"Password can't be empty","Pole s heslem nesmí být prázdné."
"Password fields can't be empty.","Pole s heslem nesmí být prázdné."
"Password forgotten","Zapomenuté heslo"
"Password minimal length must be more %s","Minimální délka hesla musí být větší než %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Heslo musí mít více jak 6 znaků. Počáteční a koncové mezery budou ignorovány."
"Paused","Pozastaveno"
"Payment Method","Platební metoda"
"Pending","Čekající"
"Per Website","Na webové stránky"
"Personal Information","Osobní informace"
"Please enter your email below and we'll send you a new password.","Prosím zadejte svůj email a my Vám zašleme nové heslo."
"Please enter your email below and we'll send you confirmation link for it.","Prosím zadejte svůj email a my Vám zašleme potvrzující odkaz."
"Please enter your email.","Zadejte Váš email."
"Please make sure your passwords match.","Ujistěte se prosím, že hesla souhlasí."
"Please select","Prosím vyberte"
"Please select region, state or province","Vyberte prosím oblast, stát nebo provincii"
"Please, check your e-mail for confirmation key.","Prosím zkontrolujte Váš email pro potvrzovací klíč."
"Prefix","Titul před jménem"
"Prefix dropdown options","Rozbalovací nabídka předpon"
"Price","Cena"
"Primary Billing Address","Hlavní fakturační adresa"
"Primary Shipping Address","Hlavní dodací adresa"
"Problem saving the collection, aborting. Error: %s","Problém při ukládání kolekce, přerušuji. Chyba: %s"
"Product","Produkt"
"Product ID","ID Produktu"
"Product Name","Název produktu"
"Product Reviews","Recenze produktů"
"Product Tags","Štítky produktu"
"Product name","Jméno produktu"
"Purchase On","Koupeno"
"Purchased at","Koupeno v "
"Qty","Množství"
"Recent Orders","Poslední objednávky"
"Records for ""","Záznamy pro """
"Refunded","Splacený"
"Registered Customers","Registrovaní zákazníci"
"Remove","Odstranit"
"Require Emails Confirmation","Vyžadovat potvrzení emailem"
"Retrieve address data","Načíst adresu"
"Retrieve address info","Získat informace o adrese"
"Retrieve customer addresses","Získat adresy zákazníka"
"Retrieve customer data","Načíst data zákazníka"
"Retrieve customer's groups","Získat zákaznickou skupinu"
"Retrieve customers","Získat zákazníky"
"Retrieve customers info","Získat informace o zákazníkovy"
"Retrieve your confirmation link here","Zde získáte potvrzující odkaz"
"Retrieve your password here","Zde získáte Vaše heslo"
"SKU","SKU"
"Sales Statistics","Statistiky prodeje"
"Save","Uložit"
"Save Address","Uložit adresu"
"Save And Continue Edit","Uložit a pokračovat v úpravách"
"Save Customer","Uložit zákazníka"
"Save Customer Group","Uložit zákaznickou skupinu"
"Save Password","Uložit heslo"
"Saved ","Uloženo "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Středník (;) oddělené hodnoty.<br/> Vložte středník na začátek pro nechání první prázdné položky.<br/>Ponechte prázdné pro otevřené textové pole."
"Send Welcome Email after Confirmation","Odeslat uvítací mail po potvrzení"
"Send auto-generated password","Odeslat automaticky vygenerované heslo"
"Send confirmation link","Odeslat potvrzující odkaz"
"Send welcome email","Odeslat uvítací email"
"Sending","Zaslání"
"Sent","Odesláno"
"Session Start Time","Začátek session"
"Set as Default Billing Address","Nastavit jako výchozí fakturační adresu"
"Set as Default Shipping Address","Nastavit jako výchozí doručovací adresu"
"Share Customer Accounts","Sdílet zákaznické účty"
"Ship to First name","Doručit na jméno"
"Ship to Last name","Doručit na příjmení"
"Shipped to First Name","Odesláno na jméno"
"Shipped to Last Name","Odesláno na příjmení"
"Shipped to Name","Odesláno na jméno"
"Shipping Information","Dodací údaje"
"Shipping Method","Způsob dodání"
"Shopping Cart","Nákupní košík"
"Shopping Cart - %d item(s)","Nákupní košík - položek: %d"
"Show Tax/VAT number","Zobrazit DIČ"
"Show date of birth","Zobrazit datum narození"
"Show middle name (initial)","Zobrazit prostřední jméno (iniciály)"
"Show prefix","Zobrazit titul před jménem"
"Show suffix","Zobrazit příponu"
"Sign Up for Newsletter","Přihlásit se k odběru zpravodaje"
"Sign up for our newsletter","Přihlásit k odběru zpravodaje"
"Skip import row, required field ""%s"" not defined","Přeskočen import řádků, požadované pole ""%s"" nejsou definované"
"Skip import row, website ""%s"" field not exists","Přeskočen import řádků, stránky ""%s"" pole neexistují"
"State/Province","Stát/provincie"
"Status","Stav"
"Store","Obchod"
"Store View","Obchod Pohled"
"Street Address","Ulice"
"Street Address ","Ulice"
"Subject","Předmět"
"Submit","Odeslat"
"Subscribe","Odebírat"
"Subscribe to newsletter","Odebírat zpravodaj"
"Subscribed to Newsletter?","Odebírat zpravodaj?"
"Suffix","Titul za jménem"
"Suffix dropdown options","Rozbalovací nabídka titulů za jménem"
"TAX/VAT number is required.","DIČ je vyžadováno."
"Tag Name","Jméno štítku"
"Tax Class","Daňová třída"
"Tax class","Daňová třída"
"Tax/VAT number","DIČ"
"Telephone","Telefon"
"Text","Text"
"Text One Line","Jedna řádka textu"
"Thank you for registering with %s","Děkujeme Vám za registraci u %s"
"The address does not belong to this customer","Adresa nepatří tomuto zákazníkovi"
"The address was successfully deleted","Adresa byla úspěšně smazána"
"The address was successfully saved","Adresa byla úspěšně uložena"
"The suffix that goes after name (Jr., Sr., etc.)","Titul za jménem (junior, CSc, Ph.D.)"
"The title that goes before name (Mr., Mrs., etc.)","Titul před jménem (pan, paní, atd.)"
"There are no items in customer's wishlist at the moment","Momentálně nejsou žádné položky v zákaznických seznamech přání"
"There are no items in customer's shopping cart at the moment","Momentálně nejsou žádné položky v zákaznických košících"
"There was an error while deleting the address","Při mazání adresy došlo k chybě"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Tento email bude odeslán po výchozím uvítacím emailu, poté, co je účet potvrzen."
"This account is not confirmed.","Tento účet nebyl potvrzen."
"This customer has no saved addresses.","Tento zákazník nemá uloženou adresu."
"This e-mail does not require confirmation.","Tento email nevyžaduje potvrzení."
"This email address was not found in our records","Takový e-mail není v naší databázi uložen"
"This is My Primary %s Address","Toto je moje hlavní <strong>%s</strong> adresa"
"To Cart","Do košíku"
"Total","Celkem"
"Type","Typ"
"Unknown","Neznámý"
"Unsubscribe from newsletter","Zrušit odebírání zpravodaje"
"Update","Aktualizovat"
"Update customer address data","Aktualizovat data zákaznické adresy"
"Update customer data","Aktualizovat data zákazníka"
"Use as My Primary %s Address","Použít jako mojí hlavní <strong>%s</strong> adresu"
"Use as my default billing address","Použít jako mojí výchozí <strong>fakturační</strong> adresu"
"Use as my default shipping address","Použít jako moji výchozí <strong>dodací</strong> adresu"
"User description","Popis uživatele"
"View","Pohled"
"View Order","Zobrazit objednávku"
"View Order List","Zobrazit seznam objednávek"
"Visible In","Viditelné v"
"Visitor","Návštěvník"
"Visitors Only","Pouze návštěvníci"
"Website","Webové stránky"
"Welcome Email","Uvítací email"
"Wishlist","Seznam přání"
"Wishlist - %d item(s)","Seznam přání - položek: %d"
"Wrong confirmation key.","Chybný potvrzující klíč."
"Wrong customer account specified.","Chybně specifikován zákaznický účet."
"Wrong email.","Špatný email."
"Wrong region id by selected country","Špatné id regionu podle vybrané země"
"Wrong transactional account email type.","Chybný typ transakčního emailu."
"XML","XML"
"YYYY","YYYY"
"Year","Rok"
"You are currently not subscribed to any newsletter.","Nejste momentálně přihlášen k odběru žádných novinek."
"You are currently not subscribed to our newsletter","Nejste zapsán k odběru zpravodaje"
"You are currently subscribed to 'General Subscription'.","Jste přihlášen k odběru hlavních novinek."
"You are currently subscribed to our newsletter","Jste zapsán k odběru našeho zpravodaje"
"You are currently subscribed to our newsletter.","Nyní jste přihlášen k odběru našeho zpravodaje."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Úspěšně jste se odhlásili a během 5 sekund budete přesměrováni na hlavní stránku."
"You have no additional address entries in your address book.","V adresáři nemáte žádné další záznamy."
"You have no additional entries in your address book.","V adresáři nemáte žádné další záznamy."
"You have no default billing address in your address book.","Ve Vašem adresáři nemáte žádnou výchozí fakturační adresu."
"You have no default shipping address in your address book.","Ve Vašem adresáři nemáte žádnou výchozí dodací adresu."
"You have no primary entries in your address book.","V adresáři nemáte žádné hlavní záznamy."
"You have not set a primary billing address.","Nemáte nastavenou hlavní fakturační adresu"
"You have not set a primary shipping address.","Nemáte nastavenou hlavní dodací adresu"
"You have placed no orders yet.","Zatím jste neodeslali žádnou objednávku."
"You have placed no products yet.","Nemáte vložené žádné produkty"
"You're now Logged Out","Nyní jste odhlášeni"
"Your account balance is: %s","Bilance Vašeho účtu je: <strong>%s</strong>"
"ZIP","PSČ"
"ZIP/Post Code","PSČ"
"ZIP/Postal Code","PSČ"
"Zip/Postal Code","PSČ"
"n/a","nedefinováno"
"or","nebo"
"Please enter your email below and we'll send you a new password.","Prosím zadejte svůj email a my Vám zašleme nové heslo."
"First name can't be empty","First name can't be empty"
"Last name can't be empty","Last name can't be empty"
"Password can't be empty","Password can't be empty"
"My Account","My Account"
"Log In","Log In"
"New Customers","New Customers"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more."
"Registered Customers","Registered Customers"
"If you have an account with us, please log in.","If you have an account with us, please log in."
"Email Address","Email Address"
"Password","Password"
"* Required Fields","* Required Fields"
"Forgot Your Password?","Forgot Your Password?"
"Retrieve your password here","Retrieve your password here"
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Back to Login","Back to Login"
"Submit","Submit"
"My Dashboard","My Dashboard"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"Contact Information","Contact Information"
"Address Book","Address Book"
"Account Information","Account Information"
"Thank you for registering with %s","Thank you for registering with %s"
"Newsletter Subscription","Newsletter Subscription"
"You have not set a default billing address.","You have not set a default billing address."
"You have not set a default shipping address.","You have not set a default shipping address."
"Login or Create an Account","Login or Create an Account"
"Personal Information","Personal Information"
